symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ABC,2000-01-03 00:00:00+00:00,15.56,15.75,15.25,15.5,696200,2.9897466009,3.0262537895,2.9301822406,2.9782180151,2784800,0.0,1.0
ABC,2000-01-04 00:00:00+00:00,14.5,14.81,14.0,14.75,236000,2.7860749173,2.8456392776,2.6900033684,2.8341106917,944000,0.0,1.0
ABC,2000-01-05 00:00:00+00:00,15.62,16.19,14.5,14.62,202600,3.0012751868,3.1107967525,2.7860749173,2.809132089,810400,0.0,1.0
ABC,2000-01-06 00:00:00+00:00,16.81,17.12,15.31,16.0,673800,3.2299254731,3.2894898334,2.9417108265,3.0742895639,2695200,0.0,1.0
ABC,2000-01-07 00:00:00+00:00,19.0,19.0,16.63,16.81,635900,3.6507188572,3.6507188572,3.1953397155,3.2299254731,2543600,0.0,1.0
ABC,2000-01-10 00:00:00+00:00,19.5,20.62,19.0,19.0,633600,3.746790406,3.9619906755,3.6507188572,3.6507188572,2534400,0.0,1.0
ABC,2000-01-11 00:00:00+00:00,20.12,20.5,19.56,19.88,636300,3.8659191266,3.9389335038,3.7583189919,3.8198047832,2545200,0.0,1.0
ABC,2000-01-12 00:00:00+00:00,20.12,20.12,19.63,20.12,271400,3.8659191266,3.8659191266,3.7717690087,3.8659191266,1085600,0.0,1.0
ABC,2000-01-13 00:00:00+00:00,23.69,23.81,20.12,20.12,562000,4.5518699856,4.5749271573,3.8659191266,3.8659191266,2248000,0.0,1.0
ABC,2000-01-14 00:00:00+00:00,22.19,23.31,21.75,23.0,600800,4.263655339,4.4788556084,4.179112376,4.4192912481,2403200,0.0,1.0
ABC,2000-01-18 00:00:00+00:00,21.25,21.94,21.0,21.25,919100,4.0830408271,4.2156195645,4.0350050527,4.0830408271,3676400,0.0,1.0
ABC,2000-01-19 00:00:00+00:00,21.31,21.5,21.06,21.25,253800,4.094569413,4.1310766015,4.0465336385,4.0830408271,1015200,0.0,1.0
ABC,2000-01-20 00:00:00+00:00,20.19,21.0,20.0,20.94,418500,3.8793691435,4.0350050527,3.8428619549,4.0234764668,1674000,0.0,1.0
ABC,2000-01-21 00:00:00+00:00,19.25,19.75,18.75,19.63,346000,3.6987546316,3.7948261805,3.6026830827,3.7717690087,1384000,0.0,1.0
ABC,2000-01-24 00:00:00+00:00,19.44,19.88,19.12,19.5,214400,3.7352618202,3.8198047832,3.6737760289,3.746790406,857600,0.0,1.0
ABC,2000-01-25 00:00:00+00:00,18.75,19.44,18.25,19.44,168100,3.6026830827,3.7352618202,3.5066115339,3.7352618202,672400,0.0,1.0
ABC,2000-01-26 00:00:00+00:00,18.13,18.75,17.87,18.75,155300,3.4835543621,3.6026830827,3.4335971567,3.6026830827,621200,0.0,1.0
ABC,2000-01-27 00:00:00+00:00,18.75,19.5,18.13,18.25,850700,3.6026830827,3.746790406,3.4835543621,3.5066115339,3402800,0.0,1.0
ABC,2000-01-28 00:00:00+00:00,18.75,19.12,18.56,19.0,386300,3.6026830827,3.6737760289,3.5661758942,3.6507188572,1545200,0.0,1.0
ABC,2000-01-31 00:00:00+00:00,18.13,18.81,18.06,18.75,147100,3.4835543621,3.6142116686,3.4701043453,3.6026830827,588400,0.0,1.0
ABC,2000-02-01 00:00:00+00:00,18.69,20.19,18.38,19.75,386700,3.5911544969,3.8793691435,3.5315901366,3.7948261805,1546800,0.0,1.0
ABC,2000-02-02 00:00:00+00:00,18.88,19.12,18.44,18.44,391100,3.6276616854,3.6737760289,3.5431187224,3.5431187224,1564400,0.0,1.0
ABC,2000-02-03 00:00:00+00:00,18.75,18.88,18.5,18.75,331200,3.6026830827,3.6276616854,3.5546473083,3.6026830827,1324800,0.0,1.0
ABC,2000-02-04 00:00:00+00:00,18.44,18.75,18.13,18.75,176800,3.5431187224,3.6026830827,3.4835543621,3.6026830827,707200,0.0,1.0
ABC,2000-02-07 00:00:00+00:00,18.31,18.38,18.13,18.19,132000,3.5181401197,3.5315901366,3.4835543621,3.495082948,528000,0.0,1.0
ABC,2000-02-08 00:00:00+00:00,17.87,18.38,17.75,18.38,174200,3.4335971567,3.5315901366,3.410539985,3.5315901366,696800,0.0,1.0
ABC,2000-02-09 00:00:00+00:00,17.25,17.62,16.5,17.62,362400,3.3144684361,3.3855613823,3.1703611128,3.3855613823,1449600,0.0,1.0
ABC,2000-02-10 00:00:00+00:00,17.06,17.25,16.75,17.12,150600,3.2779612475,3.3144684361,3.2183968872,3.2894898334,602400,0.0,1.0
ABC,2000-02-11 00:00:00+00:00,16.5,17.06,16.31,17.06,145200,3.1703611128,3.2779612475,3.1338539242,3.2779612475,580800,0.0,1.0
ABC,2000-02-14 00:00:00+00:00,16.37,16.88,16.0,16.88,222900,3.1453825101,3.2433754899,3.0742895639,3.2433754899,891600,0.0,1.0
ABC,2000-02-15 00:00:00+00:00,15.88,16.37,15.69,16.37,679900,3.0512323922,3.1453825101,3.0147252036,3.1453825101,2719600,0.0,1.0
ABC,2000-02-16 00:00:00+00:00,15.94,16.0,15.75,15.81,504100,3.0627609781,3.0742895639,3.0262537895,3.0377823754,2016400,0.0,1.0
ABC,2000-02-17 00:00:00+00:00,16.75,16.75,15.81,15.94,333700,3.2183968872,3.2183968872,3.0377823754,3.0627609781,1334800,0.0,1.0
ABC,2000-02-18 00:00:00+00:00,15.69,16.75,15.44,16.75,2636400,3.0147252036,3.2183968872,2.9666894292,3.2183968872,10545600,0.0,1.0
ABC,2000-02-22 00:00:00+00:00,15.75,16.0,15.56,15.75,353900,3.0262537895,3.0742895639,2.9897466009,3.0262537895,1415600,0.0,1.0
ABC,2000-02-23 00:00:00+00:00,15.5,15.75,15.38,15.75,165500,2.9782180151,3.0262537895,2.9551608433,3.0262537895,662000,0.0,1.0
ABC,2000-02-24 00:00:00+00:00,15.0,15.44,14.94,15.44,269800,2.8821464662,2.9666894292,2.8706178803,2.9666894292,1079200,0.0,1.0
ABC,2000-02-25 00:00:00+00:00,14.0,14.81,13.75,14.69,499400,2.6900033684,2.8456392776,2.641967594,2.8225821059,1997600,0.0,1.0
ABC,2000-02-28 00:00:00+00:00,14.5,14.5,13.75,14.0,714800,2.7860749173,2.7860749173,2.641967594,2.6900033684,2859200,0.0,1.0
ABC,2000-02-29 00:00:00+00:00,14.56,14.62,14.44,14.5,827000,2.7976035032,2.809132089,2.7745463314,2.7860749173,3308000,0.0,1.0
ABC,2000-03-01 00:00:00+00:00,14.87,15.13,14.56,14.62,342900,2.8571678635,2.9071250689,2.7976035032,2.809132089,1371600,0.0,1.0
