symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ABT,2000-01-03 00:00:00+00:00,35.0,36.0,34.75,35.25,10635000,8.7902247637,9.0413740427,8.727437444,8.8530120835,11367037,0.0,1.0
ABT,2000-01-04 00:00:00+00:00,34.0,34.75,33.75,34.44,10734600,8.5390754848,8.727437444,8.476288165,8.6495811675,11473492,0.0,1.0
ABT,2000-01-05 00:00:00+00:00,33.81,34.88,33.56,33.56,11722500,8.4913571218,8.7600868503,8.428569802,8.428569802,12529392,0.0,1.0
ABT,2000-01-06 00:00:00+00:00,35.13,35.25,33.81,34.0,17479500,8.82287417,8.8530120835,8.4913571218,8.5390754848,18682663,0.0,1.0
ABT,2000-01-07 00:00:00+00:00,35.5,36.25,34.5,34.5,15755900,8.9157994032,9.1041613624,8.6646501242,8.6646501242,16840423,0.0,1.0
ABT,2000-01-10 00:00:00+00:00,35.25,36.06,34.88,36.0,10442000,8.8530120835,9.0564429994,8.7600868503,9.0413740427,11160752,0.0,1.0
ABT,2000-01-11 00:00:00+00:00,34.75,35.19,34.38,34.38,9533100,8.727437444,8.8379431267,8.6345122108,8.6345122108,10189290,0.0,1.0
ABT,2000-01-12 00:00:00+00:00,34.06,35.0,34.0,34.81,8329900,8.573309643,8.8099188933,8.5582069249,8.7620936193,8903270,0.07631,1.0
ABT,2000-01-13 00:00:00+00:00,33.75,34.38,33.69,34.06,10615800,8.4952789328,8.6538574729,8.4801762147,8.573309643,11346515,0.0,1.0
ABT,2000-01-14 00:00:00+00:00,34.5,34.63,34.0,34.5,11217500,8.6840629091,8.716785465,8.5582069249,8.6840629091,11989632,0.0,1.0
ABT,2000-01-18 00:00:00+00:00,33.75,34.5,33.13,33.81,11348600,8.4952789328,8.6840629091,8.3392175124,8.5103816509,12129756,0.0,1.0
ABT,2000-01-19 00:00:00+00:00,33.06,33.44,32.88,32.88,16849700,8.3215976746,8.4172482226,8.2762895203,8.2762895203,18009512,0.0,1.0
ABT,2000-01-20 00:00:00+00:00,32.05,32.88,31.69,32.69,15429100,8.0673685865,8.2762895203,7.9767522779,8.2284642463,16491128,0.0,1.0
ABT,2000-01-21 00:00:00+00:00,31.19,31.63,30.75,31.5,18903500,7.8508962937,7.9616495598,7.7401430276,7.9289270039,20204681,0.0,1.0
ABT,2000-01-24 00:00:00+00:00,30.0,30.88,30.0,30.63,20606500,7.5513590514,7.7728655835,7.5513590514,7.7099375914,22024903,0.0,1.0
ABT,2000-01-25 00:00:00+00:00,29.63,30.56,29.38,30.0,22725300,7.4582256231,7.6923177537,7.395297631,7.5513590514,24289546,0.0,1.0
ABT,2000-01-26 00:00:00+00:00,29.69,30.0,29.44,29.81,14037300,7.4733283412,7.5513590514,7.4104003491,7.5035337774,15003527,0.0,1.0
ABT,2000-01-27 00:00:00+00:00,30.81,31.19,29.63,29.75,16105600,7.7552457457,7.8508962937,7.4582256231,7.4884310593,17214194,0.0,1.0
ABT,2000-01-28 00:00:00+00:00,31.88,32.19,31.06,31.19,13831100,8.0245775519,8.1026082621,7.8181737378,7.8508962937,14783133,0.0,1.0
ABT,2000-01-31 00:00:00+00:00,32.56,32.88,30.94,31.88,11452000,8.1957416904,8.2762895203,7.7879683016,8.0245775519,12240273,0.0,1.0
ABT,2000-02-01 00:00:00+00:00,32.88,32.88,31.88,32.38,8050600,8.2762895203,8.2762895203,8.0245775519,8.1504335361,8604745,0.0,1.0
ABT,2000-02-02 00:00:00+00:00,33.06,33.25,32.75,32.75,10301700,8.3215976746,8.3694229486,8.2435669644,8.2435669644,11010795,0.0,1.0
ABT,2000-02-03 00:00:00+00:00,33.25,33.44,32.94,33.0,8176100,8.3694229486,8.4172482226,8.2913922384,8.3064949565,8738884,0.0,1.0
ABT,2000-02-04 00:00:00+00:00,34.44,35.06,33.81,33.81,13315300,8.668960191,8.8250216114,8.5103816509,8.5103816509,14231829,0.0,1.0
ABT,2000-02-07 00:00:00+00:00,33.81,34.56,33.38,34.5,5931600,8.5103816509,8.6991656272,8.4021455045,8.6840629091,6339888,0.0,1.0
ABT,2000-02-08 00:00:00+00:00,34.13,34.5,33.5,34.19,10834000,8.5909294808,8.6840629091,8.4323509407,8.6060321989,11579734,0.0,1.0
ABT,2000-02-09 00:00:00+00:00,36.06,36.5,34.56,34.69,14133800,9.0767335797,9.1874868458,8.6991656272,8.7318881831,15106669,0.0,1.0
ABT,2000-02-10 00:00:00+00:00,35.13,36.0,34.69,36.0,14272400,8.8426414491,9.0616308616,8.7318881831,9.0616308616,15254809,0.0,1.0
ABT,2000-02-11 00:00:00+00:00,34.0,35.19,34.0,35.19,6960800,8.5582069249,8.8577441672,8.5582069249,8.8577441672,7439931,0.0,1.0
