symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ACGL,2000-01-03 00:00:00+00:00,11.5,12.75,11.38,12.69,48200,1.2777765,1.41666525,1.26444318,1.40999859,433800,0.0,1.0
ACGL,2000-01-04 00:00:00+00:00,11.44,11.5,11.38,11.38,9400,1.27110984,1.2777765,1.26444318,1.26444318,84600,0.0,1.0
ACGL,2000-01-05 00:00:00+00:00,12.5,12.5,11.56,11.56,8900,1.3888875,1.3888875,1.28444316,1.28444316,80100,0.0,1.0
ACGL,2000-01-06 00:00:00+00:00,12.38,12.88,11.94,12.5,38700,1.37555418,1.43110968,1.32666534,1.3888875,348300,0.0,1.0
ACGL,2000-01-07 00:00:00+00:00,13.06,13.12,12.38,12.38,27500,1.45110966,1.45777632,1.37555418,1.37555418,247500,0.0,1.0
ACGL,2000-01-10 00:00:00+00:00,13.5,13.63,13.0,13.0,50600,1.4999985,1.51444293,1.444443,1.444443,455400,0.0,1.0
ACGL,2000-01-11 00:00:00+00:00,13.63,13.75,13.12,13.37,45300,1.51444293,1.52777625,1.45777632,1.48555407,407700,0.0,1.0
ACGL,2000-01-12 00:00:00+00:00,13.63,13.75,13.25,13.63,24100,1.51444293,1.52777625,1.47222075,1.51444293,216900,0.0,1.0
ACGL,2000-01-13 00:00:00+00:00,14.25,14.25,13.75,13.75,44900,1.58333175,1.58333175,1.52777625,1.52777625,404100,0.0,1.0
ACGL,2000-01-14 00:00:00+00:00,14.87,15.0,14.5,14.5,48000,1.65222057,1.666665,1.6111095,1.6111095,432000,0.0,1.0
ACGL,2000-01-18 00:00:00+00:00,15.5,16.75,14.62,14.62,180500,1.7222205,1.86110925,1.62444282,1.62444282,1624501,0.0,1.0
ACGL,2000-01-19 00:00:00+00:00,15.88,15.88,15.44,15.88,74200,1.76444268,1.76444268,1.71555384,1.76444268,667800,0.0,1.0
ACGL,2000-01-20 00:00:00+00:00,15.5,15.88,15.25,15.88,109500,1.7222205,1.76444268,1.69444275,1.76444268,985500,0.0,1.0
ACGL,2000-01-21 00:00:00+00:00,15.62,15.62,15.38,15.56,51200,1.73555382,1.73555382,1.70888718,1.72888716,460800,0.0,1.0
ACGL,2000-01-24 00:00:00+00:00,15.5,15.62,15.31,15.31,123200,1.7222205,1.73555382,1.70110941,1.70110941,1108801,0.0,1.0
ACGL,2000-01-25 00:00:00+00:00,15.44,15.69,15.38,15.5,56100,1.71555384,1.74333159,1.70888718,1.7222205,504900,0.0,1.0
ACGL,2000-01-26 00:00:00+00:00,15.13,15.38,15.13,15.38,16800,1.68110943,1.70888718,1.68110943,1.70888718,151200,0.0,1.0
ACGL,2000-01-27 00:00:00+00:00,15.31,15.38,15.0,15.06,24400,1.70110941,1.70888718,1.666665,1.67333166,219600,0.0,1.0
ACGL,2000-01-28 00:00:00+00:00,15.13,15.28,15.0,15.28,8400,1.68110943,1.69777608,1.666665,1.69777608,75600,0.0,1.0
ACGL,2000-01-31 00:00:00+00:00,14.62,15.25,14.62,15.0,11400,1.62444282,1.69444275,1.62444282,1.666665,102600,0.0,1.0
ACGL,2000-02-01 00:00:00+00:00,14.12,14.5,14.12,14.5,68100,1.56888732,1.6111095,1.56888732,1.6111095,612900,0.0,1.0
ACGL,2000-02-02 00:00:00+00:00,14.06,14.12,14.0,14.12,9900,1.56222066,1.56888732,1.555554,1.56888732,89100,0.0,1.0
ACGL,2000-02-03 00:00:00+00:00,13.75,14.12,13.37,14.0,27600,1.52777625,1.56888732,1.48555407,1.555554,248400,0.0,1.0
ACGL,2000-02-04 00:00:00+00:00,14.0,14.06,13.69,13.69,4800,1.555554,1.56222066,1.52110959,1.52110959,43200,0.0,1.0
ACGL,2000-02-07 00:00:00+00:00,14.5,14.5,14.0,14.12,41200,1.6111095,1.6111095,1.555554,1.56888732,370800,0.0,1.0
ACGL,2000-02-08 00:00:00+00:00,14.75,15.25,14.62,14.62,27400,1.63888725,1.69444275,1.62444282,1.62444282,246600,0.0,1.0
ACGL,2000-02-09 00:00:00+00:00,14.5,15.0,14.38,15.0,52900,1.6111095,1.666665,1.59777618,1.666665,476100,0.0,1.0
ACGL,2000-02-10 00:00:00+00:00,14.5,14.69,14.5,14.62,20500,1.6111095,1.63222059,1.6111095,1.62444282,184500,0.0,1.0
ACGL,2000-02-11 00:00:00+00:00,14.19,14.47,14.0,14.38,35800,1.57666509,1.60777617,1.555554,1.59777618,322200,0.0,1.0
ACGL,2000-02-14 00:00:00+00:00,14.09,14.19,14.0,14.09,23600,1.56555399,1.57666509,1.555554,1.56555399,212400,0.0,1.0
ACGL,2000-02-15 00:00:00+00:00,14.31,14.31,14.12,14.12,5700,1.58999841,1.58999841,1.56888732,1.56888732,51300,0.0,1.0
ACGL,2000-02-16 00:00:00+00:00,14.56,15.0,14.38,14.38,9800,1.61777616,1.666665,1.59777618,1.59777618,88200,0.0,1.0
ACGL,2000-02-17 00:00:00+00:00,14.84,14.98,14.69,14.69,4500,1.64888724,1.66444278,1.63222059,1.63222059,40500,0.0,1.0
ACGL,2000-02-18 00:00:00+00:00,14.25,15.0,14.25,15.0,3100,1.58333175,1.666665,1.58333175,1.666665,27900,0.0,1.0
ACGL,2000-02-22 00:00:00+00:00,14.0,14.56,14.0,14.56,32500,1.555554,1.61777616,1.555554,1.61777616,292500,0.0,1.0
ACGL,2000-02-23 00:00:00+00:00,14.25,14.25,14.0,14.0,14300,1.58333175,1.58333175,1.555554,1.555554,128700,0.0,1.0
ACGL,2000-02-24 00:00:00+00:00,14.94,14.94,14.0,14.25,19800,1.65999834,1.65999834,1.555554,1.58333175,178200,0.0,1.0
ACGL,2000-02-25 00:00:00+00:00,14.0,15.0,14.0,14.69,15900,1.555554,1.666665,1.555554,1.63222059,143100,0.0,1.0
ACGL,2000-02-28 00:00:00+00:00,14.5,14.5,13.75,13.75,2100,1.6111095,1.6111095,1.52777625,1.52777625,18900,0.0,1.0
ACGL,2000-02-29 00:00:00+00:00,15.25,15.25,13.88,13.88,19300,1.69444275,1.69444275,1.54222068,1.54222068,173700,0.0,1.0
