symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ADI,2000-01-03 00:00:00+00:00,90.19,93.88,88.0,93.5,1827800,29.2134536892,30.4086820306,28.5040905272,30.2855961852,3655600,0.0,1.0
ADI,2000-01-04 00:00:00+00:00,85.63,91.5,85.56,89.5,1266600,27.7364235437,29.6377759459,27.7137498353,28.9899557067,2533200,0.0,1.0
ADI,2000-01-05 00:00:00+00:00,86.75,87.13,83.19,85.63,1614000,28.0992028777,28.2222887231,26.9460828518,27.7364235437,3228000,0.0,1.0
ADI,2000-01-06 00:00:00+00:00,84.5,87.63,83.25,86.88,1300500,27.3704051085,28.384243783,26.965517459,28.1413111932,2601000,0.0,1.0
ADI,2000-01-07 00:00:00+00:00,86.88,88.5,82.75,84.0,945300,28.1413111932,28.666045587,26.8035623992,27.2084500487,1890600,0.0,1.0
ADI,2000-01-10 00:00:00+00:00,94.44,94.75,89.25,90.0,1285000,30.5900716976,30.6904838347,28.9089781768,29.1519107665,2570000,0.0,1.0
ADI,2000-01-11 00:00:00+00:00,90.56,94.0,90.25,93.5,963100,29.3333004335,30.447551245,29.2328882964,30.2855961852,1926200,0.0,1.0
ADI,2000-01-12 00:00:00+00:00,93.5,95.5,89.0,90.31,1421200,30.2855961852,30.9334164244,28.8280006468,29.2523229036,2842400,0.0,1.0
ADI,2000-01-13 00:00:00+00:00,93.81,95.75,92.75,95.75,842500,30.3860083223,31.0143939543,30.0426635954,31.0143939543,1685000,0.0,1.0
ADI,2000-01-14 00:00:00+00:00,101.4,101.9,95.63,95.75,2344400,32.8444861302,33.00644119,30.97552474,31.0143939543,4688800,0.0,1.0
ADI,2000-01-18 00:00:00+00:00,98.5,101.8,98.06,100.5,984400,31.9051467833,32.9740501781,31.7626263307,32.5529670226,1968800,0.0,1.0
ADI,2000-01-19 00:00:00+00:00,101.4,102.3,99.0,99.5,917800,32.8444861302,33.1360052379,32.0671018431,32.2290569029,1835600,0.0,1.0
ADI,2000-01-20 00:00:00+00:00,99.44,104.0,99.0,103.3,995500,32.2096222958,33.6866524413,32.0671018431,33.4599153575,1991000,0.0,1.0
ADI,2000-01-21 00:00:00+00:00,96.63,99.94,96.63,99.88,894300,31.2994348596,32.3715773556,31.2994348596,32.3521427484,1788600,0.0,1.0
ADI,2000-01-24 00:00:00+00:00,98.56,101.5,97.63,100.5,1430100,31.9245813905,32.8768771422,31.6233449792,32.5529670226,2860200,0.0,1.0
ADI,2000-01-25 00:00:00+00:00,105.0,105.3,98.0,98.56,1204100,34.0105625609,34.1077355968,31.7431917235,31.9245813905,2408200,0.0,1.0
ADI,2000-01-26 00:00:00+00:00,101.7,104.3,98.63,104.0,1341400,32.9416591661,33.7838254771,31.9472550989,33.6866524413,2682800,0.0,1.0
ADI,2000-01-27 00:00:00+00:00,96.06,103.1,94.0,101.9,1341400,31.1148060914,33.3951333336,30.447551245,33.00644119,2682800,0.0,1.0
ADI,2000-01-28 00:00:00+00:00,95.5,98.13,93.0,95.0,1417900,30.9334164244,31.785300039,30.1236411254,30.7714613646,2835800,0.0,1.0
ADI,2000-01-31 00:00:00+00:00,93.5,95.63,86.0,94.0,1851000,30.2855961852,30.97552474,27.856270288,30.447551245,3702000,0.0,1.0
ADI,2000-02-01 00:00:00+00:00,98.0,98.69,90.13,93.0,1413100,31.7431917235,31.966689706,29.194019082,30.1236411254,2826200,0.0,1.0
ADI,2000-02-02 00:00:00+00:00,96.25,98.44,95.06,97.88,1268600,31.1763490141,31.8857121761,30.7908959718,31.7043225091,2537200,0.0,1.0
ADI,2000-02-03 00:00:00+00:00,105.8,107.6,97.5,98.0,2072600,34.2696906566,34.8527288719,31.5812366637,31.7431917235,4145200,0.0,1.0
ADI,2000-02-04 00:00:00+00:00,111.5,112.5,104.4,106.0,1858100,36.1159783385,36.4398884581,33.8162164891,34.3344726805,3716200,0.0,1.0
ADI,2000-02-07 00:00:00+00:00,119.0,119.8,109.2,111.3,1328200,38.5453042357,38.8044323314,35.3709850633,36.0511963145,2656400,0.0,1.0
ADI,2000-02-08 00:00:00+00:00,114.8,120.4,114.0,119.9,1394900,37.1848817332,38.9987784031,36.9257536375,38.8368233433,2789800,0.0,1.0
ADI,2000-02-09 00:00:00+00:00,115.7,117.0,112.3,114.7,1389800,37.4764008409,37.8974839964,36.3751064342,37.1524907213,2779600,0.0,1.0
ADI,2000-02-10 00:00:00+00:00,116.1,118.8,114.0,114.8,1435000,37.6059648887,38.4805222117,36.9257536375,37.1848817332,2870000,0.0,1.0
