symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ADM,2000-01-03 00:00:00+00:00,12.0,12.06,11.94,12.0,984600,6.9279629431,6.9626027578,6.8933231284,6.9279629431,1033829,0.0,1.0
ADM,2000-01-04 00:00:00+00:00,11.88,12.19,11.81,11.81,1088000,6.8586833137,7.0376556897,6.8182701965,6.8182701965,1142399,0.0,1.0
ADM,2000-01-05 00:00:00+00:00,11.69,11.88,11.69,11.88,1087900,6.7489905671,6.8586833137,6.7489905671,6.8586833137,1142294,0.0,1.0
ADM,2000-01-06 00:00:00+00:00,11.75,11.88,11.56,11.63,899900,6.7836303818,6.8586833137,6.6739376352,6.7143507524,944894,0.0,1.0
ADM,2000-01-07 00:00:00+00:00,11.94,12.0,11.81,11.88,1186100,6.8933231284,6.9279629431,6.8182701965,6.8586833137,1245404,0.0,1.0
ADM,2000-01-10 00:00:00+00:00,11.94,12.19,11.94,12.0,1484400,6.8933231284,7.0376556897,6.8933231284,6.9279629431,1558619,0.0,1.0
ADM,2000-01-11 00:00:00+00:00,11.75,11.94,11.75,11.94,1092900,6.7836303818,6.8933231284,6.7836303818,6.8933231284,1147544,0.0,1.0
ADM,2000-01-12 00:00:00+00:00,12.06,12.13,11.75,11.81,1357300,6.9626027578,7.003015875,6.7836303818,6.8182701965,1425164,0.0,1.0
ADM,2000-01-13 00:00:00+00:00,12.0,12.31,11.94,12.0,2939900,6.9279629431,7.1069353192,6.8933231284,6.9279629431,3086894,0.0,1.0
ADM,2000-01-14 00:00:00+00:00,12.5,12.56,11.94,12.13,2805400,7.2166280658,7.2512678805,6.8933231284,7.003015875,2945669,0.0,1.0
ADM,2000-01-18 00:00:00+00:00,13.06,13.25,12.56,12.56,2991200,7.5399330031,7.6496257497,7.2512678805,7.2512678805,3140759,0.0,1.0
ADM,2000-01-19 00:00:00+00:00,13.38,13.44,13.0,13.06,2480500,7.7246786816,7.7593184963,7.5052931884,7.5399330031,2604524,0.0,1.0
ADM,2000-01-20 00:00:00+00:00,13.06,13.44,12.75,13.38,1527000,7.5399330031,7.7593184963,7.3609606271,7.7246786816,1603349,0.0,1.0
ADM,2000-01-21 00:00:00+00:00,13.0,13.44,12.81,13.44,1124300,7.5052931884,7.7593184963,7.3956004418,7.7593184963,1180514,0.0,1.0
ADM,2000-01-24 00:00:00+00:00,12.38,13.06,12.25,13.0,1049500,7.1473484363,7.5399330031,7.0722955044,7.5052931884,1101974,0.0,1.0
ADM,2000-01-25 00:00:00+00:00,12.25,12.31,12.13,12.25,1152600,7.0722955044,7.1069353192,7.003015875,7.0722955044,1210229,0.0,1.0
ADM,2000-01-26 00:00:00+00:00,12.19,12.25,12.06,12.06,1253300,7.0376556897,7.0722955044,6.9626027578,6.9626027578,1315964,0.0,1.0
ADM,2000-01-27 00:00:00+00:00,12.0,12.19,11.88,12.13,1256200,6.9279629431,7.0376556897,6.8586833137,7.003015875,1319009,0.0,1.0
ADM,2000-01-28 00:00:00+00:00,11.81,12.19,11.75,12.06,1231400,6.8182701965,7.0376556897,6.7836303818,6.9626027578,1292969,0.0,1.0
