symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ADP,2000-01-03 00:00:00+00:00,52.0,53.94,51.94,53.5,2698900,25.404505069,26.3522885273,25.3751921785,26.1373273306,2698900,0.0,1.0
ADP,2000-01-04 00:00:00+00:00,52.0,53.0,51.5,51.63,3141100,25.404505069,25.8930532434,25.1602309818,25.2237422445,3141100,0.0,1.0
ADP,2000-01-05 00:00:00+00:00,51.56,51.94,50.69,51.94,3008800,25.1895438722,25.3751921785,24.7645069605,25.3751921785,3008800,0.0,1.0
ADP,2000-01-06 00:00:00+00:00,52.19,52.94,51.31,51.88,2121700,25.4973292221,25.8637403529,25.0674068286,25.3458792881,2121700,0.0,1.0
ADP,2000-01-07 00:00:00+00:00,53.38,53.81,52.5,53.38,1892300,26.0787015497,26.2887772647,25.6487791562,26.0787015497,1892300,0.0,1.0
ADP,2000-01-10 00:00:00+00:00,54.69,54.75,52.88,53.0,1722200,26.7186996581,26.7480125486,25.8344274625,25.8930532434,1722200,0.0,1.0
ADP,2000-01-11 00:00:00+00:00,53.63,54.38,53.31,54.13,1087900,26.2008385933,26.5672497241,26.0445031775,26.4451126805,1087900,0.0,1.0
ADP,2000-01-12 00:00:00+00:00,53.13,53.88,52.75,53.63,1108900,25.9565645061,26.3229756369,25.7709161998,26.2008385933,1108900,0.0,1.0
ADP,2000-01-13 00:00:00+00:00,52.81,53.13,52.44,53.13,1314600,25.8002290903,25.9565645061,25.6194662657,25.9565645061,1314600,0.0,1.0
ADP,2000-01-14 00:00:00+00:00,52.25,52.88,51.0,51.88,2138500,25.5266421126,25.8344274625,24.9159568946,25.3458792881,2138500,0.0,1.0
ADP,2000-01-18 00:00:00+00:00,49.25,52.06,49.06,51.75,2826300,24.0609975894,25.4338179594,23.9681734362,25.2823680254,2826300,0.0,1.0
ADP,2000-01-19 00:00:00+00:00,54.06,54.5,49.31,49.38,4264400,26.4109143083,26.625875505,24.0903104798,24.124508852,4264400,0.0,1.0
ADP,2000-01-20 00:00:00+00:00,50.81,54.0,50.38,53.38,3220200,24.8231327414,26.3816014178,24.6130570265,26.0787015497,3220200,0.0,1.0
ADP,2000-01-21 00:00:00+00:00,50.56,51.56,50.0,51.56,2826200,24.7009956978,25.1895438722,24.4274087202,25.1895438722,2826200,0.0,1.0
ADP,2000-01-24 00:00:00+00:00,50.0,51.0,49.75,51.0,2919500,24.4274087202,24.9159568946,24.3052716766,24.9159568946,2919500,0.0,1.0
ADP,2000-01-25 00:00:00+00:00,51.06,51.31,50.19,50.5,2439700,24.945269785,25.0674068286,24.5202328733,24.6716828074,2439700,0.0,1.0
ADP,2000-01-26 00:00:00+00:00,51.0,51.88,50.06,51.88,1759300,24.9159568946,25.3458792881,24.4567216106,25.3458792881,1759300,0.0,1.0
ADP,2000-01-27 00:00:00+00:00,50.19,51.69,47.56,51.25,2568300,24.5202328733,25.2530551349,23.2353511746,25.0380939382,2568300,0.0,1.0
ADP,2000-01-28 00:00:00+00:00,48.94,50.0,48.25,49.94,1732100,23.9095476553,24.4274087202,23.572449415,24.3980958297,1732100,0.0,1.0
