symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AEE,2000-01-03 00:00:00+00:00,32.31,32.62,31.56,32.56,700800,11.0260177872,11.1318074967,10.7700749417,11.1113320691,700800,0.0,1.0
AEE,2000-01-04 00:00:00+00:00,32.31,32.5,32.19,32.31,455600,11.0260177872,11.0908566414,10.9850669319,11.0260177872,455600,0.0,1.0
AEE,2000-01-05 00:00:00+00:00,33.25,33.31,32.31,32.31,1293200,11.346799487,11.3672749147,11.0260177872,11.0260177872,1293200,0.0,1.0
AEE,2000-01-06 00:00:00+00:00,33.44,33.69,33.25,33.56,320400,11.4116383412,11.4969526231,11.346799487,11.4525891965,320400,0.0,1.0
AEE,2000-01-07 00:00:00+00:00,33.94,34.0,33.44,33.5,312700,11.5822669049,11.6027423326,11.4116383412,11.4321137689,312700,0.0,1.0
AEE,2000-01-10 00:00:00+00:00,33.69,34.25,33.63,33.94,483300,11.4969526231,11.6880566144,11.4764771954,11.5822669049,483300,0.0,1.0
AEE,2000-01-11 00:00:00+00:00,33.63,33.69,33.44,33.63,479200,11.4764771954,11.4969526231,11.4116383412,11.4764771954,479200,0.0,1.0
AEE,2000-01-12 00:00:00+00:00,33.81,33.88,33.31,33.75,240400,11.5379034784,11.5617914773,11.3672749147,11.5174280507,240400,0.0,1.0
AEE,2000-01-13 00:00:00+00:00,33.94,34.06,33.63,33.75,235100,11.5822669049,11.6232177602,11.4764771954,11.5174280507,235100,0.0,1.0
AEE,2000-01-14 00:00:00+00:00,33.44,33.88,33.19,33.88,280900,11.4116383412,11.5617914773,11.3263240594,11.5617914773,280900,0.0,1.0
AEE,2000-01-18 00:00:00+00:00,32.31,33.44,32.31,33.44,416000,11.0260177872,11.4116383412,11.0260177872,11.4116383412,416000,0.0,1.0
AEE,2000-01-19 00:00:00+00:00,33.13,33.19,32.38,32.44,406200,11.3058486317,11.3263240594,11.0499057861,11.0703812138,406200,0.0,1.0
AEE,2000-01-20 00:00:00+00:00,33.0,33.06,32.75,32.94,212300,11.2614852052,11.2819606328,11.1761709233,11.2410097775,212300,0.0,1.0
AEE,2000-01-21 00:00:00+00:00,33.25,33.25,32.81,33.06,407000,11.346799487,11.346799487,11.1966463509,11.2819606328,407000,0.0,1.0
AEE,2000-01-24 00:00:00+00:00,33.44,33.94,33.25,33.25,342400,11.4116383412,11.5822669049,11.346799487,11.346799487,342400,0.0,1.0
AEE,2000-01-25 00:00:00+00:00,32.63,33.5,32.44,33.38,405900,11.135220068,11.4321137689,11.0703812138,11.3911629136,405900,0.0,1.0
AEE,2000-01-26 00:00:00+00:00,33.0,33.25,32.69,32.75,324600,11.2614852052,11.346799487,11.1556954957,11.1761709233,324600,0.0,1.0
AEE,2000-01-27 00:00:00+00:00,32.94,33.13,32.75,32.88,291100,11.2410097775,11.3058486317,11.1761709233,11.2205343499,291100,0.0,1.0
AEE,2000-01-28 00:00:00+00:00,32.31,32.81,32.25,32.69,610400,11.0260177872,11.1966463509,11.0055423596,11.1556954957,610400,0.0,1.0
AEE,2000-01-31 00:00:00+00:00,32.56,32.81,32.0,32.38,256700,11.1113320691,11.1966463509,10.9202280777,11.0499057861,256700,0.0,1.0
AEE,2000-02-01 00:00:00+00:00,32.56,32.81,32.31,32.81,185200,11.1113320691,11.1966463509,11.0260177872,11.1966463509,185200,0.0,1.0
AEE,2000-02-02 00:00:00+00:00,32.56,33.19,32.56,32.81,418500,11.1113320691,11.3263240594,11.1113320691,11.1966463509,418500,0.0,1.0
AEE,2000-02-03 00:00:00+00:00,32.94,33.44,32.56,32.56,434400,11.2410097775,11.4116383412,11.1113320691,11.1113320691,434400,0.0,1.0
AEE,2000-02-04 00:00:00+00:00,31.94,33.19,31.75,33.0,378700,10.8997526501,11.3263240594,10.8349137959,11.2614852052,378700,0.0,1.0
AEE,2000-02-07 00:00:00+00:00,31.75,31.94,31.63,31.94,234900,10.8349137959,10.8997526501,10.7939629406,10.8997526501,234900,0.0,1.0
AEE,2000-02-08 00:00:00+00:00,31.88,32.44,31.75,31.75,309900,10.8792772224,11.0703812138,10.8349137959,10.8349137959,309900,0.0,1.0
AEE,2000-02-09 00:00:00+00:00,31.56,32.5,31.5,32.5,328900,10.7700749417,11.0908566414,10.749599514,11.0908566414,328900,0.0,1.0
AEE,2000-02-10 00:00:00+00:00,31.13,31.81,31.0,31.56,367100,10.6233343769,10.8553892235,10.5789709503,10.7700749417,367100,0.0,1.0
AEE,2000-02-11 00:00:00+00:00,31.0,31.38,31.0,31.13,446200,10.5789709503,10.7086486587,10.5789709503,10.6233343769,446200,0.0,1.0
AEE,2000-02-14 00:00:00+00:00,31.25,31.5,30.88,31.25,261500,10.6642852322,10.749599514,10.538020095,10.6642852322,261500,0.0,1.0
