symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AFL,2000-01-03 00:00:00+00:00,44.75,47.12,44.31,46.94,597200,7.1277012891,7.5051907206,7.0576188631,7.4765206372,2388800,0.0,1.0
AFL,2000-01-04 00:00:00+00:00,43.56,45.13,43.25,43.25,679100,6.9381601822,7.1882270208,6.8887839275,6.8887839275,2716400,0.0,1.0
AFL,2000-01-05 00:00:00+00:00,43.56,44.19,43.31,43.63,338700,6.9381601822,7.0385054741,6.898340622,6.9493096591,1354800,0.0,1.0
AFL,2000-01-06 00:00:00+00:00,44.19,44.44,42.88,43.13,506800,7.0385054741,7.0783250344,6.8298509783,6.8696705386,2027200,0.0,1.0
AFL,2000-01-07 00:00:00+00:00,45.06,45.13,43.88,44.13,565500,7.1770775439,7.1882270208,6.9891292194,7.0289487797,2262000,0.0,1.0
AFL,2000-01-10 00:00:00+00:00,42.38,45.0,41.81,44.94,1381700,6.7502118577,7.1675208494,6.6594232603,7.157964155,5526800,0.0,1.0
AFL,2000-01-11 00:00:00+00:00,41.5,42.31,41.06,42.0,1642400,6.6100470056,6.7390623809,6.5399645795,6.6896861261,6569600,0.0,1.0
AFL,2000-01-12 00:00:00+00:00,40.81,41.44,39.56,41.31,1469400,6.5001450192,6.6004903111,6.3010472178,6.5797841398,5877600,0.0,1.0
AFL,2000-01-13 00:00:00+00:00,41.75,42.0,41.0,41.19,1893800,6.6498665659,6.6896861261,6.530407885,6.5606707508,7575200,0.0,1.0
AFL,2000-01-14 00:00:00+00:00,42.94,43.5,42.19,42.19,1430000,6.8394076728,6.9286034878,6.7199489919,6.7199489919,5720000,0.0,1.0
AFL,2000-01-18 00:00:00+00:00,40.0,42.56,39.88,42.56,1548100,6.3711296439,6.7788819411,6.352016255,6.7788819411,6192400,0.0,1.0
AFL,2000-01-19 00:00:00+00:00,37.63,39.75,37.5,39.56,1771700,5.9936402125,6.3313100837,5.9729340412,6.3010472178,7086800,0.0,1.0
AFL,2000-01-20 00:00:00+00:00,40.69,41.31,38.0,38.56,4229400,6.4810316303,6.5797841398,6.0525731617,6.1417689767,16917600,0.0,1.0
AFL,2000-01-21 00:00:00+00:00,38.75,40.69,38.38,40.69,1187500,6.1720318426,6.4810316303,6.1130988934,6.4810316303,4750000,0.0,1.0
AFL,2000-01-24 00:00:00+00:00,38.31,39.31,37.88,38.94,996500,6.1019494165,6.2612276576,6.0334597728,6.2022947084,3986000,0.0,1.0
AFL,2000-01-25 00:00:00+00:00,39.94,40.19,38.13,38.25,1310000,6.3615729495,6.4013925097,6.0732793331,6.092392722,5240000,0.0,1.0
AFL,2000-01-26 00:00:00+00:00,41.94,42.0,39.88,40.25,1206300,6.6801294317,6.6896861261,6.352016255,6.4109492042,4825200,0.0,1.0
AFL,2000-01-27 00:00:00+00:00,41.19,43.0,40.63,43.0,762300,6.5606707508,6.8489643672,6.4714749358,6.8489643672,3049200,0.0,1.0
AFL,2000-01-28 00:00:00+00:00,42.0,42.88,40.5,40.69,1295200,6.6896861261,6.8298509783,6.4507687645,6.4810316303,5180800,0.0,1.0
AFL,2000-01-31 00:00:00+00:00,43.44,43.88,41.06,42.06,1171200,6.9190467933,6.9891292194,6.5399645795,6.6992428206,4684800,0.0,1.0
AFL,2000-02-01 00:00:00+00:00,44.31,44.69,43.81,43.88,1389300,7.0576188631,7.1181445947,6.9779797425,6.9891292194,5557200,0.0,1.0
AFL,2000-02-02 00:00:00+00:00,44.38,44.38,43.25,44.12,843800,7.0687683399,7.0687683399,6.8887839275,7.0273559973,3375200,0.0,1.0
