symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AIZ,2004-02-05 00:00:00+00:00,24.7,24.94,23.25,23.75,27565200,17.6991545233,17.8711301138,16.6601353307,17.0184178109,27565200,0.0,1.0
AIZ,2004-02-06 00:00:00+00:00,24.85,24.94,24.15,24.71,5284400,17.8066392674,17.8711301138,17.3050437951,17.7063201729,5284400,0.0,1.0
AIZ,2004-02-09 00:00:00+00:00,24.47,24.7,24.0,24.6,3252900,17.5343445824,17.6991545233,17.197559051,17.6274980273,3252900,0.0,1.0
AIZ,2004-02-10 00:00:00+00:00,24.35,24.47,24.05,24.15,1651600,17.4483567872,17.5343445824,17.233387299,17.3050437951,1651600,0.0,1.0
AIZ,2004-02-11 00:00:00+00:00,24.25,24.5,24.15,24.28,2010200,17.3767002911,17.5558415312,17.3050437951,17.3981972399,2010200,0.0,1.0
AIZ,2004-02-12 00:00:00+00:00,24.68,25.0,24.17,24.19,1637500,17.6848232241,17.9141240115,17.3193750943,17.3337063935,1637500,0.0,1.0
AIZ,2004-02-13 00:00:00+00:00,24.7,24.84,24.28,24.79,612000,17.6991545233,17.7994736178,17.3981972399,17.7636453698,612000,0.0,1.0
AIZ,2004-02-17 00:00:00+00:00,24.6,24.9,24.5,24.75,592300,17.6274980273,17.8424675154,17.5558415312,17.7349827713,592300,0.0,1.0
AIZ,2004-02-18 00:00:00+00:00,25.4,25.4,24.35,24.6,805700,18.2007499956,18.2007499956,17.4483567872,17.6274980273,805700,0.0,1.0
AIZ,2004-02-19 00:00:00+00:00,25.68,25.98,25.25,25.25,1494600,18.4013881846,18.6163576727,18.0932652516,18.0932652516,1494600,0.0,1.0
AIZ,2004-02-20 00:00:00+00:00,25.35,25.69,25.0,25.69,742000,18.1649217476,18.4085538342,17.9141240115,18.4085538342,742000,0.0,1.0
AIZ,2004-02-23 00:00:00+00:00,24.55,25.39,24.35,25.39,1331500,17.5916697793,18.193584346,17.4483567872,18.193584346,1331500,0.0,1.0
AIZ,2004-02-24 00:00:00+00:00,24.8,24.97,24.21,24.4,963600,17.7708110194,17.8926270626,17.3480376927,17.4841850352,963600,0.0,1.0
AIZ,2004-02-25 00:00:00+00:00,24.85,25.0,24.7,24.8,321700,17.8066392674,17.9141240115,17.6991545233,17.7708110194,321700,0.0,1.0
AIZ,2004-02-26 00:00:00+00:00,25.24,25.27,24.6,24.85,617200,18.086099602,18.1075965508,17.6274980273,17.8066392674,617200,0.0,1.0
AIZ,2004-02-27 00:00:00+00:00,25.74,25.75,25.11,25.15,1569100,18.4443820822,18.4515477318,17.9929461571,18.0216087555,1569100,0.0,1.0
AIZ,2004-03-01 00:00:00+00:00,25.8,26.19,25.7,25.74,851700,18.4873759798,18.7668363144,18.4157194838,18.4443820822,851700,0.0,1.0
AIZ,2004-03-02 00:00:00+00:00,25.94,25.95,25.1,25.95,595600,18.5876950743,18.5948607239,17.9857805075,18.5948607239,595600,0.0,1.0
AIZ,2004-03-03 00:00:00+00:00,25.48,25.8,25.35,25.7,457000,18.2580751925,18.4873759798,18.1649217476,18.4157194838,457000,0.0,1.0
AIZ,2004-03-04 00:00:00+00:00,25.21,25.75,24.75,25.48,1060200,18.0646026532,18.4515477318,17.7349827713,18.2580751925,1060200,0.0,1.0
AIZ,2004-03-05 00:00:00+00:00,25.55,25.64,25.0,25.02,450200,18.3082347397,18.3727255861,17.9141240115,17.9284553107,450200,0.0,1.0
AIZ,2004-03-08 00:00:00+00:00,25.48,25.65,25.17,25.55,370100,18.2580751925,18.3798912358,18.0359400547,18.3082347397,370100,0.0,1.0
AIZ,2004-03-09 00:00:00+00:00,25.0,25.51,24.71,25.5,816200,17.9141240115,18.2795721413,17.7063201729,18.2724064917,816200,0.0,1.0
AIZ,2004-03-10 00:00:00+00:00,24.65,24.85,24.4,24.75,1034300,17.6633262753,17.8066392674,17.4841850352,17.7349827713,1034300,0.0,1.0
AIZ,2004-03-11 00:00:00+00:00,24.2,24.65,24.15,24.15,2538500,17.3408720431,17.6633262753,17.3050437951,17.3050437951,2538500,0.0,1.0
AIZ,2004-03-12 00:00:00+00:00,24.5,24.65,24.25,24.34,1501700,17.5558415312,17.6633262753,17.3767002911,17.4411911376,1501700,0.0,1.0
AIZ,2004-03-15 00:00:00+00:00,24.0,24.75,23.74,24.75,1595900,17.197559051,17.7349827713,17.0112521613,17.7349827713,1595900,0.0,1.0
AIZ,2004-03-16 00:00:00+00:00,24.23,24.55,24.18,24.5,1525800,17.3623689919,17.5916697793,17.3265407439,17.5558415312,1525800,0.0,1.0
