symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AJG,2000-01-03 00:00:00+00:00,63.63,63.88,63.13,63.75,64600,15.4187184033,15.4792979978,15.2975592142,15.4477966086,129200,0.0,1.0
AJG,2000-01-04 00:00:00+00:00,60.75,63.0,60.13,63.0,35100,14.7208414741,15.266057825,14.5706040796,15.266057825,70200,0.0,1.0
AJG,2000-01-05 00:00:00+00:00,61.31,61.31,59.5,59.88,44400,14.8565397659,14.8565397659,14.4179435014,14.5100244851,88800,0.0,1.0
AJG,2000-01-06 00:00:00+00:00,60.89,61.5,60.63,61.0,53700,14.7547660471,14.9025802577,14.6917632687,14.7814210687,107400,0.0,1.0
AJG,2000-01-07 00:00:00+00:00,63.25,63.63,60.75,62.0,58900,15.3266374196,15.4187184033,14.7208414741,15.0237394468,117800,0.0,1.0
AJG,2000-01-10 00:00:00+00:00,60.94,62.38,60.88,62.0,53000,14.766881966,15.1158204305,14.7523428633,15.0237394468,106000,0.0,1.0
AJG,2000-01-11 00:00:00+00:00,60.56,60.94,59.25,60.94,34200,14.6748009823,14.766881966,14.3573639069,14.766881966,68400,0.0,1.0
AJG,2000-01-12 00:00:00+00:00,60.06,60.88,60.0,60.31,18200,14.5536417932,14.7523428633,14.5391026905,14.6142213877,36400,0.0,1.0
AJG,2000-01-13 00:00:00+00:00,59.94,60.0,59.38,59.81,34100,14.5245635878,14.5391026905,14.388865296,14.4930621986,68200,0.0,1.0
AJG,2000-01-14 00:00:00+00:00,59.63,60.38,59.44,59.94,39300,14.4494448906,14.6311836742,14.4034043987,14.5245635878,78600,0.0,1.0
AJG,2000-01-18 00:00:00+00:00,60.06,60.5,60.06,60.5,49900,14.5536417932,14.6602618796,14.5536417932,14.6602618796,99800,0.0,1.0
AJG,2000-01-19 00:00:00+00:00,60.0,60.38,59.63,59.88,59600,14.5391026905,14.6311836742,14.4494448906,14.5100244851,119200,0.0,1.0
AJG,2000-01-20 00:00:00+00:00,59.94,60.25,59.63,60.25,44300,14.5245635878,14.599682285,14.4494448906,14.599682285,88600,0.0,1.0
AJG,2000-01-21 00:00:00+00:00,57.13,59.69,57.13,59.69,65200,13.8436489451,14.4639839933,13.8436489451,14.4639839933,130400,0.0,1.0
AJG,2000-01-24 00:00:00+00:00,56.56,57.75,56.38,56.88,102700,13.7055274696,13.9938863396,13.6619101615,13.7830693506,205400,0.0,1.0
