symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ALB,2000-01-03 00:00:00+00:00,18.0,19.31,18.0,19.31,67000,6.2364314524,6.6903050747,6.2364314524,6.6903050747,134000,0.0,1.0
ALB,2000-01-04 00:00:00+00:00,18.0,18.56,17.75,17.75,34100,6.2364314524,6.4304537642,6.1498143489,6.1498143489,68200,0.0,1.0
ALB,2000-01-05 00:00:00+00:00,18.31,18.5,18.0,18.06,35000,6.3438366607,6.4096656594,6.2364314524,6.2572195572,70000,0.0,1.0
ALB,2000-01-06 00:00:00+00:00,18.94,19.0,18.06,18.19,39300,6.5621117615,6.5828998664,6.2572195572,6.302260451,78600,0.0,1.0
ALB,2000-01-07 00:00:00+00:00,18.63,18.94,18.5,18.88,35900,6.4547065532,6.5621117615,6.4096656594,6.5413236567,71800,0.0,1.0
ALB,2000-01-10 00:00:00+00:00,18.56,18.69,18.38,18.69,33500,6.4304537642,6.475494658,6.3680894497,6.475494658,67000,0.0,1.0
ALB,2000-01-11 00:00:00+00:00,18.5,18.63,18.5,18.63,34100,6.4096656594,6.4547065532,6.4096656594,6.4547065532,68200,0.0,1.0
ALB,2000-01-12 00:00:00+00:00,18.63,18.63,18.44,18.5,46500,6.4547065532,6.4547065532,6.3888775545,6.4096656594,93000,0.0,1.0
ALB,2000-01-13 00:00:00+00:00,18.88,19.0,18.5,18.63,47200,6.5413236567,6.5828998664,6.4096656594,6.4547065532,94400,0.0,1.0
ALB,2000-01-14 00:00:00+00:00,18.5,19.0,18.5,19.0,59000,6.4096656594,6.5828998664,6.4096656594,6.5828998664,118000,0.0,1.0
ALB,2000-01-18 00:00:00+00:00,18.13,18.38,17.88,18.38,37000,6.2814723462,6.3680894497,6.1948552427,6.3680894497,74000,0.0,1.0
ALB,2000-01-19 00:00:00+00:00,18.19,18.44,18.0,18.13,53000,6.302260451,6.3888775545,6.2364314524,6.2814723462,106000,0.0,1.0
ALB,2000-01-20 00:00:00+00:00,17.94,18.63,17.75,18.25,38700,6.2156433475,6.4547065532,6.1498143489,6.3230485559,77400,0.0,1.0
ALB,2000-01-21 00:00:00+00:00,18.19,18.38,17.75,18.06,55600,6.302260451,6.3680894497,6.1498143489,6.2572195572,111200,0.0,1.0
ALB,2000-01-24 00:00:00+00:00,17.88,18.56,17.88,18.56,60200,6.1948552427,6.4304537642,6.1948552427,6.4304537642,120400,0.0,1.0
