symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ALGN,2001-01-30 00:00:00+00:00,16.88,18.19,16.25,18.13,812300,16.88,18.19,16.25,18.13,812300,0.0,1.0
ALGN,2001-01-31 00:00:00+00:00,13.5,17.19,13.44,17.13,1212700,13.5,17.19,13.44,17.13,1212700,0.0,1.0
ALGN,2001-02-01 00:00:00+00:00,14.19,14.38,13.0,13.13,669100,14.19,14.38,13.0,13.13,669100,0.0,1.0
ALGN,2001-02-02 00:00:00+00:00,14.13,14.56,13.75,14.0,775000,14.13,14.56,13.75,14.0,775000,0.0,1.0
ALGN,2001-02-05 00:00:00+00:00,14.13,14.5,13.88,14.44,489400,14.13,14.5,13.88,14.44,489400,0.0,1.0
ALGN,2001-02-06 00:00:00+00:00,14.0,14.06,13.88,14.02,737900,14.0,14.06,13.88,14.02,737900,0.0,1.0
ALGN,2001-02-07 00:00:00+00:00,13.06,14.06,13.0,14.0,1361000,13.06,14.06,13.0,14.0,1361000,0.0,1.0
ALGN,2001-02-08 00:00:00+00:00,13.06,13.19,13.0,13.13,712000,13.06,13.19,13.0,13.13,712000,0.0,1.0
ALGN,2001-02-09 00:00:00+00:00,12.0,13.06,11.88,13.05,1100800,12.0,13.06,11.88,13.05,1100800,0.0,1.0
ALGN,2001-02-12 00:00:00+00:00,11.06,12.13,10.94,12.05,552000,11.06,12.13,10.94,12.05,552000,0.0,1.0
ALGN,2001-02-13 00:00:00+00:00,11.44,11.56,11.0,11.0,304300,11.44,11.56,11.0,11.0,304300,0.0,1.0
ALGN,2001-02-14 00:00:00+00:00,11.63,11.75,11.13,11.25,136900,11.63,11.75,11.13,11.25,136900,0.0,1.0
ALGN,2001-02-15 00:00:00+00:00,12.81,13.0,12.05,12.06,1568600,12.81,13.0,12.05,12.06,1568600,0.0,1.0
ALGN,2001-02-16 00:00:00+00:00,13.06,13.06,12.5,12.84,161500,13.06,13.06,12.5,12.84,161500,0.0,1.0
ALGN,2001-02-20 00:00:00+00:00,12.75,13.69,12.63,13.63,411200,12.75,13.69,12.63,13.63,411200,0.0,1.0
ALGN,2001-02-21 00:00:00+00:00,12.31,13.13,12.25,12.59,219000,12.31,13.13,12.25,12.59,219000,0.0,1.0
ALGN,2001-02-22 00:00:00+00:00,12.11,12.5,11.5,12.0,712500,12.11,12.5,11.5,12.0,712500,0.0,1.0
ALGN,2001-02-23 00:00:00+00:00,11.06,12.25,10.63,12.13,217800,11.06,12.25,10.63,12.13,217800,0.0,1.0
ALGN,2001-02-26 00:00:00+00:00,9.0,11.38,8.75,10.66,839200,9.0,11.38,8.75,10.66,839200,0.0,1.0
ALGN,2001-02-27 00:00:00+00:00,7.563,9.5,7.125,9.406,865200,7.563,9.5,7.125,9.406,865200,0.0,1.0
ALGN,2001-02-28 00:00:00+00:00,7.5,8.125,7.375,8.094,503600,7.5,8.125,7.375,8.094,503600,0.0,1.0
ALGN,2001-03-01 00:00:00+00:00,7.563,7.625,7.313,7.484,464200,7.563,7.625,7.313,7.484,464200,0.0,1.0
ALGN,2001-03-02 00:00:00+00:00,7.5,7.625,7.313,7.563,277800,7.5,7.625,7.313,7.563,277800,0.0,1.0
ALGN,2001-03-05 00:00:00+00:00,6.688,7.625,6.125,7.594,697900,6.688,7.625,6.125,7.594,697900,0.0,1.0
ALGN,2001-03-06 00:00:00+00:00,7.5,7.625,6.5,6.516,1922300,7.5,7.625,6.5,6.516,1922300,0.0,1.0
ALGN,2001-03-07 00:00:00+00:00,7.813,8.0,7.438,7.969,321800,7.813,8.0,7.438,7.969,321800,0.0,1.0
ALGN,2001-03-08 00:00:00+00:00,8.469,8.5,7.625,7.813,242900,8.469,8.5,7.625,7.813,242900,0.0,1.0
ALGN,2001-03-09 00:00:00+00:00,8.125,8.625,8.0,8.563,165700,8.125,8.625,8.0,8.563,165700,0.0,1.0
ALGN,2001-03-12 00:00:00+00:00,8.5,8.625,7.938,8.375,276100,8.5,8.625,7.938,8.375,276100,0.0,1.0
ALGN,2001-03-13 00:00:00+00:00,9.5,9.938,8.438,8.5,128100,9.5,9.938,8.438,8.5,128100,0.0,1.0
ALGN,2001-03-14 00:00:00+00:00,10.25,10.48,9.125,9.75,215200,10.25,10.48,9.125,9.75,215200,0.0,1.0
ALGN,2001-03-15 00:00:00+00:00,9.438,10.5,9.438,10.44,224600,9.438,10.5,9.438,10.44,224600,0.0,1.0
ALGN,2001-03-16 00:00:00+00:00,8.25,9.75,8.0,9.438,580300,8.25,9.75,8.0,9.438,580300,0.0,1.0
ALGN,2001-03-19 00:00:00+00:00,8.875,9.469,8.25,8.5,161300,8.875,9.469,8.25,8.5,161300,0.0,1.0
ALGN,2001-03-20 00:00:00+00:00,8.188,8.938,8.188,8.688,138100,8.188,8.938,8.188,8.688,138100,0.0,1.0
ALGN,2001-03-21 00:00:00+00:00,8.188,8.5,8.0,8.484,139400,8.188,8.5,8.0,8.484,139400,0.0,1.0
ALGN,2001-03-22 00:00:00+00:00,7.75,8.063,7.625,8.047,129200,7.75,8.063,7.625,8.047,129200,0.0,1.0
ALGN,2001-03-23 00:00:00+00:00,7.813,8.0,7.75,7.969,58900,7.813,8.0,7.75,7.969,58900,0.0,1.0
ALGN,2001-03-26 00:00:00+00:00,7.5,8.25,7.25,8.0,104300,7.5,8.25,7.25,8.0,104300,0.0,1.0
