symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ALL,2000-01-03 00:00:00+00:00,23.5,24.19,23.44,24.0,2993100,13.3746479114,13.7673503395,13.3404998742,13.6592148883,2993100,0.0,1.0
ALL,2000-01-04 00:00:00+00:00,22.75,23.75,22.69,23.44,3186700,12.9477974462,13.5169313998,12.9136494089,13.3404998742,3186700,0.0,1.0
ALL,2000-01-05 00:00:00+00:00,23.56,23.69,23.0,23.0,3290200,13.4087959486,13.4827833626,13.0900809346,13.0900809346,3290200,0.0,1.0
ALL,2000-01-06 00:00:00+00:00,23.63,24.13,23.13,23.38,2760400,13.4486353254,13.7332023022,13.1640683486,13.306351837,2760400,0.0,1.0
ALL,2000-01-07 00:00:00+00:00,24.5,24.81,23.25,23.75,3140400,13.9437818651,14.1202133907,13.232364423,13.5169313998,3140400,0.0,1.0
ALL,2000-01-10 00:00:00+00:00,23.94,24.94,23.88,24.63,2897000,13.625066851,14.1942008047,13.5909188138,14.0177692791,2897000,0.0,1.0
ALL,2000-01-11 00:00:00+00:00,23.88,24.56,23.75,23.75,1716600,13.5909188138,13.9779299023,13.5169313998,13.5169313998,1716600,0.0,1.0
ALL,2000-01-12 00:00:00+00:00,24.0,24.75,24.0,24.19,2145300,13.6592148883,14.0860653535,13.6592148883,13.7673503395,2145300,0.0,1.0
ALL,2000-01-13 00:00:00+00:00,24.81,25.5,23.94,24.19,3051500,14.1202133907,14.5129158188,13.625066851,13.7673503395,3051500,0.0,1.0
ALL,2000-01-14 00:00:00+00:00,24.19,25.19,24.06,25.06,2626900,13.7673503395,14.3364842931,13.6933629255,14.2624968792,2626900,0.0,1.0
ALL,2000-01-18 00:00:00+00:00,24.06,25.06,24.06,24.19,2323500,13.6933629255,14.2624968792,13.6933629255,13.7673503395,2323500,0.0,1.0
ALL,2000-01-19 00:00:00+00:00,23.56,24.5,23.56,24.38,2791800,13.4087959486,13.9437818651,13.4087959486,13.8754857907,2791800,0.0,1.0
ALL,2000-01-20 00:00:00+00:00,23.75,24.0,23.63,24.0,3181600,13.5169313998,13.6592148883,13.4486353254,13.6592148883,3181600,0.0,1.0
ALL,2000-01-21 00:00:00+00:00,23.5,24.13,23.25,24.13,2978900,13.3746479114,13.7332023022,13.232364423,13.7332023022,2978900,0.0,1.0
ALL,2000-01-24 00:00:00+00:00,22.81,23.88,22.81,23.63,2986100,12.9819454834,13.5909188138,12.9819454834,13.4486353254,2986100,0.0,1.0
ALL,2000-01-25 00:00:00+00:00,22.88,23.63,22.81,23.13,2919300,13.0217848601,13.4486353254,12.9819454834,13.1640683486,2919300,0.0,1.0
ALL,2000-01-26 00:00:00+00:00,23.19,23.75,22.69,23.0,2706800,13.1982163858,13.5169313998,12.9136494089,13.0900809346,2706800,0.0,1.0
ALL,2000-01-27 00:00:00+00:00,23.19,23.94,23.19,23.44,2444800,13.1982163858,13.625066851,13.1982163858,13.3404998742,2444800,0.0,1.0
ALL,2000-01-28 00:00:00+00:00,22.81,23.56,22.81,23.19,2460500,12.9819454834,13.4087959486,12.9819454834,13.1982163858,2460500,0.0,1.0
ALL,2000-01-31 00:00:00+00:00,23.19,23.25,22.88,23.0,2275200,13.1982163858,13.232364423,13.0217848601,13.0900809346,2275200,0.0,1.0
ALL,2000-02-01 00:00:00+00:00,23.06,23.56,22.94,23.13,2614000,13.1242289718,13.4087959486,13.0559328974,13.1640683486,2614000,0.0,1.0
ALL,2000-02-02 00:00:00+00:00,23.31,23.56,23.0,23.0,1857300,13.2665124602,13.4087959486,13.0900809346,13.0900809346,1857300,0.0,1.0
ALL,2000-02-03 00:00:00+00:00,23.06,23.88,22.88,23.13,3958500,13.1242289718,13.5909188138,13.0217848601,13.1640683486,3958500,0.0,1.0
ALL,2000-02-04 00:00:00+00:00,23.25,23.38,23.06,23.06,2311800,13.232364423,13.306351837,13.1242289718,13.1242289718,2311800,0.0,1.0
