symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMAT,2000-01-03 00:00:00+00:00,126.5,128.4,125.3,128.4,3589100,23.5384730803,23.8920153637,23.3151832171,23.8920153637,14356400,0.0,1.0
AMAT,2000-01-04 00:00:00+00:00,120.3,125.3,120.0,121.8,5705600,22.384808787,23.3151832171,22.3289863212,22.663921116,22822400,0.0,1.0
AMAT,2000-01-05 00:00:00+00:00,115.2,120.2,113.6,118.1,6947800,21.4358268684,22.3662012984,21.1381070508,21.9754440378,27791200,0.0,1.0
AMAT,2000-01-06 00:00:00+00:00,115.9,118.9,112.3,114.3,5609500,21.5660792886,22.1243039466,20.8962096989,21.268359471,22438000,0.0,1.0
AMAT,2000-01-07 00:00:00+00:00,116.9,117.1,111.0,112.8,9433100,21.7521541746,21.7893691518,20.6543123471,20.9892471419,37732400,0.0,1.0
AMAT,2000-01-10 00:00:00+00:00,126.4,127.2,118.5,119.1,7553600,23.5198655917,23.6687255005,22.0498739922,22.1615189238,30214400,0.0,1.0
AMAT,2000-01-11 00:00:00+00:00,120.8,129.7,120.2,123.8,6816000,22.47784623,24.1339127155,22.3662012984,23.0360708881,27264000,0.0,1.0
AMAT,2000-01-12 00:00:00+00:00,127.1,127.3,117.9,122.0,7637600,23.6501180119,23.6873329891,21.9382290606,22.7011360932,30550400,0.0,1.0
AMAT,2000-01-13 00:00:00+00:00,124.5,127.5,119.6,123.6,11049100,23.1663233083,23.7245479663,22.2545563668,22.9988559109,44196400,0.0,1.0
AMAT,2000-01-14 00:00:00+00:00,135.6,139.0,129.5,129.8,15353800,25.231754543,25.8644091554,24.0966977383,24.1525202041,61415200,0.0,1.0
AMAT,2000-01-18 00:00:00+00:00,135.1,137.8,132.1,133.9,6933400,25.1387171,25.6411192922,24.5804924419,24.9154272368,27733600,0.0,1.0
AMAT,2000-01-19 00:00:00+00:00,142.4,143.3,134.3,135.5,7273100,26.4970637678,26.6645311653,24.9898571912,25.2131470544,29092400,0.0,1.0
AMAT,2000-01-20 00:00:00+00:00,140.0,145.4,138.6,143.9,7045000,26.0504840414,27.0552884259,25.789979201,26.7761760969,28180000,0.0,1.0
AMAT,2000-01-21 00:00:00+00:00,141.3,142.8,137.8,141.6,7711500,26.2923813932,26.5714937222,25.6411192922,26.348203859,30846000,0.0,1.0
AMAT,2000-01-24 00:00:00+00:00,140.5,146.6,140.3,140.3,6338200,26.1435214844,27.2785782891,26.1063065072,26.1063065072,25352800,0.0,1.0
AMAT,2000-01-25 00:00:00+00:00,144.4,145.3,135.3,141.4,8213700,26.8692135399,27.0366809373,25.1759320772,26.3109888818,32854800,0.0,1.0
AMAT,2000-01-26 00:00:00+00:00,134.3,144.4,134.1,144.1,6806900,24.9898571912,26.8692135399,24.952642214,26.8133910741,27227600,0.0,1.0
AMAT,2000-01-27 00:00:00+00:00,135.5,140.3,133.4,137.2,6746500,25.2131470544,26.1063065072,24.8223897938,25.5294743606,26986000,0.0,1.0
AMAT,2000-01-28 00:00:00+00:00,129.8,138.4,128.6,134.6,7873700,24.1525202041,25.7527642238,23.9292303409,25.045679657,31494800,0.0,1.0
AMAT,2000-01-31 00:00:00+00:00,137.3,137.6,128.3,128.7,7587800,25.5480818492,25.603904315,23.8734078751,23.9478378295,30351200,0.0,1.0
AMAT,2000-02-01 00:00:00+00:00,140.5,141.4,133.3,133.8,5698700,26.1435214844,26.3109888818,24.8037823052,24.8968197482,22794800,0.0,1.0
AMAT,2000-02-02 00:00:00+00:00,143.8,147.0,139.6,140.1,6974300,26.7575686083,27.3530082435,25.976054087,26.06909153,27897200,0.0,1.0
AMAT,2000-02-03 00:00:00+00:00,148.5,150.0,144.9,144.9,5899300,27.6321205725,27.9112329015,26.9622509829,26.9622509829,23597200,0.0,1.0
AMAT,2000-02-04 00:00:00+00:00,145.4,150.9,144.9,149.6,4749500,27.0552884259,28.0787002989,26.9622509829,27.8368029471,18998000,0.0,1.0
AMAT,2000-02-07 00:00:00+00:00,153.6,154.2,144.0,145.5,5359500,28.5811024912,28.6927474228,26.7947835855,27.0738959145,21438000,0.0,1.0
AMAT,2000-02-08 00:00:00+00:00,161.0,161.5,152.5,154.8,9275100,29.9580566476,30.0510940906,28.3764201165,28.8043923544,37100400,0.0,1.0
AMAT,2000-02-09 00:00:00+00:00,163.7,168.6,159.1,159.2,9439300,30.4604588399,31.3722257813,29.6045143642,29.6231218528,37757200,0.0,1.0
AMAT,2000-02-10 00:00:00+00:00,174.8,174.8,161.3,163.8,6914700,32.5258900746,32.5258900746,30.0138791134,30.4790663285,27658800,0.0,1.0
AMAT,2000-02-11 00:00:00+00:00,165.0,174.3,163.5,172.9,8284100,30.7023561917,32.4328526316,30.4232438627,32.1723477912,33136400,0.0,1.0
AMAT,2000-02-14 00:00:00+00:00,161.1,169.6,159.8,167.6,7676300,29.9766641362,31.5583006673,29.7347667844,31.1861508953,30705200,0.0,1.0
AMAT,2000-02-15 00:00:00+00:00,166.5,169.3,159.8,163.9,10276200,30.9814685207,31.5024782015,29.7347667844,30.4976738171,41104800,0.0,1.0
