symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMD,2000-01-03 00:00:00+00:00,31.0,31.19,29.38,29.94,3921600,15.5,15.595,14.69,14.97,7843200,0.0,1.0
AMD,2000-01-04 00:00:00+00:00,29.25,31.0,29.19,30.25,3145100,14.625,15.5,14.595,15.125,6290200,0.0,1.0
AMD,2000-01-05 00:00:00+00:00,29.31,29.38,28.0,29.06,4102300,14.655,14.69,14.0,14.53,8204600,0.0,1.0
AMD,2000-01-06 00:00:00+00:00,32.0,32.0,30.5,31.0,5744700,16.0,16.0,15.25,15.5,11489400,0.0,1.0
AMD,2000-01-07 00:00:00+00:00,32.5,32.81,30.75,30.81,4271700,16.25,16.405,15.375,15.405,8543400,0.0,1.0
AMD,2000-01-10 00:00:00+00:00,35.0,35.5,33.38,33.5,6458200,17.5,17.75,16.69,16.75,12916400,0.0,1.0
AMD,2000-01-11 00:00:00+00:00,34.06,35.94,33.94,35.0,3339900,17.03,17.97,16.97,17.5,6679800,0.0,1.0
AMD,2000-01-12 00:00:00+00:00,36.25,36.75,33.63,34.0,4409300,18.125,18.375,16.815,17.0,8818600,0.0,1.0
AMD,2000-01-13 00:00:00+00:00,37.75,37.75,35.13,36.75,3771100,18.875,18.875,17.565,18.375,7542200,0.0,1.0
AMD,2000-01-14 00:00:00+00:00,40.38,40.56,37.0,37.13,7503900,20.19,20.28,18.5,18.565,15007800,0.0,1.0
AMD,2000-01-18 00:00:00+00:00,39.0,41.25,38.69,40.0,5435700,19.5,20.625,19.345,20.0,10871400,0.0,1.0
AMD,2000-01-19 00:00:00+00:00,39.19,43.0,38.81,39.75,4462200,19.595,21.5,19.405,19.875,8924400,0.0,1.0
AMD,2000-01-20 00:00:00+00:00,39.0,45.13,38.0,43.5,14423600,19.5,22.565,19.0,21.75,28847200,0.0,1.0
AMD,2000-01-21 00:00:00+00:00,37.88,39.13,36.13,39.13,5857500,18.94,19.565,18.065,19.565,11715000,0.0,1.0
AMD,2000-01-24 00:00:00+00:00,34.5,38.44,33.81,37.25,5134900,17.25,19.22,16.905,18.625,10269800,0.0,1.0
AMD,2000-01-25 00:00:00+00:00,40.0,40.5,34.5,34.56,5402900,20.0,20.25,17.25,17.28,10805800,0.0,1.0
AMD,2000-01-26 00:00:00+00:00,37.0,38.25,36.56,37.63,3798900,18.5,19.125,18.28,18.815,7597800,0.0,1.0
AMD,2000-01-27 00:00:00+00:00,36.94,39.0,36.88,38.0,3083900,18.47,19.5,18.44,19.0,6167800,0.0,1.0
AMD,2000-01-28 00:00:00+00:00,35.25,37.75,34.38,37.19,3433600,17.625,18.875,17.19,18.595,6867200,0.0,1.0
AMD,2000-01-31 00:00:00+00:00,36.0,36.25,34.44,35.25,2144400,18.0,18.125,17.22,17.625,4288800,0.0,1.0
AMD,2000-02-01 00:00:00+00:00,36.56,36.75,35.0,36.5,2555600,18.28,18.375,17.5,18.25,5111200,0.0,1.0
AMD,2000-02-02 00:00:00+00:00,36.06,36.5,35.56,36.31,2038100,18.03,18.25,17.78,18.155,4076200,0.0,1.0
AMD,2000-02-03 00:00:00+00:00,39.0,39.38,36.31,36.75,4761900,19.5,19.69,18.155,18.375,9523800,0.0,1.0
AMD,2000-02-04 00:00:00+00:00,38.56,40.13,38.38,38.56,3554600,19.28,20.065,19.19,19.28,7109200,0.0,1.0
AMD,2000-02-07 00:00:00+00:00,41.31,41.31,38.13,38.56,3028300,20.655,20.655,19.065,19.28,6056600,0.0,1.0
