symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AME,2000-01-03 00:00:00+00:00,19.0,19.0,18.88,19.0,85393,2.406552915,2.406552915,2.3913536335,2.406552915,576402,0.0,1.0
AME,2000-01-04 00:00:00+00:00,18.94,19.13,18.88,19.0,37689,2.3989532743,2.4230188034,2.3913536335,2.406552915,254400,0.0,1.0
AME,2000-01-05 00:00:00+00:00,18.94,19.0,18.81,18.88,20889,2.3989532743,2.406552915,2.3824873859,2.3913536335,141000,0.0,1.0
AME,2000-01-06 00:00:00+00:00,19.0,19.19,18.5,19.13,19289,2.406552915,2.4306184442,2.3432225752,2.4230188034,130200,0.0,1.0
AME,2000-01-07 00:00:00+00:00,19.25,19.44,18.88,18.88,27200,2.438218085,2.4622836141,2.3913536335,2.3913536335,183599,0.0,1.0
AME,2000-01-10 00:00:00+00:00,19.88,20.0,19.31,19.38,13289,2.5180143132,2.5332135948,2.4458177258,2.4546839733,89700,0.0,1.0
AME,2000-01-11 00:00:00+00:00,19.31,19.75,19.19,19.75,76400,2.4458177258,2.5015484248,2.4306184442,2.5015484248,515699,0.0,1.0
AME,2000-01-12 00:00:00+00:00,19.38,19.38,19.13,19.19,11689,2.4546839733,2.4546839733,2.4230188034,2.4306184442,78900,0.0,1.0
AME,2000-01-13 00:00:00+00:00,19.13,19.44,19.0,19.25,18681,2.4230188034,2.4622836141,2.406552915,2.438218085,126096,0.0,1.0
AME,2000-01-14 00:00:00+00:00,18.94,19.25,18.88,19.13,27600,2.3989532743,2.438218085,2.3913536335,2.4230188034,186299,0.0,1.0
AME,2000-01-18 00:00:00+00:00,19.88,19.88,18.94,19.0,40681,2.5180143132,2.5180143132,2.3989532743,2.406552915,274596,0.0,1.0
AME,2000-01-19 00:00:00+00:00,19.5,19.91,19.38,19.81,87793,2.4698832549,2.5218141336,2.4546839733,2.5091480656,592602,0.0,1.0
AME,2000-01-20 00:00:00+00:00,19.63,19.69,19.38,19.5,34889,2.4863491433,2.4939487841,2.4546839733,2.4698832549,235500,0.0,1.0
AME,2000-01-21 00:00:00+00:00,19.56,19.56,19.44,19.5,66993,2.4774828957,2.4774828957,2.4622836141,2.4698832549,452202,0.0,1.0
AME,2000-01-24 00:00:00+00:00,18.81,19.63,18.81,19.56,27793,2.3824873859,2.4863491433,2.3824873859,2.4774828957,187602,0.0,1.0
AME,2000-01-25 00:00:00+00:00,18.5,18.63,18.19,18.63,36800,2.3432225752,2.3596884635,2.3039577645,2.3596884635,248399,0.0,1.0
AME,2000-01-26 00:00:00+00:00,19.0,19.0,18.44,18.63,34089,2.406552915,2.406552915,2.3356229344,2.3596884635,230100,0.0,1.0
AME,2000-01-27 00:00:00+00:00,20.06,20.13,19.13,19.25,80193,2.5408132356,2.5496794831,2.4230188034,2.438218085,541302,0.0,1.0
AME,2000-01-28 00:00:00+00:00,20.44,20.44,19.75,20.0,69600,2.5889442939,2.5889442939,2.5015484248,2.5332135948,469799,0.0,1.0
AME,2000-01-31 00:00:00+00:00,22.0,22.0,20.63,20.75,64089,2.7865349543,2.7865349543,2.613009823,2.6282091046,432600,0.0,1.0
AME,2000-02-01 00:00:00+00:00,19.75,22.13,19.75,22.0,77481,2.5015484248,2.8030008426,2.5015484248,2.7865349543,522996,0.0,1.0
AME,2000-02-02 00:00:00+00:00,18.63,19.88,18.63,19.88,124400,2.3596884635,2.5180143132,2.3596884635,2.5180143132,839699,0.0,1.0
AME,2000-02-03 00:00:00+00:00,18.31,18.69,18.06,18.63,49689,2.319157046,2.3672881043,2.2874918761,2.3596884635,335400,0.0,1.0
AME,2000-02-04 00:00:00+00:00,18.19,18.38,18.0,18.25,23289,2.3039577645,2.3280232936,2.2798922353,2.3115574052,157200,0.0,1.0
AME,2000-02-07 00:00:00+00:00,17.94,18.19,17.81,18.19,18400,2.2722925945,2.3039577645,2.2558267062,2.3039577645,124199,0.0,1.0
AME,2000-02-08 00:00:00+00:00,17.88,18.25,17.5,18.0,94681,2.2646929537,2.3115574052,2.2165618954,2.2798922353,639096,0.0,1.0
AME,2000-02-09 00:00:00+00:00,17.5,17.94,17.19,17.94,35200,2.2165618954,2.2722925945,2.1772970847,2.2722925945,237599,0.0,1.0
AME,2000-02-10 00:00:00+00:00,16.5,17.5,16.31,17.5,64281,2.0899012157,2.2165618954,2.0658356865,2.2165618954,433896,0.0,1.0
AME,2000-02-11 00:00:00+00:00,17.94,17.94,16.5,16.5,160089,2.2722925945,2.2722925945,2.0899012157,2.0899012157,1080599,0.0,1.0
AME,2000-02-14 00:00:00+00:00,17.94,17.94,17.69,17.88,22089,2.2722925945,2.2722925945,2.2406274246,2.2646929537,149100,0.0,1.0
AME,2000-02-15 00:00:00+00:00,17.94,18.19,17.81,18.0,77689,2.2722925945,2.3039577645,2.2558267062,2.2798922353,524400,0.0,1.0
AME,2000-02-16 00:00:00+00:00,17.69,18.0,17.69,17.88,44681,2.2406274246,2.2798922353,2.2406274246,2.2646929537,301596,0.0,1.0
AME,2000-02-17 00:00:00+00:00,17.94,18.0,17.63,17.63,57081,2.2722925945,2.2798922353,2.2330277838,2.2330277838,385296,0.0,1.0
AME,2000-02-18 00:00:00+00:00,17.69,17.94,17.63,17.94,17200,2.2406274246,2.2722925945,2.2330277838,2.2722925945,116099,0.0,1.0
AME,2000-02-22 00:00:00+00:00,18.13,18.13,17.31,17.69,29200,2.2963581237,2.2963581237,2.1924963663,2.2406274246,197099,0.0,1.0
AME,2000-02-23 00:00:00+00:00,17.5,18.13,17.31,18.13,52400,2.2165618954,2.2963581237,2.1924963663,2.2963581237,353699,0.0,1.0
AME,2000-02-24 00:00:00+00:00,17.13,17.44,17.13,17.44,33881,2.1696974439,2.2089622546,2.1696974439,2.2089622546,228696,0.0,1.0
AME,2000-02-25 00:00:00+00:00,17.25,17.69,16.75,17.0,52000,2.1848967255,2.2406274246,2.1215663856,2.1532315556,350999,0.0,1.0
AME,2000-02-28 00:00:00+00:00,16.81,17.13,16.63,17.13,29081,2.1291660264,2.1696974439,2.1063671041,2.1696974439,196296,0.0,1.0
AME,2000-02-29 00:00:00+00:00,16.94,17.06,16.69,16.81,49481,2.1456319148,2.1608311963,2.1139667448,2.1291660264,333996,0.0,1.0
AME,2000-03-01 00:00:00+00:00,18.5,18.5,16.25,16.94,109481,2.3432225752,2.3432225752,2.0582360458,2.1456319148,738996,0.0,1.0
AME,2000-03-02 00:00:00+00:00,17.81,18.38,17.75,18.38,37081,2.2558267062,2.3280232936,2.2482270654,2.3280232936,250296,0.0,1.0
AME,2000-03-03 00:00:00+00:00,17.44,17.75,17.25,17.75,38281,2.2089622546,2.2482270654,2.1848967255,2.2482270654,258396,0.0,1.0
AME,2000-03-06 00:00:00+00:00,17.56,17.56,17.25,17.44,45689,2.2241615362,2.2241615362,2.1848967255,2.2089622546,308400,0.0,1.0
AME,2000-03-07 00:00:00+00:00,17.44,17.56,17.25,17.56,84889,2.2089622546,2.2241615362,2.1848967255,2.2241615362,573000,0.0,1.0
AME,2000-03-08 00:00:00+00:00,17.75,17.81,17.31,17.31,47793,2.2482270654,2.2558267062,2.1924963663,2.1924963663,322602,0.0,1.0
AME,2000-03-09 00:00:00+00:00,17.44,17.81,17.38,17.81,61689,2.2089622546,2.2558267062,2.2013626139,2.2558267062,416400,0.0,1.0
AME,2000-03-10 00:00:00+00:00,16.75,17.25,16.75,17.19,46593,2.1215663856,2.1848967255,2.1215663856,2.1772970847,314502,0.0,1.0
AME,2000-03-13 00:00:00+00:00,17.19,17.38,16.75,16.81,37200,2.1772970847,2.2013626139,2.1215663856,2.1291660264,251099,0.0,1.0
AME,2000-03-14 00:00:00+00:00,16.0,17.31,15.5,17.31,148593,2.0265708758,2.1924963663,1.963240536,2.1924963663,1003001,0.0,1.0
AME,2000-03-15 00:00:00+00:00,16.13,16.13,15.75,16.0,80000,2.050636405,2.050636405,2.0023263099,2.0341092672,539999,0.06,1.0
AME,2000-03-16 00:00:00+00:00,17.06,17.06,16.13,16.13,85881,2.1688690061,2.1688690061,2.050636405,2.050636405,579696,0.0,1.0
AME,2000-03-17 00:00:00+00:00,17.81,17.81,16.56,16.56,75289,2.264217878,2.264217878,2.1053030915,2.1053030915,508200,0.0,1.0
AME,2000-03-20 00:00:00+00:00,17.88,17.94,17.69,17.69,24593,2.2731171061,2.2807450158,2.2489620585,2.2489620585,166002,0.0,1.0
AME,2000-03-21 00:00:00+00:00,17.56,17.81,17.31,17.75,24089,2.2324349207,2.264217878,2.2006519634,2.2565899683,162600,0.0,1.0
AME,2000-03-22 00:00:00+00:00,18.19,18.19,17.69,17.69,65289,2.3125279731,2.3125279731,2.2489620585,2.2489620585,440700,0.0,1.0
AME,2000-03-23 00:00:00+00:00,18.44,18.94,18.31,18.31,63881,2.3443109304,2.407876845,2.3277837926,2.3277837926,431196,0.0,1.0
AME,2000-03-24 00:00:00+00:00,18.75,18.94,18.56,18.81,48489,2.3837217975,2.407876845,2.3595667499,2.3913497072,327300,0.0,1.0
AME,2000-03-27 00:00:00+00:00,18.63,19.0,18.63,18.88,56800,2.368465978,2.4155047548,2.368465978,2.4002489353,383399,0.0,1.0
AME,2000-03-28 00:00:00+00:00,17.69,18.5,17.63,18.5,25393,2.2489620585,2.3519388402,2.2413341488,2.3519388402,171402,0.0,1.0
AME,2000-03-29 00:00:00+00:00,17.44,17.88,17.19,17.81,22681,2.2171791012,2.2731171061,2.1853961439,2.264217878,153096,0.0,1.0
AME,2000-03-30 00:00:00+00:00,19.0,19.44,17.5,17.5,64281,2.4155047548,2.4714427596,2.224807011,2.224807011,433896,0.0,1.0
AME,2000-03-31 00:00:00+00:00,19.25,20.0,19.06,19.06,95481,2.4472877121,2.542636584,2.4231326645,2.4231326645,644496,0.0,1.0
AME,2000-04-03 00:00:00+00:00,19.69,19.75,18.94,19.06,100089,2.5032257169,2.5108536267,2.407876845,2.4231326645,675600,0.0,1.0
AME,2000-04-04 00:00:00+00:00,19.63,19.75,19.56,19.69,45881,2.4955978072,2.5108536267,2.4866985791,2.5032257169,309696,0.0,1.0
AME,2000-04-05 00:00:00+00:00,19.63,19.94,19.56,19.63,38000,2.4955978072,2.5350086742,2.4866985791,2.4955978072,256499,0.0,1.0
AME,2000-04-06 00:00:00+00:00,20.0,20.0,19.63,19.63,60089,2.542636584,2.542636584,2.4955978072,2.4955978072,405600,0.0,1.0
AME,2000-04-07 00:00:00+00:00,20.19,20.25,20.0,20.0,14000,2.5667916315,2.5744195413,2.542636584,2.542636584,94499,0.0,1.0
AME,2000-04-10 00:00:00+00:00,20.13,21.25,20.13,20.38,59081,2.5591637218,2.7015513705,2.5591637218,2.5909466791,398796,0.0,1.0
AME,2000-04-11 00:00:00+00:00,19.94,20.13,19.63,20.0,26193,2.5350086742,2.5591637218,2.4955978072,2.542636584,176802,0.0,1.0
AME,2000-04-12 00:00:00+00:00,19.88,20.13,19.75,19.94,8193,2.5273807645,2.5591637218,2.5108536267,2.5350086742,55302,0.0,1.0
AME,2000-04-13 00:00:00+00:00,19.88,20.13,19.75,20.0,15081,2.5273807645,2.5591637218,2.5108536267,2.542636584,101796,0.0,1.0
