symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMP,2005-09-15 00:00:00+00:00,37.01,38.1,37.0,38.02,1529800,25.8074090181,26.5674759144,25.8004359273,26.511691188,1529800,0.0,1.0
AMP,2005-09-16 00:00:00+00:00,36.6,37.0,36.6,37.0,62400,25.5215122957,25.8004359273,25.5215122957,25.8004359273,62400,0.0,1.0
AMP,2005-09-19 00:00:00+00:00,36.7,36.7,36.45,36.6,1162300,25.5912432036,25.5912432036,25.4169159338,25.5215122957,1162300,0.0,1.0
AMP,2005-09-20 00:00:00+00:00,36.7,37.0,36.6,36.6,654900,25.5912432036,25.8004359273,25.5215122957,25.5215122957,654900,0.0,1.0
AMP,2005-09-21 00:00:00+00:00,36.4,36.6,36.0,36.6,424300,25.3820504799,25.5215122957,25.1031268482,25.5215122957,424300,0.0,1.0
AMP,2005-09-22 00:00:00+00:00,37.2,37.2,36.4,36.4,864800,25.9398977431,25.9398977431,25.3820504799,25.3820504799,864800,0.0,1.0
AMP,2005-09-23 00:00:00+00:00,37.68,38.1,37.2,37.2,1249900,26.2746061011,26.5674759144,25.9398977431,25.9398977431,1249900,0.0,1.0
AMP,2005-09-26 00:00:00+00:00,37.75,38.15,37.75,37.75,821400,26.3234177367,26.6023413683,26.3234177367,26.3234177367,821400,0.0,1.0
AMP,2005-09-27 00:00:00+00:00,37.25,37.9,37.14,37.75,1514000,25.9747631971,26.4280140985,25.8980591984,26.3234177367,1514000,0.0,1.0
AMP,2005-09-28 00:00:00+00:00,37.0,37.4,36.8,37.24,875700,25.8004359273,26.079359559,25.6609741115,25.9677901063,875700,0.0,1.0
AMP,2005-09-29 00:00:00+00:00,36.6,36.91,36.25,36.91,2659200,25.5215122957,25.7376781102,25.277454118,25.7376781102,2659200,0.0,1.0
AMP,2005-09-30 00:00:00+00:00,35.8,36.6,35.6,36.6,4014800,24.9636650324,25.5215122957,24.8242032166,25.5215122957,4014800,0.0,1.0
AMP,2005-10-03 00:00:00+00:00,34.7,35.9,34.17,35.3,10007600,24.1966250454,25.0333959403,23.8270512334,24.6150104928,10007600,0.0,1.0
AMP,2005-10-04 00:00:00+00:00,33.9,34.3,33.25,34.0,8040300,23.6387777821,23.9177014137,23.1855268806,23.70850869,8040300,0.0,1.0
AMP,2005-10-05 00:00:00+00:00,33.65,34.1,33.32,34.0,6304400,23.4644505123,23.7782395979,23.2343385162,23.70850869,6304400,0.0,1.0
AMP,2005-10-06 00:00:00+00:00,33.37,33.65,33.21,33.4,7552200,23.2692039701,23.4644505123,23.1576345175,23.2901232425,7552200,0.0,1.0
AMP,2005-10-07 00:00:00+00:00,33.6,33.6,33.13,33.28,7055200,23.4295850583,23.4295850583,23.1018497911,23.206446153,7055200,0.0,1.0
AMP,2005-10-10 00:00:00+00:00,33.03,33.6,33.0,33.6,3400800,23.0321188832,23.4295850583,23.0111996109,23.4295850583,3400800,0.0,1.0
AMP,2005-10-11 00:00:00+00:00,33.0,33.39,32.98,33.04,3675400,23.0111996109,23.2831501517,22.9972534293,23.039091974,3675400,0.0,1.0
AMP,2005-10-12 00:00:00+00:00,32.77,33.3,32.72,32.9,4134500,22.8508185227,23.2203923346,22.8159530687,22.9414687029,4134500,0.0,1.0
AMP,2005-10-13 00:00:00+00:00,32.55,32.7,32.48,32.53,3184100,22.6974105253,22.8020068871,22.6485988897,22.6834643437,3184100,0.0,1.0
AMP,2005-10-14 00:00:00+00:00,32.39,32.75,32.38,32.52,2487500,22.5858410726,22.8368723411,22.5788679818,22.6764912529,2487500,0.0,1.0
AMP,2005-10-17 00:00:00+00:00,32.48,32.77,32.0,32.34,1910400,22.6485988897,22.8508185227,22.3138905317,22.5509756186,1910400,0.0,1.0
AMP,2005-10-18 00:00:00+00:00,32.43,32.55,32.15,32.3,1737900,22.6137334358,22.6974105253,22.4184868936,22.5230832555,1737900,0.0,1.0
AMP,2005-10-19 00:00:00+00:00,33.16,33.16,32.21,32.28,1784400,23.1227690635,23.1227690635,22.4603254384,22.5091370739,1784400,0.0,1.0
AMP,2005-10-20 00:00:00+00:00,33.58,34.06,33.1,33.16,2789600,23.4156388767,23.7503472347,23.0809305188,23.1227690635,2789600,0.0,1.0
AMP,2005-10-21 00:00:00+00:00,34.0,34.501,33.63,33.78,2881800,23.70850869,24.0578605386,23.4505043307,23.5551006926,2881800,0.0,1.0
AMP,2005-10-24 00:00:00+00:00,36.29,36.48,34.93,35.25,4013400,25.3053464812,25.4378352062,24.3570061336,24.5801450389,4013400,0.0,1.0
AMP,2005-10-25 00:00:00+00:00,37.18,37.47,35.28,35.34,2900400,25.9259515616,26.1281711945,24.6010643112,24.642902856,2900400,0.0,1.0
