symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMT,2000-01-03 00:00:00+00:00,29.31,30.62,29.0,30.5,433900,23.7126824916,24.7725123812,23.4618830521,24.6754287272,433900,0.0,1.0
AMT,2000-01-04 00:00:00+00:00,29.0,30.13,28.75,29.0,522300,23.4618830521,24.3760874607,23.2596254396,23.4618830521,522300,0.0,1.0
AMT,2000-01-05 00:00:00+00:00,29.75,29.81,28.56,29.0,674000,24.0686558896,24.1171977166,23.1059096541,23.4618830521,674000,0.0,1.0
AMT,2000-01-06 00:00:00+00:00,29.56,29.88,28.75,29.44,911700,23.9149401041,24.1738298481,23.2596254396,23.8178564501,911700,0.0,1.0
AMT,2000-01-07 00:00:00+00:00,31.19,31.25,29.5,29.75,606000,25.2336597377,25.2822015647,23.8663982771,24.0686558896,606000,0.0,1.0
AMT,2000-01-10 00:00:00+00:00,33.94,34.13,32.0,32.0,1012300,27.4584934754,27.612209261,25.8889744023,25.8889744023,1012300,0.0,1.0
AMT,2000-01-11 00:00:00+00:00,36.5,37.56,33.81,33.94,2893100,29.5296114276,30.3871837047,27.3533195169,27.4584934754,2893100,0.0,1.0
AMT,2000-01-12 00:00:00+00:00,38.0,38.25,36.63,36.81,1479400,30.7431571027,30.9454147153,29.6347853861,29.7804108671,1479400,0.0,1.0
AMT,2000-01-13 00:00:00+00:00,37.0,38.94,37.0,38.25,1507000,29.9341266527,31.5036457258,29.9341266527,30.9454147153,1507000,0.0,1.0
AMT,2000-01-14 00:00:00+00:00,38.13,38.5,37.5,37.75,609200,30.8483310612,31.1476723278,30.3386418777,30.5408994902,609200,0.0,1.0
AMT,2000-01-18 00:00:00+00:00,38.44,40.0,38.13,39.5,2728900,31.0991305008,32.3612180029,30.8483310612,31.9567027778,2728900,0.0,1.0
AMT,2000-01-19 00:00:00+00:00,39.0,39.38,38.5,39.0,469400,31.5521875528,31.8596191238,31.1476723278,31.5521875528,469400,0.0,1.0
AMT,2000-01-20 00:00:00+00:00,40.5,41.31,39.5,39.5,1205200,32.7657332279,33.4210478925,31.9567027778,31.9567027778,1205200,0.0,1.0
AMT,2000-01-21 00:00:00+00:00,43.13,43.25,41.31,41.44,2353300,34.8934833116,34.9905669656,33.4210478925,33.526221851,2353300,0.0,1.0
AMT,2000-01-24 00:00:00+00:00,42.0,44.63,41.81,43.13,2161100,33.979278903,36.1070289867,33.8255631175,34.8934833116,2161100,0.0,1.0
AMT,2000-01-25 00:00:00+00:00,41.31,42.75,40.75,42.75,788000,33.4210478925,34.5860517406,32.9679908404,34.5860517406,788000,0.0,1.0
AMT,2000-01-26 00:00:00+00:00,39.75,42.25,39.5,41.31,578600,32.1589603904,34.1815365155,31.9567027778,33.4210478925,578600,0.0,1.0
AMT,2000-01-27 00:00:00+00:00,38.38,40.44,38.13,39.75,975700,31.0505886738,32.7171914009,30.8483310612,32.1589603904,975700,0.0,1.0
AMT,2000-01-28 00:00:00+00:00,37.81,39.38,37.25,38.75,601300,30.5894413172,31.8596191238,30.1363842652,31.3499299403,601300,0.0,1.0
AMT,2000-01-31 00:00:00+00:00,35.88,37.81,35.69,37.75,617700,29.0280125486,30.5894413172,28.8742967631,30.5408994902,617700,0.0,1.0
AMT,2000-02-01 00:00:00+00:00,38.75,38.88,34.31,36.0,1191800,31.3499299403,31.4551038988,27.757834742,29.1250962026,1191800,0.0,1.0
AMT,2000-02-02 00:00:00+00:00,39.5,39.75,38.44,39.0,1714200,31.9567027778,32.1589603904,31.0991305008,31.5521875528,1714200,0.0,1.0
AMT,2000-02-03 00:00:00+00:00,40.0,40.38,38.5,39.5,433200,32.3612180029,32.6686495739,31.1476723278,31.9567027778,433200,0.0,1.0
AMT,2000-02-04 00:00:00+00:00,40.44,42.0,39.81,40.25,754100,32.7171914009,33.979278903,32.2075022174,32.5634756154,754100,0.0,1.0
AMT,2000-02-07 00:00:00+00:00,38.63,39.31,38.0,39.25,2011700,31.2528462863,31.8029869923,30.7431571027,31.7544451653,2011700,0.0,1.0
AMT,2000-02-08 00:00:00+00:00,42.0,42.13,38.75,38.75,2194900,33.979278903,34.0844528615,31.3499299403,31.3499299403,2194900,0.0,1.0
AMT,2000-02-09 00:00:00+00:00,41.88,42.5,41.22,42.5,1885100,33.882195249,34.3837941281,33.348235152,34.3837941281,1885100,0.0,1.0
AMT,2000-02-10 00:00:00+00:00,43.94,44.75,41.75,41.88,2589300,35.5487979762,36.2041126407,33.7770212905,33.882195249,2589300,0.0,1.0
AMT,2000-02-11 00:00:00+00:00,44.25,45.0,44.06,44.5,1212700,35.7995974157,36.4063702532,35.6458816302,36.0018550282,1212700,0.0,1.0
AMT,2000-02-14 00:00:00+00:00,44.88,44.88,43.81,44.44,1778700,36.3092865992,36.3092865992,35.4436240177,35.9533132012,1778700,0.0,1.0
AMT,2000-02-15 00:00:00+00:00,45.63,47.25,45.0,45.0,1119500,36.9160594368,38.2266887659,36.4063702532,36.4063702532,1119500,0.0,1.0
AMT,2000-02-16 00:00:00+00:00,46.0,46.75,45.0,45.88,479400,37.2154007033,37.8221735409,36.4063702532,37.1183170493,479400,0.0,1.0
AMT,2000-02-17 00:00:00+00:00,45.0,46.13,43.75,45.88,1402200,36.4063702532,37.3205746618,35.3950821906,37.1183170493,1402200,0.0,1.0
AMT,2000-02-18 00:00:00+00:00,42.75,44.75,42.38,44.25,749700,34.5860517406,36.2041126407,34.286710474,35.7995974157,749700,0.0,1.0
AMT,2000-02-22 00:00:00+00:00,41.0,43.31,40.13,43.25,710700,33.1702484529,35.0391087926,32.4663919614,34.9905669656,710700,0.0,1.0
