symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ANSS,2000-01-03 00:00:00+00:00,11.06,11.13,10.88,10.88,13100,2.765,2.7825,2.72,2.72,52400,0.0,1.0
ANSS,2000-01-04 00:00:00+00:00,10.75,11.25,10.63,11.25,339700,2.6875,2.8125,2.6575,2.8125,1358800,0.0,1.0
ANSS,2000-01-05 00:00:00+00:00,10.69,10.81,10.63,10.72,84100,2.6725,2.7025,2.6575,2.68,336400,0.0,1.0
ANSS,2000-01-06 00:00:00+00:00,10.81,10.81,10.13,10.75,59700,2.7025,2.7025,2.5325,2.6875,238800,0.0,1.0
ANSS,2000-01-07 00:00:00+00:00,10.81,10.81,10.38,10.38,11200,2.7025,2.7025,2.595,2.595,44800,0.0,1.0
ANSS,2000-01-10 00:00:00+00:00,10.88,10.88,10.56,10.78,41500,2.72,2.72,2.64,2.695,166000,0.0,1.0
ANSS,2000-01-11 00:00:00+00:00,10.63,10.88,10.38,10.72,183500,2.6575,2.72,2.595,2.68,734000,0.0,1.0
ANSS,2000-01-12 00:00:00+00:00,10.38,10.56,10.13,10.53,34600,2.595,2.64,2.5325,2.6325,138400,0.0,1.0
ANSS,2000-01-13 00:00:00+00:00,10.0,10.28,9.75,10.28,28400,2.5,2.57,2.4375,2.57,113600,0.0,1.0
ANSS,2000-01-14 00:00:00+00:00,9.938,10.19,9.625,9.75,80900,2.4845,2.5475,2.40625,2.4375,323600,0.0,1.0
ANSS,2000-01-18 00:00:00+00:00,9.938,10.0,9.938,9.938,74500,2.4845,2.5,2.4845,2.4845,298000,0.0,1.0
ANSS,2000-01-19 00:00:00+00:00,9.875,10.0,9.75,10.0,69000,2.46875,2.5,2.4375,2.5,276000,0.0,1.0
ANSS,2000-01-20 00:00:00+00:00,10.31,10.31,9.75,10.0,98300,2.5775,2.5775,2.4375,2.5,393200,0.0,1.0
ANSS,2000-01-21 00:00:00+00:00,10.56,10.56,10.0,10.31,55400,2.64,2.64,2.5,2.5775,221600,0.0,1.0
ANSS,2000-01-24 00:00:00+00:00,10.88,11.19,10.38,10.38,17300,2.72,2.7975,2.595,2.595,69200,0.0,1.0
ANSS,2000-01-25 00:00:00+00:00,11.19,11.69,10.88,11.13,34300,2.7975,2.9225,2.72,2.7825,137200,0.0,1.0
ANSS,2000-01-26 00:00:00+00:00,11.0,11.19,10.88,11.19,7700,2.75,2.7975,2.72,2.7975,30800,0.0,1.0
ANSS,2000-01-27 00:00:00+00:00,10.75,10.94,10.75,10.94,7200,2.6875,2.735,2.6875,2.735,28800,0.0,1.0
ANSS,2000-01-28 00:00:00+00:00,10.25,10.75,10.25,10.5,21000,2.5625,2.6875,2.5625,2.625,84000,0.0,1.0
ANSS,2000-01-31 00:00:00+00:00,10.25,10.75,10.25,10.38,33400,2.5625,2.6875,2.5625,2.595,133600,0.0,1.0
ANSS,2000-02-01 00:00:00+00:00,10.63,10.75,10.25,10.38,21100,2.6575,2.6875,2.5625,2.595,84400,0.0,1.0
ANSS,2000-02-02 00:00:00+00:00,10.75,10.75,10.06,10.19,9300,2.6875,2.6875,2.515,2.5475,37200,0.0,1.0
ANSS,2000-02-03 00:00:00+00:00,10.31,10.31,10.19,10.19,3700,2.5775,2.5775,2.5475,2.5475,14800,0.0,1.0
ANSS,2000-02-04 00:00:00+00:00,10.38,10.38,10.0,10.0,15000,2.595,2.595,2.5,2.5,60000,0.0,1.0
ANSS,2000-02-07 00:00:00+00:00,10.25,10.75,10.06,10.22,30400,2.5625,2.6875,2.515,2.555,121600,0.0,1.0
ANSS,2000-02-08 00:00:00+00:00,11.13,11.44,10.25,10.31,46700,2.7825,2.86,2.5625,2.5775,186800,0.0,1.0
ANSS,2000-02-09 00:00:00+00:00,12.56,13.0,11.63,11.75,244000,3.14,3.25,2.9075,2.9375,976000,0.0,1.0
ANSS,2000-02-10 00:00:00+00:00,13.5,14.0,13.13,13.13,207000,3.375,3.5,3.2825,3.2825,828000,0.0,1.0
ANSS,2000-02-11 00:00:00+00:00,12.56,13.75,11.88,13.56,102200,3.14,3.4375,2.97,3.39,408800,0.0,1.0
ANSS,2000-02-14 00:00:00+00:00,12.56,13.0,12.38,12.5,212200,3.14,3.25,3.095,3.125,848800,0.0,1.0
ANSS,2000-02-15 00:00:00+00:00,12.31,12.75,12.13,12.69,137100,3.0775,3.1875,3.0325,3.1725,548400,0.0,1.0
ANSS,2000-02-16 00:00:00+00:00,12.31,12.38,12.0,12.28,247400,3.0775,3.095,3.0,3.07,989600,0.0,1.0
ANSS,2000-02-17 00:00:00+00:00,13.31,14.25,12.38,12.5,268900,3.3275,3.5625,3.095,3.125,1075600,0.0,1.0
ANSS,2000-02-18 00:00:00+00:00,13.13,14.25,13.06,13.88,149100,3.2825,3.5625,3.265,3.47,596400,0.0,1.0
ANSS,2000-02-22 00:00:00+00:00,12.88,13.25,12.75,13.25,117900,3.22,3.3125,3.1875,3.3125,471600,0.0,1.0
ANSS,2000-02-23 00:00:00+00:00,13.5,14.13,12.63,13.0,137700,3.375,3.5325,3.1575,3.25,550800,0.0,1.0
ANSS,2000-02-24 00:00:00+00:00,12.0,13.38,11.81,13.38,397800,3.0,3.345,2.9525,3.345,1591200,0.0,1.0
ANSS,2000-02-25 00:00:00+00:00,12.0,12.31,11.88,12.16,88800,3.0,3.0775,2.97,3.04,355200,0.0,1.0
ANSS,2000-02-28 00:00:00+00:00,12.38,12.75,11.88,12.25,265700,3.095,3.1875,2.97,3.0625,1062800,0.0,1.0
ANSS,2000-02-29 00:00:00+00:00,12.88,12.88,12.38,12.75,395600,3.22,3.22,3.095,3.1875,1582400,0.0,1.0
ANSS,2000-03-01 00:00:00+00:00,13.13,13.25,12.75,12.88,158700,3.2825,3.3125,3.1875,3.22,634800,0.0,1.0
ANSS,2000-03-02 00:00:00+00:00,12.88,13.75,12.75,13.5,295100,3.22,3.4375,3.1875,3.375,1180400,0.0,1.0
ANSS,2000-03-03 00:00:00+00:00,13.5,13.75,13.0,13.38,772100,3.375,3.4375,3.25,3.345,3088400,0.0,1.0
ANSS,2000-03-06 00:00:00+00:00,13.75,14.38,13.63,13.75,1308800,3.4375,3.595,3.4075,3.4375,5235200,0.0,1.0
ANSS,2000-03-07 00:00:00+00:00,14.31,15.0,14.25,14.86,1351200,3.5775,3.75,3.5625,3.715,5404800,0.0,1.0
ANSS,2000-03-08 00:00:00+00:00,14.0,14.63,13.75,14.63,682000,3.5,3.6575,3.4375,3.6575,2728000,0.0,1.0
ANSS,2000-03-09 00:00:00+00:00,13.0,14.13,12.63,14.09,200200,3.25,3.5325,3.1575,3.5225,800800,0.0,1.0
ANSS,2000-03-10 00:00:00+00:00,12.25,13.0,12.13,12.88,162400,3.0625,3.25,3.0325,3.22,649600,0.0,1.0
ANSS,2000-03-13 00:00:00+00:00,12.44,12.81,12.0,12.13,252800,3.11,3.2025,3.0,3.0325,1011200,0.0,1.0
ANSS,2000-03-14 00:00:00+00:00,13.0,13.25,12.63,12.63,251700,3.25,3.3125,3.1575,3.1575,1006800,0.0,1.0
ANSS,2000-03-15 00:00:00+00:00,12.81,13.13,12.56,13.13,226600,3.2025,3.2825,3.14,3.2825,906400,0.0,1.0
ANSS,2000-03-16 00:00:00+00:00,12.69,13.25,12.63,12.75,198200,3.1725,3.3125,3.1575,3.1875,792800,0.0,1.0
ANSS,2000-03-17 00:00:00+00:00,12.5,13.38,12.44,13.25,302900,3.125,3.345,3.11,3.3125,1211600,0.0,1.0
ANSS,2000-03-20 00:00:00+00:00,12.31,13.13,12.0,12.75,57600,3.0775,3.2825,3.0,3.1875,230400,0.0,1.0
ANSS,2000-03-21 00:00:00+00:00,11.19,12.5,9.844,12.31,220600,2.7975,3.125,2.461,3.0775,882400,0.0,1.0
ANSS,2000-03-22 00:00:00+00:00,9.875,11.69,9.875,11.63,482900,2.46875,2.9225,2.46875,2.9075,1931600,0.0,1.0
ANSS,2000-03-23 00:00:00+00:00,10.5,10.63,9.0,9.813,382900,2.625,2.6575,2.25,2.45325,1531600,0.0,1.0
ANSS,2000-03-24 00:00:00+00:00,10.19,10.5,10.06,10.5,260700,2.5475,2.625,2.515,2.625,1042800,0.0,1.0
ANSS,2000-03-27 00:00:00+00:00,10.19,10.44,9.813,10.2,200700,2.5475,2.61,2.45325,2.55,802800,0.0,1.0
ANSS,2000-03-28 00:00:00+00:00,11.0,11.25,10.38,10.44,204700,2.75,2.8125,2.595,2.61,818800,0.0,1.0
ANSS,2000-03-29 00:00:00+00:00,11.0,11.38,10.75,10.88,148500,2.75,2.845,2.6875,2.72,594000,0.0,1.0
ANSS,2000-03-30 00:00:00+00:00,10.5,10.88,10.25,10.75,129100,2.625,2.72,2.5625,2.6875,516400,0.0,1.0
ANSS,2000-03-31 00:00:00+00:00,10.75,10.88,10.38,10.63,70400,2.6875,2.72,2.595,2.6575,281600,0.0,1.0
ANSS,2000-04-03 00:00:00+00:00,10.19,10.81,10.06,10.75,138900,2.5475,2.7025,2.515,2.6875,555600,0.0,1.0
ANSS,2000-04-04 00:00:00+00:00,9.938,10.22,9.5,10.19,177400,2.4845,2.555,2.375,2.5475,709600,0.0,1.0
ANSS,2000-04-05 00:00:00+00:00,10.81,11.5,9.75,9.938,74500,2.7025,2.875,2.4375,2.4845,298000,0.0,1.0
ANSS,2000-04-06 00:00:00+00:00,11.0,11.5,10.38,10.75,65300,2.75,2.875,2.595,2.6875,261200,0.0,1.0
ANSS,2000-04-07 00:00:00+00:00,11.0,11.75,10.69,11.38,76100,2.75,2.9375,2.6725,2.845,304400,0.0,1.0
ANSS,2000-04-10 00:00:00+00:00,10.88,11.38,10.56,11.31,51700,2.72,2.845,2.64,2.8275,206800,0.0,1.0
ANSS,2000-04-11 00:00:00+00:00,10.0,10.88,9.938,10.88,45500,2.5,2.72,2.4845,2.72,182000,0.0,1.0
ANSS,2000-04-12 00:00:00+00:00,10.0,10.75,9.875,10.06,89100,2.5,2.6875,2.46875,2.515,356400,0.0,1.0
ANSS,2000-04-13 00:00:00+00:00,9.875,10.63,9.75,10.28,112900,2.46875,2.6575,2.4375,2.57,451600,0.0,1.0
ANSS,2000-04-14 00:00:00+00:00,8.688,10.0,8.063,9.875,174900,2.172,2.5,2.01575,2.46875,699600,0.0,1.0
ANSS,2000-04-17 00:00:00+00:00,8.813,9.0,8.25,8.469,190600,2.20325,2.25,2.0625,2.11725,762400,0.0,1.0
ANSS,2000-04-18 00:00:00+00:00,9.0,9.938,8.875,9.0,100100,2.25,2.4845,2.21875,2.25,400400,0.0,1.0
ANSS,2000-04-19 00:00:00+00:00,9.438,10.0,8.563,9.125,218100,2.3595,2.5,2.14075,2.28125,872400,0.0,1.0
ANSS,2000-04-20 00:00:00+00:00,10.88,11.5,9.375,9.625,183200,2.72,2.875,2.34375,2.40625,732800,0.0,1.0
ANSS,2000-04-24 00:00:00+00:00,10.63,11.0,10.38,11.0,110200,2.6575,2.75,2.595,2.75,440800,0.0,1.0
ANSS,2000-04-25 00:00:00+00:00,10.63,10.81,10.38,10.5,144900,2.6575,2.7025,2.595,2.625,579600,0.0,1.0
ANSS,2000-04-26 00:00:00+00:00,10.94,11.0,10.63,10.78,103900,2.735,2.75,2.6575,2.695,415600,0.0,1.0
ANSS,2000-04-27 00:00:00+00:00,10.81,10.88,10.25,10.47,30800,2.7025,2.72,2.5625,2.6175,123200,0.0,1.0
ANSS,2000-04-28 00:00:00+00:00,10.81,10.81,10.63,10.69,93700,2.7025,2.7025,2.6575,2.6725,374800,0.0,1.0
ANSS,2000-05-01 00:00:00+00:00,10.63,10.81,10.5,10.75,103600,2.6575,2.7025,2.625,2.6875,414400,0.0,1.0
ANSS,2000-05-02 00:00:00+00:00,10.31,10.69,9.375,10.63,438700,2.5775,2.6725,2.34375,2.6575,1754800,0.0,1.0
ANSS,2000-05-03 00:00:00+00:00,10.13,10.13,9.938,10.0,45300,2.5325,2.5325,2.4845,2.5,181200,0.0,1.0
ANSS,2000-05-04 00:00:00+00:00,10.5,10.56,10.13,10.13,24400,2.625,2.64,2.5325,2.5325,97600,0.0,1.0
ANSS,2000-05-05 00:00:00+00:00,10.25,10.56,10.06,10.56,248900,2.5625,2.64,2.515,2.64,995600,0.0,1.0
ANSS,2000-05-08 00:00:00+00:00,10.25,10.5,10.06,10.13,33800,2.5625,2.625,2.515,2.5325,135200,0.0,1.0
ANSS,2000-05-09 00:00:00+00:00,10.0,10.13,10.0,10.06,37900,2.5,2.5325,2.5,2.515,151600,0.0,1.0
ANSS,2000-05-10 00:00:00+00:00,10.0,10.25,9.875,10.09,48600,2.5,2.5625,2.46875,2.5225,194400,0.0,1.0
ANSS,2000-05-11 00:00:00+00:00,10.0,10.44,10.0,10.19,52700,2.5,2.61,2.5,2.5475,210800,0.0,1.0
ANSS,2000-05-12 00:00:00+00:00,10.5,10.75,9.938,9.938,23400,2.625,2.6875,2.4845,2.4845,93600,0.0,1.0
ANSS,2000-05-15 00:00:00+00:00,10.56,10.75,10.44,10.44,29800,2.64,2.6875,2.61,2.61,119200,0.0,1.0
ANSS,2000-05-16 00:00:00+00:00,10.75,10.75,10.44,10.5,23000,2.6875,2.6875,2.61,2.625,92000,0.0,1.0
ANSS,2000-05-17 00:00:00+00:00,10.63,10.75,10.38,10.44,355400,2.6575,2.6875,2.595,2.61,1421600,0.0,1.0
ANSS,2000-05-18 00:00:00+00:00,10.69,10.75,10.5,10.56,22800,2.6725,2.6875,2.625,2.64,91200,0.0,1.0
ANSS,2000-05-19 00:00:00+00:00,10.75,10.75,10.63,10.69,29300,2.6875,2.6875,2.6575,2.6725,117200,0.0,1.0
ANSS,2000-05-22 00:00:00+00:00,10.75,10.75,10.63,10.72,76300,2.6875,2.6875,2.6575,2.68,305200,0.0,1.0
ANSS,2000-05-23 00:00:00+00:00,10.75,10.88,10.63,10.66,49700,2.6875,2.72,2.6575,2.665,198800,0.0,1.0
ANSS,2000-05-24 00:00:00+00:00,10.75,10.88,10.63,10.88,43100,2.6875,2.72,2.6575,2.72,172400,0.0,1.0
