symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
APA,2000-01-03 00:00:00+00:00,34.13,36.69,34.06,36.69,541200,11.1597419843,11.9968043775,11.1368535595,11.9968043775,1265964,0.0,1.0
APA,2000-01-04 00:00:00+00:00,32.63,33.63,32.25,33.0,1479700,10.6692757383,10.9962532356,10.5450242893,10.7902574123,3461286,0.0,1.0
APA,2000-01-05 00:00:00+00:00,33.13,33.69,32.63,32.88,1084900,10.8327644869,11.0158718854,10.6692757383,10.7510201126,2537777,0.0,1.0
APA,2000-01-06 00:00:00+00:00,36.75,37.0,34.06,34.5,1207900,12.0164230273,12.0981674016,11.1368535595,11.2807236583,2825497,0.0,1.0
APA,2000-01-07 00:00:00+00:00,36.63,38.0,35.94,37.25,854400,11.9771857276,12.425144899,11.7515712545,12.179911776,1998596,0.0,1.0
APA,2000-01-10 00:00:00+00:00,35.19,36.0,35.0,36.0,810900,11.5063381314,11.7711899043,11.444212407,11.7711899043,1896842,0.0,1.0
APA,2000-01-11 00:00:00+00:00,35.31,35.69,34.88,35.19,864700,11.5455754311,11.6698268801,11.4049751073,11.5063381314,2022690,0.0,1.0
APA,2000-01-12 00:00:00+00:00,35.13,35.5,34.69,35.0,494700,11.4867194816,11.6077011556,11.3428493828,11.444212407,1157192,0.0,1.0
APA,2000-01-13 00:00:00+00:00,35.88,36.5,35.06,35.06,746300,11.7319526046,11.934678653,11.4638310568,11.4638310568,1745730,0.0,1.0
APA,2000-01-14 00:00:00+00:00,35.56,36.25,35.06,36.13,1056500,11.6273198055,11.8529342786,11.4638310568,11.8136969789,2471345,0.0,1.0
APA,2000-01-18 00:00:00+00:00,38.88,39.5,36.25,36.75,1645600,12.7128850966,12.915611145,11.8529342786,12.0164230273,3849356,0.0,1.0
APA,2000-01-19 00:00:00+00:00,38.63,39.75,38.56,39.75,1114700,12.6311407223,12.9973555193,12.6082522975,12.9973555193,2607485,0.0,1.0
APA,2000-01-20 00:00:00+00:00,38.88,39.5,38.31,39.5,1122800,12.7128850966,12.915611145,12.5265079232,12.915611145,2626432,0.0,1.0
