symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ATO,2000-01-03 00:00:00+00:00,20.06,20.31,20.0,20.0,36600,8.3127801163,8.4163790709,8.2879163672,8.2879163672,36600,0.0,1.0
ATO,2000-01-04 00:00:00+00:00,19.56,20.0,19.56,20.0,143800,8.1055822071,8.2879163672,8.1055822071,8.2879163672,143800,0.0,1.0
ATO,2000-01-05 00:00:00+00:00,20.19,20.5,19.56,19.56,251700,8.3666515727,8.4951142764,8.1055822071,8.1055822071,251700,0.0,1.0
ATO,2000-01-06 00:00:00+00:00,19.88,20.0,19.75,20.0,24300,8.238188869,8.2879163672,8.1843174126,8.2879163672,24300,0.0,1.0
ATO,2000-01-07 00:00:00+00:00,20.06,20.06,19.75,19.75,228900,8.3127801163,8.3127801163,8.1843174126,8.1843174126,228900,0.0,1.0
ATO,2000-01-10 00:00:00+00:00,19.81,20.06,19.75,20.0,57300,8.2091811617,8.3127801163,8.1843174126,8.2879163672,57300,0.0,1.0
ATO,2000-01-11 00:00:00+00:00,19.81,19.94,19.75,19.81,155600,8.2091811617,8.2630526181,8.1843174126,8.2091811617,155600,0.0,1.0
ATO,2000-01-12 00:00:00+00:00,19.5,19.81,19.5,19.81,32500,8.080718458,8.2091811617,8.080718458,8.2091811617,32500,0.0,1.0
ATO,2000-01-13 00:00:00+00:00,19.12,19.62,18.88,19.62,55500,7.9232480471,8.1304459562,7.8237930506,8.1304459562,55500,0.0,1.0
ATO,2000-01-14 00:00:00+00:00,18.81,19.38,18.81,19.25,75900,7.7947853434,8.0309909598,7.7947853434,7.9771195034,75900,0.0,1.0
ATO,2000-01-18 00:00:00+00:00,18.75,18.88,18.62,18.88,70400,7.7699215943,7.8237930506,7.7160501379,7.8237930506,70400,0.0,1.0
ATO,2000-01-19 00:00:00+00:00,18.62,18.88,18.5,18.88,42500,7.7160501379,7.8237930506,7.6663226397,7.8237930506,42500,0.0,1.0
ATO,2000-01-20 00:00:00+00:00,18.56,18.69,18.5,18.62,40300,7.6911863888,7.7450578452,7.6663226397,7.7160501379,40300,0.0,1.0
ATO,2000-01-21 00:00:00+00:00,18.25,18.62,18.12,18.5,170900,7.5627236851,7.7160501379,7.5088522287,7.6663226397,170900,0.0,1.0
ATO,2000-01-24 00:00:00+00:00,18.25,18.88,18.0,18.75,109100,7.5627236851,7.8237930506,7.4591247305,7.7699215943,109100,0.0,1.0
ATO,2000-01-25 00:00:00+00:00,17.75,18.38,17.25,18.25,63400,7.3555257759,7.6165951415,7.1483278667,7.5627236851,63400,0.0,1.0
ATO,2000-01-26 00:00:00+00:00,16.94,17.94,16.75,17.94,72700,7.019865163,7.4342609814,6.9411299575,7.4342609814,72700,0.0,1.0
ATO,2000-01-27 00:00:00+00:00,17.0,17.38,16.88,17.0,34900,7.0447289121,7.2021993231,6.9950014139,7.0447289121,34900,0.0,1.0
ATO,2000-01-28 00:00:00+00:00,16.75,17.25,16.75,17.12,50600,6.9411299575,7.1483278667,6.9411299575,7.0944564103,50600,0.0,1.0
ATO,2000-01-31 00:00:00+00:00,17.5,17.75,16.88,16.88,72400,7.2519268213,7.3555257759,6.9950014139,6.9950014139,72400,0.0,1.0
ATO,2000-02-01 00:00:00+00:00,17.75,18.0,17.5,17.62,36000,7.3555257759,7.4591247305,7.2519268213,7.3016543195,36000,0.0,1.0
ATO,2000-02-02 00:00:00+00:00,17.44,17.88,17.38,17.62,44100,7.2270630722,7.4093972323,7.2021993231,7.3016543195,44100,0.0,1.0
ATO,2000-02-03 00:00:00+00:00,17.81,17.88,17.38,17.44,56200,7.380389525,7.4093972323,7.2021993231,7.2270630722,56200,0.0,1.0
ATO,2000-02-04 00:00:00+00:00,17.69,17.81,17.5,17.56,62300,7.3306620268,7.380389525,7.2519268213,7.2767905704,62300,0.0,1.0
ATO,2000-02-07 00:00:00+00:00,17.38,17.75,17.38,17.69,45900,7.2021993231,7.3555257759,7.2021993231,7.3306620268,45900,0.0,1.0
ATO,2000-02-08 00:00:00+00:00,17.31,17.5,17.25,17.44,51000,7.1731916158,7.2519268213,7.1483278667,7.2270630722,51000,0.0,1.0
ATO,2000-02-09 00:00:00+00:00,17.38,17.56,17.25,17.56,197700,7.2021993231,7.2767905704,7.1483278667,7.2767905704,197700,0.0,1.0
ATO,2000-02-10 00:00:00+00:00,17.19,17.5,17.12,17.5,40400,7.1234641176,7.2519268213,7.0944564103,7.2519268213,40400,0.0,1.0
ATO,2000-02-11 00:00:00+00:00,15.88,17.19,15.88,17.0,94100,6.5806055956,7.1234641176,6.5806055956,7.0447289121,94100,0.0,1.0
ATO,2000-02-14 00:00:00+00:00,16.81,16.88,16.12,16.12,59300,6.9659937066,6.9950014139,6.680060592,6.680060592,59300,0.0,1.0
ATO,2000-02-15 00:00:00+00:00,17.44,18.25,16.81,16.81,96500,7.2270630722,7.5627236851,6.9659937066,6.9659937066,96500,0.0,1.0
ATO,2000-02-16 00:00:00+00:00,17.75,18.06,17.25,17.38,32600,7.3555257759,7.4839884796,7.1483278667,7.2021993231,32600,0.0,1.0
ATO,2000-02-17 00:00:00+00:00,17.88,18.12,17.62,17.75,41700,7.4093972323,7.5088522287,7.3016543195,7.3555257759,41700,0.0,1.0
ATO,2000-02-18 00:00:00+00:00,17.19,17.88,17.12,17.69,61500,7.1234641176,7.4093972323,7.0944564103,7.3306620268,61500,0.0,1.0
ATO,2000-02-22 00:00:00+00:00,16.56,17.19,16.25,17.19,78600,6.862394752,7.1234641176,6.7339320484,7.1234641176,78600,0.0,1.0
ATO,2000-02-23 00:00:00+00:00,16.56,16.88,16.25,16.31,35400,6.9784255812,7.1132743847,6.8477908028,6.8730749535,35400,0.28,1.0
ATO,2000-02-24 00:00:00+00:00,16.0,16.5,15.81,16.5,46500,6.7424401751,6.9531414305,6.662373698,6.9531414305,46500,0.0,1.0
ATO,2000-02-25 00:00:00+00:00,15.81,16.12,15.69,16.12,4023800,6.662373698,6.7930084764,6.6118053967,6.7930084764,4023800,0.0,1.0
ATO,2000-02-28 00:00:00+00:00,16.25,16.31,15.88,15.88,70100,6.8477908028,6.8730749535,6.6918718737,6.6918718737,70100,0.0,1.0
ATO,2000-02-29 00:00:00+00:00,17.12,17.12,16.0,16.0,86300,7.2144109873,7.2144109873,6.7424401751,6.7424401751,86300,0.0,1.0
ATO,2000-03-01 00:00:00+00:00,16.5,17.25,16.44,17.25,44700,6.9531414305,7.2691933137,6.9278572799,7.2691933137,44700,0.0,1.0
ATO,2000-03-02 00:00:00+00:00,16.38,16.75,16.38,16.75,63300,6.9025731292,7.0584920583,6.9025731292,7.0584920583,63300,0.0,1.0
ATO,2000-03-03 00:00:00+00:00,15.81,16.38,15.62,16.25,55800,6.662373698,6.9025731292,6.5823072209,6.8477908028,55800,0.0,1.0
ATO,2000-03-06 00:00:00+00:00,16.0,16.25,15.5,15.56,52700,6.7424401751,6.8477908028,6.5317389196,6.5570230702,52700,0.0,1.0
ATO,2000-03-07 00:00:00+00:00,15.56,15.94,15.38,15.94,106800,6.5570230702,6.7171560244,6.4811706183,6.7171560244,106800,0.0,1.0
ATO,2000-03-08 00:00:00+00:00,15.56,15.69,15.25,15.62,91400,6.5570230702,6.6118053967,6.4263882919,6.5823072209,91400,0.0,1.0
ATO,2000-03-09 00:00:00+00:00,16.12,16.19,15.75,15.81,81900,6.7930084764,6.8225066521,6.6370895473,6.662373698,81900,0.0,1.0
ATO,2000-03-10 00:00:00+00:00,15.62,15.94,15.62,15.75,100900,6.5823072209,6.7171560244,6.5823072209,6.6370895473,100900,0.0,1.0
ATO,2000-03-13 00:00:00+00:00,17.12,17.12,15.5,15.56,124900,7.2144109873,7.2144109873,6.5317389196,6.5570230702,124900,0.0,1.0
ATO,2000-03-14 00:00:00+00:00,17.25,17.5,17.19,17.38,229300,7.2691933137,7.3745439415,7.2439091631,7.3239756402,229300,0.0,1.0
ATO,2000-03-15 00:00:00+00:00,17.69,17.75,17.25,17.25,52500,7.4546104186,7.4798945692,7.2691933137,7.2691933137,52500,0.0,1.0
ATO,2000-03-16 00:00:00+00:00,18.62,18.62,17.75,17.81,78700,7.8465147537,7.8465147537,7.4798945692,7.5051787199,78700,0.0,1.0
ATO,2000-03-17 00:00:00+00:00,18.38,18.88,17.94,18.62,87400,7.7453781511,7.9560794066,7.5599610463,7.8465147537,87400,0.0,1.0
ATO,2000-03-20 00:00:00+00:00,18.38,18.56,18.19,18.31,40200,7.7453781511,7.8212306031,7.665311674,7.7158799753,40200,0.0,1.0
ATO,2000-03-21 00:00:00+00:00,17.56,18.12,17.25,18.12,46700,7.3998280921,7.6358134983,7.2691933137,7.6358134983,46700,0.0,1.0
ATO,2000-03-22 00:00:00+00:00,17.44,17.88,17.0,17.5,45700,7.3492597908,7.5346768956,7.163842686,7.3745439415,45700,0.0,1.0
ATO,2000-03-23 00:00:00+00:00,18.12,18.38,17.25,17.31,36300,7.6358134983,7.7453781511,7.2691933137,7.2944774644,36300,0.0,1.0
ATO,2000-03-24 00:00:00+00:00,17.44,18.12,17.12,18.12,80200,7.3492597908,7.6358134983,7.2144109873,7.6358134983,80200,0.0,1.0
ATO,2000-03-27 00:00:00+00:00,17.25,17.5,17.12,17.38,73000,7.2691933137,7.3745439415,7.2144109873,7.3239756402,73000,0.0,1.0
ATO,2000-03-28 00:00:00+00:00,16.88,17.12,16.62,16.62,118800,7.1132743847,7.2144109873,7.0037097318,7.0037097318,118800,0.0,1.0
ATO,2000-03-29 00:00:00+00:00,16.62,16.88,16.5,16.88,161200,7.0037097318,7.1132743847,6.9531414305,7.1132743847,161200,0.0,1.0
ATO,2000-03-30 00:00:00+00:00,16.25,16.75,16.19,16.5,195200,6.8477908028,7.0584920583,6.8225066521,6.9531414305,195200,0.0,1.0
ATO,2000-03-31 00:00:00+00:00,16.38,16.69,16.0,16.38,102200,6.9025731292,7.0332079076,6.7424401751,6.9025731292,102200,0.0,1.0
ATO,2000-04-03 00:00:00+00:00,16.19,16.88,16.12,16.5,50300,6.8225066521,7.1132743847,6.7930084764,6.9531414305,50300,0.0,1.0
ATO,2000-04-04 00:00:00+00:00,15.81,16.25,15.75,16.19,100900,6.662373698,6.8477908028,6.6370895473,6.8225066521,100900,0.0,1.0
ATO,2000-04-05 00:00:00+00:00,15.5,16.12,15.38,15.94,173400,6.5317389196,6.7930084764,6.4811706183,6.7171560244,173400,0.0,1.0
ATO,2000-04-06 00:00:00+00:00,15.5,15.5,15.38,15.5,47700,6.5317389196,6.5317389196,6.4811706183,6.5317389196,47700,0.0,1.0
ATO,2000-04-07 00:00:00+00:00,15.5,15.5,15.31,15.5,65500,6.5317389196,6.5317389196,6.4516724425,6.5317389196,65500,0.0,1.0
ATO,2000-04-10 00:00:00+00:00,15.38,15.5,15.31,15.5,120400,6.4811706183,6.5317389196,6.4516724425,6.5317389196,120400,0.0,1.0
ATO,2000-04-11 00:00:00+00:00,15.38,15.5,15.38,15.44,43500,6.4811706183,6.5317389196,6.4811706183,6.5064547689,43500,0.0,1.0
ATO,2000-04-12 00:00:00+00:00,15.44,15.5,15.38,15.38,125100,6.5064547689,6.5317389196,6.4811706183,6.4811706183,125100,0.0,1.0
ATO,2000-04-13 00:00:00+00:00,15.44,15.5,15.38,15.44,69800,6.5064547689,6.5317389196,6.4811706183,6.5064547689,69800,0.0,1.0
ATO,2000-04-14 00:00:00+00:00,15.38,15.5,15.25,15.38,77900,6.4811706183,6.5317389196,6.4263882919,6.4811706183,77900,0.0,1.0
ATO,2000-04-17 00:00:00+00:00,15.0,15.38,14.94,15.38,123600,6.3210376641,6.4811706183,6.2957535135,6.4811706183,123600,0.0,1.0
ATO,2000-04-18 00:00:00+00:00,14.94,15.0,14.75,15.0,116800,6.2957535135,6.3210376641,6.2156870364,6.3210376641,116800,0.0,1.0
ATO,2000-04-19 00:00:00+00:00,14.88,15.0,14.81,15.0,100800,6.2704693628,6.3210376641,6.240971187,6.3210376641,100800,0.0,1.0
ATO,2000-04-20 00:00:00+00:00,14.81,14.94,14.75,14.94,63100,6.240971187,6.2957535135,6.2156870364,6.2957535135,63100,0.0,1.0
ATO,2000-04-24 00:00:00+00:00,14.75,14.94,14.75,14.88,197700,6.2156870364,6.2957535135,6.2156870364,6.2704693628,197700,0.0,1.0
ATO,2000-04-25 00:00:00+00:00,14.75,14.81,14.5,14.81,69500,6.2156870364,6.240971187,6.1103364086,6.240971187,69500,0.0,1.0
ATO,2000-04-26 00:00:00+00:00,14.75,14.94,14.62,14.88,79900,6.2156870364,6.2957535135,6.16090471,6.2704693628,79900,0.0,1.0
ATO,2000-04-27 00:00:00+00:00,15.5,15.62,14.25,14.62,82900,6.5317389196,6.5823072209,6.0049857809,6.16090471,82900,0.0,1.0
ATO,2000-04-28 00:00:00+00:00,15.88,15.88,15.25,15.38,38700,6.6918718737,6.6918718737,6.4263882919,6.4811706183,38700,0.0,1.0
ATO,2000-05-01 00:00:00+00:00,16.0,16.75,15.88,15.88,89500,6.7424401751,7.0584920583,6.6918718737,6.6918718737,89500,0.0,1.0
ATO,2000-05-02 00:00:00+00:00,15.94,16.31,15.81,15.94,43400,6.7171560244,6.8730749535,6.662373698,6.7171560244,43400,0.0,1.0
ATO,2000-05-03 00:00:00+00:00,15.88,16.0,15.75,16.0,54400,6.6918718737,6.7424401751,6.6370895473,6.7424401751,54400,0.0,1.0
ATO,2000-05-04 00:00:00+00:00,16.0,16.0,15.62,15.62,36500,6.7424401751,6.7424401751,6.5823072209,6.5823072209,36500,0.0,1.0
ATO,2000-05-05 00:00:00+00:00,15.94,16.25,15.75,16.12,69700,6.7171560244,6.8477908028,6.6370895473,6.7930084764,69700,0.0,1.0
ATO,2000-05-08 00:00:00+00:00,15.94,16.19,15.75,16.0,77700,6.7171560244,6.8225066521,6.6370895473,6.7424401751,77700,0.0,1.0
ATO,2000-05-09 00:00:00+00:00,15.56,16.12,15.56,15.94,86900,6.5570230702,6.7930084764,6.5570230702,6.7171560244,86900,0.0,1.0
ATO,2000-05-10 00:00:00+00:00,15.44,15.62,15.19,15.56,67100,6.5064547689,6.5823072209,6.4011041412,6.5570230702,67100,0.0,1.0
ATO,2000-05-11 00:00:00+00:00,15.69,15.69,15.38,15.44,72700,6.6118053967,6.6118053967,6.4811706183,6.5064547689,72700,0.0,1.0
ATO,2000-05-12 00:00:00+00:00,15.94,15.94,15.44,15.56,33100,6.7171560244,6.7171560244,6.5064547689,6.5570230702,33100,0.0,1.0
ATO,2000-05-15 00:00:00+00:00,15.88,16.44,15.62,15.94,60800,6.6918718737,6.9278572799,6.5823072209,6.7171560244,60800,0.0,1.0
ATO,2000-05-16 00:00:00+00:00,16.5,16.81,16.0,16.0,101200,6.9531414305,7.0837762089,6.7424401751,6.7424401751,101200,0.0,1.0
ATO,2000-05-17 00:00:00+00:00,16.19,16.69,16.19,16.69,45100,6.8225066521,7.0332079076,6.8225066521,7.0332079076,45100,0.0,1.0
