symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ATVI,2000-01-03 00:00:00+00:00,16.44,16.5,14.0,15.75,602150,1.2147535909,1.2191869981,1.0344616954,1.1637694073,7225799,0.0,1.0
ATVI,2000-01-04 00:00:00+00:00,15.94,16.25,14.25,16.12,355200,1.1778085303,1.2007144679,1.0529342257,1.1911087521,4262399,0.0,1.0
ATVI,2000-01-05 00:00:00+00:00,16.0,16.37,15.75,15.81,282417,1.1822419376,1.2095812824,1.1637694073,1.1682028146,3389003,0.0,1.0
ATVI,2000-01-06 00:00:00+00:00,15.69,16.0,15.56,15.88,202417,1.159336,1.1822419376,1.1497302843,1.1733751231,2429003,0.0,1.0
ATVI,2000-01-07 00:00:00+00:00,16.12,16.25,15.5,15.88,1295750,1.1911087521,1.2007144679,1.145296877,1.1733751231,15548999,0.0,1.0
ATVI,2000-01-10 00:00:00+00:00,16.94,17.0,15.88,16.25,912550,1.2516986514,1.2561320587,1.1733751231,1.2007144679,10950599,0.0,1.0
ATVI,2000-01-11 00:00:00+00:00,17.69,18.25,16.88,17.0,892550,1.3071162422,1.3484947101,1.2472652442,1.2561320587,10710599,0.0,1.0
ATVI,2000-01-12 00:00:00+00:00,16.94,17.25,16.37,17.25,224017,1.2516986514,1.274604589,1.2095812824,1.274604589,2688203,0.0,1.0
ATVI,2000-01-13 00:00:00+00:00,17.12,17.25,16.5,16.88,272267,1.2649988732,1.274604589,1.2191869981,1.2472652442,3267203,0.0,1.0
ATVI,2000-01-14 00:00:00+00:00,16.94,17.12,16.69,16.88,212817,1.2516986514,1.2649988732,1.2332261211,1.2472652442,2553803,0.0,1.0
ATVI,2000-01-18 00:00:00+00:00,17.0,17.44,16.94,17.0,205067,1.2561320587,1.288643712,1.2516986514,1.2561320587,2460803,0.0,1.0
ATVI,2000-01-19 00:00:00+00:00,16.75,17.12,16.69,17.12,299467,1.2376595284,1.2649988732,1.2332261211,1.2649988732,3593603,0.0,1.0
ATVI,2000-01-20 00:00:00+00:00,15.81,17.0,15.62,16.63,444967,1.1682028146,1.2561320587,1.1541636916,1.2287927139,5339603,0.0,1.0
ATVI,2000-01-21 00:00:00+00:00,15.13,15.81,14.87,15.78,955033,1.1179575322,1.1682028146,1.0987461007,1.1659861109,11460395,0.0,1.0
ATVI,2000-01-24 00:00:00+00:00,15.0,15.19,14.75,15.03,421350,1.1083518165,1.1223909395,1.0898792862,1.1105685201,5056199,0.0,1.0
ATVI,2000-01-25 00:00:00+00:00,14.5,15.13,13.59,15.13,509433,1.0714067559,1.1179575322,1.0041667457,1.1179575322,6113195,0.0,1.0
ATVI,2000-01-26 00:00:00+00:00,15.88,16.5,14.5,14.75,978833,1.1733751231,1.2191869981,1.0714067559,1.0898792862,11745995,0.0,1.0
ATVI,2000-01-27 00:00:00+00:00,17.19,17.62,16.25,17.25,779033,1.2701711817,1.3019439338,1.2007144679,1.274604589,9348395,0.0,1.0
ATVI,2000-01-28 00:00:00+00:00,16.37,17.0,16.12,16.75,242833,1.2095812824,1.2561320587,1.1911087521,1.2376595284,2913995,0.0,1.0
ATVI,2000-01-31 00:00:00+00:00,15.62,16.63,15.5,16.56,122400,1.1541636916,1.2287927139,1.145296877,1.2236204054,1468799,0.0,1.0
ATVI,2000-02-01 00:00:00+00:00,16.88,17.5,15.75,15.78,192967,1.2472652442,1.2930771192,1.1637694073,1.1659861109,2315603,0.0,1.0
ATVI,2000-02-02 00:00:00+00:00,17.38,17.69,16.5,17.0,515567,1.2842103047,1.3071162422,1.2191869981,1.2561320587,6186803,0.0,1.0
ATVI,2000-02-03 00:00:00+00:00,17.56,17.62,17.19,17.44,541767,1.2975105265,1.3019439338,1.2701711817,1.288643712,6501203,0.0,1.0
ATVI,2000-02-04 00:00:00+00:00,15.75,17.56,15.0,17.53,2108267,1.1637694073,1.2975105265,1.1083518165,1.2952938229,25299203,0.0,1.0
ATVI,2000-02-07 00:00:00+00:00,15.0,15.31,14.94,15.13,856633,1.1083518165,1.131257754,1.1039184092,1.1179575322,10279595,0.0,1.0
ATVI,2000-02-08 00:00:00+00:00,14.75,15.25,14.25,15.13,603750,1.0898792862,1.1268243468,1.0529342257,1.1179575322,7244999,0.0,1.0
ATVI,2000-02-09 00:00:00+00:00,14.53,14.94,14.38,14.75,210833,1.0736234596,1.1039184092,1.0625399414,1.0898792862,2529995,0.0,1.0
ATVI,2000-02-10 00:00:00+00:00,14.44,14.87,14.38,14.87,216633,1.0669733487,1.0987461007,1.0625399414,1.0987461007,2599595,0.0,1.0
ATVI,2000-02-11 00:00:00+00:00,14.87,15.0,14.56,14.75,148967,1.0987461007,1.1083518165,1.0758401632,1.0898792862,1787603,0.0,1.0
ATVI,2000-02-14 00:00:00+00:00,14.38,15.0,14.25,14.87,180367,1.0625399414,1.1083518165,1.0529342257,1.0987461007,2164403,0.0,1.0
ATVI,2000-02-15 00:00:00+00:00,14.0,14.56,14.0,14.56,206233,1.0344616954,1.0758401632,1.0344616954,1.0758401632,2474795,0.0,1.0
ATVI,2000-02-16 00:00:00+00:00,14.02,14.69,14.0,14.38,235033,1.0359394978,1.0854458789,1.0344616954,1.0625399414,2820395,0.0,1.0
ATVI,2000-02-17 00:00:00+00:00,14.03,14.56,14.0,14.38,203200,1.036678399,1.0758401632,1.0344616954,1.0625399414,2438399,0.0,1.0
ATVI,2000-02-18 00:00:00+00:00,13.5,14.5,12.62,14.25,464550,0.9975166348,1.0714067559,0.9324933283,1.0529342257,5574599,0.0,1.0
ATVI,2000-02-22 00:00:00+00:00,13.37,13.81,13.06,13.5,116433,0.9879109191,1.0204225724,0.9650049816,0.9975166348,1397195,0.0,1.0
ATVI,2000-02-23 00:00:00+00:00,13.06,13.5,12.88,13.5,106150,0.9650049816,0.9975166348,0.9517047598,0.9975166348,1273799,0.0,1.0
ATVI,2000-02-24 00:00:00+00:00,13.12,13.25,12.75,13.25,133617,0.9694383888,0.9790441046,0.942099044,0.9790441046,1603403,0.0,1.0
ATVI,2000-02-25 00:00:00+00:00,12.75,13.25,12.62,13.25,248800,0.942099044,0.9790441046,0.9324933283,0.9790441046,2985599,0.0,1.0
ATVI,2000-02-28 00:00:00+00:00,12.56,12.88,12.5,12.69,230233,0.928059921,0.9517047598,0.9236265137,0.9376656367,2762795,0.0,1.0
ATVI,2000-02-29 00:00:00+00:00,12.69,12.88,12.5,12.5,232800,0.9376656367,0.9517047598,0.9236265137,0.9236265137,2793599,0.0,1.0
ATVI,2000-03-01 00:00:00+00:00,14.5,15.0,12.75,12.88,1367033,1.0714067559,1.1083518165,0.942099044,0.9517047598,16404395,0.0,1.0
ATVI,2000-03-02 00:00:00+00:00,14.5,15.0,14.12,14.78,203200,1.0714067559,1.1083518165,1.0433285099,1.0920959898,2438399,0.0,1.0
ATVI,2000-03-03 00:00:00+00:00,14.81,15.06,14.12,14.5,1026667,1.0943126935,1.1127852238,1.0433285099,1.0714067559,12320003,0.0,1.0
ATVI,2000-03-06 00:00:00+00:00,14.38,15.0,14.25,15.0,184817,1.0625399414,1.1083518165,1.0529342257,1.1083518165,2217803,0.0,1.0
ATVI,2000-03-07 00:00:00+00:00,13.75,14.81,13.19,14.5,229867,1.0159891651,1.0943126935,0.9746106973,1.0714067559,2758403,0.0,1.0
ATVI,2000-03-08 00:00:00+00:00,13.19,13.75,13.14,13.75,160367,0.9746106973,1.0159891651,0.9709161912,1.0159891651,1924403,0.0,1.0
ATVI,2000-03-09 00:00:00+00:00,14.44,14.44,13.44,13.5,169767,1.0669733487,1.0669733487,0.9930832276,0.9975166348,2037203,0.0,1.0
ATVI,2000-03-10 00:00:00+00:00,14.31,14.81,14.25,14.44,431200,1.0573676329,1.0943126935,1.0529342257,1.0669733487,5174399,0.0,1.0
ATVI,2000-03-13 00:00:00+00:00,13.56,14.5,13.5,14.5,136017,1.0019500421,1.0714067559,0.9975166348,1.0714067559,1632203,0.0,1.0
ATVI,2000-03-14 00:00:00+00:00,13.88,14.06,13.0,13.81,223750,1.0255948809,1.0388951027,0.9605715743,1.0204225724,2684999,0.0,1.0
ATVI,2000-03-15 00:00:00+00:00,13.0,14.0,12.81,14.0,615567,0.9605715743,1.0344616954,0.9465324513,1.0344616954,7386803,0.0,1.0
ATVI,2000-03-16 00:00:00+00:00,13.0,13.75,12.94,13.75,168550,0.9605715743,1.0159891651,0.956138167,1.0159891651,2022599,0.0,1.0
ATVI,2000-03-17 00:00:00+00:00,13.09,13.63,12.88,12.88,272800,0.9672216852,1.0071223506,0.9517047598,0.9517047598,3273599,0.0,1.0
ATVI,2000-03-20 00:00:00+00:00,13.5,14.12,13.16,13.25,188967,0.9975166348,1.0433285099,0.9723939937,0.9790441046,2267603,0.0,1.0
ATVI,2000-03-21 00:00:00+00:00,13.44,14.0,13.25,13.81,70033,0.9930832276,1.0344616954,0.9790441046,1.0204225724,840395,0.0,1.0
ATVI,2000-03-22 00:00:00+00:00,13.37,13.94,13.31,13.63,96367,0.9879109191,1.0300282881,0.9834775118,1.0071223506,1156403,0.0,1.0
ATVI,2000-03-23 00:00:00+00:00,12.88,13.5,12.62,13.31,188800,0.9517047598,0.9975166348,0.9324933283,0.9834775118,2265599,0.0,1.0
ATVI,2000-03-24 00:00:00+00:00,13.63,13.63,12.75,13.0,383217,1.0071223506,1.0071223506,0.942099044,0.9605715743,4598603,0.0,1.0
ATVI,2000-03-27 00:00:00+00:00,13.12,13.63,13.12,13.37,219467,0.9694383888,1.0071223506,0.9694383888,0.9879109191,2633603,0.0,1.0
