symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AVB,2000-01-03 00:00:00+00:00,33.94,34.25,33.81,34.19,61900,13.3265414862,13.4482629906,13.2754969843,13.4247039898,61900,0.0,1.0
AVB,2000-01-04 00:00:00+00:00,33.19,33.81,32.94,33.75,112300,13.0320539755,13.2754969843,12.9338914719,13.2519379835,112300,0.0,1.0
AVB,2000-01-05 00:00:00+00:00,33.19,33.25,32.63,33.19,259300,13.0320539755,13.0556129763,12.8121699674,13.0320539755,259300,0.0,1.0
AVB,2000-01-06 00:00:00+00:00,34.63,34.63,33.31,33.38,126500,13.5974699961,13.5974699961,13.0791719772,13.1066574782,126500,0.0,1.0
AVB,2000-01-07 00:00:00+00:00,35.5,36.0,34.69,35.0,139100,13.9390755085,14.1354005157,13.6210289969,13.7427505014,139100,0.0,1.0
AVB,2000-01-10 00:00:00+00:00,35.94,35.94,35.38,35.5,110500,14.1118415148,14.1118415148,13.8919575068,13.9390755085,110500,0.0,1.0
AVB,2000-01-11 00:00:00+00:00,35.19,35.94,35.19,35.75,76500,13.8173540041,14.1118415148,13.8173540041,14.0372380121,76500,0.0,1.0
AVB,2000-01-12 00:00:00+00:00,35.13,35.38,35.06,35.06,25000,13.7937950032,13.8919575068,13.7663095022,13.7663095022,25000,0.0,1.0
AVB,2000-01-13 00:00:00+00:00,35.0,35.19,34.69,35.13,58100,13.7427505014,13.8173540041,13.6210289969,13.7937950032,58100,0.0,1.0
AVB,2000-01-14 00:00:00+00:00,35.0,35.25,34.94,35.13,252900,13.7427505014,13.840913005,13.7191915005,13.7937950032,252900,0.0,1.0
AVB,2000-01-18 00:00:00+00:00,34.38,35.44,34.38,35.0,194400,13.4993074925,13.9155165077,13.4993074925,13.7427505014,194400,0.0,1.0
AVB,2000-01-19 00:00:00+00:00,35.56,35.56,34.63,34.63,68200,13.9626345094,13.9626345094,13.5974699961,13.5974699961,68200,0.0,1.0
AVB,2000-01-20 00:00:00+00:00,35.19,35.38,35.06,35.31,49700,13.8173540041,13.8919575068,13.7663095022,13.8644720058,49700,0.0,1.0
AVB,2000-01-21 00:00:00+00:00,35.25,35.5,35.13,35.25,87100,13.840913005,13.9390755085,13.7937950032,13.840913005,87100,0.0,1.0
AVB,2000-01-24 00:00:00+00:00,35.25,35.31,35.0,35.06,61400,13.840913005,13.8644720058,13.7427505014,13.7663095022,61400,0.0,1.0
AVB,2000-01-25 00:00:00+00:00,35.25,35.31,35.13,35.25,161200,13.840913005,13.8644720058,13.7937950032,13.840913005,161200,0.0,1.0
AVB,2000-01-26 00:00:00+00:00,35.13,35.25,35.0,35.13,117900,13.7937950032,13.840913005,13.7427505014,13.7937950032,117900,0.0,1.0
AVB,2000-01-27 00:00:00+00:00,35.19,35.19,34.63,35.13,131200,13.8173540041,13.8173540041,13.5974699961,13.7937950032,131200,0.0,1.0
