symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AVGO,2009-08-06 00:00:00+00:00,16.18,16.91,15.56,16.5,24197800,12.090590375,12.6360867269,11.6272921035,12.3297120635,24197800,0.0,1.0
AVGO,2009-08-07 00:00:00+00:00,16.43,16.76,16.03,16.15,2454300,12.2774041941,12.5239984354,11.9785020835,12.0681727167,2454300,0.0,1.0
AVGO,2009-08-10 00:00:00+00:00,15.97,16.63,15.61,16.63,2421000,11.9336667669,12.4268552495,11.6646548674,12.4268552495,2421000,0.0,1.0
AVGO,2009-08-11 00:00:00+00:00,15.67,16.0,15.5,15.98,2305400,11.7094901839,11.9560844252,11.5824567869,11.9411393197,2305400,0.0,1.0
AVGO,2009-08-12 00:00:00+00:00,16.0,16.2,15.66,16.15,1451300,11.9560844252,12.1055354805,11.7020176312,12.0681727167,1451300,0.0,1.0
AVGO,2009-08-13 00:00:00+00:00,16.55,16.72,16.0,16.0,1150600,12.3670748273,12.4941082243,11.9560844252,11.9560844252,1150600,0.0,1.0
AVGO,2009-08-14 00:00:00+00:00,16.6,17.0,16.25,16.5,637800,12.4044375912,12.7033397018,12.1428982444,12.3297120635,637800,0.0,1.0
AVGO,2009-08-17 00:00:00+00:00,16.22,16.37,16.2,16.27,254400,12.1204805861,12.2325688775,12.1055354805,12.1578433499,254400,0.0,1.0
AVGO,2009-08-18 00:00:00+00:00,17.07,17.2,16.35,16.48,1446700,12.7556475712,12.8527907571,12.217623772,12.314766958,1446700,0.0,1.0
AVGO,2009-08-19 00:00:00+00:00,17.89,17.94,16.8,16.84,2070800,13.3683968979,13.4057596618,12.5538886465,12.5837788575,2070800,0.0,1.0
AVGO,2009-08-20 00:00:00+00:00,17.76,17.95,17.29,17.95,1882100,13.271253712,13.4132322145,12.920043732,13.4132322145,1882100,0.0,1.0
AVGO,2009-08-21 00:00:00+00:00,17.82,17.97,17.58,17.79,863600,13.3160890286,13.4281773201,13.1367477622,13.2936713703,863600,0.0,1.0
AVGO,2009-08-24 00:00:00+00:00,17.5,17.85,17.3,17.52,1021600,13.0769673401,13.3385066869,12.9275162848,13.0919124456,1021600,0.0,1.0
AVGO,2009-08-25 00:00:00+00:00,17.85,17.9,17.55,17.65,530800,13.3385066869,13.3758694507,13.1143301039,13.1890556316,530800,0.0,1.0
AVGO,2009-08-26 00:00:00+00:00,17.85,17.85,17.15,17.69,708600,13.3385066869,13.3385066869,12.8154279933,13.2189458426,708600,0.0,1.0
AVGO,2009-08-27 00:00:00+00:00,18.16,18.21,17.55,17.85,1161100,13.5701558226,13.6075185864,13.1143301039,13.3385066869,1161100,0.0,1.0
AVGO,2009-08-28 00:00:00+00:00,18.47,19.0,18.0,18.1,1295000,13.8018049584,14.1978502549,13.4505949784,13.525320506,1295000,0.0,1.0
AVGO,2009-08-31 00:00:00+00:00,18.2,18.4,17.81,18.35,1004800,13.6000460337,13.749497089,13.3086164758,13.7121343252,1004800,0.0,1.0
AVGO,2009-09-01 00:00:00+00:00,17.85,18.44,16.94,18.25,1383500,13.3385066869,13.7793873001,12.6585043852,13.6374087975,1383500,0.0,1.0
AVGO,2009-09-02 00:00:00+00:00,17.68,18.25,17.48,17.76,1293400,13.2114732899,13.6374087975,13.0620222345,13.271253712,1293400,0.0,1.0
AVGO,2009-09-03 00:00:00+00:00,17.45,17.97,17.0,17.97,3657700,13.0396045762,13.4281773201,12.7033397018,13.4281773201,3657700,0.0,1.0
AVGO,2009-09-04 00:00:00+00:00,17.76,17.9989,17.49,17.75,1158600,13.271253712,13.4497729976,13.0694947873,13.2637811592,1158600,0.0,1.0
AVGO,2009-09-08 00:00:00+00:00,17.7,17.93,17.45,17.76,574900,13.2264183954,13.398287109,13.0396045762,13.271253712,574900,0.0,1.0
AVGO,2009-09-09 00:00:00+00:00,17.26,17.85,17.22,17.85,551200,12.8976260737,13.3385066869,12.8677358626,13.3385066869,551200,0.0,1.0
AVGO,2009-09-10 00:00:00+00:00,17.05,17.46,16.95,17.01,415200,12.7407024656,13.047077129,12.665976938,12.7108122546,415200,0.0,1.0
AVGO,2009-09-11 00:00:00+00:00,16.88,17.33,16.54,17.0,620300,12.6136690686,12.9499339431,12.3596022746,12.7033397018,620300,0.0,1.0
AVGO,2009-09-14 00:00:00+00:00,16.65,16.8999,16.31,16.64,1614500,12.441800355,12.6285394486,12.187733561,12.4343278022,1614500,0.0,1.0
AVGO,2009-09-15 00:00:00+00:00,17.18,17.35,16.63,17.25,1986900,12.8378456516,12.9648790486,12.4268552495,12.8901535209,1986900,0.0,1.0
AVGO,2009-09-16 00:00:00+00:00,17.58,17.75,17.11,17.4,2021100,13.1367477622,13.2637811592,12.7855377822,13.0022418124,2021100,0.0,1.0
AVGO,2009-09-17 00:00:00+00:00,16.64,17.9,16.53,17.66,1446400,12.4343278022,13.3758694507,12.3521297218,13.1965281843,1446400,0.0,1.0
AVGO,2009-09-18 00:00:00+00:00,16.2,17.02,16.18,16.57,899900,12.1055354805,12.7182848073,12.090590375,12.3820199329,899900,0.0,1.0
AVGO,2009-09-21 00:00:00+00:00,16.61,16.63,15.87,16.28,553000,12.4119101439,12.4268552495,11.8589412393,12.1653159027,553000,0.0,1.0
AVGO,2009-09-22 00:00:00+00:00,17.25,17.37,16.82,16.96,1114100,12.8901535209,12.9798241541,12.568833752,12.6734494907,1114100,0.0,1.0
AVGO,2009-09-23 00:00:00+00:00,17.4,17.79,17.3,17.62,530300,13.0022418124,13.2936713703,12.9275162848,13.1666379733,530300,0.0,1.0
AVGO,2009-09-24 00:00:00+00:00,17.49,17.8488,16.75,17.33,778800,13.0694947873,13.3376099805,12.5165258826,12.9499339431,778800,0.0,1.0
AVGO,2009-09-25 00:00:00+00:00,17.13,17.48,17.1,17.48,468500,12.8004828877,13.0620222345,12.7780652294,13.0620222345,468500,0.0,1.0
AVGO,2009-09-28 00:00:00+00:00,17.65,17.85,17.03,17.32,233600,13.1890556316,13.3385066869,12.7257573601,12.9424613903,233600,0.0,1.0
AVGO,2009-09-29 00:00:00+00:00,17.03,17.84,16.95,17.55,356700,12.7257573601,13.3310341341,12.665976938,13.1143301039,356700,0.0,1.0
AVGO,2009-09-30 00:00:00+00:00,17.07,17.33,16.96,17.0,512600,12.7556475712,12.9499339431,12.6734494907,12.7033397018,512600,0.0,1.0
AVGO,2009-10-01 00:00:00+00:00,16.31,17.09,16.21,17.0,660500,12.187733561,12.7705926767,12.1130080333,12.7033397018,660500,0.0,1.0
AVGO,2009-10-02 00:00:00+00:00,16.09,16.36,15.9002,16.2,629600,12.0233374001,12.2250963248,11.8815083486,12.1055354805,629600,0.0,1.0
AVGO,2009-10-05 00:00:00+00:00,16.49,16.53,16.0,16.1,188900,12.3222395107,12.3521297218,11.9560844252,12.0308099529,188900,0.0,1.0
AVGO,2009-10-06 00:00:00+00:00,16.47,17.1993,16.44,16.74,469400,12.3072944052,12.8522676784,12.2848767469,12.5090533299,469400,0.0,1.0
AVGO,2009-10-07 00:00:00+00:00,16.13,16.61,15.92,16.57,291700,12.0532276112,12.4119101439,11.8963040031,12.3820199329,291700,0.0,1.0
AVGO,2009-10-08 00:00:00+00:00,16.01,16.18,15.94,16.11,557300,11.963556978,12.090590375,11.9112491086,12.0382825056,557300,0.0,1.0
AVGO,2009-10-09 00:00:00+00:00,16.25,16.45,15.94,15.98,870500,12.1428982444,12.2923492997,11.9112491086,11.9411393197,870500,0.0,1.0
AVGO,2009-10-12 00:00:00+00:00,16.34,16.45,16.04,16.22,1288800,12.2101512193,12.2923492997,11.9859746363,12.1204805861,1288800,0.0,1.0
AVGO,2009-10-13 00:00:00+00:00,16.53,16.67,16.15,16.19,557300,12.3521297218,12.4567454605,12.0681727167,12.0980629278,557300,0.0,1.0
AVGO,2009-10-14 00:00:00+00:00,16.86,17.0,16.54,16.84,695500,12.5987239631,12.7033397018,12.3596022746,12.5837788575,695500,0.0,1.0
AVGO,2009-10-15 00:00:00+00:00,17.16,17.95,17.1,17.4,2092000,12.822900546,13.4132322145,12.7780652294,13.0022418124,2092000,0.0,1.0
AVGO,2009-10-16 00:00:00+00:00,16.43,17.23,16.21,17.23,1263800,12.2774041941,12.8752084154,12.1130080333,12.8752084154,1263800,0.0,1.0
AVGO,2009-10-19 00:00:00+00:00,16.24,16.64,16.06,16.46,2142900,12.1354256916,12.4343278022,12.0009197418,12.2998218524,2142900,0.0,1.0
