symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AWK,2008-04-23 00:00:00+00:00,20.6,21.45,20.22,20.6,23402800,14.2814447046,14.8707276171,14.018000579,14.2814447046,23402800,0.0,1.0
AWK,2008-04-24 00:00:00+00:00,20.81,21.0,20.31,20.72,4960900,14.4270322477,14.5587543105,14.0803952403,14.3646375863,4960900,0.0,1.0
AWK,2008-04-25 00:00:00+00:00,21.17,21.25,20.7,21.0,1956800,14.676610893,14.7320728142,14.350772106,14.5587543105,1956800,0.0,1.0
AWK,2008-04-28 00:00:00+00:00,21.0,21.49,20.81,21.49,709400,14.5587543105,14.8984585777,14.4270322477,14.8984585777,709400,0.0,1.0
AWK,2008-04-29 00:00:00+00:00,21.07,21.39,20.82,21.39,859700,14.6072834915,14.8291311762,14.4339649878,14.8291311762,859700,0.0,1.0
AWK,2008-04-30 00:00:00+00:00,21.15,21.2,20.92,21.08,893300,14.6627454127,14.6974091134,14.5032923893,14.6142162317,893300,0.0,1.0
AWK,2008-05-01 00:00:00+00:00,21.91,22.0,21.0,21.22,2999000,15.1896336639,15.2520283253,14.5587543105,14.7112745937,2999000,0.0,1.0
AWK,2008-05-02 00:00:00+00:00,22.01,22.16,21.49,22.16,1639400,15.2589610654,15.3629521676,14.8984585777,15.3629521676,1639400,0.0,1.0
AWK,2008-05-05 00:00:00+00:00,21.91,22.45,21.56,22.45,579000,15.1896336639,15.5640016319,14.9469877588,15.5640016319,579000,0.0,1.0
AWK,2008-05-06 00:00:00+00:00,21.55,21.86,21.37,21.8,1040200,14.9400550186,15.1549699632,14.815265696,15.1133735223,1040200,0.0,1.0
AWK,2008-05-07 00:00:00+00:00,21.21,21.6,20.65,21.5,1240100,14.7043418536,14.9747187194,14.3161084053,14.9053913179,1240100,0.0,1.0
AWK,2008-05-08 00:00:00+00:00,21.25,21.3,21.03,21.23,888100,14.7320728142,14.7667365149,14.5795525309,14.7182073339,888100,0.0,1.0
AWK,2008-05-09 00:00:00+00:00,21.67,21.84,21.03,21.25,550400,15.0232479004,15.1411044829,14.5795525309,14.7320728142,550400,0.0,1.0
AWK,2008-05-12 00:00:00+00:00,21.5,21.74,21.28,21.7,1168000,14.9053913179,15.0717770814,14.7528710346,15.0440461208,1168000,0.0,1.0
AWK,2008-05-13 00:00:00+00:00,21.32,21.54,20.8,21.53,1783900,14.7806019952,14.9331222785,14.4200995075,14.9261895383,1783900,0.0,1.0
AWK,2008-05-14 00:00:00+00:00,21.3,21.48,20.51,20.51,649200,14.7667365149,14.8915258376,14.2190500432,14.2190500432,649200,0.0,1.0
AWK,2008-05-15 00:00:00+00:00,21.16,21.46,21.1,21.45,470400,14.6696781528,14.8776603573,14.628081712,14.8707276171,470400,0.0,1.0
AWK,2008-05-16 00:00:00+00:00,21.62,21.65,21.1,21.43,1002400,14.9885841996,15.0093824201,14.628081712,14.8568621368,1002400,0.0,1.0
AWK,2008-05-19 00:00:00+00:00,21.75,22.09,21.55,21.89,802900,15.0787098216,15.3144229866,14.9400550186,15.1757681836,802900,0.0,1.0
AWK,2008-05-20 00:00:00+00:00,21.65,21.97,21.45,21.97,504100,15.0093824201,15.2312301048,14.8707276171,15.2312301048,504100,0.0,1.0
AWK,2008-05-21 00:00:00+00:00,21.16,21.85,21.05,21.85,407100,14.6696781528,15.148037223,14.5934180112,15.148037223,407100,0.0,1.0
AWK,2008-05-22 00:00:00+00:00,21.35,21.45,21.12,21.37,274600,14.8014002157,14.8707276171,14.6419471923,14.815265696,274600,0.0,1.0
AWK,2008-05-23 00:00:00+00:00,21.14,21.25,21.0,21.25,464200,14.6558126726,14.7320728142,14.5587543105,14.7320728142,464200,0.0,1.0
AWK,2008-05-27 00:00:00+00:00,21.23,21.49,21.05,21.49,320300,14.7182073339,14.8984585777,14.5934180112,14.8984585777,320300,0.0,1.0
AWK,2008-05-28 00:00:00+00:00,21.41,21.42,21.07,21.1,403800,14.8429966565,14.8499293967,14.6072834915,14.628081712,403800,0.0,1.0
AWK,2008-05-29 00:00:00+00:00,21.06,21.5,21.05,21.39,384600,14.6003507514,14.9053913179,14.5934180112,14.8291311762,384600,0.0,1.0
AWK,2008-05-30 00:00:00+00:00,21.5,21.5,21.05,21.1,784300,14.9053913179,14.9053913179,14.5934180112,14.628081712,784300,0.0,1.0
