symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AZO,2000-01-03 00:00:00+00:00,30.56,32.5,30.5,32.12,441000,30.56,32.5,30.5,32.12,441000,0.0,1.0
AZO,2000-01-04 00:00:00+00:00,30.44,30.94,30.31,30.5,490600,30.44,30.94,30.31,30.5,490600,0.0,1.0
AZO,2000-01-05 00:00:00+00:00,30.06,30.38,29.88,30.31,577400,30.06,30.38,29.88,30.31,577400,0.0,1.0
AZO,2000-01-06 00:00:00+00:00,29.06,29.94,28.94,29.75,489600,29.06,29.94,28.94,29.75,489600,0.0,1.0
AZO,2000-01-07 00:00:00+00:00,30.44,31.13,29.06,29.06,472100,30.44,31.13,29.06,29.06,472100,0.0,1.0
AZO,2000-01-10 00:00:00+00:00,30.69,31.63,30.56,31.5,355100,30.69,31.63,30.56,31.5,355100,0.0,1.0
AZO,2000-01-11 00:00:00+00:00,30.06,30.94,30.06,30.94,648700,30.06,30.94,30.06,30.94,648700,0.0,1.0
AZO,2000-01-12 00:00:00+00:00,29.81,30.0,29.5,29.94,445500,29.81,30.0,29.5,29.94,445500,0.0,1.0
AZO,2000-01-13 00:00:00+00:00,30.0,30.5,29.56,29.69,224300,30.0,30.5,29.56,29.69,224300,0.0,1.0
AZO,2000-01-14 00:00:00+00:00,29.75,30.31,29.63,30.0,546400,29.75,30.31,29.63,30.0,546400,0.0,1.0
AZO,2000-01-18 00:00:00+00:00,29.63,30.44,29.25,29.5,341900,29.63,30.44,29.25,29.5,341900,0.0,1.0
AZO,2000-01-19 00:00:00+00:00,30.13,30.25,29.69,29.75,240500,30.13,30.25,29.69,29.75,240500,0.0,1.0
AZO,2000-01-20 00:00:00+00:00,29.06,30.06,29.0,30.0,375400,29.06,30.06,29.0,30.0,375400,0.0,1.0
AZO,2000-01-21 00:00:00+00:00,28.25,29.31,28.0,29.31,516500,28.25,29.31,28.0,29.31,516500,0.0,1.0
AZO,2000-01-24 00:00:00+00:00,27.75,28.44,27.75,28.19,384600,27.75,28.44,27.75,28.19,384600,0.0,1.0
AZO,2000-01-25 00:00:00+00:00,27.88,28.31,27.38,27.63,361200,27.88,28.31,27.38,27.63,361200,0.0,1.0
AZO,2000-01-26 00:00:00+00:00,27.63,28.0,26.75,26.75,600700,27.63,28.0,26.75,26.75,600700,0.0,1.0
AZO,2000-01-27 00:00:00+00:00,27.0,27.69,26.69,27.5,441300,27.0,27.69,26.69,27.5,441300,0.0,1.0
AZO,2000-01-28 00:00:00+00:00,26.19,27.13,26.19,26.75,384800,26.19,27.13,26.19,26.75,384800,0.0,1.0
AZO,2000-01-31 00:00:00+00:00,26.25,26.5,26.13,26.25,329400,26.25,26.5,26.13,26.25,329400,0.0,1.0
AZO,2000-02-01 00:00:00+00:00,26.31,27.06,26.13,26.13,564300,26.31,27.06,26.13,26.13,564300,0.0,1.0
AZO,2000-02-02 00:00:00+00:00,25.81,26.25,25.63,26.06,512200,25.81,26.25,25.63,26.06,512200,0.0,1.0
AZO,2000-02-03 00:00:00+00:00,26.56,26.94,25.13,25.81,428900,26.56,26.94,25.13,25.81,428900,0.0,1.0
AZO,2000-02-04 00:00:00+00:00,26.63,27.13,26.5,26.5,388000,26.63,27.13,26.5,26.5,388000,0.0,1.0
AZO,2000-02-07 00:00:00+00:00,25.38,26.25,25.25,26.25,163100,25.38,26.25,25.25,26.25,163100,0.0,1.0
AZO,2000-02-08 00:00:00+00:00,25.19,25.63,24.5,25.38,575300,25.19,25.63,24.5,25.38,575300,0.0,1.0
AZO,2000-02-09 00:00:00+00:00,24.0,25.75,23.88,25.63,796600,24.0,25.75,23.88,25.63,796600,0.0,1.0
AZO,2000-02-10 00:00:00+00:00,24.06,24.25,23.38,24.0,1114300,24.06,24.25,23.38,24.0,1114300,0.0,1.0
AZO,2000-02-11 00:00:00+00:00,23.25,24.13,23.25,24.0,1216000,23.25,24.13,23.25,24.0,1216000,0.0,1.0
AZO,2000-02-14 00:00:00+00:00,23.38,23.5,23.06,23.25,237300,23.38,23.5,23.06,23.25,237300,0.0,1.0
AZO,2000-02-15 00:00:00+00:00,23.38,23.63,23.06,23.31,382100,23.38,23.63,23.06,23.31,382100,0.0,1.0
AZO,2000-02-16 00:00:00+00:00,22.31,23.56,22.06,23.38,922700,22.31,23.56,22.06,23.38,922700,0.0,1.0
AZO,2000-02-17 00:00:00+00:00,22.63,23.94,22.63,23.38,758100,22.63,23.94,22.63,23.38,758100,0.0,1.0
AZO,2000-02-18 00:00:00+00:00,22.13,23.13,22.0,23.0,1077000,22.13,23.13,22.0,23.0,1077000,0.0,1.0
AZO,2000-02-22 00:00:00+00:00,22.38,22.88,22.0,22.0,1041500,22.38,22.88,22.0,22.0,1041500,0.0,1.0
AZO,2000-02-23 00:00:00+00:00,23.25,23.5,22.31,22.38,937900,23.25,23.5,22.31,22.38,937900,0.0,1.0
AZO,2000-02-24 00:00:00+00:00,22.06,23.06,22.06,23.0,619500,22.06,23.06,22.06,23.0,619500,0.0,1.0
AZO,2000-02-25 00:00:00+00:00,23.31,24.38,22.06,22.06,685000,23.31,24.38,22.06,22.06,685000,0.0,1.0
AZO,2000-02-28 00:00:00+00:00,23.06,24.06,22.56,23.19,486000,23.06,24.06,22.56,23.19,486000,0.0,1.0
AZO,2000-02-29 00:00:00+00:00,24.0,24.63,22.75,22.94,878600,24.0,24.63,22.75,22.94,878600,0.0,1.0
AZO,2000-03-01 00:00:00+00:00,22.63,24.56,22.13,24.56,724400,22.63,24.56,22.13,24.56,724400,0.0,1.0
AZO,2000-03-02 00:00:00+00:00,22.81,23.25,22.5,22.75,945000,22.81,23.25,22.5,22.75,945000,0.0,1.0
AZO,2000-03-03 00:00:00+00:00,22.44,22.75,22.25,22.25,668200,22.44,22.75,22.25,22.25,668200,0.0,1.0
AZO,2000-03-06 00:00:00+00:00,22.38,22.69,22.25,22.56,661200,22.38,22.69,22.25,22.56,661200,0.0,1.0
AZO,2000-03-07 00:00:00+00:00,21.13,22.38,21.0,22.19,1092800,21.13,22.38,21.0,22.19,1092800,0.0,1.0
AZO,2000-03-08 00:00:00+00:00,22.0,22.06,21.38,21.38,485300,22.0,22.06,21.38,21.38,485300,0.0,1.0
AZO,2000-03-09 00:00:00+00:00,22.75,23.0,21.5,21.88,394600,22.75,23.0,21.5,21.88,394600,0.0,1.0
AZO,2000-03-10 00:00:00+00:00,21.81,22.69,21.56,22.56,476600,21.81,22.69,21.56,22.56,476600,0.0,1.0
AZO,2000-03-13 00:00:00+00:00,21.31,21.81,21.06,21.81,490100,21.31,21.81,21.06,21.81,490100,0.0,1.0
AZO,2000-03-14 00:00:00+00:00,22.56,22.75,21.19,21.5,519800,22.56,22.75,21.19,21.5,519800,0.0,1.0
AZO,2000-03-15 00:00:00+00:00,24.13,24.25,22.25,22.25,687700,24.13,24.25,22.25,22.25,687700,0.0,1.0
AZO,2000-03-16 00:00:00+00:00,26.44,27.0,23.5,24.0,863600,26.44,27.0,23.5,24.0,863600,0.0,1.0
AZO,2000-03-17 00:00:00+00:00,24.31,26.13,24.31,25.75,901500,24.31,26.13,24.31,25.75,901500,0.0,1.0
AZO,2000-03-20 00:00:00+00:00,25.0,25.0,24.44,24.63,519100,25.0,25.0,24.44,24.63,519100,0.0,1.0
AZO,2000-03-21 00:00:00+00:00,25.69,25.88,24.94,25.0,397500,25.69,25.88,24.94,25.0,397500,0.0,1.0
AZO,2000-03-22 00:00:00+00:00,24.75,25.44,24.5,25.44,543500,24.75,25.44,24.5,25.44,543500,0.0,1.0
AZO,2000-03-23 00:00:00+00:00,24.13,24.69,23.5,24.25,820500,24.13,24.69,23.5,24.25,820500,0.0,1.0
AZO,2000-03-24 00:00:00+00:00,25.56,25.94,24.25,24.63,622700,25.56,25.94,24.25,24.63,622700,0.0,1.0
AZO,2000-03-27 00:00:00+00:00,25.63,26.03,25.5,25.75,560400,25.63,26.03,25.5,25.75,560400,0.0,1.0
AZO,2000-03-28 00:00:00+00:00,26.25,26.63,25.25,25.25,518500,26.25,26.63,25.25,25.25,518500,0.0,1.0
AZO,2000-03-29 00:00:00+00:00,26.81,27.5,26.06,26.06,767700,26.81,27.5,26.06,26.06,767700,0.0,1.0
AZO,2000-03-30 00:00:00+00:00,27.19,27.75,26.88,27.06,468400,27.19,27.75,26.88,27.06,468400,0.0,1.0
