symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BAC,2000-01-03 00:00:00+00:00,48.44,50.25,48.0,50.25,6852900,12.8075581691,13.2861229975,12.6912219677,13.2861229975,13705800,0.0,1.0
BAC,2000-01-04 00:00:00+00:00,45.56,47.94,44.94,47.75,13646700,12.0460848511,12.6753579403,11.8821565673,12.6251218533,27293400,0.0,1.0
BAC,2000-01-05 00:00:00+00:00,46.06,46.44,44.5,45.06,11427800,12.1782850799,12.2787572538,11.7658203659,11.9138846222,22855600,0.0,1.0
BAC,2000-01-06 00:00:00+00:00,50.0,50.0,46.75,46.94,8653500,13.2200228831,13.2200228831,12.3607213957,12.4109574826,17307000,0.0,1.0
BAC,2000-01-07 00:00:00+00:00,48.69,49.63,48.0,49.63,5816400,12.8736582835,13.1221947137,12.6912219677,13.1221947137,11632800,0.0,1.0
BAC,2000-01-10 00:00:00+00:00,47.0,48.94,46.69,48.94,5576400,12.4268215101,12.939758398,12.3448573682,12.939758398,11152800,0.0,1.0
BAC,2000-01-11 00:00:00+00:00,46.0,46.94,45.56,45.56,5532200,12.1624210524,12.4109574826,12.0460848511,12.0460848511,11064400,0.0,1.0
BAC,2000-01-12 00:00:00+00:00,46.5,47.06,46.0,46.0,5533800,12.2946212813,12.4426855375,12.1624210524,12.1624210524,11067600,0.0,1.0
BAC,2000-01-13 00:00:00+00:00,47.56,47.88,46.88,47.0,6161000,12.5748857664,12.6594939128,12.3950934552,12.4268215101,12322000,0.0,1.0
BAC,2000-01-14 00:00:00+00:00,50.5,50.56,48.81,49.94,10219300,13.3522231119,13.3680871394,12.9053863385,13.2041588556,20438600,0.0,1.0
BAC,2000-01-18 00:00:00+00:00,48.0,50.0,47.81,50.0,8558000,12.6912219677,13.2200228831,12.6409858808,13.2200228831,17116000,0.0,1.0
BAC,2000-01-19 00:00:00+00:00,48.0,49.19,46.69,47.88,7734200,12.6912219677,13.0058585124,12.3448573682,12.6594939128,15468400,0.0,1.0
BAC,2000-01-20 00:00:00+00:00,47.08,48.0,46.0,47.5,6124500,12.4479735467,12.6912219677,12.1624210524,12.5590217389,12249000,0.0,1.0
BAC,2000-01-21 00:00:00+00:00,45.69,46.69,45.56,46.5,6419700,12.0804569106,12.3448573682,12.0460848511,12.2946212813,12839400,0.0,1.0
BAC,2000-01-24 00:00:00+00:00,44.56,46.25,44.5,45.75,6307400,11.7816843934,12.2285211668,11.7658203659,12.096320938,12614800,0.0,1.0
BAC,2000-01-25 00:00:00+00:00,45.13,45.69,44.69,44.94,7815500,11.9323926543,12.0804569106,11.8160564529,11.8821565673,15631000,0.0,1.0
BAC,2000-01-26 00:00:00+00:00,47.13,47.31,45.38,45.75,7720600,12.4611935696,12.508785652,11.9984927687,12.096320938,15441200,0.0,1.0
BAC,2000-01-27 00:00:00+00:00,48.13,48.38,47.06,47.56,6384700,12.7255940272,12.7916941417,12.4426855375,12.5748857664,12769400,0.0,1.0
BAC,2000-01-28 00:00:00+00:00,45.75,47.88,45.75,47.88,6758500,12.096320938,12.6594939128,12.096320938,12.6594939128,13517000,0.0,1.0
BAC,2000-01-31 00:00:00+00:00,48.44,48.44,46.31,46.5,8455000,12.8075581691,12.8075581691,12.2443851943,12.2946212813,16910000,0.0,1.0
BAC,2000-02-01 00:00:00+00:00,49.0,49.0,48.0,48.13,4482600,12.9556224254,12.9556224254,12.6912219677,12.7255940272,8965200,0.0,1.0
BAC,2000-02-02 00:00:00+00:00,47.75,48.5,47.38,47.5,5858700,12.6251218533,12.8234221966,12.527293684,12.5590217389,11717400,0.0,1.0
