symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BAX,2000-01-03 00:00:00+00:00,61.38,62.13,60.31,61.56,1053300,11.3143741972,11.4526241263,11.1171376317,11.3475541802,3838066,0.0,1.0
BAX,2000-01-04 00:00:00+00:00,60.0,61.0,59.75,60.38,472700,11.0599943276,11.2443275664,11.0139110179,11.1300409584,1722447,0.0,1.0
BAX,2000-01-05 00:00:00+00:00,63.13,63.38,59.5,60.0,1140800,11.6369573651,11.6830406748,10.9678277082,11.0599943276,4156903,0.0,1.0
BAX,2000-01-06 00:00:00+00:00,63.94,64.5,61.88,61.88,910000,11.7862672885,11.8894939022,11.4065408166,11.4065408166,3315903,0.0,1.0
BAX,2000-01-07 00:00:00+00:00,67.56,67.69,64.13,64.38,1214000,12.4535536129,12.477516934,11.8212906039,11.8673739136,4423633,0.0,1.0
BAX,2000-01-10 00:00:00+00:00,65.0,67.75,64.75,67.75,520500,11.9816605216,12.4885769283,11.9355772119,12.4885769283,1896623,0.0,1.0
BAX,2000-01-11 00:00:00+00:00,65.0,65.63,63.81,64.25,662300,11.9816605216,12.0977904621,11.7623039675,11.8434105925,2413321,0.0,1.0
BAX,2000-01-12 00:00:00+00:00,64.25,65.38,64.25,65.19,505800,11.8434105925,12.0517071524,11.8434105925,12.016683837,1843059,0.0,1.0
BAX,2000-01-13 00:00:00+00:00,65.75,66.88,64.5,64.75,745200,12.1199104507,12.3282070105,11.8894939022,11.9355772119,2715396,0.0,1.0
BAX,2000-01-14 00:00:00+00:00,63.75,65.5,62.31,65.0,1149000,11.7512439731,12.073827141,11.4858041093,11.9816605216,4186783,0.0,1.0
BAX,2000-01-18 00:00:00+00:00,62.94,64.0,62.5,63.5,646700,11.6019340497,11.7973272828,11.5208274246,11.7051606634,2356477,0.0,1.0
BAX,2000-01-19 00:00:00+00:00,62.81,63.38,62.31,62.94,707200,11.5779707287,11.6830406748,11.4858041093,11.6019340497,2576930,0.0,1.0
BAX,2000-01-20 00:00:00+00:00,61.0,62.88,60.5,62.56,1447700,11.2443275664,11.5908740554,11.152160947,11.531887419,5275201,0.0,1.0
BAX,2000-01-21 00:00:00+00:00,60.75,61.0,60.38,61.0,1626500,11.1982442567,11.2443275664,11.1300409584,11.2443275664,5926721,0.0,1.0
BAX,2000-01-24 00:00:00+00:00,59.31,60.94,58.88,60.75,927100,10.9328043929,11.2332675721,10.8535411002,11.1982442567,3378213,0.0,1.0
BAX,2000-01-25 00:00:00+00:00,58.0,59.19,56.25,59.13,1943500,10.6913278501,10.9106844042,10.3687446822,10.8996244099,7081821,0.0,1.0
BAX,2000-01-26 00:00:00+00:00,58.0,58.88,56.0,57.75,2675400,10.6913278501,10.8535411002,10.3226613725,10.6452445404,9748755,0.0,1.0
BAX,2000-01-27 00:00:00+00:00,63.06,64.0,59.0,59.5,3051500,11.6240540384,11.7973272828,10.8756610889,10.9678277082,11119207,0.0,1.0
BAX,2000-01-28 00:00:00+00:00,62.69,66.44,62.0,63.06,2061200,11.55585074,12.2471003855,11.4286608052,11.6240540384,7510703,0.0,1.0
BAX,2000-01-31 00:00:00+00:00,63.88,64.38,62.94,64.0,2156800,11.7752072942,11.8673739136,11.6019340497,11.7973272828,7859055,0.0,1.0
BAX,2000-02-01 00:00:00+00:00,63.13,63.88,62.63,63.88,806000,11.6369573651,11.7752072942,11.5447907457,11.7752072942,2936942,0.0,1.0
BAX,2000-02-02 00:00:00+00:00,63.38,63.5,62.13,62.88,1273800,11.6830406748,11.7051606634,11.4526241263,11.5908740554,4641535,0.0,1.0
BAX,2000-02-03 00:00:00+00:00,63.5,63.75,62.81,63.5,974100,11.7051606634,11.7512439731,11.5779707287,11.7051606634,3549474,0.0,1.0
BAX,2000-02-04 00:00:00+00:00,63.5,63.88,63.25,63.25,1273100,11.7051606634,11.7752072942,11.6590773537,11.6590773537,4638985,0.0,1.0
BAX,2000-02-07 00:00:00+00:00,63.06,63.63,62.5,63.25,873500,11.6240540384,11.7291239845,11.5208274246,11.6590773537,3182902,0.0,1.0
BAX,2000-02-08 00:00:00+00:00,62.94,63.81,62.44,62.81,744200,11.6019340497,11.7623039675,11.5097674303,11.5779707287,2711752,0.0,1.0
BAX,2000-02-09 00:00:00+00:00,62.88,63.0,60.13,62.0,1235900,11.5908740554,11.612994044,11.0839576487,11.4286608052,4503433,0.0,1.0
BAX,2000-02-10 00:00:00+00:00,60.56,62.88,59.63,62.88,846900,11.1632209414,11.5908740554,10.9917910293,11.5908740554,3085976,0.0,1.0
BAX,2000-02-11 00:00:00+00:00,59.25,60.44,59.0,60.38,717900,10.9217443985,11.1411009527,10.8756610889,11.1300409584,2615919,0.0,1.0
BAX,2000-02-14 00:00:00+00:00,59.75,60.56,59.0,59.63,734800,11.0139110179,11.1632209414,10.8756610889,10.9917910293,2677500,0.0,1.0
BAX,2000-02-15 00:00:00+00:00,59.13,59.75,58.25,59.25,1506800,10.8996244099,11.0139110179,10.7374111598,10.9217443985,5490552,0.0,1.0
BAX,2000-02-16 00:00:00+00:00,57.88,59.13,57.5,59.0,1125300,10.6692078614,10.8996244099,10.5991612307,10.8756610889,4100424,0.0,1.0
BAX,2000-02-17 00:00:00+00:00,57.69,58.0,57.06,57.88,1107900,10.634184546,10.6913278501,10.5180546056,10.6692078614,4037021,0.0,1.0
BAX,2000-02-18 00:00:00+00:00,55.88,57.44,55.56,57.44,1157900,10.3005413838,10.5881012363,10.2415547474,10.5881012363,4219213,0.0,1.0
BAX,2000-02-22 00:00:00+00:00,57.0,58.13,55.19,55.63,1476500,10.5069946113,10.7152911711,10.173351449,10.2544580741,5380144,0.0,1.0
BAX,2000-02-23 00:00:00+00:00,56.69,57.5,55.88,56.88,893700,10.4498513072,10.5991612307,10.3005413838,10.4848746226,3256508,0.0,1.0
BAX,2000-02-24 00:00:00+00:00,55.13,56.69,54.0,56.69,1196100,10.1622914547,10.4498513072,9.9539948949,10.4498513072,4358408,0.0,1.0
BAX,2000-02-25 00:00:00+00:00,54.19,57.69,53.75,55.63,1345300,9.9890182103,10.634184546,9.9079115852,10.2544580741,4902071,0.0,1.0
BAX,2000-02-28 00:00:00+00:00,54.88,56.19,54.25,54.69,818600,10.116208145,10.3576846878,10.0000782046,10.0811848296,2982855,0.0,1.0
BAX,2000-02-29 00:00:00+00:00,54.5,56.38,54.5,55.38,970900,10.0461615143,10.3927080032,10.0461615143,10.2083747644,3537813,0.0,1.0
BAX,2000-03-01 00:00:00+00:00,56.06,57.38,54.81,54.81,1304300,10.3337213668,10.577041242,10.1033048183,10.1033048183,4752673,0.0,1.0
BAX,2000-03-02 00:00:00+00:00,56.81,57.5,55.63,56.31,2085800,10.4719712959,10.5991612307,10.2544580741,10.3798046765,7600341,0.0,1.0
BAX,2000-03-03 00:00:00+00:00,56.63,58.63,56.63,57.06,2304000,10.4387913129,10.8074577905,10.4387913129,10.5180546056,8395429,0.0,1.0
BAX,2000-03-06 00:00:00+00:00,54.38,56.75,54.38,56.75,947700,10.0240415256,10.4609113016,10.0240415256,10.4609113016,3453276,0.0,1.0
BAX,2000-03-07 00:00:00+00:00,51.81,55.0,51.75,54.88,1284000,9.5503051019,10.1383281337,9.5392451076,10.116208145,4678703,0.0,1.0
BAX,2000-03-08 00:00:00+00:00,54.13,55.0,53.0,53.0,1186600,9.9779582159,10.1383281337,9.7696616561,9.7696616561,4323792,0.0,1.0
