symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BBWI,2000-01-03 00:00:00+00:00,40.56,43.69,40.31,43.44,963500,5.7750100301,6.2206653899,5.7394145541,6.1850699139,2374585,0.0,1.0
BBWI,2000-01-04 00:00:00+00:00,39.75,41.12,39.62,40.44,1200200,5.6596806878,5.8547438964,5.6411710402,5.7579242016,2957941,0.0,1.0
BBWI,2000-01-05 00:00:00+00:00,39.19,39.94,39.19,39.62,435400,5.5799468215,5.6867332496,5.5799468215,5.6411710402,1073061,0.0,1.0
BBWI,2000-01-06 00:00:00+00:00,38.56,40.06,37.88,40.06,1056900,5.4902462219,5.703819078,5.3934265271,5.703819078,2604773,0.0,1.0
BBWI,2000-01-07 00:00:00+00:00,38.81,39.25,38.38,39.12,780800,5.5258416979,5.5884897357,5.4646174792,5.5699800882,1924313,0.0,1.0
BBWI,2000-01-10 00:00:00+00:00,38.31,39.0,38.25,38.69,684400,5.4546507459,5.5528942597,5.4461078316,5.5087558694,1686731,0.0,1.0
BBWI,2000-01-11 00:00:00+00:00,37.12,38.62,36.88,38.38,886300,5.28521628,5.4987891361,5.251044623,5.4646174792,2184322,0.0,1.0
BBWI,2000-01-12 00:00:00+00:00,36.69,37.69,36.19,37.25,728800,5.2239920612,5.3663739653,5.1528011092,5.3037259275,1796157,0.0,1.0
BBWI,2000-01-13 00:00:00+00:00,35.06,36.69,34.94,36.62,1146300,4.9919095576,5.2239920612,4.9748237291,5.214025328,2825103,0.0,1.0
BBWI,2000-01-14 00:00:00+00:00,35.12,36.19,34.62,34.62,1047200,5.0004524718,5.1528011092,4.9292615198,4.9292615198,2580867,0.0,1.0
BBWI,2000-01-18 00:00:00+00:00,34.19,35.62,33.88,34.94,521100,4.868037301,5.0716434239,4.8238989107,4.9748237291,1284272,0.0,1.0
BBWI,2000-01-19 00:00:00+00:00,34.0,34.5,33.5,34.25,825500,4.8409847392,4.9121756913,4.7697937872,4.8765802153,2034478,0.0,1.0
BBWI,2000-01-20 00:00:00+00:00,34.06,34.31,32.78,33.75,751400,4.8495276535,4.8851231295,4.6672788162,4.8053892632,1851855,0.0,1.0
