symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BDX,2000-01-03 00:00:00+00:00,26.19,26.25,26.0,26.19,776300,17.9497509826,17.990872978,17.8195313305,17.9497509826,795707,0.0,1.0
BDX,2000-01-04 00:00:00+00:00,25.5,26.0,25.5,25.5,633300,17.4768480357,17.8195313305,17.4768480357,17.4768480357,649132,0.0,1.0
BDX,2000-01-05 00:00:00+00:00,25.69,25.94,25.25,25.75,749800,17.6070676878,17.7784093352,17.3055063883,17.6481896831,768544,0.0,1.0
BDX,2000-01-06 00:00:00+00:00,26.75,27.31,25.63,25.69,427900,18.3335562728,18.717361563,17.5659456924,17.6070676878,438597,0.0,1.0
BDX,2000-01-07 00:00:00+00:00,28.25,28.38,26.94,27.0,896300,19.3616061572,19.4507038139,18.4637759248,18.5048979202,918707,0.0,1.0
BDX,2000-01-10 00:00:00+00:00,27.63,28.19,27.56,28.13,513600,18.9366788717,19.3204841618,18.8887032104,19.2793621665,526440,0.0,1.0
BDX,2000-01-11 00:00:00+00:00,27.19,28.19,27.13,27.88,572300,18.6351175722,19.3204841618,18.5939955768,19.1080205191,586607,0.0,1.0
BDX,2000-01-12 00:00:00+00:00,26.31,26.75,26.13,26.69,839900,18.0319949733,18.3335562728,17.9086289872,18.2924342774,860897,0.0,1.0
BDX,2000-01-13 00:00:00+00:00,28.13,28.5,26.38,26.44,680700,19.2793621665,19.5329478046,18.0799706346,18.12109263,697717,0.0,1.0
BDX,2000-01-14 00:00:00+00:00,27.38,28.0,26.88,28.0,631700,18.7653372242,19.1902645098,18.4226539294,19.1902645098,647492,0.0,1.0
BDX,2000-01-18 00:00:00+00:00,27.44,27.94,26.75,27.19,904700,18.8064592196,19.1491425144,18.3335562728,18.6351175722,927317,0.0,1.0
BDX,2000-01-19 00:00:00+00:00,28.38,28.63,27.0,27.19,888800,19.4507038139,19.6220454613,18.5048979202,18.6351175722,911019,0.0,1.0
BDX,2000-01-20 00:00:00+00:00,27.81,28.63,27.63,28.38,752100,19.0600448578,19.6220454613,18.9366788717,19.4507038139,770902,0.0,1.0
BDX,2000-01-21 00:00:00+00:00,28.81,29.44,28.38,29.0,1278900,19.7454114474,20.1771923989,19.4507038139,19.8756310995,1310872,0.0,1.0
BDX,2000-01-24 00:00:00+00:00,27.88,28.69,27.13,28.69,857100,19.1080205191,19.6631674567,18.5939955768,19.6631674567,878527,0.0,1.0
BDX,2000-01-25 00:00:00+00:00,27.19,28.0,26.81,27.63,677300,18.6351175722,19.1902645098,18.3746782681,18.9366788717,694232,0.0,1.0
BDX,2000-01-26 00:00:00+00:00,26.81,27.88,26.81,27.38,706500,18.3746782681,19.1080205191,18.3746782681,18.7653372242,724162,0.0,1.0
BDX,2000-01-27 00:00:00+00:00,27.88,27.88,26.69,26.94,850800,19.1080205191,19.1080205191,18.2924342774,18.4637759248,872069,0.0,1.0
BDX,2000-01-28 00:00:00+00:00,26.5,27.63,26.38,27.63,810600,18.1622146254,18.9366788717,18.0799706346,18.9366788717,830864,0.0,1.0
BDX,2000-01-31 00:00:00+00:00,26.19,26.81,25.81,26.44,751100,17.9497509826,18.3746782681,17.6893116785,18.12109263,769877,0.0,1.0
BDX,2000-02-01 00:00:00+00:00,27.13,27.13,26.13,26.31,469300,18.5939955768,18.5939955768,17.9086289872,18.0319949733,481032,0.0,1.0
BDX,2000-02-02 00:00:00+00:00,26.31,26.88,26.0,26.88,816100,18.0319949733,18.4226539294,17.8195313305,18.4226539294,836502,0.0,1.0
BDX,2000-02-03 00:00:00+00:00,26.0,26.31,25.63,26.31,660200,17.8195313305,18.0319949733,17.5659456924,18.0319949733,676704,0.0,1.0
BDX,2000-02-04 00:00:00+00:00,26.0,26.44,25.94,26.25,667000,17.8195313305,18.12109263,17.7784093352,17.990872978,683674,0.0,1.0
BDX,2000-02-07 00:00:00+00:00,26.0,26.44,25.94,26.25,552500,17.8195313305,18.12109263,17.7784093352,17.990872978,566312,0.0,1.0
BDX,2000-02-08 00:00:00+00:00,25.69,26.0,25.25,26.0,780600,17.6070676878,17.8195313305,17.3055063883,17.8195313305,800114,0.0,1.0
BDX,2000-02-09 00:00:00+00:00,25.88,25.94,24.75,25.44,1487800,17.7372873398,17.7784093352,16.9628230935,17.4357260403,1524994,0.0,1.0
BDX,2000-02-10 00:00:00+00:00,25.13,25.94,24.81,25.81,853200,17.2232623976,17.7784093352,17.0039450889,17.6893116785,874529,0.0,1.0
BDX,2000-02-11 00:00:00+00:00,25.0,25.44,24.81,25.38,732700,17.1341647409,17.4357260403,17.0039450889,17.394604045,751017,0.0,1.0
BDX,2000-02-14 00:00:00+00:00,25.81,25.88,25.0,25.19,767800,17.6893116785,17.7372873398,17.1341647409,17.2643843929,786994,0.0,1.0
