symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BF-B,2000-01-03 00:00:00+00:00,57.63,58.12,56.88,57.0,114667,3.6830540737,3.7143693,3.6351226047,3.6427916398,1075002,0.0,1.0
BF-B,2000-01-04 00:00:00+00:00,56.56,58.12,56.0,57.38,86000,3.6146718446,3.7143693,3.5788830145,3.6670769174,806249,0.0,1.0
BF-B,2000-01-05 00:00:00+00:00,57.0,57.5,56.25,56.25,79387,3.6427916398,3.6747459524,3.5948601708,3.5948601708,744252,0.0,1.0
BF-B,2000-01-06 00:00:00+00:00,57.38,57.63,56.63,56.75,114987,3.6670769174,3.6830540737,3.6191454484,3.6268144834,1078002,0.0,1.0
BF-B,2000-01-07 00:00:00+00:00,58.0,58.06,57.25,57.25,124080,3.706700265,3.7105347825,3.6587687961,3.6587687961,1163249,0.0,1.0
BF-B,2000-01-10 00:00:00+00:00,57.06,57.75,56.25,57.75,76080,3.6466261573,3.6907231087,3.5948601708,3.6907231087,713249,0.0,1.0
BF-B,2000-01-11 00:00:00+00:00,56.31,57.38,56.25,57.06,125867,3.5986946883,3.6670769174,3.5948601708,3.6466261573,1180002,0.0,1.0
BF-B,2000-01-12 00:00:00+00:00,55.87,56.37,54.87,56.06,344267,3.5705748932,3.6025292058,3.506666268,3.582717532,3227501,0.0,1.0
BF-B,2000-01-13 00:00:00+00:00,57.69,58.19,55.94,56.0,300667,3.6868885912,3.7188429038,3.575048497,3.5788830145,2818751,0.0,1.0
BF-B,2000-01-14 00:00:00+00:00,57.38,57.44,56.94,57.44,168267,3.6670769174,3.6709114349,3.6389571222,3.6709114349,1577502,0.0,1.0
BF-B,2000-01-18 00:00:00+00:00,56.5,56.88,56.19,56.5,195600,3.6108373271,3.6351226047,3.5910256533,3.6108373271,1833749,0.0,1.0
BF-B,2000-01-19 00:00:00+00:00,57.0,57.25,56.5,56.5,216987,3.6427916398,3.6587687961,3.6108373271,3.6108373271,2034252,0.0,1.0
BF-B,2000-01-20 00:00:00+00:00,58.0,58.38,56.88,57.0,284987,3.706700265,3.7309855426,3.6351226047,3.6427916398,2671751,0.0,1.0
BF-B,2000-01-21 00:00:00+00:00,57.81,59.37,57.69,58.5,138800,3.6945576262,3.7942550816,3.6868885912,3.7386545776,1301249,0.0,1.0
BF-B,2000-01-24 00:00:00+00:00,57.38,58.87,57.25,58.0,132080,3.6670769174,3.762300769,3.6587687961,3.706700265,1238249,0.0,1.0
BF-B,2000-01-25 00:00:00+00:00,56.56,57.69,56.44,57.12,111600,3.6146718446,3.6868885912,3.6070028096,3.6504606748,1046249,0.0,1.0
BF-B,2000-01-26 00:00:00+00:00,55.94,56.81,55.25,56.75,71387,3.575048497,3.630649001,3.5309515456,3.6268144834,669252,0.0,1.0
BF-B,2000-01-27 00:00:00+00:00,55.38,55.75,54.87,55.62,35600,3.5392596668,3.5629058582,3.506666268,3.5545977369,333749,0.0,1.0
BF-B,2000-01-28 00:00:00+00:00,54.94,55.56,54.5,55.38,64587,3.5111398717,3.5507632194,3.4830200766,3.5392596668,605502,0.0,1.0
BF-B,2000-01-31 00:00:00+00:00,55.94,56.0,54.0,55.06,62187,3.575048497,3.5788830145,3.451065764,3.5188089068,583002,0.0,1.0
BF-B,2000-02-01 00:00:00+00:00,55.44,55.69,54.38,55.69,34987,3.5430941844,3.5590713407,3.4753510416,3.5590713407,328002,0.0,1.0
BF-B,2000-02-02 00:00:00+00:00,55.5,56.56,54.75,55.25,62667,3.5469287019,3.6146718446,3.4989972329,3.5309515456,587502,0.0,1.0
BF-B,2000-02-03 00:00:00+00:00,56.69,57.5,55.25,55.25,92987,3.6229799659,3.6747459524,3.5309515456,3.5309515456,871752,0.0,1.0
BF-B,2000-02-04 00:00:00+00:00,54.5,56.44,53.63,56.44,78800,3.4830200766,3.6070028096,3.4274195726,3.6070028096,738749,0.0,1.0
BF-B,2000-02-07 00:00:00+00:00,54.0,54.38,53.81,53.94,96480,3.451065764,3.4753510416,3.4389231252,3.4472312465,904499,0.0,1.0
BF-B,2000-02-08 00:00:00+00:00,53.25,54.12,53.06,54.06,54800,3.403134295,3.458734799,3.3909916562,3.4549002815,513749,0.0,1.0
BF-B,2000-02-09 00:00:00+00:00,52.88,53.44,52.75,53.44,61787,3.3794881037,3.4152769338,3.3711799824,3.4152769338,579252,0.0,1.0
BF-B,2000-02-10 00:00:00+00:00,52.88,54.12,52.88,52.88,56987,3.3794881037,3.458734799,3.3794881037,3.3794881037,534252,0.0,1.0
BF-B,2000-02-11 00:00:00+00:00,51.81,53.13,51.63,52.88,87067,3.3111058747,3.39546526,3.2996023221,3.3794881037,816252,0.0,1.0
BF-B,2000-02-14 00:00:00+00:00,52.06,52.5,51.75,51.94,56267,3.327083031,3.3552028261,3.3072713571,3.3194139959,527502,0.0,1.0
BF-B,2000-02-15 00:00:00+00:00,52.5,52.69,51.06,51.63,90587,3.3552028261,3.3673454649,3.2631744057,3.2996023221,849252,0.0,1.0
BF-B,2000-02-16 00:00:00+00:00,51.19,52.31,51.12,52.19,41867,3.271482527,3.3430601873,3.2670089232,3.3353911523,392502,0.0,1.0
BF-B,2000-02-17 00:00:00+00:00,49.69,51.63,49.56,51.19,91067,3.1756195891,3.2996023221,3.1673114678,3.271482527,853752,0.0,1.0
BF-B,2000-02-18 00:00:00+00:00,50.25,50.62,49.5,49.5,99600,3.2114084193,3.2350546106,3.1634769503,3.1634769503,933749,0.0,1.0
