symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BIO,2000-01-03 00:00:00+00:00,22.62,23.38,22.62,23.38,6000,11.31,11.69,11.31,11.69,12000,0.0,1.0
BIO,2000-01-04 00:00:00+00:00,21.94,22.12,21.75,22.12,6600,10.97,11.06,10.875,11.06,13200,0.0,1.0
BIO,2000-01-05 00:00:00+00:00,21.75,21.94,21.25,21.94,15000,10.875,10.97,10.625,10.97,30000,0.0,1.0
BIO,2000-01-06 00:00:00+00:00,22.0,22.0,21.75,21.75,9900,11.0,11.0,10.875,10.875,19800,0.0,1.0
BIO,2000-01-07 00:00:00+00:00,22.0,22.25,22.0,22.0,24600,11.0,11.125,11.0,11.0,49200,0.0,1.0
BIO,2000-01-10 00:00:00+00:00,22.5,22.5,22.12,22.25,6000,11.25,11.25,11.06,11.125,12000,0.0,1.0
BIO,2000-01-11 00:00:00+00:00,23.0,23.38,22.25,22.25,17700,11.5,11.69,11.125,11.125,35400,0.0,1.0
BIO,2000-01-12 00:00:00+00:00,23.25,23.25,23.0,23.0,6500,11.625,11.625,11.5,11.5,13000,0.0,1.0
BIO,2000-01-13 00:00:00+00:00,21.75,23.12,21.25,23.0,47700,10.875,11.56,10.625,11.5,95400,0.0,1.0
BIO,2000-01-14 00:00:00+00:00,22.62,22.62,22.0,22.0,39300,11.31,11.31,11.0,11.0,78600,0.0,1.0
BIO,2000-01-18 00:00:00+00:00,23.12,23.25,22.25,22.38,11600,11.56,11.625,11.125,11.19,23200,0.0,1.0
BIO,2000-01-19 00:00:00+00:00,22.75,23.25,22.75,23.25,40600,11.375,11.625,11.375,11.625,81200,0.0,1.0
BIO,2000-01-20 00:00:00+00:00,22.0,22.88,22.0,22.75,39300,11.0,11.44,11.0,11.375,78600,0.0,1.0
BIO,2000-01-21 00:00:00+00:00,22.12,22.25,21.75,21.75,91600,11.06,11.125,10.875,10.875,183200,0.0,1.0
BIO,2000-01-24 00:00:00+00:00,22.25,22.38,22.0,22.25,21300,11.125,11.19,11.0,11.125,42600,0.0,1.0
BIO,2000-01-25 00:00:00+00:00,23.0,23.0,22.25,22.25,19500,11.5,11.5,11.125,11.125,39000,0.0,1.0
BIO,2000-01-26 00:00:00+00:00,22.75,23.12,22.62,23.12,3100,11.375,11.56,11.31,11.56,6200,0.0,1.0
BIO,2000-01-27 00:00:00+00:00,23.12,23.38,22.5,22.62,9300,11.56,11.69,11.25,11.31,18600,0.0,1.0
BIO,2000-01-28 00:00:00+00:00,23.0,23.38,23.0,23.0,4500,11.5,11.69,11.5,11.5,9000,0.0,1.0
BIO,2000-01-31 00:00:00+00:00,23.06,23.25,22.38,22.38,18600,11.53,11.625,11.19,11.19,37200,0.0,1.0
BIO,2000-02-01 00:00:00+00:00,23.0,23.38,23.0,23.0,9800,11.5,11.69,11.5,11.5,19600,0.0,1.0
BIO,2000-02-02 00:00:00+00:00,23.88,24.0,23.75,24.0,14400,11.94,12.0,11.875,12.0,28800,0.0,1.0
BIO,2000-02-03 00:00:00+00:00,25.0,25.12,24.12,24.12,9200,12.5,12.56,12.06,12.06,18400,0.0,1.0
BIO,2000-02-04 00:00:00+00:00,26.0,26.0,25.25,25.25,14200,13.0,13.0,12.625,12.625,28400,0.0,1.0
BIO,2000-02-07 00:00:00+00:00,26.88,26.88,26.12,26.25,9800,13.44,13.44,13.06,13.125,19600,0.0,1.0
BIO,2000-02-08 00:00:00+00:00,25.88,27.12,25.88,27.0,17000,12.94,13.56,12.94,13.5,34000,0.0,1.0
BIO,2000-02-09 00:00:00+00:00,26.12,26.31,26.12,26.12,1200,13.06,13.155,13.06,13.06,2400,0.0,1.0
BIO,2000-02-10 00:00:00+00:00,26.0,26.12,25.75,26.12,5100,13.0,13.06,12.875,13.06,10200,0.0,1.0
BIO,2000-02-11 00:00:00+00:00,26.38,26.38,26.0,26.12,17400,13.19,13.19,13.0,13.06,34800,0.0,1.0
BIO,2000-02-14 00:00:00+00:00,24.75,26.62,23.88,26.62,37400,12.375,13.31,11.94,13.31,74800,0.0,1.0
BIO,2000-02-15 00:00:00+00:00,25.0,25.0,24.75,24.88,3100,12.5,12.5,12.375,12.44,6200,0.0,1.0
BIO,2000-02-16 00:00:00+00:00,26.5,26.5,25.12,25.12,36200,13.25,13.25,12.56,12.56,72400,0.0,1.0
BIO,2000-02-17 00:00:00+00:00,26.75,27.0,26.38,26.5,20800,13.375,13.5,13.19,13.25,41600,0.0,1.0
BIO,2000-02-18 00:00:00+00:00,27.38,27.38,26.88,26.88,20800,13.69,13.69,13.44,13.44,41600,0.0,1.0
BIO,2000-02-22 00:00:00+00:00,28.25,28.25,26.81,27.12,19100,14.125,14.125,13.405,13.56,38200,0.0,1.0
BIO,2000-02-23 00:00:00+00:00,28.38,29.75,28.38,28.75,19200,14.19,14.875,14.19,14.375,38400,0.0,1.0
BIO,2000-02-24 00:00:00+00:00,29.0,29.0,28.12,28.38,37000,14.5,14.5,14.06,14.19,74000,0.0,1.0
BIO,2000-02-25 00:00:00+00:00,29.44,29.5,28.75,29.0,25900,14.72,14.75,14.375,14.5,51800,0.0,1.0
BIO,2000-02-28 00:00:00+00:00,31.0,31.5,29.5,29.5,40100,15.5,15.75,14.75,14.75,80200,0.0,1.0
BIO,2000-02-29 00:00:00+00:00,32.88,33.0,30.75,30.94,20700,16.44,16.5,15.375,15.47,41400,0.0,1.0
BIO,2000-03-01 00:00:00+00:00,31.44,33.0,30.88,32.75,35700,15.72,16.5,15.44,16.375,71400,0.0,1.0
