symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BK,2000-01-03 00:00:00+00:00,37.0,38.38,36.38,38.25,2569000,21.7952637929,22.6081682263,21.4300458591,22.5315902724,2569000,0.0,1.0
BK,2000-01-04 00:00:00+00:00,35.94,36.94,34.88,36.94,2837900,21.1708589383,21.7599201219,20.5464540837,21.7599201219,2837900,0.0,1.0
BK,2000-01-05 00:00:00+00:00,35.38,36.19,34.63,35.5,3077800,20.8409846755,21.3181242342,20.3991887878,20.9116720175,3077800,0.0,1.0
BK,2000-01-06 00:00:00+00:00,36.0,36.25,34.75,35.06,3495100,21.2062026093,21.3534679052,20.4698761298,20.6524850967,3495100,0.0,1.0
BK,2000-01-07 00:00:00+00:00,37.88,37.88,35.63,35.63,2220500,22.3136376345,22.3136376345,20.9882499714,20.9882499714,2220500,0.0,1.0
BK,2000-01-10 00:00:00+00:00,36.19,38.0,36.0,38.0,1436500,21.3181242342,22.3843249765,21.2062026093,22.3843249765,1436500,0.0,1.0
BK,2000-01-11 00:00:00+00:00,35.31,35.81,35.06,35.5,1678600,20.7997503926,21.0942809844,20.6524850967,20.9116720175,1678600,0.0,1.0
BK,2000-01-12 00:00:00+00:00,36.44,36.63,35.31,35.31,1508000,21.4653895301,21.577311155,20.7997503926,20.7997503926,1508000,0.0,1.0
BK,2000-01-13 00:00:00+00:00,37.38,38.06,37.19,38.0,1688400,22.0191070427,22.4196686475,21.9071854178,22.3843249765,1688400,0.0,1.0
BK,2000-01-14 00:00:00+00:00,39.13,40.0,38.44,39.0,2143000,23.049964114,23.5624473437,22.6435118973,22.9733861601,2143000,0.0,1.0
BK,2000-01-18 00:00:00+00:00,37.38,38.56,37.31,38.0,1518900,22.0191070427,22.7141992393,21.9778727598,22.3843249765,1518900,0.0,1.0
BK,2000-01-19 00:00:00+00:00,37.13,38.69,37.06,37.5,2153600,21.9717459345,22.8948788097,21.9303233054,22.1906941164,2153600,0.169599,1.0
BK,2000-01-20 00:00:00+00:00,36.75,37.75,36.75,37.75,1368500,21.7468802341,22.3386320772,21.7468802341,22.3386320772,1368500,0.0,1.0
BK,2000-01-21 00:00:00+00:00,36.38,38.0,36.25,38.0,1647800,21.5279320521,22.486570038,21.4510043125,22.486570038,1647800,0.0,1.0
BK,2000-01-24 00:00:00+00:00,36.25,37.31,35.75,36.81,1068000,21.4510043125,22.0782612662,21.155128391,21.7823853447,1068000,0.0,1.0
BK,2000-01-25 00:00:00+00:00,36.31,37.25,35.81,36.25,1504400,21.4865094231,22.0427561556,21.1906335016,21.4510043125,1504400,0.0,1.0
BK,2000-01-26 00:00:00+00:00,39.44,39.5,36.19,36.38,2116300,23.338692692,23.3741978026,21.4154992019,21.5279320521,2116300,0.0,1.0
BK,2000-01-27 00:00:00+00:00,39.06,40.38,38.75,39.88,2499300,23.1138269917,23.8949394245,22.9303839203,23.599063503,2499300,0.0,1.0
BK,2000-01-28 00:00:00+00:00,37.75,38.38,37.5,38.0,1849500,22.3386320772,22.7114357383,22.1906941164,22.486570038,1849500,0.0,1.0
BK,2000-01-31 00:00:00+00:00,40.63,40.63,37.31,37.69,2061600,24.0428773853,24.0428773853,22.0782612662,22.3031269666,2061600,0.0,1.0
BK,2000-02-01 00:00:00+00:00,40.88,40.94,39.63,40.69,2132100,24.1908153461,24.2263204567,23.4511255422,24.0783824959,2132100,0.0,1.0
BK,2000-02-02 00:00:00+00:00,39.88,40.69,39.56,40.63,1475100,23.599063503,24.0783824959,23.4097029132,24.0428773853,1475100,0.0,1.0
BK,2000-02-03 00:00:00+00:00,39.56,40.5,38.5,40.25,1303100,23.4097029132,23.9659496457,22.7824459595,23.8180116849,1303100,0.0,1.0
BK,2000-02-04 00:00:00+00:00,37.94,40.13,37.88,40.13,1376700,22.4510649274,23.7470014638,22.4155598168,23.7470014638,1376700,0.0,1.0
BK,2000-02-07 00:00:00+00:00,38.25,38.38,37.56,38.0,931300,22.6345079987,22.7114357383,22.226199227,22.486570038,931300,0.0,1.0
BK,2000-02-08 00:00:00+00:00,39.31,39.5,38.5,38.75,1309200,23.2617649524,23.3741978026,22.7824459595,22.9303839203,1309200,0.0,1.0
BK,2000-02-09 00:00:00+00:00,38.06,39.31,38.06,39.31,1789700,22.5220751485,23.2617649524,22.5220751485,23.2617649524,1789700,0.0,1.0
BK,2000-02-10 00:00:00+00:00,36.5,38.44,36.44,38.06,1325100,21.5989422733,22.7469408489,21.5634371627,22.5220751485,1325100,0.0,1.0
BK,2000-02-11 00:00:00+00:00,36.81,37.56,36.5,36.5,1373400,21.7823853447,22.226199227,21.5989422733,21.5989422733,1373400,0.0,1.0
BK,2000-02-14 00:00:00+00:00,36.02,37.44,35.75,36.56,1413400,21.3149013886,22.1551890058,21.155128391,21.6344473839,1413400,0.0,1.0
BK,2000-02-15 00:00:00+00:00,36.94,37.56,35.69,35.81,1176700,21.8593130843,22.226199227,21.1196232804,21.1906335016,1176700,0.0,1.0
BK,2000-02-16 00:00:00+00:00,37.5,37.5,36.56,37.0,2636700,22.1906941164,22.1906941164,21.6344473839,21.8948181949,2636700,0.0,1.0
BK,2000-02-17 00:00:00+00:00,35.06,37.38,34.31,37.13,2817300,20.7468196192,22.1196838952,20.3030057369,21.9717459345,2817300,0.0,1.0
BK,2000-02-18 00:00:00+00:00,33.56,35.13,32.81,34.63,2749500,19.8591918546,20.7882422483,19.4153779722,20.4923663267,2749500,0.0,1.0
BK,2000-02-22 00:00:00+00:00,33.94,34.13,32.94,34.0,1811700,20.084057555,20.1964904051,19.4923057119,20.1195626655,1811700,0.0,1.0
BK,2000-02-23 00:00:00+00:00,33.25,34.06,33.19,33.5,1523700,19.6757487832,20.1550677761,19.6402436726,19.823686744,1523700,0.0,1.0
BK,2000-02-24 00:00:00+00:00,31.88,33.38,31.5,33.0,2473900,18.8650487582,19.7526765228,18.6401830578,19.5278108224,2473900,0.0,1.0
BK,2000-02-25 00:00:00+00:00,33.0,33.44,31.81,32.13,2459500,19.5278108224,19.7881816334,18.8236261291,19.0129867189,2459500,0.0,1.0
BK,2000-02-28 00:00:00+00:00,34.75,35.19,33.31,33.5,2587100,20.5633765479,20.8237473588,19.7112538938,19.823686744,2587100,0.0,1.0
BK,2000-02-29 00:00:00+00:00,33.25,34.75,32.94,34.75,2443900,19.6757487832,20.5633765479,19.4923057119,20.5633765479,2443900,0.0,1.0
BK,2000-03-01 00:00:00+00:00,32.44,34.0,31.69,34.0,3564700,19.1964297903,20.1195626655,18.752615908,20.1195626655,3564700,0.0,1.0
BK,2000-03-02 00:00:00+00:00,33.13,33.25,32.38,33.25,2243200,19.604738562,19.6757487832,19.1609246797,19.6757487832,2243200,0.0,1.0
BK,2000-03-03 00:00:00+00:00,32.06,33.5,32.06,33.13,1835700,18.9715640899,19.823686744,18.9715640899,19.604738562,1835700,0.0,1.0
BK,2000-03-06 00:00:00+00:00,32.75,32.94,31.88,32.5,1927600,19.3798728617,19.4923057119,18.8650487582,19.2319349009,1927600,0.0,1.0
BK,2000-03-07 00:00:00+00:00,31.31,32.56,31.25,32.5,1819100,18.5277502076,19.2674400115,18.492245097,19.2319349009,1819100,0.0,1.0
BK,2000-03-08 00:00:00+00:00,31.0,31.25,29.75,30.88,2789900,18.3443071362,18.492245097,17.6046173324,18.2732969151,2789900,0.0,1.0
BK,2000-03-09 00:00:00+00:00,32.19,32.31,31.06,31.06,2136000,19.0484918295,19.1195020507,18.3798122468,18.3798122468,2136000,0.0,1.0
BK,2000-03-10 00:00:00+00:00,31.69,32.69,31.19,32.06,1886600,18.752615908,19.3443677511,18.4567399864,18.9715640899,1886600,0.0,1.0
BK,2000-03-13 00:00:00+00:00,33.13,33.44,31.13,31.25,2109800,19.604738562,19.7881816334,18.4212348758,18.492245097,2109800,0.0,1.0
BK,2000-03-14 00:00:00+00:00,31.88,33.19,31.75,33.19,1132800,18.8650487582,19.6402436726,18.7881210186,19.6402436726,1132800,0.0,1.0
BK,2000-03-15 00:00:00+00:00,35.19,35.5,31.69,32.06,3960000,20.8237473588,21.0071904302,18.752615908,18.9715640899,3960000,0.0,1.0
BK,2000-03-16 00:00:00+00:00,40.88,41.0,36.25,36.5,5542000,24.1908153461,24.2618255673,21.4510043125,21.5989422733,5542000,0.0,1.0
BK,2000-03-17 00:00:00+00:00,38.69,40.75,38.63,40.75,2862400,22.8948788097,24.1138876065,22.8593736991,24.1138876065,2862400,0.0,1.0
BK,2000-03-20 00:00:00+00:00,37.06,38.75,36.38,38.69,1966700,21.9303233054,22.9303839203,21.5279320521,22.8948788097,1966700,0.0,1.0
BK,2000-03-21 00:00:00+00:00,38.63,39.38,36.88,37.06,2592700,22.8593736991,23.3031875814,21.8238079737,21.9303233054,2592700,0.0,1.0
BK,2000-03-22 00:00:00+00:00,38.88,39.13,38.0,38.38,1634700,23.0073116599,23.1552496207,22.486570038,22.7114357383,1634700,0.0,1.0
BK,2000-03-23 00:00:00+00:00,40.0,40.44,38.63,38.63,2518900,23.6700737242,23.9304445351,22.8593736991,22.8593736991,2518900,0.0,1.0
BK,2000-03-24 00:00:00+00:00,40.69,40.94,39.5,40.13,2510400,24.0783824959,24.2263204567,23.3741978026,23.7470014638,2510400,0.0,1.0
BK,2000-03-27 00:00:00+00:00,39.31,40.44,38.56,40.19,1140000,23.2617649524,23.9304445351,22.8179510701,23.7825065744,1140000,0.0,1.0
BK,2000-03-28 00:00:00+00:00,39.75,40.5,38.38,38.38,1634400,23.5221357634,23.9659496457,22.7114357383,22.7114357383,1634400,0.0,1.0
BK,2000-03-29 00:00:00+00:00,39.31,40.0,39.06,39.88,975300,23.2617649524,23.6700737242,23.1138269917,23.599063503,975300,0.0,1.0
BK,2000-03-30 00:00:00+00:00,39.31,40.25,39.19,39.56,1481700,23.2617649524,23.8180116849,23.1907547313,23.4097029132,1481700,0.0,1.0
BK,2000-03-31 00:00:00+00:00,41.56,42.13,39.13,39.31,2938000,24.5932065994,24.93050515,23.1552496207,23.2617649524,2938000,0.0,1.0
BK,2000-04-03 00:00:00+00:00,43.55,44.38,41.56,41.56,4992000,25.7707927672,26.261946797,24.5932065994,24.5932065994,4992000,0.0,1.0
BK,2000-04-04 00:00:00+00:00,41.69,44.38,40.63,43.25,3956900,24.670134339,26.261946797,24.0428773853,25.5932672143,3956900,0.0,1.0
BK,2000-04-05 00:00:00+00:00,41.94,42.88,41.63,41.81,2577400,24.8180722998,25.3743190323,24.6346292284,24.7411445602,2577400,0.0,1.0
BK,2000-04-06 00:00:00+00:00,41.63,42.25,40.94,41.81,1863900,24.6346292284,25.0015153712,24.2263204567,24.7411445602,1863900,0.0,1.0
BK,2000-04-07 00:00:00+00:00,40.44,42.19,40.19,41.63,1089200,23.9304445351,24.9660102606,23.7825065744,24.6346292284,1089200,0.0,1.0
BK,2000-04-10 00:00:00+00:00,42.63,42.75,39.88,40.69,1822200,25.2263810715,25.2973912927,23.599063503,24.0783824959,1822200,0.0,1.0
BK,2000-04-11 00:00:00+00:00,41.19,42.69,40.69,41.88,1413100,24.3742584175,25.2618861821,24.0783824959,24.7825671892,1413100,0.0,1.0
BK,2000-04-12 00:00:00+00:00,43.38,45.75,41.13,41.13,3628300,25.6701949539,27.072646822,24.3387533069,24.3387533069,3628300,0.0,1.0
