symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BKNG,2000-01-03 00:00:00+00:00,51.25,53.0,48.0,52.5,5086200,307.5,318.0,288.0,315.0,847700,0.0,1.0
BKNG,2000-01-04 00:00:00+00:00,54.0,57.25,51.25,51.38,5836200,324.0,343.5,307.5,308.28,972700,0.0,1.0
BKNG,2000-01-05 00:00:00+00:00,59.94,64.22,54.63,55.25,9632400,359.64,385.32,327.78,331.5,1605400,0.0,1.0
BKNG,2000-01-06 00:00:00+00:00,57.5,64.13,54.38,61.38,7051200,345.0,384.78,326.28,368.28,1175200,0.0,1.0
BKNG,2000-01-07 00:00:00+00:00,57.25,60.75,55.63,59.69,2036400,343.5,364.5,333.78,358.14,339400,0.0,1.0
BKNG,2000-01-10 00:00:00+00:00,54.25,59.63,52.88,58.69,12112800,325.5,357.78,317.28,352.14,2018800,0.0,1.0
BKNG,2000-01-11 00:00:00+00:00,52.81,57.0,51.88,53.75,5057400,316.86,342.0,311.28,322.5,842900,0.0,1.0
BKNG,2000-01-12 00:00:00+00:00,51.13,54.19,51.0,53.63,1702200,306.78,325.14,306.0,321.78,283700,0.0,1.0
BKNG,2000-01-13 00:00:00+00:00,51.63,53.19,50.0,53.11,1796400,309.78,319.14,300.0,318.66,299400,0.0,1.0
BKNG,2000-01-14 00:00:00+00:00,56.88,57.0,52.25,52.5,4738200,341.28,342.0,313.5,315.0,789700,0.0,1.0
BKNG,2000-01-18 00:00:00+00:00,59.19,59.31,55.5,55.75,3436200,355.14,355.86,333.0,334.5,572700,0.0,1.0
BKNG,2000-01-19 00:00:00+00:00,62.44,62.88,58.31,59.0,4262400,374.64,377.28,349.86,354.0,710400,0.0,1.0
BKNG,2000-01-20 00:00:00+00:00,61.94,62.0,59.0,61.81,3483000,371.64,372.0,354.0,370.86,580500,0.0,1.0
BKNG,2000-01-21 00:00:00+00:00,63.5,64.5,61.5,62.38,4951800,381.0,387.0,369.0,374.28,825300,0.0,1.0
BKNG,2000-01-24 00:00:00+00:00,59.94,64.44,59.5,63.94,2409000,359.64,386.64,357.0,383.64,401500,0.0,1.0
BKNG,2000-01-25 00:00:00+00:00,62.94,63.25,56.0,59.81,2488200,377.64,379.5,336.0,358.86,414700,0.0,1.0
