symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BKR,2017-07-05 00:00:00+00:00,37.25,40.82,37.25,40.8,5883326,31.4397206789,34.452869748,31.4397206789,34.435989361,5883326,17.5,1.0
BKR,2017-07-06 00:00:00+00:00,37.01,38.09,36.52,38.09,5088097,31.2371560356,32.1486969304,30.8235865555,32.1486969304,5088097,0.0,1.0
BKR,2017-07-07 00:00:00+00:00,37.91,38.59,36.12,38.14,6014535,31.996773448,32.570706604,30.4859788167,32.1908978978,6014535,0.0,1.0
BKR,2017-07-10 00:00:00+00:00,37.23,38.17,36.8,37.63,4721508,31.4228402919,32.2162184782,31.0599119727,31.7604480308,4721508,0.0,1.0
BKR,2017-07-11 00:00:00+00:00,37.35,37.78,36.89,37.31,2791176,31.5241226136,31.8870509328,31.1358737139,31.4903618397,2791176,0.0,1.0
BKR,2017-07-12 00:00:00+00:00,37.37,37.99,37.25,37.77,3260591,31.5410030005,32.0642949957,31.4397206789,31.8786107394,3260591,0.0,1.0
BKR,2017-07-13 00:00:00+00:00,36.84,37.65,36.69,37.45,3860643,31.0936727466,31.7773284177,30.9670698445,31.6085245483,3860643,0.0,1.0
BKR,2017-07-14 00:00:00+00:00,37.35,37.495,36.91,37.0,2872910,31.5241226136,31.6465054189,31.1527541009,31.2287158421,2872910,0.0,1.0
BKR,2017-07-17 00:00:00+00:00,37.64,38.37,37.64,37.71,3917588,31.7688882242,32.3850223476,31.7688882242,31.8279695785,3917588,0.0,1.0
BKR,2017-07-18 00:00:00+00:00,36.75,37.78,36.73,37.52,3198593,31.0177110053,31.8870509328,31.0008306184,31.6676059026,3198593,0.0,1.0
BKR,2017-07-19 00:00:00+00:00,36.54,37.09,36.36,36.59,4230853,30.8404669424,31.3046775833,30.68854346,30.8826679098,4230853,0.0,1.0
BKR,2017-07-20 00:00:00+00:00,34.97,36.9,34.86,36.59,6397004,29.5153565675,31.1443139074,29.4225144393,30.8826679098,6397004,0.0,1.0
BKR,2017-07-21 00:00:00+00:00,34.12,34.88,33.44,34.73,7737292,28.7979401225,29.4393948263,28.2240069665,29.3127919242,7737292,0.0,1.0
BKR,2017-07-24 00:00:00+00:00,34.36,34.46,33.88,34.26,2850884,29.0005047658,29.0849067005,28.5953754792,28.9161028311,2850884,0.0,1.0
BKR,2017-07-25 00:00:00+00:00,35.25,35.28,34.77,34.81,2871897,29.7516819847,29.7770025651,29.3465526981,29.380313472,2871897,0.0,1.0
BKR,2017-07-26 00:00:00+00:00,36.05,36.18,35.22,35.58,3826003,30.4268974624,30.5366199775,29.7263614043,30.0302083692,3826003,0.0,1.0
BKR,2017-07-27 00:00:00+00:00,36.16,37.04,35.7,35.97,4593651,30.5197395906,31.262476616,30.1314906909,30.3593759146,4593651,0.0,1.0
BKR,2017-07-28 00:00:00+00:00,37.1,37.5,34.2257,34.85,4261445,31.3131177768,31.6507255156,28.8871529675,29.4140742459,4261445,0.0,1.0
BKR,2017-07-31 00:00:00+00:00,36.89,37.17,36.43,37.14,3318805,31.1358737139,31.3721991311,30.7476248143,31.3468785507,3318805,0.0,1.0
BKR,2017-08-01 00:00:00+00:00,35.7,36.83,35.41,36.82,2955189,30.1314906909,31.0852325531,29.8867250802,31.0767923596,2955189,0.0,1.0
BKR,2017-08-02 00:00:00+00:00,35.35,35.55,35.035,35.36,3405697,29.8360839194,30.0048877888,29.5702178251,29.8445241129,3405697,0.0,1.0
BKR,2017-08-03 00:00:00+00:00,35.31,35.51,35.07,35.26,3181029,29.8023231455,29.9711270149,29.5997585022,29.7601221782,3181029,0.0,1.0
BKR,2017-08-04 00:00:00+00:00,35.23,35.54,35.06,35.42,3110626,29.7348015978,29.9964475954,29.5913183088,29.8951652737,3110626,0.0,1.0
BKR,2017-08-07 00:00:00+00:00,34.56,35.27,34.4,35.1,2054097,29.1693086352,29.7685623716,29.0342655397,29.6250790826,2054097,0.0,1.0
BKR,2017-08-08 00:00:00+00:00,34.94,35.47,34.6442,34.75,2155678,29.4900359871,29.9373662411,29.2403750642,29.3296723112,2155678,0.0,1.0
BKR,2017-08-09 00:00:00+00:00,35.02,35.29,34.76,34.79,2252626,29.7010408239,29.9300322865,29.4805305265,29.5059740224,2252626,0.17,1.0
BKR,2017-08-10 00:00:00+00:00,34.7,35.29,34.57,35.01,1971691,29.4296435348,29.9300322865,29.3193883861,29.6925596586,1971691,0.0,1.0
BKR,2017-08-11 00:00:00+00:00,34.29,34.89,34.28,34.51,1185973,29.0819157582,29.5907856752,29.0734345929,29.2685013944,1185973,0.0,1.0
BKR,2017-08-14 00:00:00+00:00,34.26,34.54,34.135,34.51,1927835,29.0564722623,29.2939448903,28.9504576963,29.2685013944,1927835,0.0,1.0
BKR,2017-08-15 00:00:00+00:00,34.31,34.42,34.03,34.03,2153221,29.0988780887,29.1921709069,28.8614054608,28.8614054608,2153221,0.0,1.0
BKR,2017-08-16 00:00:00+00:00,33.83,34.51,33.76,34.37,1367515,28.6917821551,29.2685013944,28.6324139981,29.1497650804,1367515,0.0,1.0
BKR,2017-08-17 00:00:00+00:00,32.8,34.09,32.75,33.79,2200268,27.8182221309,28.9122924525,27.7758163045,28.657857494,2200268,0.0,1.0
BKR,2017-08-18 00:00:00+00:00,32.77,33.13,32.4301,32.74,3179783,27.792778635,28.0981005852,27.504503827,27.7673351392,3179783,0.0,1.0
BKR,2017-08-21 00:00:00+00:00,32.54,32.99,32.46,32.77,2340815,27.5977118335,27.9793642713,27.5298625112,27.792778635,2340815,0.0,1.0
BKR,2017-08-22 00:00:00+00:00,32.69,32.945,32.43,32.62,1872479,27.7249293128,27.9411990275,27.5044190154,27.6655611558,1872479,0.0,1.0
BKR,2017-08-23 00:00:00+00:00,33.04,33.24,32.51,32.51,1565407,28.0217700977,28.1913934034,27.5722683376,27.5722683376,1565407,0.0,1.0
BKR,2017-08-24 00:00:00+00:00,32.82,33.09,32.54,33.09,1781949,27.8351844614,28.0641759241,27.5977118335,28.0641759241,1781949,0.0,1.0
BKR,2017-08-25 00:00:00+00:00,33.26,33.41,32.8701,32.88,2035870,28.2083557339,28.3355732132,27.8776750995,27.8860714531,2035870,0.0,1.0
BKR,2017-08-28 00:00:00+00:00,33.25,33.4,32.82,33.27,2510523,28.1998745686,28.3270920479,27.8351844614,28.2168368992,2510523,0.0,1.0
BKR,2017-08-29 00:00:00+00:00,33.75,33.81,33.1,33.1,2192874,28.6239328328,28.6748198245,28.0726570894,28.0726570894,2192874,0.0,1.0
BKR,2017-08-30 00:00:00+00:00,33.51,33.73,33.2376,33.6,1637279,28.420384866,28.6069705023,28.1893579237,28.4967153536,1637279,0.0,1.0
BKR,2017-08-31 00:00:00+00:00,33.9,34.35,33.46,33.99,3592925,28.7511503121,29.1328027499,28.3779790396,28.8274807997,3592925,0.0,1.0
BKR,2017-09-01 00:00:00+00:00,34.3,34.44,33.73,33.97,1723282,29.0903969234,29.2091332374,28.6069705023,28.8105184691,1723282,0.0,1.0
BKR,2017-09-05 00:00:00+00:00,34.97,35.45,34.49,34.83,4386834,29.6586349975,30.0657309311,29.2515390638,29.5398986835,4386834,0.0,1.0
BKR,2017-09-06 00:00:00+00:00,34.74,35.74,34.72,35.39,3285802,29.4635681959,30.3116847243,29.4466058654,30.0148439394,3285802,0.0,1.0
BKR,2017-09-07 00:00:00+00:00,34.75,35.25,34.29,34.77,2064761,29.4720493612,29.8961076254,29.0819157582,29.4890116918,2064761,0.0,1.0
BKR,2017-09-08 00:00:00+00:00,34.42,34.98,34.06,34.77,3018954,29.1921709069,29.6671161627,28.8868489566,29.4890116918,3018954,0.0,1.0
BKR,2017-09-11 00:00:00+00:00,35.48,35.6,34.37,34.52,2825224,30.0911744269,30.1929484103,29.1497650804,29.2769825597,2825224,0.0,1.0
BKR,2017-09-12 00:00:00+00:00,35.96,36.4,35.24,35.38,3537032,30.4982703606,30.871441633,29.8876264601,30.0063627741,3537032,0.0,1.0
BKR,2017-09-13 00:00:00+00:00,36.09,36.73,35.9,35.94,4296996,30.6085255092,31.1513200874,30.4473833689,30.48130803,4296996,0.0,1.0
BKR,2017-09-14 00:00:00+00:00,36.38,37.14,36.2,36.35,4785692,30.8544793025,31.499047864,30.7018183274,30.8290358066,4785692,0.0,1.0
BKR,2017-09-15 00:00:00+00:00,36.9,36.91,36.37,36.37,7621328,31.2954998972,31.3039810625,30.8459981372,30.8459981372,7621328,0.0,1.0
