symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2000-01-03 00:00:00+00:00,16.62,17.5,16.62,17.44,64600,10.6170265831,11.1791796152,10.6170265831,11.1408509994,64600,0.0,1.0
BLK,2000-01-04 00:00:00+00:00,15.88,16.63,15.63,16.63,81900,10.144306988,10.6234146858,9.984604422,10.6234146858,81900,0.0,1.0
BLK,2000-01-05 00:00:00+00:00,15.31,15.63,15.0,15.63,38100,9.7801851377,9.984604422,9.5821539559,9.984604422,38100,0.0,1.0
BLK,2000-01-06 00:00:00+00:00,16.0,16.25,15.75,15.75,41200,10.2209642196,10.3806667856,10.0612616537,10.0612616537,41200,0.0,1.0
BLK,2000-01-07 00:00:00+00:00,15.88,16.25,15.75,15.88,34700,10.144306988,10.3806667856,10.0612616537,10.144306988,34700,0.0,1.0
BLK,2000-01-10 00:00:00+00:00,16.0,16.5,16.0,16.5,94200,10.2209642196,10.5403693515,10.2209642196,10.5403693515,94200,0.0,1.0
BLK,2000-01-11 00:00:00+00:00,16.44,16.88,16.0,16.13,39700,10.5020407357,10.7831172517,10.2209642196,10.3040095539,39700,0.0,1.0
BLK,2000-01-12 00:00:00+00:00,17.13,17.13,16.5,16.5,25100,10.9428198176,10.9428198176,10.5403693515,10.5403693515,25100,0.0,1.0
BLK,2000-01-13 00:00:00+00:00,16.94,17.5,16.88,17.25,62000,10.8214458675,11.1791796152,10.7831172517,11.0194770493,62000,0.0,1.0
BLK,2000-01-14 00:00:00+00:00,17.5,17.75,16.88,17.0,183100,11.1791796152,11.3388821812,10.7831172517,10.8597744834,183100,0.0,1.0
BLK,2000-01-18 00:00:00+00:00,18.0,18.25,17.75,17.75,77300,11.4985847471,11.658287313,11.3388821812,11.3388821812,77300,0.0,1.0
BLK,2000-01-19 00:00:00+00:00,18.25,18.38,17.94,18.0,34500,11.658287313,11.7413326473,11.4602561313,11.4985847471,34500,0.0,1.0
BLK,2000-01-20 00:00:00+00:00,17.5,18.25,17.38,18.25,42200,11.1791796152,11.658287313,11.1025223836,11.658287313,42200,0.0,1.0
BLK,2000-01-21 00:00:00+00:00,17.38,17.5,17.25,17.44,16000,11.1025223836,11.1791796152,11.0194770493,11.1408509994,16000,0.0,1.0
BLK,2000-01-24 00:00:00+00:00,17.13,17.5,17.0,17.5,10700,10.9428198176,11.1791796152,10.8597744834,11.1791796152,10700,0.0,1.0
BLK,2000-01-25 00:00:00+00:00,17.25,17.5,17.06,17.13,19200,11.0194770493,11.1791796152,10.8981030992,10.9428198176,19200,0.0,1.0
BLK,2000-01-26 00:00:00+00:00,17.44,17.5,17.25,17.25,16600,11.1408509994,11.1791796152,11.0194770493,11.0194770493,16600,0.0,1.0
BLK,2000-01-27 00:00:00+00:00,17.5,18.0,17.44,17.44,33600,11.1791796152,11.4985847471,11.1408509994,11.1408509994,33600,0.0,1.0
BLK,2000-01-28 00:00:00+00:00,17.38,17.63,17.31,17.63,3900,11.1025223836,11.2622249495,11.0578056651,11.2622249495,3900,0.0,1.0
BLK,2000-01-31 00:00:00+00:00,17.5,17.5,17.13,17.13,53900,11.1791796152,11.1791796152,10.9428198176,10.9428198176,53900,0.0,1.0
BLK,2000-02-01 00:00:00+00:00,17.75,17.75,17.38,17.38,15400,11.3388821812,11.3388821812,11.1025223836,11.1025223836,15400,0.0,1.0
BLK,2000-02-02 00:00:00+00:00,17.94,18.13,17.88,18.0,92700,11.4602561313,11.5816300814,11.4219275154,11.4985847471,92700,0.0,1.0
BLK,2000-02-03 00:00:00+00:00,18.0,18.13,17.94,18.06,35200,11.4985847471,11.5816300814,11.4602561313,11.5369133629,35200,0.0,1.0
BLK,2000-02-04 00:00:00+00:00,18.38,18.56,18.13,18.13,51500,11.7413326473,11.8563184948,11.5816300814,11.5816300814,51500,0.0,1.0
BLK,2000-02-07 00:00:00+00:00,18.5,18.56,18.38,18.44,25200,11.8179898789,11.8563184948,11.7413326473,11.7796612631,25200,0.0,1.0
BLK,2000-02-08 00:00:00+00:00,18.56,18.88,18.5,18.5,45300,11.8563184948,12.0607377792,11.8179898789,11.8179898789,45300,0.0,1.0
BLK,2000-02-09 00:00:00+00:00,18.38,18.75,18.38,18.75,9100,11.7413326473,11.9776924449,11.7413326473,11.9776924449,9100,0.0,1.0
BLK,2000-02-10 00:00:00+00:00,17.88,18.5,17.88,18.5,9700,11.4219275154,11.8179898789,11.4219275154,11.8179898789,9700,0.0,1.0
BLK,2000-02-11 00:00:00+00:00,17.94,18.0,17.88,17.88,24700,11.4602561313,11.4985847471,11.4219275154,11.4219275154,24700,0.0,1.0
BLK,2000-02-14 00:00:00+00:00,18.0,18.06,17.88,18.06,7100,11.4985847471,11.5369133629,11.4219275154,11.5369133629,7100,0.0,1.0
BLK,2000-02-15 00:00:00+00:00,17.88,18.0,17.88,17.88,4900,11.4219275154,11.4985847471,11.4219275154,11.4219275154,4900,0.0,1.0
BLK,2000-02-16 00:00:00+00:00,18.5,18.5,17.88,17.88,69000,11.8179898789,11.8179898789,11.4219275154,11.4219275154,69000,0.0,1.0
BLK,2000-02-17 00:00:00+00:00,18.38,18.69,18.31,18.5,28100,11.7413326473,11.9393638291,11.6966159288,11.8179898789,28100,0.0,1.0
BLK,2000-02-18 00:00:00+00:00,18.5,18.56,18.38,18.38,5000,11.8179898789,11.8563184948,11.7413326473,11.7413326473,5000,0.0,1.0
BLK,2000-02-22 00:00:00+00:00,18.56,18.81,18.56,18.63,10700,11.8563184948,12.0160210607,11.8563184948,11.9010352132,10700,0.0,1.0
BLK,2000-02-23 00:00:00+00:00,18.81,18.94,18.56,18.56,5700,12.0160210607,12.099066395,11.8563184948,11.8563184948,5700,0.0,1.0
BLK,2000-02-24 00:00:00+00:00,19.0,19.13,18.88,18.88,61800,12.1373950108,12.2204403451,12.0607377792,12.0607377792,61800,0.0,1.0
BLK,2000-02-25 00:00:00+00:00,19.25,19.25,19.0,19.0,41400,12.2970975767,12.2970975767,12.1373950108,12.1373950108,41400,0.0,1.0
BLK,2000-02-28 00:00:00+00:00,20.13,20.13,19.25,19.25,35700,12.8592506088,12.8592506088,12.2970975767,12.2970975767,35700,0.0,1.0
BLK,2000-02-29 00:00:00+00:00,21.88,21.88,21.63,21.75,79900,13.9771685703,13.9771685703,13.8174660044,13.8941232361,79900,0.0,1.0
BLK,2000-03-01 00:00:00+00:00,21.75,22.75,21.75,22.5,140600,13.8941232361,14.5329334998,13.8941232361,14.3732309339,140600,0.0,1.0
BLK,2000-03-02 00:00:00+00:00,22.06,22.25,22.0,22.0,26600,14.0921544178,14.2135283679,14.053825802,14.053825802,26600,0.0,1.0
BLK,2000-03-03 00:00:00+00:00,22.13,22.13,22.06,22.13,17300,14.1368711363,14.1368711363,14.0921544178,14.1368711363,17300,0.0,1.0
