symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BR,2007-04-02 00:00:00+00:00,19.51,19.7,18.82,19.4,9470300,14.1156249949,14.2530913583,13.6164050438,14.0360392056,9470300,0.0,1.0
BR,2007-04-03 00:00:00+00:00,19.07,19.5,18.49,19.3,7892900,13.7972818377,14.1083899232,13.3776476759,13.963688488,7892900,0.0,1.0
BR,2007-04-04 00:00:00+00:00,18.91,19.16,18.8,19.02,4738000,13.6815206896,13.8623974835,13.6019349003,13.7611064789,4738000,0.0,1.0
BR,2007-04-05 00:00:00+00:00,19.38,19.81,18.7,18.75,4602900,14.0215690621,14.3326771476,13.5295841827,13.5657595415,4602900,0.0,1.0
BR,2007-04-09 00:00:00+00:00,19.06,19.57,18.9,19.57,3600900,13.7900467659,14.1590354254,13.6742856178,14.1590354254,3600900,0.0,1.0
BR,2007-04-10 00:00:00+00:00,19.22,19.44,18.6,18.68,3130800,13.905807914,14.0649794926,13.4572334652,13.5151140392,3130800,0.0,1.0
BR,2007-04-11 00:00:00+00:00,19.11,20.06,18.95,19.26,3356100,13.8262221247,14.5135539415,13.7104609766,13.934748201,3356100,0.0,1.0
BR,2007-04-12 00:00:00+00:00,19.2,19.27,18.89,19.06,2666300,13.8913377705,13.9419832728,13.6670505461,13.7900467659,2666300,0.0,1.0
BR,2007-04-13 00:00:00+00:00,19.58,20.05,19.1,20.05,2980900,14.1662704972,14.5063188697,13.8189870529,14.5063188697,2980900,0.0,1.0
BR,2007-04-16 00:00:00+00:00,19.86,19.9,19.62,19.62,1455800,14.3688525064,14.3977927934,14.1952107842,14.1952107842,1455800,0.0,1.0
BR,2007-04-17 00:00:00+00:00,20.42,20.58,19.3,19.45,1567200,14.7740165247,14.8897776727,13.963688488,14.0722145644,1567200,0.0,1.0
BR,2007-04-18 00:00:00+00:00,20.68,20.72,19.96,20.23,1958200,14.9621283903,14.9910686773,14.4412032239,14.6365501613,1958200,0.0,1.0
BR,2007-04-19 00:00:00+00:00,21.14,21.46,20.18,20.2,1890100,15.2949416911,15.5264639872,14.6003748025,14.614844946,1890100,0.0,1.0
BR,2007-04-20 00:00:00+00:00,21.08,21.77,21.0,21.37,2671300,15.2515312605,15.7507512116,15.1936506865,15.4613483414,2671300,0.0,1.0
BR,2007-04-23 00:00:00+00:00,20.7,21.1,20.53,20.88,1531800,14.9765985338,15.266001404,14.853602314,15.1068298254,1531800,0.0,1.0
BR,2007-04-24 00:00:00+00:00,20.61,20.7,20.5,20.5196,1752700,14.911482888,14.9765985338,14.8318970987,14.8460778393,1752700,0.0,1.0
BR,2007-04-25 00:00:00+00:00,20.26,20.67,20.22,20.61,1029600,14.6582553766,14.9548933185,14.6293150896,14.911482888,1029600,0.0,1.0
BR,2007-04-26 00:00:00+00:00,20.06,20.14,19.7,19.78,1193200,14.5135539415,14.5714345155,14.2530913583,14.3109719323,1193200,0.0,1.0
BR,2007-04-27 00:00:00+00:00,20.22,20.27,19.81,20.0,734500,14.6293150896,14.6654904483,14.3326771476,14.4701435109,734500,0.0,1.0
BR,2007-04-30 00:00:00+00:00,20.04,20.2,19.96,20.2,1581800,14.499083798,14.614844946,14.4412032239,14.614844946,1581800,0.0,1.0
BR,2007-05-01 00:00:00+00:00,20.04,20.11,19.86,19.96,1468800,14.499083798,14.5497293002,14.3688525064,14.4412032239,1468800,0.0,1.0
BR,2007-05-02 00:00:00+00:00,20.02,20.11,19.85,19.97,1460100,14.4846136544,14.5497293002,14.3616174346,14.4484382957,1460100,0.0,1.0
BR,2007-05-03 00:00:00+00:00,20.3,20.44,20.009,20.05,1243100,14.6871956636,14.7884866682,14.4766550755,14.5063188697,1243100,0.0,1.0
BR,2007-05-04 00:00:00+00:00,20.78,21.0,20.13,20.2,1242300,15.0344791079,15.1936506865,14.5641994438,14.614844946,1242300,0.0,1.0
BR,2007-05-07 00:00:00+00:00,21.01,21.04,20.5248,20.5248,1482300,15.2008857582,15.2225909735,14.8498400767,14.8498400767,1482300,0.0,1.0
BR,2007-05-08 00:00:00+00:00,21.27,21.32,20.54,20.5401,1294300,15.3889976239,15.4251729827,14.8608373857,14.8609097364,1294300,0.0,1.0
BR,2007-05-09 00:00:00+00:00,21.4,21.85,21.08,21.12,2454100,15.4830535567,15.8086317857,15.2515312605,15.2804715475,2454100,0.0,1.0
BR,2007-05-10 00:00:00+00:00,21.12,21.55,20.94,21.2,1278800,15.2804715475,15.591579633,15.1502402559,15.3383521216,1278800,0.0,1.0
BR,2007-05-11 00:00:00+00:00,21.43,21.45,21.1,21.13,468300,15.504758772,15.5192289155,15.266001404,15.2877066193,468300,0.0,1.0
BR,2007-05-14 00:00:00+00:00,21.31,21.36,21.12,21.33,661100,15.4179379109,15.4541132697,15.2804715475,15.4324080544,661100,0.0,1.0
BR,2007-05-15 00:00:00+00:00,20.84,21.41,20.84,21.29,1811800,15.0778895384,15.4902886285,15.0778895384,15.4034677674,1811800,0.0,1.0
BR,2007-05-16 00:00:00+00:00,20.5,20.7,20.42,20.7,1595900,14.8318970987,14.9765985338,14.7740165247,14.9765985338,1595900,0.0,1.0
BR,2007-05-17 00:00:00+00:00,20.65,20.73,20.1,20.12,893700,14.940423175,14.9983037491,14.5424942285,14.556964372,893700,0.0,1.0
BR,2007-05-18 00:00:00+00:00,20.46,20.75,20.3,20.6,1201800,14.8029568117,15.0127738926,14.6871956636,14.9042478163,1201800,0.0,1.0
BR,2007-05-21 00:00:00+00:00,20.5,20.54,20.38,20.44,3019200,14.8318970987,14.8608373857,14.7450762376,14.7884866682,3019200,0.0,1.0
BR,2007-05-22 00:00:00+00:00,20.39,20.62,20.35,20.62,1490500,14.7523113094,14.9187179598,14.7233710224,14.9187179598,1490500,0.0,1.0
BR,2007-05-23 00:00:00+00:00,20.35,20.5,20.04,20.39,1014700,14.7233710224,14.8318970987,14.499083798,14.7523113094,1014700,0.0,1.0
BR,2007-05-24 00:00:00+00:00,20.02,20.33,20.0,20.01,1404600,14.4846136544,14.7089008789,14.4701435109,14.4773785827,1404600,0.0,1.0
BR,2007-05-25 00:00:00+00:00,20.0,20.15,19.95,20.02,624200,14.4701435109,14.5786695873,14.4339681522,14.4846136544,624200,0.0,1.0
BR,2007-05-29 00:00:00+00:00,20.0,20.05,19.55,19.55,639000,14.4701435109,14.5063188697,14.1445652819,14.1445652819,639000,0.0,1.0
BR,2007-05-30 00:00:00+00:00,19.97,20.04,19.75,19.82,1165000,14.4484382957,14.499083798,14.289266717,14.3399122193,1165000,0.0,1.0
BR,2007-05-31 00:00:00+00:00,20.24,20.25,19.9,19.99,953500,14.6437852331,14.6510203048,14.3977927934,14.4629084392,953500,0.0,1.0
BR,2007-06-01 00:00:00+00:00,19.93,20.42,19.75,20.31,886100,14.4194980086,14.7740165247,14.289266717,14.6944307353,886100,0.0,1.0
BR,2007-06-04 00:00:00+00:00,19.85,20.0,19.66,19.68,967300,14.3616174346,14.4701435109,14.2241510712,14.2386212148,967300,0.0,1.0
BR,2007-06-05 00:00:00+00:00,19.93,20.08,19.65,19.75,847000,14.4194980086,14.528024085,14.2169159995,14.289266717,847000,0.0,1.0
BR,2007-06-06 00:00:00+00:00,19.45,19.81,19.28,19.78,1072800,14.0722145644,14.3326771476,13.9492183445,14.3109719323,1072800,0.0,1.0
BR,2007-06-07 00:00:00+00:00,18.97,19.46,18.91,19.28,1127400,13.7249311201,14.0794496361,13.6815206896,13.9492183445,1127400,0.0,1.0
BR,2007-06-08 00:00:00+00:00,19.14,19.18,18.91,18.98,627600,13.84792734,13.876867627,13.6815206896,13.7321661919,627600,0.0,1.0
BR,2007-06-11 00:00:00+00:00,19.27,19.31,19.0,19.06,2175300,13.9419832728,13.9709235598,13.7466363354,13.7900467659,2175300,0.0,1.0
BR,2007-06-12 00:00:00+00:00,19.33,19.49,19.15,19.16,994400,13.9853937033,14.1011548514,13.8551624117,13.8623974835,994400,0.0,1.0
BR,2007-06-13 00:00:00+00:00,19.35,19.59,19.28,19.46,829700,14.0432742774,14.2174544234,13.9924717348,14.1231068443,829700,0.06,1.0
BR,2007-06-14 00:00:00+00:00,19.28,19.42,19.16,19.3,629800,13.9924717348,14.09407682,13.9053816617,14.0069867469,629800,0.0,1.0
BR,2007-06-15 00:00:00+00:00,19.49,19.59,19.35,19.38,732300,14.1448793626,14.2174544234,14.0432742774,14.0650467956,732300,0.0,1.0
BR,2007-06-18 00:00:00+00:00,19.43,19.57,19.28,19.57,810700,14.101334326,14.2029394113,13.9924717348,14.2029394113,810700,0.0,1.0
BR,2007-06-19 00:00:00+00:00,19.09,19.54,19.08,19.27,1422600,13.8545791191,14.181166893,13.847321613,13.9852142287,1422600,0.0,1.0
BR,2007-06-20 00:00:00+00:00,19.11,19.14,18.99,19.02,1922200,13.8690941313,13.8908666495,13.7820040582,13.8037765765,1922200,0.0,1.0
BR,2007-06-21 00:00:00+00:00,19.44,19.47,19.0,19.02,1592800,14.1085918321,14.1303643504,13.7892615643,13.8037765765,1592800,0.0,1.0
BR,2007-06-22 00:00:00+00:00,19.9,20.0,19.43,19.43,1826000,14.4424371121,14.515012173,14.101334326,14.101334326,1826000,0.0,1.0
BR,2007-06-25 00:00:00+00:00,20.12,20.12,19.72,19.81,2052100,14.602102246,14.602102246,14.3118020026,14.3771195573,2052100,0.0,1.0
BR,2007-06-26 00:00:00+00:00,19.9,20.25,19.76,20.25,1435300,14.4424371121,14.6964498251,14.3408320269,14.6964498251,1435300,0.0,1.0
BR,2007-06-27 00:00:00+00:00,19.8,20.0,19.59,19.81,1720900,14.3698620512,14.515012173,14.2174544234,14.3771195573,1720900,0.0,1.0
BR,2007-06-28 00:00:00+00:00,19.41,19.83,19.22,19.81,1430600,14.0868193139,14.3916345695,13.9489266982,14.3771195573,1430600,0.0,1.0
BR,2007-06-29 00:00:00+00:00,19.12,19.6,19.1,19.38,1323100,13.8763516374,14.2247119295,13.8618366252,14.0650467956,1323100,0.0,1.0
BR,2007-07-02 00:00:00+00:00,19.34,19.38,19.09,19.23,848600,14.0360167713,14.0650467956,13.8545791191,13.9561842043,848600,0.0,1.0
BR,2007-07-03 00:00:00+00:00,19.72,19.85,19.25,19.31,322700,14.3118020026,14.4061495817,13.9706992165,14.014244253,322700,0.0,1.0
BR,2007-07-05 00:00:00+00:00,19.6,19.84,19.51,19.81,669000,14.2247119295,14.3988920756,14.1593943747,14.3771195573,669000,0.0,1.0
BR,2007-07-06 00:00:00+00:00,19.76,19.92,19.53,19.53,492000,14.3408320269,14.4569521243,14.1739093869,14.1739093869,492000,0.0,1.0
BR,2007-07-09 00:00:00+00:00,20.34,20.46,19.46,19.76,1492100,14.7617673799,14.848857453,14.1231068443,14.3408320269,1492100,0.0,1.0
BR,2007-07-10 00:00:00+00:00,19.8,20.31,19.76,20.19,925900,14.3698620512,14.7399948617,14.3408320269,14.6529047886,925900,0.0,1.0
BR,2007-07-11 00:00:00+00:00,19.58,19.75,19.45,19.71,606100,14.2101969173,14.3335745208,14.1158493382,14.3045444965,606100,0.0,1.0
BR,2007-07-12 00:00:00+00:00,20.02,20.04,19.7,19.7,1520600,14.5295271852,14.5440421973,14.2972869904,14.2972869904,1520600,0.0,1.0
BR,2007-07-13 00:00:00+00:00,19.89,20.29,19.8,20.07,475600,14.435179606,14.7254798495,14.3698620512,14.5658147156,475600,0.0,1.0
BR,2007-07-16 00:00:00+00:00,20.19,20.24,19.8,19.83,566900,14.6529047886,14.6891923191,14.3698620512,14.3916345695,566900,0.0,1.0
BR,2007-07-17 00:00:00+00:00,20.14,20.5,20.02,20.1,873900,14.6166172582,14.8778874773,14.5295271852,14.5875872338,873900,0.0,1.0
BR,2007-07-18 00:00:00+00:00,20.04,20.21,19.85,20.02,1002700,14.5440421973,14.6674198008,14.4061495817,14.5295271852,1002700,0.0,1.0
