symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BRK-B,2000-01-03 00:00:00+00:00,1765.0,1829.0,1741.0,1825.0,17500,35.3,36.58,34.82,36.5,875000,0.0,1.0
BRK-B,2000-01-04 00:00:00+00:00,1704.0,1733.0,1695.0,1725.0,27600,34.08,34.66,33.9,34.5,1380000,0.0,1.0
BRK-B,2000-01-05 00:00:00+00:00,1732.0,1773.0,1695.0,1707.0,19900,34.64,35.46,33.9,34.14,995000,0.0,1.0
BRK-B,2000-01-06 00:00:00+00:00,1804.0,1804.0,1727.0,1745.0,18300,36.08,36.08,34.54,34.9,915000,0.0,1.0
BRK-B,2000-01-07 00:00:00+00:00,1820.0,1848.0,1805.0,1830.0,20000,36.4,36.96,36.1,36.6,1000000,0.0,1.0
BRK-B,2000-01-10 00:00:00+00:00,1813.0,1888.0,1806.0,1845.0,20200,36.26,37.76,36.12,36.9,1010000,0.0,1.0
BRK-B,2000-01-11 00:00:00+00:00,1779.0,1798.0,1765.0,1790.0,14500,35.58,35.96,35.3,35.8,725000,0.0,1.0
BRK-B,2000-01-12 00:00:00+00:00,1745.0,1784.0,1736.0,1775.0,10300,34.9,35.68,34.72,35.5,515000,0.0,1.0
BRK-B,2000-01-13 00:00:00+00:00,1760.0,1773.0,1751.0,1760.0,12300,35.2,35.46,35.02,35.2,615000,0.0,1.0
BRK-B,2000-01-14 00:00:00+00:00,1701.0,1785.0,1701.0,1780.0,26900,34.02,35.7,34.02,35.6,1345000,0.0,1.0
BRK-B,2000-01-18 00:00:00+00:00,1700.0,1719.0,1690.0,1704.0,27500,34.0,34.38,33.8,34.08,1375000,0.0,1.0
BRK-B,2000-01-19 00:00:00+00:00,1709.0,1713.0,1677.0,1705.0,17700,34.18,34.26,33.54,34.1,885000,0.0,1.0
BRK-B,2000-01-20 00:00:00+00:00,1700.0,1734.0,1700.0,1709.0,16300,34.0,34.68,34.0,34.18,815000,0.0,1.0
BRK-B,2000-01-21 00:00:00+00:00,1711.0,1713.0,1694.0,1700.0,14200,34.22,34.26,33.88,34.0,710000,0.0,1.0
BRK-B,2000-01-24 00:00:00+00:00,1700.0,1740.0,1688.0,1735.0,13200,34.0,34.8,33.76,34.7,660000,0.0,1.0
BRK-B,2000-01-25 00:00:00+00:00,1703.0,1723.0,1690.0,1695.0,12500,34.06,34.46,33.8,33.9,625000,0.0,1.0
BRK-B,2000-01-26 00:00:00+00:00,1707.0,1724.0,1700.0,1708.0,10600,34.14,34.48,34.0,34.16,530000,0.0,1.0
BRK-B,2000-01-27 00:00:00+00:00,1696.0,1720.0,1686.0,1707.0,9400,33.92,34.4,33.72,34.14,470000,0.0,1.0
BRK-B,2000-01-28 00:00:00+00:00,1660.0,1693.0,1654.0,1690.0,19700,33.2,33.86,33.08,33.8,985000,0.0,1.0
BRK-B,2000-01-31 00:00:00+00:00,1646.0,1683.0,1646.0,1662.0,22400,32.92,33.66,32.92,33.24,1120000,0.0,1.0
