symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BRO,2000-01-03 00:00:00+00:00,37.88,38.25,37.88,38.25,5100,1.8465048396,1.8645409217,1.8465048396,1.8645409217,81600,0.0,1.0
BRO,2000-01-04 00:00:00+00:00,37.88,37.88,37.63,37.88,4600,1.8465048396,1.8465048396,1.8343182976,1.8465048396,73600,0.0,1.0
BRO,2000-01-05 00:00:00+00:00,37.63,37.63,37.44,37.44,2200,1.8343182976,1.8343182976,1.8250565257,1.8250565257,35200,0.0,1.0
BRO,2000-01-06 00:00:00+00:00,37.75,37.75,37.56,37.69,3400,1.8401678378,1.8401678378,1.8309060659,1.8372430677,54400,0.0,1.0
BRO,2000-01-07 00:00:00+00:00,38.25,38.25,37.63,37.75,5800,1.8645409217,1.8645409217,1.8343182976,1.8401678378,92800,0.0,1.0
BRO,2000-01-10 00:00:00+00:00,38.88,39.0,38.25,38.25,13700,1.8952510075,1.9011005476,1.8645409217,1.8645409217,219200,0.0,1.0
BRO,2000-01-11 00:00:00+00:00,39.69,40.0,39.13,39.13,6300,1.9347354035,1.9498467155,1.9074375494,1.9074375494,100800,0.0,1.0
BRO,2000-01-12 00:00:00+00:00,39.63,39.63,39.63,39.63,900,1.9318106334,1.9318106334,1.9318106334,1.9318106334,14400,0.0,1.0
BRO,2000-01-13 00:00:00+00:00,40.06,40.06,39.88,39.88,3200,1.9527714856,1.9527714856,1.9439971754,1.9439971754,51200,0.0,1.0
BRO,2000-01-14 00:00:00+00:00,39.88,39.94,39.75,39.94,1400,1.9439971754,1.9469219454,1.9376601735,1.9469219454,22400,0.0,1.0
BRO,2000-01-18 00:00:00+00:00,39.75,40.0,39.75,40.0,4900,1.9376601735,1.9498467155,1.9376601735,1.9498467155,78400,0.0,1.0
BRO,2000-01-19 00:00:00+00:00,39.38,39.63,39.25,39.63,18800,1.9196240914,1.9318106334,1.9132870896,1.9318106334,300800,0.0,1.0
BRO,2000-01-20 00:00:00+00:00,39.63,39.63,39.5,39.5,4200,1.9318106334,1.9318106334,1.9254736316,1.9254736316,67200,0.0,1.0
BRO,2000-01-21 00:00:00+00:00,37.75,39.38,37.75,39.38,36800,1.8401678378,1.9196240914,1.8401678378,1.9196240914,588800,0.0,1.0
BRO,2000-01-24 00:00:00+00:00,36.75,37.5,36.75,37.5,11000,1.7914216699,1.8279812958,1.7914216699,1.8279812958,176000,0.0,1.0
BRO,2000-01-25 00:00:00+00:00,35.88,36.88,35.88,36.88,12400,1.7490125038,1.7977586717,1.7490125038,1.7977586717,198400,0.0,1.0
BRO,2000-01-26 00:00:00+00:00,35.5,35.5,34.63,35.38,53100,1.73048896,1.73048896,1.6880797939,1.7246394199,849600,0.0,1.0
BRO,2000-01-27 00:00:00+00:00,35.0,35.75,35.0,35.75,1500,1.7061158761,1.742675502,1.7061158761,1.742675502,24000,0.0,1.0
BRO,2000-01-28 00:00:00+00:00,33.5,35.25,33.25,35.0,14400,1.6329966242,1.718302418,1.6208100823,1.7061158761,230400,0.0,1.0
BRO,2000-01-31 00:00:00+00:00,34.31,34.5,34.19,34.38,38600,1.6724810202,1.6817427921,1.6666314801,1.675893252,617600,0.0,1.0
BRO,2000-02-01 00:00:00+00:00,34.63,34.88,34.06,34.31,13000,1.6880797939,1.7002663359,1.6602944783,1.6724810202,208000,0.0,1.0
BRO,2000-02-02 00:00:00+00:00,34.75,35.0,34.5,34.5,9400,1.6939293341,1.7061158761,1.6817427921,1.6817427921,150400,0.0,1.0
BRO,2000-02-03 00:00:00+00:00,36.63,37.13,35.25,35.5,27100,1.7855721297,1.8099452137,1.718302418,1.73048896,433600,0.0,1.0
BRO,2000-02-04 00:00:00+00:00,37.38,38.31,36.62,36.62,20000,1.8221317556,1.8674656918,1.785084668,1.785084668,320000,0.0,1.0
BRO,2000-02-07 00:00:00+00:00,39.5,40.25,37.38,37.38,28000,1.9318106334,1.9684905821,1.828128645,1.828128645,448000,0.13,1.0
BRO,2000-02-08 00:00:00+00:00,39.0,39.94,38.94,39.75,26200,1.9073573342,1.9533295366,1.9044229383,1.944037283,419200,0.0,1.0
BRO,2000-02-09 00:00:00+00:00,38.25,39.0,38.25,39.0,11300,1.8706773855,1.9073573342,1.8706773855,1.9073573342,180800,0.0,1.0
BRO,2000-02-10 00:00:00+00:00,37.0,38.06,37.0,38.0,37600,1.8095441376,1.8613851318,1.8095441376,1.8584507359,601600,0.0,1.0
BRO,2000-02-11 00:00:00+00:00,36.75,37.0,36.75,37.0,1700,1.797317488,1.8095441376,1.797317488,1.8095441376,27200,0.0,1.0
BRO,2000-02-14 00:00:00+00:00,36.31,36.56,36.31,36.5,2700,1.7757985848,1.7880252343,1.7757985848,1.7850908384,43200,0.0,1.0
BRO,2000-02-15 00:00:00+00:00,34.19,36.06,34.19,36.06,13400,1.6721165963,1.7635719352,1.6721165963,1.7635719352,214400,0.0,1.0
BRO,2000-02-16 00:00:00+00:00,33.88,34.25,33.0,34.0,15600,1.6569555509,1.6750509922,1.6139177443,1.6628243427,249600,0.0,1.0
BRO,2000-02-17 00:00:00+00:00,35.88,35.88,33.38,33.63,11100,1.7547687475,1.7547687475,1.6325022517,1.6447289013,177600,0.0,1.0
BRO,2000-02-18 00:00:00+00:00,35.38,35.88,35.38,35.88,8500,1.7303154483,1.7547687475,1.7303154483,1.7547687475,136000,0.0,1.0
BRO,2000-02-22 00:00:00+00:00,34.0,35.13,34.0,35.13,7200,1.6628243427,1.7180887988,1.6628243427,1.7180887988,115200,0.0,1.0
BRO,2000-02-23 00:00:00+00:00,32.38,33.75,32.38,33.75,10900,1.5835956534,1.6505976931,1.5835956534,1.6505976931,174400,0.0,1.0
BRO,2000-02-24 00:00:00+00:00,32.25,32.25,31.81,32.13,4000,1.5772377956,1.5772377956,1.5557188924,1.5713690038,64000,0.0,1.0
BRO,2000-02-25 00:00:00+00:00,31.25,32.13,31.25,32.13,3700,1.5283311973,1.5713690038,1.5283311973,1.5713690038,59200,0.0,1.0
BRO,2000-02-28 00:00:00+00:00,32.31,32.31,31.25,31.25,4800,1.5801721915,1.5801721915,1.5283311973,1.5283311973,76800,0.0,1.0
BRO,2000-02-29 00:00:00+00:00,33.0,33.0,31.88,32.5,18900,1.6139177443,1.6139177443,1.5591423542,1.5894644452,302400,0.0,1.0
BRO,2000-03-01 00:00:00+00:00,33.0,33.0,32.5,33.0,8300,1.6139177443,1.6139177443,1.5894644452,1.6139177443,132800,0.0,1.0
BRO,2000-03-02 00:00:00+00:00,32.56,32.75,32.56,32.75,1200,1.5923988411,1.6016910948,1.5923988411,1.6016910948,19200,0.0,1.0
BRO,2000-03-03 00:00:00+00:00,32.94,32.94,32.75,32.81,9400,1.6109833485,1.6109833485,1.6016910948,1.6046254907,150400,0.0,1.0
BRO,2000-03-06 00:00:00+00:00,31.94,32.94,31.94,32.75,3900,1.5620767501,1.6109833485,1.5620767501,1.6016910948,62400,0.0,1.0
BRO,2000-03-07 00:00:00+00:00,32.63,32.63,31.81,31.81,3800,1.595822303,1.595822303,1.5557188924,1.5557188924,60800,0.0,1.0
BRO,2000-03-08 00:00:00+00:00,32.38,33.0,32.38,32.88,83300,1.5835956534,1.6139177443,1.5835956534,1.6080489526,1332800,0.0,1.0
BRO,2000-03-09 00:00:00+00:00,32.94,32.94,32.13,32.25,12100,1.6109833485,1.6109833485,1.5713690038,1.5772377956,193600,0.0,1.0
BRO,2000-03-10 00:00:00+00:00,33.0,33.0,32.94,32.94,15300,1.6139177443,1.6139177443,1.6109833485,1.6109833485,244800,0.0,1.0
BRO,2000-03-13 00:00:00+00:00,32.38,32.94,32.25,32.94,2800,1.5835956534,1.6109833485,1.5772377956,1.6109833485,44800,0.0,1.0
