symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BSX,2000-01-03 00:00:00+00:00,23.0,23.19,22.0,22.12,2485700,11.5,11.595,11.0,11.06,4971400,0.0,1.0
BSX,2000-01-04 00:00:00+00:00,23.38,24.0,22.44,22.88,3354800,11.69,12.0,11.22,11.44,6709600,0.0,1.0
BSX,2000-01-05 00:00:00+00:00,24.94,25.0,23.0,23.56,3932800,12.47,12.5,11.5,11.78,7865600,0.0,1.0
BSX,2000-01-06 00:00:00+00:00,25.75,25.88,25.06,25.13,2527500,12.875,12.94,12.53,12.565,5055000,0.0,1.0
BSX,2000-01-07 00:00:00+00:00,24.81,25.75,24.5,25.75,3008900,12.405,12.875,12.25,12.875,6017800,0.0,1.0
BSX,2000-01-10 00:00:00+00:00,24.0,24.63,23.5,24.25,1905800,12.0,12.315,11.75,12.125,3811600,0.0,1.0
BSX,2000-01-11 00:00:00+00:00,23.69,24.0,23.5,23.88,1850000,11.845,12.0,11.75,11.94,3700000,0.0,1.0
BSX,2000-01-12 00:00:00+00:00,22.88,23.75,22.69,23.75,1287200,11.44,11.875,11.345,11.875,2574400,0.0,1.0
BSX,2000-01-13 00:00:00+00:00,22.69,22.94,22.19,22.5,2833300,11.345,11.47,11.095,11.25,5666600,0.0,1.0
BSX,2000-01-14 00:00:00+00:00,23.0,23.44,22.25,22.69,2946900,11.5,11.72,11.125,11.345,5893800,0.0,1.0
BSX,2000-01-18 00:00:00+00:00,23.25,23.25,22.38,22.69,1424700,11.625,11.625,11.19,11.345,2849400,0.0,1.0
BSX,2000-01-19 00:00:00+00:00,22.69,23.19,22.13,23.19,2602100,11.345,11.595,11.065,11.595,5204200,0.0,1.0
BSX,2000-01-20 00:00:00+00:00,21.13,22.31,21.06,22.25,2468700,10.565,11.155,10.53,11.125,4937400,0.0,1.0
BSX,2000-01-21 00:00:00+00:00,20.69,21.38,20.5,21.38,2771700,10.345,10.69,10.25,10.69,5543400,0.0,1.0
BSX,2000-01-24 00:00:00+00:00,21.13,21.69,20.88,21.13,1965200,10.565,10.845,10.44,10.565,3930400,0.0,1.0
BSX,2000-01-25 00:00:00+00:00,20.81,21.38,20.69,21.13,1075700,10.405,10.69,10.345,10.565,2151400,0.0,1.0
BSX,2000-01-26 00:00:00+00:00,21.19,21.38,20.63,20.88,1271600,10.595,10.69,10.315,10.44,2543200,0.0,1.0
BSX,2000-01-27 00:00:00+00:00,21.13,21.44,20.81,21.44,1191000,10.565,10.72,10.405,10.72,2382000,0.0,1.0
BSX,2000-01-28 00:00:00+00:00,20.88,21.44,20.69,20.88,1107900,10.44,10.72,10.345,10.44,2215800,0.0,1.0
BSX,2000-01-31 00:00:00+00:00,20.75,20.88,20.25,20.81,1592500,10.375,10.44,10.125,10.405,3185000,0.0,1.0
BSX,2000-02-01 00:00:00+00:00,20.38,20.75,20.0,20.75,958000,10.19,10.375,10.0,10.375,1916000,0.0,1.0
BSX,2000-02-02 00:00:00+00:00,21.0,21.75,20.38,20.38,2018700,10.5,10.875,10.19,10.19,4037400,0.0,1.0
BSX,2000-02-03 00:00:00+00:00,19.94,20.5,19.5,20.25,2588900,9.97,10.25,9.75,10.125,5177800,0.0,1.0
BSX,2000-02-04 00:00:00+00:00,19.5,19.88,19.5,19.56,2279000,9.75,9.94,9.75,9.78,4558000,0.0,1.0
BSX,2000-02-07 00:00:00+00:00,19.13,19.75,19.0,19.5,2208600,9.565,9.875,9.5,9.75,4417200,0.0,1.0
BSX,2000-02-08 00:00:00+00:00,19.25,19.38,18.56,19.25,2141200,9.625,9.69,9.28,9.625,4282400,0.0,1.0
BSX,2000-02-09 00:00:00+00:00,21.06,21.31,19.13,19.69,6467200,10.53,10.655,9.565,9.845,12934400,0.0,1.0
BSX,2000-02-10 00:00:00+00:00,19.94,21.19,19.5,20.88,4065900,9.97,10.595,9.75,10.44,8131800,0.0,1.0
BSX,2000-02-11 00:00:00+00:00,19.0,19.81,18.94,19.56,2577400,9.5,9.905,9.47,9.78,5154800,0.0,1.0
BSX,2000-02-14 00:00:00+00:00,19.38,19.44,19.0,19.0,2345000,9.69,9.72,9.5,9.5,4690000,0.0,1.0
BSX,2000-02-15 00:00:00+00:00,19.63,19.63,19.19,19.38,1983500,9.815,9.815,9.595,9.69,3967000,0.0,1.0
BSX,2000-02-16 00:00:00+00:00,19.0,19.5,18.88,19.44,2156300,9.5,9.75,9.44,9.72,4312600,0.0,1.0
BSX,2000-02-17 00:00:00+00:00,19.63,19.63,18.63,18.94,2247100,9.815,9.815,9.315,9.47,4494200,0.0,1.0
BSX,2000-02-18 00:00:00+00:00,19.25,19.5,19.06,19.25,1875700,9.625,9.75,9.53,9.625,3751400,0.0,1.0
BSX,2000-02-22 00:00:00+00:00,19.44,19.56,19.0,19.25,1202900,9.72,9.78,9.5,9.625,2405800,0.0,1.0
BSX,2000-02-23 00:00:00+00:00,19.0,19.38,18.88,19.25,1610100,9.5,9.69,9.44,9.625,3220200,0.0,1.0
BSX,2000-02-24 00:00:00+00:00,18.63,19.13,18.06,19.0,1967100,9.315,9.565,9.03,9.5,3934200,0.0,1.0
BSX,2000-02-25 00:00:00+00:00,17.88,18.88,17.81,18.88,1947600,8.94,9.44,8.905,9.44,3895200,0.0,1.0
BSX,2000-02-28 00:00:00+00:00,18.0,18.44,17.75,18.13,891600,9.0,9.22,8.875,9.065,1783200,0.0,1.0
BSX,2000-02-29 00:00:00+00:00,18.25,18.31,17.75,18.0,1186500,9.125,9.155,8.875,9.0,2373000,0.0,1.0
BSX,2000-03-01 00:00:00+00:00,17.9,18.19,17.63,18.13,1683300,8.95,9.095,8.815,9.065,3366600,0.0,1.0
