symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BWA,2000-01-03 00:00:00+00:00,38.69,40.63,38.56,40.63,84400,3.7700121016,3.959048635,3.757344705,3.959048635,675200,0.0,1.0
BWA,2000-01-04 00:00:00+00:00,38.69,39.38,38.63,38.94,76700,3.7700121016,3.8372467449,3.7641656109,3.7943724796,613600,0.0,1.0
BWA,2000-01-05 00:00:00+00:00,38.88,39.44,38.75,38.88,53500,3.7885259889,3.8430932356,3.7758585923,3.7885259889,428000,0.0,1.0
BWA,2000-01-06 00:00:00+00:00,38.38,38.94,38.25,38.88,88300,3.7398052329,3.7943724796,3.7271378363,3.7885259889,706400,0.0,1.0
BWA,2000-01-07 00:00:00+00:00,39.44,39.5,38.44,38.44,403600,3.8430932356,3.8489397264,3.7456517236,3.7456517236,3228800,0.0,1.0
BWA,2000-01-10 00:00:00+00:00,39.0,39.75,38.81,39.5,111200,3.8002189703,3.8733001044,3.781705083,3.8489397264,889600,0.0,1.0
BWA,2000-01-11 00:00:00+00:00,38.88,39.5,38.88,39.0,250500,3.7885259889,3.8489397264,3.7885259889,3.8002189703,2004000,0.0,1.0
BWA,2000-01-12 00:00:00+00:00,38.81,39.25,38.75,38.94,86800,3.781705083,3.8245793483,3.7758585923,3.7943724796,694400,0.0,1.0
BWA,2000-01-13 00:00:00+00:00,39.06,39.19,38.94,39.06,75300,3.8060654611,3.8187328576,3.7943724796,3.8060654611,602400,0.0,1.0
BWA,2000-01-14 00:00:00+00:00,38.75,39.25,38.75,39.13,108100,3.7758585923,3.8245793483,3.7758585923,3.8128863669,864800,0.0,1.0
BWA,2000-01-18 00:00:00+00:00,38.06,38.88,37.81,38.88,113100,3.708623949,3.7885259889,3.684263571,3.7885259889,904800,0.0,1.0
BWA,2000-01-19 00:00:00+00:00,37.63,38.19,37.25,38.0,105400,3.6667240988,3.7212913456,3.6296963242,3.7027774583,843200,0.0,1.0
BWA,2000-01-20 00:00:00+00:00,37.44,37.94,37.38,37.81,137000,3.6482102115,3.6969309675,3.6423637208,3.684263571,1096000,0.0,1.0
BWA,2000-01-21 00:00:00+00:00,37.38,37.88,37.38,37.5,188500,3.6423637208,3.6910844768,3.6423637208,3.6540567022,1508000,0.0,1.0
BWA,2000-01-24 00:00:00+00:00,36.56,37.88,36.5,37.88,216700,3.5624616809,3.6910844768,3.5566151902,3.6910844768,1733600,0.0,1.0
BWA,2000-01-25 00:00:00+00:00,35.69,36.63,35.19,36.63,173300,3.4776875654,3.5692825867,3.4289668094,3.5692825867,1386400,0.0,1.0
BWA,2000-01-26 00:00:00+00:00,35.5,36.0,35.25,35.56,95500,3.4591736781,3.5078944342,3.4348133001,3.4650201688,764000,0.0,1.0
BWA,2000-01-27 00:00:00+00:00,34.75,35.75,34.5,35.5,125700,3.3860925441,3.4835340561,3.3617321661,3.4591736781,1005600,0.0,1.0
