symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CAG,2000-01-03 00:00:00+00:00,22.88,22.94,21.94,22.5,1663700,8.001556989,8.022540093,7.6728216932,7.8686639971,2178438,0.0,1.0
CAG,2000-01-04 00:00:00+00:00,22.44,22.63,22.19,22.25,2176900,7.8476808931,7.9141273891,7.7602512931,7.7812343971,2850418,0.0,1.0
CAG,2000-01-05 00:00:00+00:00,22.06,22.5,22.0,22.38,1195100,7.7147879011,7.8686639971,7.6938047972,7.8266977891,1564856,0.0,1.0
CAG,2000-01-06 00:00:00+00:00,22.69,22.75,21.88,22.0,1544600,7.9351104931,7.9560935971,7.6518385892,7.6938047972,2022489,0.0,1.0
CAG,2000-01-07 00:00:00+00:00,23.19,23.88,23.0,23.69,1326400,8.109969693,8.3512753889,8.043523197,8.2848288929,1736779,0.0,1.0
CAG,2000-01-10 00:00:00+00:00,23.0,23.81,22.75,23.19,926100,8.043523197,8.3267951009,7.9560935971,8.109969693,1212629,0.0,1.0
CAG,2000-01-11 00:00:00+00:00,23.75,23.94,22.63,22.63,1294200,8.3058119969,8.3722584929,7.9141273891,7.9141273891,1694617,0.0,1.0
CAG,2000-01-12 00:00:00+00:00,23.81,24.44,23.56,23.56,1401700,8.3267951009,8.5471176928,8.239365501,8.239365501,1835376,0.0,1.0
CAG,2000-01-13 00:00:00+00:00,23.13,23.69,23.0,23.56,744800,8.088986589,8.2848288929,8.043523197,8.239365501,975236,0.0,1.0
CAG,2000-01-14 00:00:00+00:00,22.38,22.94,22.25,22.88,1624800,7.8266977891,8.022540093,7.7812343971,8.001556989,2127502,0.0,1.0
CAG,2000-01-18 00:00:00+00:00,22.44,22.63,22.06,22.38,1496800,7.8476808931,7.9141273891,7.7147879011,7.8266977891,1959900,0.0,1.0
CAG,2000-01-19 00:00:00+00:00,22.75,22.81,22.19,22.19,1374400,7.9560935971,7.977076701,7.7602512931,7.7602512931,1799630,0.0,1.0
CAG,2000-01-20 00:00:00+00:00,23.06,23.19,22.5,22.63,1663400,8.064506301,8.109969693,7.8686639971,7.9141273891,2178045,0.0,1.0
CAG,2000-01-21 00:00:00+00:00,23.13,23.5,22.69,23.19,1556200,8.088986589,8.218382397,7.9351104931,8.109969693,2037678,0.0,1.0
CAG,2000-01-24 00:00:00+00:00,22.5,23.25,22.38,23.06,787700,7.8686639971,8.130952797,7.8266977891,8.064506301,1031409,0.0,1.0
CAG,2000-01-25 00:00:00+00:00,21.94,22.63,21.94,22.25,1230800,7.6728216932,7.9141273891,7.6728216932,7.7812343971,1611601,0.0,1.0
CAG,2000-01-26 00:00:00+00:00,21.25,22.06,21.0,21.75,1752700,7.5026836916,7.7886683406,7.4144168247,7.6792174255,2294974,0.2035,1.0
CAG,2000-01-27 00:00:00+00:00,21.06,21.88,20.94,21.75,992600,7.4356008727,7.7251161964,7.3932327766,7.6792174255,1299704,0.0,1.0
CAG,2000-01-28 00:00:00+00:00,20.69,21.06,20.38,21.06,987800,7.3049659096,7.4356008727,7.1955149946,7.4356008727,1293418,0.0,1.0
CAG,2000-01-31 00:00:00+00:00,21.44,21.75,20.06,20.69,1008200,7.5697665105,7.6792174255,7.0825334049,7.3049659096,1320130,0.0,1.0
CAG,2000-02-01 00:00:00+00:00,21.06,21.25,20.69,21.13,1002000,7.4356008727,7.5026836916,7.3049659096,7.4603155955,1312012,0.0,1.0
CAG,2000-02-02 00:00:00+00:00,20.25,21.0,20.13,20.81,1327000,7.1496162238,7.4144168247,7.1072481276,7.3473340058,1737565,0.0,1.0
CAG,2000-02-03 00:00:00+00:00,20.56,20.88,19.88,20.25,1678500,7.2590671388,7.3720487285,7.0189812607,7.1496162238,2197817,0.0,1.0
CAG,2000-02-04 00:00:00+00:00,21.0,21.06,20.38,20.56,1440900,7.4144168247,7.4356008727,7.1955149946,7.2590671388,1886705,0.0,1.0
CAG,2000-02-07 00:00:00+00:00,20.5,21.0,20.19,21.0,897400,7.2378830907,7.4144168247,7.1284321757,7.4144168247,1175049,0.0,1.0
CAG,2000-02-08 00:00:00+00:00,20.56,20.56,20.19,20.5,671600,7.2590671388,7.2590671388,7.1284321757,7.2378830907,879388,0.0,1.0
CAG,2000-02-09 00:00:00+00:00,19.88,20.56,19.81,20.5,1535300,7.0189812607,7.2590671388,6.9942665379,7.2378830907,2010311,0.0,1.0
CAG,2000-02-10 00:00:00+00:00,19.06,20.31,18.94,19.88,1704900,6.7294659371,7.1708002719,6.6870978409,7.0189812607,2232385,0.0,1.0
CAG,2000-02-11 00:00:00+00:00,18.88,19.5,18.56,19.31,1340700,6.6659137928,6.8848156229,6.5529322031,6.817732804,1755503,0.0,1.0
CAG,2000-02-14 00:00:00+00:00,18.56,19.19,18.31,19.0,880200,6.5529322031,6.7753647079,6.4646653362,6.708281889,1152528,0.0,1.0
CAG,2000-02-15 00:00:00+00:00,18.56,19.13,18.19,18.56,2080700,6.5529322031,6.7541806598,6.42229724,6.5529322031,2724455,0.0,1.0
CAG,2000-02-16 00:00:00+00:00,18.25,18.69,17.88,18.56,2976500,6.4434812881,6.5988309739,6.312846325,6.5529322031,3897410,0.0,1.0
CAG,2000-02-17 00:00:00+00:00,17.88,18.69,17.75,18.63,1549300,6.312846325,6.5988309739,6.2669475542,6.5776469259,2028643,0.0,1.0
CAG,2000-02-18 00:00:00+00:00,17.88,18.0,17.38,17.5,2963900,6.312846325,6.3552144211,6.1363125911,6.1786806872,3880911,0.0,1.0
CAG,2000-02-22 00:00:00+00:00,17.88,18.13,17.0,17.0,1328700,6.312846325,6.401113192,6.0021469533,6.0021469533,1739791,0.0,1.0
CAG,2000-02-23 00:00:00+00:00,16.88,17.81,16.81,17.69,1226400,5.9597788572,6.2881316022,5.9350641344,6.2457635061,1605840,0.0,1.0
CAG,2000-02-24 00:00:00+00:00,16.38,16.94,15.88,16.88,1940800,5.7832451232,5.9809629052,5.6067113893,5.9597788572,2541271,0.0,1.0
CAG,2000-02-25 00:00:00+00:00,16.13,16.94,16.0,16.94,1325500,5.6949782563,5.9809629052,5.6490794855,5.9809629052,1735601,0.0,1.0
CAG,2000-02-28 00:00:00+00:00,16.44,16.69,16.06,16.13,1137300,5.8044291713,5.8926960383,5.6702635335,5.6949782563,1489173,0.0,1.0
CAG,2000-02-29 00:00:00+00:00,16.38,16.88,16.06,16.38,1539900,5.7832451232,5.9597788572,5.6702635335,5.7832451232,2016335,0.0,1.0
CAG,2000-03-01 00:00:00+00:00,16.75,17.0,16.44,16.63,2300300,5.9138800863,6.0021469533,5.8044291713,5.8715119902,3011998,0.0,1.0
CAG,2000-03-02 00:00:00+00:00,16.13,16.88,16.0,16.75,3144700,5.6949782563,5.9597788572,5.6490794855,5.9138800863,4117650,0.0,1.0
CAG,2000-03-03 00:00:00+00:00,16.25,16.75,16.06,16.13,2658600,5.7373463524,5.9138800863,5.6702635335,5.6949782563,3481153,0.0,1.0
CAG,2000-03-06 00:00:00+00:00,16.0,16.25,15.69,16.19,2590700,5.6490794855,5.7373463524,5.5396285704,5.7161623043,3392245,0.0,1.0
CAG,2000-03-07 00:00:00+00:00,15.5,16.0,15.19,15.88,4455000,5.4725457515,5.6490794855,5.3630948365,5.6067113893,5833348,0.0,1.0
CAG,2000-03-08 00:00:00+00:00,15.81,16.0,15.25,15.25,1720000,5.5819966666,5.6490794855,5.3842788846,5.3842788846,2252156,0.0,1.0
CAG,2000-03-09 00:00:00+00:00,15.81,15.94,15.5,15.88,1391500,5.5819966666,5.6278954374,5.4725457515,5.6067113893,1822021,0.0,1.0
CAG,2000-03-10 00:00:00+00:00,15.63,15.94,15.25,15.63,1814700,5.5184445224,5.6278954374,5.3842788846,5.5184445224,2376156,0.0,1.0
CAG,2000-03-13 00:00:00+00:00,15.5,15.75,15.13,15.75,1265500,5.4725457515,5.5608126185,5.3419107884,5.5608126185,1657037,0.0,1.0
CAG,2000-03-14 00:00:00+00:00,15.63,15.69,15.38,15.63,1369000,5.5184445224,5.5396285704,5.4301776554,5.5184445224,1792559,0.0,1.0
CAG,2000-03-15 00:00:00+00:00,15.63,15.75,15.06,15.38,3302300,5.5184445224,5.5608126185,5.3171960657,5.4301776554,4324010,0.0,1.0
CAG,2000-03-16 00:00:00+00:00,17.06,17.5,15.81,15.81,2801700,6.0233310014,6.1786806872,5.5819966666,5.5819966666,3668528,0.0,1.0
CAG,2000-03-17 00:00:00+00:00,17.0,17.56,17.0,17.56,1847900,6.0021469533,6.1998647353,6.0021469533,6.1998647353,2419628,0.0,1.0
CAG,2000-03-20 00:00:00+00:00,17.5,17.56,17.06,17.25,1238000,6.1786806872,6.1998647353,6.0233310014,6.0904138203,1621029,0.0,1.0
CAG,2000-03-21 00:00:00+00:00,17.69,17.94,17.31,17.31,1343700,6.2457635061,6.3340303731,6.1115978683,6.1115978683,1759432,0.0,1.0
CAG,2000-03-22 00:00:00+00:00,17.75,18.25,17.38,17.5,1841200,6.2669475542,6.4434812881,6.1363125911,6.1786806872,2410855,0.0,1.0
