symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CAH,2000-01-03 00:00:00+00:00,49.31,49.56,48.75,48.75,815067,15.6380952719,15.7173798758,15.4604977592,15.4604977592,1222600,0.0,1.0
CAH,2000-01-04 00:00:00+00:00,48.75,50.5,48.5,49.75,1300800,15.4604977592,16.0154899865,15.3812131553,15.7776361748,1951200,0.0,1.0
CAH,2000-01-05 00:00:00+00:00,50.0,51.0,48.56,49.0,1777467,15.8569207787,16.1740591943,15.4002414603,15.5397823631,2666200,0.0,1.0
CAH,2000-01-06 00:00:00+00:00,54.0,54.5,51.56,52.19,1251067,17.125474441,17.2840436488,16.351656707,16.5514539088,1876600,0.0,1.0
CAH,2000-01-07 00:00:00+00:00,58.88,59.25,55.5,55.5,2260200,18.673109909,18.7904511227,17.6011820643,17.6011820643,3390300,0.0,1.0
CAH,2000-01-10 00:00:00+00:00,56.0,60.88,55.06,60.0,1359067,17.7597512721,19.3073867401,17.4616411615,19.0283049344,2038600,0.0,1.0
CAH,2000-01-11 00:00:00+00:00,56.38,57.63,55.88,56.5,1122467,17.88026387,18.2766868895,17.7216946623,17.9183204799,1683700,0.0,1.0
CAH,2000-01-12 00:00:00+00:00,57.38,57.81,56.0,56.13,665467,18.1974022856,18.3337718043,17.7597512721,17.8009792661,998200,0.0,1.0
CAH,2000-01-13 00:00:00+00:00,58.69,60.75,57.88,58.0,1877400,18.61285361,19.2661587461,18.3559714934,18.3940281033,2816100,0.0,1.0
CAH,2000-01-14 00:00:00+00:00,59.38,59.75,58.0,59.25,1233667,18.8316791168,18.9490203305,18.3940281033,18.7904511227,1850500,0.0,1.0
CAH,2000-01-18 00:00:00+00:00,56.5,59.44,56.0,59.44,1041800,17.9183204799,18.8507074217,17.7597512721,18.8507074217,1562700,0.0,1.0
CAH,2000-01-19 00:00:00+00:00,58.31,58.94,56.13,56.25,1418867,18.4923410121,18.6921382139,17.8009792661,17.839035876,2128300,0.0,1.0
CAH,2000-01-20 00:00:00+00:00,53.5,57.75,51.0,57.75,2371600,16.9669052332,18.3147434994,16.1740591943,18.3147434994,3557400,0.0,1.0
CAH,2000-01-21 00:00:00+00:00,52.13,53.69,51.0,53.5,1619000,16.5324256039,17.0271615321,16.1740591943,16.9669052332,2428500,0.0,1.0
CAH,2000-01-24 00:00:00+00:00,51.0,52.63,50.25,52.5,1815000,16.1740591943,16.6909948116,15.9362053826,16.6497668176,2722500,0.0,1.0
CAH,2000-01-25 00:00:00+00:00,49.44,51.0,49.0,50.75,2103067,15.679323266,16.1740591943,15.5397823631,16.0947745904,3154600,0.0,1.0
CAH,2000-01-26 00:00:00+00:00,49.38,50.75,49.13,49.5,2226200,15.660294961,16.0947745904,15.5810103571,15.6983515709,3339300,0.0,1.0
CAH,2000-01-27 00:00:00+00:00,49.56,50.75,48.5,49.38,1102067,15.7173798758,16.0947745904,15.3812131553,15.660294961,1653100,0.0,1.0
CAH,2000-01-28 00:00:00+00:00,48.75,49.5,48.0,49.38,935200,15.4604977592,15.6983515709,15.2226439475,15.660294961,1402800,0.0,1.0
CAH,2000-01-31 00:00:00+00:00,47.69,48.31,45.5,48.25,1472067,15.1243310387,15.3209568564,14.4297979086,15.3019285514,2208100,0.0,1.0
CAH,2000-02-01 00:00:00+00:00,49.94,50.19,47.88,48.25,1442600,15.8378924737,15.9171770776,15.1845873377,15.3019285514,2163900,0.0,1.0
CAH,2000-02-02 00:00:00+00:00,47.75,49.94,47.69,49.94,1267400,15.1433593436,15.8378924737,15.1243310387,15.8378924737,1901100,0.0,1.0
CAH,2000-02-03 00:00:00+00:00,47.81,48.5,47.0,48.0,996267,15.1623876486,15.3812131553,14.905505532,15.2226439475,1494400,0.0,1.0
CAH,2000-02-04 00:00:00+00:00,49.25,49.81,48.0,48.0,954267,15.619066967,15.7966644797,15.2226439475,15.2226439475,1431400,0.0,1.0
CAH,2000-02-07 00:00:00+00:00,49.5,50.06,48.5,49.25,866200,15.6983515709,15.8759490836,15.3812131553,15.619066967,1299300,0.0,1.0
CAH,2000-02-08 00:00:00+00:00,51.25,51.25,49.69,50.0,1011200,16.2533437981,16.2533437981,15.7586078699,15.8569207787,1516800,0.0,1.0
CAH,2000-02-09 00:00:00+00:00,50.06,51.25,49.81,51.25,544067,15.8759490836,16.2533437981,15.7966644797,16.2533437981,816100,0.0,1.0
CAH,2000-02-10 00:00:00+00:00,49.19,51.5,49.06,51.0,924000,15.6000386621,16.332628402,15.558810668,16.1740591943,1386000,0.0,1.0
CAH,2000-02-11 00:00:00+00:00,47.06,49.38,46.56,49.19,985800,14.9245338369,15.660294961,14.7659646291,15.6000386621,1478700,0.0,1.0
CAH,2000-02-14 00:00:00+00:00,45.88,47.5,45.25,47.38,1468200,14.5503105065,15.0640747397,14.3505133047,15.0260181299,2202300,0.0,1.0
CAH,2000-02-15 00:00:00+00:00,44.44,45.81,43.94,45.38,1719667,14.0936311881,14.5281108174,13.9350619803,14.3917412987,2579500,0.0,1.0
CAH,2000-02-16 00:00:00+00:00,45.19,45.94,44.25,44.44,1160867,14.3314849998,14.5693388115,14.0333748891,14.0936311881,1741300,0.0,1.0
CAH,2000-02-17 00:00:00+00:00,44.69,45.38,44.56,45.19,1366200,14.172915792,14.3917412987,14.131687798,14.3314849998,2049300,0.0,1.0
CAH,2000-02-18 00:00:00+00:00,44.0,44.94,43.38,44.56,909800,13.9540902852,14.2522003959,13.7574644676,14.131687798,1364700,0.0,1.0
CAH,2000-02-22 00:00:00+00:00,45.06,45.38,43.81,44.06,1082467,14.2902570057,14.3917412987,13.8938339863,13.9731185902,1623700,0.0,1.0
CAH,2000-02-23 00:00:00+00:00,44.81,45.5,44.5,44.88,896867,14.2109724019,14.4297979086,14.112659493,14.2331720909,1345300,0.0,1.0
CAH,2000-02-24 00:00:00+00:00,43.69,44.88,42.19,44.25,1099467,13.8557773764,14.2331720909,13.3800697531,14.0333748891,1649200,0.0,1.0
CAH,2000-02-25 00:00:00+00:00,43.06,44.25,42.44,43.69,686400,13.6559801746,14.0333748891,13.4593543569,13.8557773764,1029600,0.0,1.0
CAH,2000-02-28 00:00:00+00:00,42.75,43.63,41.5,43.5,860800,13.5576672658,13.8367490715,13.1612442463,13.7955210775,1291200,0.0,1.0
CAH,2000-02-29 00:00:00+00:00,41.81,42.56,41.19,42.13,1403600,13.2595571551,13.4974109668,13.0629313375,13.3610414481,2105400,0.0,1.0
CAH,2000-03-01 00:00:00+00:00,39.0,40.5,37.25,40.0,4308867,12.3683982074,12.8441058307,11.8134059801,12.6855366229,6463300,0.0,1.0
CAH,2000-03-02 00:00:00+00:00,38.81,39.19,38.0,39.0,2198000,12.3081419084,12.4286545063,12.0512597918,12.3683982074,3297000,0.0,1.0
CAH,2000-03-03 00:00:00+00:00,40.13,41.25,38.94,39.0,1909000,12.726764617,13.0819596424,12.3493699024,12.3683982074,2863500,0.0,1.0
