symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CARR,2020-03-19 00:00:00+00:00,12.0,12.0,12.0,12.0,100,11.5750971571,11.5750971571,11.5750971571,11.5750971571,100,0.0,1.0
CARR,2020-03-20 00:00:00+00:00,12.75,13.0,12.0,13.0,2348,12.2985407294,12.5396885869,11.5750971571,12.5396885869,2348,0.0,1.0
CARR,2020-03-23 00:00:00+00:00,11.54,12.75,11.5,12.75,18710,11.1313850994,12.2985407294,11.0928014422,12.2985407294,18710,0.0,1.0
CARR,2020-03-24 00:00:00+00:00,11.7,12.9,11.5,12.9,96074,11.2857197282,12.4432294439,11.0928014422,12.4432294439,96074,0.0,1.0
CARR,2020-03-25 00:00:00+00:00,13.45,13.45,11.8,11.8,19242,12.9737547303,12.9737547303,11.3821788712,11.3821788712,19242,0.0,1.0
CARR,2020-03-26 00:00:00+00:00,15.45,15.45,14.0,14.0,76379,14.9029375898,14.9029375898,13.5042800166,13.5042800166,76379,0.0,1.0
CARR,2020-03-27 00:00:00+00:00,14.55,16.0,14.55,15.0,114014,14.034805303,15.4334628762,14.034805303,14.4688714464,114014,0.0,1.0
CARR,2020-03-30 00:00:00+00:00,15.9,16.5,15.25,15.25,209978,15.3370037332,15.915758591,14.7100193038,14.7100193038,209978,0.0,1.0
CARR,2020-03-31 00:00:00+00:00,17.25,17.25,14.56,16.39,461468,16.6392021634,16.6392021634,14.0444512173,15.8096535338,461468,0.0,1.0
CARR,2020-04-01 00:00:00+00:00,15.05,16.0,14.56,16.0,2998918,14.5171010179,15.4334628762,14.0444512173,15.4334628762,2998918,0.0,1.0
CARR,2020-04-02 00:00:00+00:00,13.28,15.9,12.12,15.66,15965880,12.8097741872,15.3370037332,11.6908481287,15.10550179,15965880,0.0,1.0
CARR,2020-04-03 00:00:00+00:00,16.92,17.0,13.38,13.75,66927998,16.3208869915,16.3980543059,12.9062333302,13.2631321592,66927998,0.0,1.0
CARR,2020-04-06 00:00:00+00:00,15.44,17.15,14.85,17.06,37134054,14.8932916755,16.5427430204,14.3241827319,16.4559297917,37134054,0.0,1.0
CARR,2020-04-07 00:00:00+00:00,15.25,15.8,14.55,15.2,23484053,14.7100193038,15.2405445902,14.034805303,14.6617897324,23484053,0.0,1.0
CARR,2020-04-08 00:00:00+00:00,14.26,15.25,13.73,14.5,49372245,13.7550737884,14.7100193038,13.2438403306,13.9865757315,49372245,0.0,1.0
CARR,2020-04-09 00:00:00+00:00,14.78,15.5,13.9,14.0,34923923,14.2566613319,14.9511671613,13.4078208737,13.5042800166,34923923,0.0,1.0
CARR,2020-04-13 00:00:00+00:00,13.99,14.5,13.98,14.5,21496433,13.4946341023,13.9865757315,13.484988188,13.9865757315,21496433,0.0,1.0
CARR,2020-04-14 00:00:00+00:00,13.87,14.2,13.78,14.0,22348627,13.3788831308,13.6971983026,13.2920699021,13.5042800166,22348627,0.0,1.0
CARR,2020-04-15 00:00:00+00:00,13.36,13.655,12.94,13.53,14988852,12.8869415016,13.1714959734,12.4818131011,13.0509220447,14988852,0.0,1.0
CARR,2020-04-16 00:00:00+00:00,12.89,13.25,12.26,13.15,21687002,12.4335835296,12.7808364443,11.8258909289,12.6843773013,21687002,0.0,1.0
CARR,2020-04-17 00:00:00+00:00,13.74,13.83,12.93,13.3,21332013,13.2534862449,13.3402994736,12.4721671868,12.8290660158,21332013,0.0,1.0
CARR,2020-04-20 00:00:00+00:00,14.45,14.74,13.475,13.5,20020359,13.93834616,14.2180776747,12.997869516,13.0219843018,20020359,0.0,1.0
CARR,2020-04-21 00:00:00+00:00,14.69,15.25,14.18,14.22,16233901,14.1698481032,14.7100193038,13.677906474,13.7164901312,16233901,0.0,1.0
CARR,2020-04-22 00:00:00+00:00,14.79,15.16,14.22,14.95,12539535,14.2663072462,14.6232060752,13.7164901312,14.4206418749,12539535,0.0,1.0
CARR,2020-04-23 00:00:00+00:00,15.72,15.92,14.61,14.7,12222199,15.1633772758,15.3562955618,14.0926807888,14.1794940175,12222199,0.0,1.0
CARR,2020-04-24 00:00:00+00:00,16.25,16.67,15.29,15.6,17389952,15.6746107336,16.0797391341,14.748602961,15.0476263043,17389952,0.0,1.0
CARR,2020-04-27 00:00:00+00:00,16.8,16.81,15.975,16.17,12185807,16.20513602,16.2147819343,15.4093480904,15.5974434192,12185807,0.0,1.0
CARR,2020-04-28 00:00:00+00:00,17.0,17.75,16.61,16.88,12978732,16.3980543059,17.1214978782,16.0218636483,16.2823033344,12978732,0.0,1.0
CARR,2020-04-29 00:00:00+00:00,17.64,18.08,17.17,17.46,12519805,17.015392821,17.4398130501,16.562034849,16.8417663636,12519805,0.0,1.0
CARR,2020-04-30 00:00:00+00:00,17.71,17.84,16.985,17.22,19091336,17.0829142211,17.2083111069,16.3835854345,16.6102644205,19091336,0.0,1.0
CARR,2020-05-01 00:00:00+00:00,16.77,17.35,16.62,17.33,10726038,16.1761982771,16.7356613063,16.0315095626,16.7163694777,10726038,0.0,1.0
