symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CB,2000-01-03 00:00:00+00:00,54.13,56.19,54.06,56.19,524300,12.937232547,13.429578733,12.9205023368,13.429578733,1048600,0.0,1.0
CB,2000-01-04 00:00:00+00:00,52.19,53.88,52.0,53.81,754600,12.4735667214,12.8774817963,12.4281561508,12.8607515861,1509200,0.0,1.0
CB,2000-01-05 00:00:00+00:00,52.94,53.38,52.13,52.19,377500,12.6528189735,12.7579802948,12.4592265412,12.4735667214,755000,0.0,1.0
CB,2000-01-06 00:00:00+00:00,53.56,53.75,52.75,52.75,317400,12.8010008353,12.8464114059,12.607408403,12.607408403,634800,0.0,1.0
CB,2000-01-07 00:00:00+00:00,56.81,57.0,53.63,53.75,422400,13.5777605948,13.6231711653,12.8177310456,12.8464114059,844800,0.0,1.0
CB,2000-01-10 00:00:00+00:00,56.0,57.13,55.75,57.0,444000,13.3841681624,13.6542415557,13.3244174117,13.6231711653,888000,0.0,1.0
CB,2000-01-11 00:00:00+00:00,55.81,56.38,55.5,56.0,662700,13.3387575919,13.4749893035,13.264666661,13.3841681624,1325400,0.0,1.0
CB,2000-01-12 00:00:00+00:00,56.5,57.13,55.56,55.81,568700,13.5036696639,13.6542415557,13.2790068411,13.3387575919,1137400,0.0,1.0
CB,2000-01-13 00:00:00+00:00,57.31,57.75,56.63,56.75,575600,13.6972620962,13.8024234175,13.5347400543,13.5634204146,1151200,0.0,1.0
CB,2000-01-14 00:00:00+00:00,57.19,57.75,56.69,57.5,766500,13.6685817359,13.8024234175,13.5490802344,13.7426726668,1533000,0.0,1.0
CB,2000-01-18 00:00:00+00:00,55.94,56.75,55.19,56.38,871400,13.3698279823,13.5634204146,13.1905757301,13.4749893035,1742800,0.0,1.0
CB,2000-01-19 00:00:00+00:00,56.81,56.88,56.0,56.19,1104000,13.5777605948,13.594490805,13.3841681624,13.429578733,2208000,0.0,1.0
CB,2000-01-20 00:00:00+00:00,56.13,56.88,55.81,56.88,898200,13.4152385528,13.594490805,13.3387575919,13.594490805,1796400,0.0,1.0
CB,2000-01-21 00:00:00+00:00,55.88,57.25,55.88,57.25,855400,13.3554878021,13.6829219161,13.3554878021,13.6829219161,1710800,0.0,1.0
CB,2000-01-24 00:00:00+00:00,55.31,58.0,55.0,56.13,369800,13.2192560904,13.8621741682,13.1451651595,13.4152385528,739600,0.0,1.0
CB,2000-01-25 00:00:00+00:00,55.19,55.88,55.0,55.31,318400,13.1905757301,13.3554878021,13.1451651595,13.2192560904,636800,0.0,1.0
CB,2000-01-26 00:00:00+00:00,55.88,56.5,54.88,55.19,324100,13.3554878021,13.5036696639,13.1164847992,13.1905757301,648200,0.0,1.0
CB,2000-01-27 00:00:00+00:00,56.38,56.94,55.63,55.75,693700,13.4749893035,13.6088309852,13.2957370514,13.3244174117,1387400,0.0,1.0
CB,2000-01-28 00:00:00+00:00,54.88,56.13,54.5,56.13,696400,13.1164847992,13.4152385528,13.0256636581,13.4152385528,1392800,0.0,1.0
CB,2000-01-31 00:00:00+00:00,56.0,56.25,55.0,55.13,321100,13.3841681624,13.4439189132,13.1451651595,13.1762355499,642200,0.0,1.0
CB,2000-02-01 00:00:00+00:00,57.0,57.5,55.5,56.25,567400,13.6231711653,13.7426726668,13.264666661,13.4439189132,1134800,0.0,1.0
CB,2000-02-02 00:00:00+00:00,56.19,57.38,56.06,57.25,467100,13.429578733,13.7139923064,13.3985083426,13.6829219161,934200,0.0,1.0
CB,2000-02-03 00:00:00+00:00,56.19,57.06,55.5,56.19,530600,13.429578733,13.6375113455,13.264666661,13.429578733,1061200,0.0,1.0
CB,2000-02-04 00:00:00+00:00,57.25,57.25,56.44,57.25,556700,13.6829219161,13.6829219161,13.4893294837,13.6829219161,1113400,0.0,1.0
CB,2000-02-07 00:00:00+00:00,55.81,57.38,55.38,57.38,623700,13.3387575919,13.7139923064,13.2359863006,13.7139923064,1247400,0.0,1.0
CB,2000-02-08 00:00:00+00:00,54.88,55.75,54.25,55.56,511200,13.1164847992,13.3244174117,12.9659129073,13.2790068411,1022400,0.0,1.0
CB,2000-02-09 00:00:00+00:00,52.38,54.0,51.88,54.0,681600,12.5189772919,12.9061621566,12.3994757905,12.9061621566,1363200,0.0,1.0
CB,2000-02-10 00:00:00+00:00,50.0,51.94,50.0,51.5,592100,11.950150145,12.4138159706,11.950150145,12.3086546494,1184200,0.0,1.0
CB,2000-02-11 00:00:00+00:00,49.38,50.19,46.75,50.0,1308000,11.8019682832,11.9955607156,11.1733903856,11.950150145,2616000,0.0,1.0
CB,2000-02-14 00:00:00+00:00,48.94,49.69,48.25,49.44,551000,11.6968069619,11.8760592141,11.5318948899,11.8163084634,1102000,0.0,1.0
CB,2000-02-15 00:00:00+00:00,50.88,51.06,48.38,48.56,628200,12.1604727876,12.2034933281,11.5629652803,11.6059858208,1256400,0.0,1.0
CB,2000-02-16 00:00:00+00:00,52.06,52.13,50.69,50.75,976800,12.442496331,12.4592265412,12.115062217,12.1294023972,1953600,0.0,1.0
CB,2000-02-17 00:00:00+00:00,53.06,53.25,52.13,52.25,697600,12.6814993339,12.7269099044,12.4592265412,12.4879069015,1395200,0.0,1.0
CB,2000-02-18 00:00:00+00:00,51.06,53.0,50.44,52.94,810400,12.2034933281,12.6671591537,12.0553114663,12.6528189735,1620800,0.0,1.0
CB,2000-02-22 00:00:00+00:00,50.63,51.06,50.06,50.69,449200,12.1007220368,12.2034933281,11.9644903252,12.115062217,898400,0.0,1.0
CB,2000-02-23 00:00:00+00:00,50.75,50.81,49.38,50.0,295700,12.1294023972,12.1437425774,11.8019682832,11.950150145,591400,0.0,1.0
CB,2000-02-24 00:00:00+00:00,49.44,50.25,48.5,50.25,381700,11.8163084634,12.0099008957,11.5916456407,12.0099008957,763400,0.0,1.0
CB,2000-02-25 00:00:00+00:00,49.5,50.69,49.25,49.63,443300,11.8306486436,12.115062217,11.7708978928,11.8617190339,886600,0.0,1.0
CB,2000-02-28 00:00:00+00:00,49.75,50.94,49.19,49.25,645400,11.8903993943,12.1748129677,11.7565577127,11.7708978928,1290800,0.0,1.0
CB,2000-02-29 00:00:00+00:00,49.19,49.56,48.88,49.5,637800,11.7565577127,11.8449888237,11.6824667818,11.8306486436,1275600,0.0,1.0
CB,2000-03-01 00:00:00+00:00,48.88,49.5,47.56,47.63,587400,11.6824667818,11.8306486436,11.3669828179,11.3837130281,1174800,0.0,1.0
CB,2000-03-02 00:00:00+00:00,48.06,49.25,46.69,49.13,540200,11.4864843194,11.7708978928,11.1590502054,11.7422175325,1080400,0.0,1.0
CB,2000-03-03 00:00:00+00:00,47.63,49.0,46.94,47.25,459700,11.3837130281,11.7111471421,11.2188009561,11.292891887,919400,0.0,1.0
CB,2000-03-06 00:00:00+00:00,45.38,47.63,45.0,47.63,442700,10.8459562716,11.3837130281,10.7551351305,11.3837130281,885400,0.0,1.0
CB,2000-03-07 00:00:00+00:00,45.81,46.88,45.31,46.75,683500,10.9487275629,11.204460776,10.8292260614,11.1733903856,1367000,0.0,1.0
CB,2000-03-08 00:00:00+00:00,44.75,46.13,43.25,43.88,927900,10.6953843798,11.0252085238,10.3368798754,10.4874517673,1855800,0.0,1.0
CB,2000-03-09 00:00:00+00:00,45.5,46.0,44.56,45.63,773400,10.874636632,10.9941381334,10.6499738092,10.9057070223,1546800,0.0,1.0
