symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CDW,2013-06-27 00:00:00+00:00,18.37,18.75,17.38,17.64,8285800,16.7034855994,17.0490122476,15.8032977527,16.0397107226,8285800,0.0,1.0
CDW,2013-06-28 00:00:00+00:00,18.62,19.17,18.38,18.4,717400,16.9308057627,17.430910122,16.7125784059,16.730764019,717400,0.0,1.0
CDW,2013-07-01 00:00:00+00:00,18.34,18.9,18.34,18.65,394200,16.6762071798,17.1854043456,16.6762071798,16.9580841823,394200,0.0,1.0
CDW,2013-07-02 00:00:00+00:00,19.22,19.643,18.2633,18.34,223800,17.4763741546,17.8609998709,16.6064653537,16.6762071798,223800,0.0,1.0
CDW,2013-07-03 00:00:00+00:00,19.08,19.205,18.67,18.99,103700,17.3490748632,17.4627349448,16.9762697954,17.2672396044,103700,0.0,1.0
CDW,2013-07-05 00:00:00+00:00,19.22,19.36,18.55,18.8,111800,17.4763741546,17.6036734461,16.867156117,17.0944762803,111800,0.0,1.0
CDW,2013-07-08 00:00:00+00:00,19.23,19.48,18.86,19.05,110500,17.4854669612,17.7127871245,17.1490331195,17.3217964436,110500,0.0,1.0
CDW,2013-07-09 00:00:00+00:00,19.5,19.92,19.06,19.13,206400,17.7309727375,18.1128706119,17.3308892501,17.3945388958,206400,0.0,1.0
CDW,2013-07-10 00:00:00+00:00,19.1,19.95,19.05,19.47,334900,17.3672604762,18.1401490315,17.3217964436,17.7036943179,334900,0.0,1.0
CDW,2013-07-11 00:00:00+00:00,19.58,19.65,19.05,19.05,108800,17.8037151898,17.8673648355,17.3217964436,17.3217964436,108800,0.0,1.0
CDW,2013-07-12 00:00:00+00:00,19.51,19.54,19.21,19.23,114600,17.7400655441,17.7673439637,17.4672813481,17.4854669612,114600,0.0,1.0
CDW,2013-07-15 00:00:00+00:00,19.56,19.75,19.22,19.36,177300,17.7855295767,17.9582929008,17.4763741546,17.6036734461,177300,0.0,1.0
CDW,2013-07-16 00:00:00+00:00,20.1,20.65,19.04,19.04,239300,18.2765411295,18.7766454887,17.3127036371,17.3127036371,239300,0.0,1.0
CDW,2013-07-17 00:00:00+00:00,20.37,20.47,19.72,20.01,139200,18.5220469058,18.6129749711,17.9310144812,18.1947058707,139200,0.0,1.0
CDW,2013-07-18 00:00:00+00:00,20.83,20.995,20.064,20.5,162000,18.9403160063,19.0903473141,18.2438070259,18.6402533907,162000,0.0,1.0
CDW,2013-07-19 00:00:00+00:00,20.84,21.3916,20.77,21.0,631400,18.9494088128,19.4509680211,18.8857591671,19.0948937173,631400,0.0,1.0
CDW,2013-07-22 00:00:00+00:00,20.34,20.7,20.22,20.6,492900,18.4947684862,18.8221095214,18.3856548078,18.7311814561,492900,0.0,1.0
CDW,2013-07-23 00:00:00+00:00,20.22,20.69,20.0001,20.29,41500,18.3856548078,18.8130167148,18.1857039922,18.4493044536,41500,0.0,1.0
CDW,2013-07-24 00:00:00+00:00,20.57,20.69,20.05,20.23,43600,18.7039030365,18.8130167148,18.2310770968,18.3947476144,43600,0.0,1.0
CDW,2013-07-25 00:00:00+00:00,21.98,21.98,20.0001,20.34,232400,19.9859887575,19.9859887575,18.1857039922,18.4947684862,232400,0.0,1.0
