symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CFG,2014-09-24 00:00:00+00:00,23.08,23.22,21.35,21.5,60428679,17.7605005632,17.8682332356,16.42923254,16.5446604033,60428679,0.0,1.0
CFG,2014-09-25 00:00:00+00:00,23.05,23.41,22.45,22.56,8430006,17.7374149905,18.0144418624,17.2757035374,17.3603506372,8430006,0.0,1.0
CFG,2014-09-26 00:00:00+00:00,23.25,23.37,22.91,23.18,2504353,17.8913188082,17.9836610989,17.6296823181,17.837452472,2504353,0.0,1.0
CFG,2014-09-29 00:00:00+00:00,23.23,23.45,22.91,23.14,4832586,17.8759284265,18.0452226259,17.6296823181,17.8066717085,4832586,0.0,1.0
CFG,2014-09-30 00:00:00+00:00,23.42,23.57,23.05,23.11,4103103,18.0221370533,18.1375649166,17.7374149905,17.7835861358,4103103,0.0,1.0
CFG,2014-10-01 00:00:00+00:00,23.44,23.61,23.11,23.22,3915508,18.0375274351,18.1683456801,17.7835861358,17.8682332356,3915508,0.0,1.0
CFG,2014-10-02 00:00:00+00:00,23.34,23.59,23.303,23.34,3121384,17.9605755262,18.1529552983,17.9321033199,17.9605755262,3121384,0.0,1.0
CFG,2014-10-03 00:00:00+00:00,23.23,23.47,23.01,23.38,1585901,17.8759284265,18.0606130077,17.706634227,17.9913562898,1585901,0.0,1.0
CFG,2014-10-06 00:00:00+00:00,22.64,23.37,22.61,23.28,1208403,17.4219121642,17.9836610989,17.3988265916,17.9144043809,1208403,0.0,1.0
CFG,2014-10-07 00:00:00+00:00,22.52,22.74,22.26,22.56,1508726,17.3295698736,17.4988640731,17.1294949106,17.3603506372,1508726,0.0,1.0
CFG,2014-10-08 00:00:00+00:00,22.75,23.15,22.11,22.11,1649208,17.506559264,17.8143668994,17.0140670473,17.0140670473,1649208,0.0,1.0
CFG,2014-10-09 00:00:00+00:00,22.48,23.0,22.24,23.0,1229058,17.2987891101,17.6989390361,17.1141045288,17.6989390361,1229058,0.0,1.0
CFG,2014-10-10 00:00:00+00:00,22.28,22.56,22.135,22.39,924069,17.1448852924,17.3603506372,17.0333050245,17.2295323921,924069,0.0,1.0
CFG,2014-10-13 00:00:00+00:00,22.45,22.66,22.12,22.13,1382774,17.2757035374,17.437302546,17.0217622382,17.0294574291,1382774,0.0,1.0
CFG,2014-10-14 00:00:00+00:00,22.45,22.79,22.3,22.5,1605776,17.2757035374,17.5373400275,17.1602756741,17.3141794918,1605776,0.0,1.0
CFG,2014-10-15 00:00:00+00:00,21.85,22.2,21.5,22.13,3405401,16.8139920843,17.0833237653,16.5446604033,17.0294574291,3405401,0.0,1.0
CFG,2014-10-16 00:00:00+00:00,21.8,21.95,21.47,21.51,3105758,16.7755161299,16.8909439932,16.5215748307,16.5523555942,3105758,0.0,1.0
CFG,2014-10-17 00:00:00+00:00,21.92,22.07,21.73,21.89,2750608,16.8678584205,16.9832862838,16.7216497937,16.8447728478,2750608,0.0,1.0
CFG,2014-10-20 00:00:00+00:00,22.38,22.38,21.82,21.82,1870599,17.2218372012,17.2218372012,16.7909065116,16.7909065116,1870599,0.0,1.0
CFG,2014-10-21 00:00:00+00:00,22.82,22.93,22.11,22.11,1165506,17.5604256002,17.6450726999,17.0140670473,17.0140670473,1165506,0.0,1.0
CFG,2014-10-22 00:00:00+00:00,22.6,23.0,22.4025,22.78,884653,17.3911314007,17.6989390361,17.2391513807,17.5296448366,884653,0.0,1.0
CFG,2014-10-23 00:00:00+00:00,23.03,23.08,22.59,22.97,1154177,17.7220246088,17.7605005632,17.3834362098,17.6758534635,1154177,0.0,1.0
CFG,2014-10-24 00:00:00+00:00,23.18,23.49,22.77,23.32,1357806,17.837452472,18.0760033895,17.5219496458,17.9451851444,1357806,0.0,1.0
CFG,2014-10-27 00:00:00+00:00,22.85,23.19,22.725,23.15,2898819,17.5835111728,17.8451476629,17.4873212868,17.8143668994,2898819,0.0,1.0
CFG,2014-10-28 00:00:00+00:00,23.28,23.59,22.93,23.16,1500595,17.9144043809,18.1529552983,17.6450726999,17.8220620903,1500595,0.0,1.0
CFG,2014-10-29 00:00:00+00:00,23.48,23.53,23.2,23.35,1302330,18.0683081986,18.106784153,17.8528428538,17.9682707171,1302330,0.0,1.0
CFG,2014-10-30 00:00:00+00:00,23.44,23.69,23.2971,23.46,1153487,18.0375274351,18.2299072072,17.9275631573,18.0529178168,1153487,0.0,1.0
CFG,2014-10-31 00:00:00+00:00,23.62,23.92,23.37,23.59,1238628,18.176040871,18.4068965976,17.9836610989,18.1529552983,1238628,0.0,1.0
CFG,2014-11-03 00:00:00+00:00,24.0,24.0,23.16,23.49,1826936,18.4684581246,18.4684581246,17.8220620903,18.0760033895,1826936,0.0,1.0
CFG,2014-11-04 00:00:00+00:00,23.6,23.91,23.43,23.74,1474474,18.2376023981,18.4771641245,18.1062298384,18.3457915648,1474474,0.1,1.0
CFG,2014-11-05 00:00:00+00:00,23.9,23.95,23.55,23.8,1097594,18.4694363269,18.508075315,18.1989634099,18.3921583506,1097594,0.0,1.0
CFG,2014-11-06 00:00:00+00:00,24.3,24.46,23.75,23.79,1010740,18.7785482319,18.9021929939,18.3535193625,18.384430553,1010740,0.0,1.0
CFG,2014-11-07 00:00:00+00:00,23.97,24.48,23.96,24.48,600659,18.5235309103,18.9176485892,18.5158031126,18.9176485892,600659,0.0,1.0
CFG,2014-11-10 00:00:00+00:00,23.95,24.25,23.75,24.04,1531257,18.508075315,18.7399092438,18.3535193625,18.5776254936,1531257,0.0,1.0
CFG,2014-11-11 00:00:00+00:00,23.94,24.22,23.75,23.97,658274,18.5003475174,18.7167258509,18.3535193625,18.5235309103,658274,0.0,1.0
CFG,2014-11-12 00:00:00+00:00,23.86,23.98,23.51,23.75,940834,18.4385251364,18.5312587079,18.1680522194,18.3535193625,940834,0.0,1.0
CFG,2014-11-13 00:00:00+00:00,23.82,23.96,23.58,23.62,1149713,18.4076139459,18.5158031126,18.2221468028,18.2530579933,1149713,0.0,1.0
CFG,2014-11-14 00:00:00+00:00,23.96,24.0,23.74,23.74,1111501,18.5158031126,18.5467143031,18.3457915648,18.3457915648,1111501,0.0,1.0
CFG,2014-11-17 00:00:00+00:00,24.0,24.11,23.56,24.11,992390,18.5467143031,18.631720077,18.2066912076,18.631720077,992390,0.0,1.0
CFG,2014-11-18 00:00:00+00:00,23.73,24.04,23.71,24.04,586010,18.3380637672,18.5776254936,18.322608172,18.5776254936,586010,0.0,1.0
CFG,2014-11-19 00:00:00+00:00,23.72,24.0,23.51,23.8,812772,18.3303359696,18.5467143031,18.1680522194,18.3921583506,812772,0.0,1.0
CFG,2014-11-20 00:00:00+00:00,23.71,23.87,23.5001,23.57,745775,18.322608172,18.446252934,18.1604016998,18.2144190052,745775,0.0,1.0
CFG,2014-11-21 00:00:00+00:00,23.77,24.21,23.695,23.95,725247,18.3689749577,18.7089980533,18.3110164755,18.508075315,725247,0.0,1.0
CFG,2014-11-24 00:00:00+00:00,24.25,24.36,23.68,23.8,836847,18.7399092438,18.8249150177,18.2994247791,18.3921583506,836847,0.0,1.0
CFG,2014-11-25 00:00:00+00:00,24.03,24.3,24.02,24.24,701615,18.569897696,18.7785482319,18.5621698984,18.7321814462,701615,0.0,1.0
CFG,2014-11-26 00:00:00+00:00,24.23,24.27,23.92,24.11,703711,18.7244536485,18.755364839,18.4848919221,18.631720077,703711,0.0,1.0
CFG,2014-11-28 00:00:00+00:00,24.63,25.09,24.05,24.22,713406,19.0335655536,19.3890442444,18.5853532913,18.7167258509,713406,0.0,1.0
CFG,2014-12-01 00:00:00+00:00,23.98,24.895,23.49,24.62,2282591,18.5312587079,19.2383521907,18.1525966242,19.025837756,2282591,0.0,1.0
CFG,2014-12-02 00:00:00+00:00,24.2,24.43,23.8,24.02,1369272,18.7012702557,18.8790096011,18.3921583506,18.5621698984,1369272,0.0,1.0
CFG,2014-12-03 00:00:00+00:00,24.23,24.59,24.19,24.33,1854537,18.7244536485,19.0026543631,18.693542458,18.8017316248,1854537,0.0,1.0
