symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CHTR,2010-01-05 00:00:00+00:00,35.0,35.0,35.0,35.0,10000,35.0,35.0,35.0,35.0,10000,0.0,1.0
CHTR,2010-01-06 00:00:00+00:00,35.0,35.0,35.0,35.0,0,35.0,35.0,35.0,35.0,0,0.0,1.0
CHTR,2010-01-07 00:00:00+00:00,35.0,35.5,35.0,35.25,9800,35.0,35.5,35.0,35.25,9800,0.0,1.0
CHTR,2010-01-08 00:00:00+00:00,33.5,34.55,33.5,34.55,32200,33.5,34.55,33.5,34.55,32200,0.0,1.0
CHTR,2010-01-11 00:00:00+00:00,33.5,33.5,33.5,33.5,3700,33.5,33.5,33.5,33.5,3700,0.0,1.0
CHTR,2010-01-12 00:00:00+00:00,33.5,33.55,33.5,33.5,5100,33.5,33.55,33.5,33.5,5100,0.0,1.0
CHTR,2010-01-13 00:00:00+00:00,32.75,33.01,32.5,33.01,226300,32.75,33.01,32.5,33.01,226300,0.0,1.0
CHTR,2010-01-14 00:00:00+00:00,32.75,32.75,32.75,32.75,150500,32.75,32.75,32.75,32.75,150500,0.0,1.0
CHTR,2010-01-15 00:00:00+00:00,32.25,32.5,32.25,32.5,45500,32.25,32.5,32.25,32.5,45500,0.0,1.0
CHTR,2010-01-19 00:00:00+00:00,32.0,32.25,31.75,32.25,19400,32.0,32.25,31.75,32.25,19400,0.0,1.0
CHTR,2010-01-20 00:00:00+00:00,31.75,31.75,31.5,31.5,600,31.75,31.75,31.5,31.5,600,0.0,1.0
CHTR,2010-01-21 00:00:00+00:00,31.6,31.6,31.5,31.5,600,31.6,31.6,31.5,31.5,600,0.0,1.0
CHTR,2010-01-22 00:00:00+00:00,31.5,31.5,31.5,31.5,200,31.5,31.5,31.5,31.5,200,0.0,1.0
CHTR,2010-01-25 00:00:00+00:00,31.25,31.25,31.0,31.1,1300,31.25,31.25,31.0,31.1,1300,0.0,1.0
CHTR,2010-01-26 00:00:00+00:00,30.75,31.0,30.75,31.0,300,30.75,31.0,30.75,31.0,300,0.0,1.0
CHTR,2010-01-27 00:00:00+00:00,30.75,31.0,30.55,30.55,77000,30.75,31.0,30.55,30.55,77000,0.0,1.0
