symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CI,2000-01-03 00:00:00+00:00,78.44,80.31,77.81,80.31,696500,23.0396219414,23.5888837088,22.8545765332,23.5888837088,2089502,0.0,1.0
CI,2000-01-04 00:00:00+00:00,78.13,78.38,74.88,75.88,691000,22.9485678517,23.0219985692,21.9939685234,22.2876913936,2073002,0.0,1.0
CI,2000-01-05 00:00:00+00:00,78.5,79.63,77.94,77.94,518900,23.0572453136,23.389152157,22.8927605063,22.8927605063,1556701,0.0,1.0
CI,2000-01-06 00:00:00+00:00,81.56,83.75,77.81,77.81,672300,23.9560372966,24.5992903824,22.8545765332,22.8545765332,2016902,0.0,1.0
CI,2000-01-07 00:00:00+00:00,85.13,85.38,82.94,84.0,581100,25.0046279433,25.0780586609,24.3613748575,24.6727210999,1743301,0.0,1.0
CI,2000-01-10 00:00:00+00:00,84.63,85.63,84.38,84.94,802800,24.8577665082,25.1514893784,24.7843357906,24.948820598,2408402,0.0,1.0
CI,2000-01-11 00:00:00+00:00,82.44,84.0,82.31,84.0,559500,24.2145134224,24.6727210999,24.1763294492,24.6727210999,1678501,0.0,1.0
CI,2000-01-12 00:00:00+00:00,82.56,82.56,81.88,82.13,619300,24.2497601668,24.2497601668,24.050028615,24.1234593326,1857901,0.0,1.0
CI,2000-01-13 00:00:00+00:00,84.13,84.88,81.75,82.0,615100,24.7109050731,24.9311972258,24.0118446419,24.0852753595,1845301,0.0,1.0
CI,2000-01-14 00:00:00+00:00,80.63,83.44,80.13,82.63,618600,23.6828750272,24.5082362926,23.5360135921,24.2703207677,1855801,0.0,1.0
CI,2000-01-18 00:00:00+00:00,79.0,80.25,78.0,78.75,592800,23.2041067488,23.5712603366,22.9103838785,23.1306760312,1778401,0.0,1.0
CI,2000-01-19 00:00:00+00:00,77.44,80.25,76.81,79.25,710500,22.7458990712,23.5712603366,22.5608536629,23.2775374663,2131502,0.0,1.0
CI,2000-01-20 00:00:00+00:00,75.94,78.13,75.63,77.63,580500,22.3053147658,22.9485678517,22.2142606761,22.8017064165,1741501,0.0,1.0
CI,2000-01-21 00:00:00+00:00,74.56,76.13,73.19,76.13,833400,21.8999772049,22.3611221112,21.4975768727,22.3611221112,2500202,0.0,1.0
CI,2000-01-24 00:00:00+00:00,71.94,74.5,71.75,74.5,539800,21.1304232849,21.8823538327,21.0746159395,21.8823538327,1619401,0.0,1.0
CI,2000-01-25 00:00:00+00:00,71.5,73.0,71.25,72.75,517900,21.001185222,21.4417695273,20.9277545044,21.3683388098,1553701,0.0,1.0
CI,2000-01-26 00:00:00+00:00,72.75,74.0,71.88,73.25,874400,21.3683388098,21.7354923976,21.1127999127,21.5152002449,2623202,0.0,1.0
CI,2000-01-27 00:00:00+00:00,72.44,73.75,71.5,73.0,494800,21.27728472,21.66206168,21.001185222,21.4417695273,1484401,0.0,1.0
CI,2000-01-28 00:00:00+00:00,72.56,73.38,71.88,72.0,847900,21.3125314644,21.553384218,21.1127999127,21.1480466571,2543702,0.0,1.0
CI,2000-01-31 00:00:00+00:00,71.75,72.5,70.31,72.0,432000,21.0746159395,21.2949080922,20.6516550064,21.1480466571,1296001,0.0,1.0
CI,2000-02-01 00:00:00+00:00,71.88,72.88,71.81,72.0,407000,21.1127999127,21.4065227829,21.0922393118,21.1480466571,1221001,0.0,1.0
CI,2000-02-02 00:00:00+00:00,73.75,74.13,72.63,73.0,1113900,21.66206168,21.7736763707,21.3330920653,21.4417695273,3341703,0.0,1.0
CI,2000-02-03 00:00:00+00:00,74.81,75.56,73.13,74.0,1053800,21.9734079225,22.1937000751,21.4799535005,21.7354923976,3161403,0.0,1.0
CI,2000-02-04 00:00:00+00:00,75.88,76.06,75.38,75.56,770000,22.2876913936,22.3405615103,22.1408299585,22.1937000751,2310002,0.0,1.0
CI,2000-02-07 00:00:00+00:00,76.25,76.38,75.06,76.25,714400,22.3963688556,22.4345528287,22.04683864,22.3963688556,2143202,0.0,1.0
