symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CINF,2000-01-03 00:00:00+00:00,30.53,30.91,30.25,30.88,323000,14.0267410744,14.2013287458,13.8980975271,14.1875455086,323000,0.0,1.0
CINF,2000-01-04 00:00:00+00:00,30.5,30.5,29.75,30.13,472100,14.0129578372,14.0129578372,13.6683769068,13.8429645782,472100,0.0,1.0
CINF,2000-01-05 00:00:00+00:00,30.88,31.19,30.38,30.38,333000,14.1875455086,14.3299722932,13.9578248883,13.9578248883,333000,0.0,1.0
CINF,2000-01-06 00:00:00+00:00,31.0,31.52,30.69,30.75,574200,14.2426784575,14.4815879026,14.1002516729,14.1278181473,574200,0.0,1.0
CINF,2000-01-07 00:00:00+00:00,31.63,31.63,31.0,31.06,302900,14.532126439,14.532126439,14.2426784575,14.2702449319,302900,0.0,1.0
CINF,2000-01-10 00:00:00+00:00,30.75,31.69,30.75,31.5,352500,14.1278181473,14.5596929135,14.1278181473,14.4723990778,352500,0.0,1.0
CINF,2000-01-11 00:00:00+00:00,30.5,31.0,30.13,30.88,296200,14.0129578372,14.2426784575,13.8429645782,14.1875455086,296200,0.0,1.0
CINF,2000-01-12 00:00:00+00:00,30.75,31.5,30.13,30.38,754500,14.1278181473,14.4723990778,13.8429645782,13.9578248883,754500,0.0,1.0
CINF,2000-01-13 00:00:00+00:00,31.13,31.25,30.06,30.91,156400,14.3024058188,14.3575387676,13.8108036913,14.2013287458,156400,0.0,1.0
CINF,2000-01-14 00:00:00+00:00,30.38,31.63,30.38,31.13,251600,13.9578248883,14.532126439,13.9578248883,14.3024058188,251600,0.0,1.0
CINF,2000-01-18 00:00:00+00:00,29.5,30.75,29.31,30.38,367300,13.5535165966,14.1278181473,13.4662227609,13.9578248883,367300,0.0,1.0
CINF,2000-01-19 00:00:00+00:00,29.88,30.63,29.5,29.69,775700,13.728104268,14.0726851985,13.5535165966,13.6408104323,775700,0.0,1.0
CINF,2000-01-20 00:00:00+00:00,28.94,30.19,28.94,29.69,342900,13.2962295019,13.8705310526,13.2962295019,13.6408104323,342900,0.0,1.0
CINF,2000-01-21 00:00:00+00:00,30.06,30.31,29.63,30.0,664600,13.8108036913,13.9256640015,13.6132439579,13.7832372169,664600,0.0,1.0
CINF,2000-01-24 00:00:00+00:00,29.72,30.25,29.63,30.25,384000,13.6545936696,13.8980975271,13.6132439579,13.8980975271,384000,0.0,1.0
