symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CMCSA,2000-01-03 00:00:00+00:00,46.75,49.0,46.75,48.44,777867,11.6941009065,12.2569185972,11.6941009065,12.1168395275,2333599,0.0,1.0
CMCSA,2000-01-04 00:00:00+00:00,43.25,47.13,42.0,45.63,354467,10.818606721,11.7891545609,10.5059302262,11.4139427671,1063400,0.0,1.0
CMCSA,2000-01-05 00:00:00+00:00,42.06,43.0,40.88,42.75,276267,10.5209386979,10.756071422,10.2257720868,10.693536123,828800,0.0,1.0
CMCSA,2000-01-06 00:00:00+00:00,43.75,45.13,41.38,41.75,367667,10.9436773189,11.2888721692,10.3508426847,10.4433949272,1103000,0.0,1.0
CMCSA,2000-01-07 00:00:00+00:00,42.38,43.88,41.63,43.88,246200,10.6009838806,10.9761956744,10.4133779837,10.9761956744,738599,0.0,1.0
CMCSA,2000-01-10 00:00:00+00:00,47.81,49.25,44.88,45.69,780067,11.9592505741,12.3194538961,11.2263368702,11.4289512389,2340199,0.0,1.0
CMCSA,2000-01-11 00:00:00+00:00,43.44,48.75,43.0,48.5,704667,10.8661335482,12.1943832982,10.756071422,12.1318479992,2113999,0.0,1.0
CMCSA,2000-01-12 00:00:00+00:00,45.19,46.88,42.88,43.88,510000,11.3038806409,11.726619262,10.7260544785,10.9761956744,1529999,0.0,1.0
CMCSA,2000-01-13 00:00:00+00:00,47.75,47.94,45.81,45.94,241200,11.9442421024,11.9917689296,11.4589681824,11.4914865378,723599,0.0,1.0
CMCSA,2000-01-14 00:00:00+00:00,48.81,49.63,48.0,48.56,328600,12.20939177,12.4145075506,12.0067774013,12.146856471,985799,0.0,1.0
CMCSA,2000-01-18 00:00:00+00:00,48.5,49.38,46.94,48.13,570867,12.1318479992,12.3519722516,11.7416277337,12.0392957568,1712600,0.0,1.0
CMCSA,2000-01-19 00:00:00+00:00,51.44,52.0,48.88,49.0,607667,12.8672631151,13.0073421848,12.2269016537,12.2569185972,1823000,0.0,1.0
CMCSA,2000-01-20 00:00:00+00:00,49.88,52.38,49.38,52.03,280400,12.4770428495,13.1023958392,12.3519722516,13.0148464206,841199,0.0,1.0
CMCSA,2000-01-21 00:00:00+00:00,49.63,50.75,48.81,50.38,271800,12.4145075506,12.6946656899,12.20939177,12.6021134475,815399,0.0,1.0
CMCSA,2000-01-24 00:00:00+00:00,48.5,50.44,48.19,50.0,202467,12.1318479992,12.6171219192,12.0543042285,12.507059793,607400,0.0,1.0
CMCSA,2000-01-25 00:00:00+00:00,45.69,48.0,44.63,47.75,249600,11.4289512389,12.0067774013,11.1638015713,11.9442421024,748799,0.0,1.0
CMCSA,2000-01-26 00:00:00+00:00,46.56,47.0,44.88,45.56,175000,11.6465740793,11.7566362055,11.2263368702,11.3964328834,524999,0.0,1.0
CMCSA,2000-01-27 00:00:00+00:00,46.56,49.73,46.31,46.88,163000,11.6465740793,12.4395216702,11.5840387803,11.726619262,488999,0.0,1.0
CMCSA,2000-01-28 00:00:00+00:00,43.0,46.31,42.88,46.31,179467,10.756071422,11.5840387803,10.7260544785,11.5840387803,538400,0.0,1.0
CMCSA,2000-01-31 00:00:00+00:00,43.13,43.56,40.75,43.53,300600,10.7885897775,10.8961504917,10.1932537313,10.8886462558,901799,0.0,1.0
CMCSA,2000-02-01 00:00:00+00:00,44.25,44.56,41.88,43.06,156800,11.0687479168,11.1462916876,10.4759132827,10.7710798938,470399,0.0,1.0
CMCSA,2000-02-02 00:00:00+00:00,46.88,48.0,44.88,45.63,197400,11.726619262,12.0067774013,11.2263368702,11.4139427671,592199,0.0,1.0
CMCSA,2000-02-03 00:00:00+00:00,48.31,48.5,45.75,48.34,179200,12.084321172,12.1318479992,11.4439597106,12.0918254079,537599,0.0,1.0
CMCSA,2000-02-04 00:00:00+00:00,48.5,49.38,48.19,48.41,187200,12.1318479992,12.3519722516,12.0543042285,12.1093352916,561599,0.0,1.0
CMCSA,2000-02-07 00:00:00+00:00,47.63,49.5,47.0,49.44,190267,11.9142251588,12.3819891951,11.7566362055,12.3669807234,570800,0.0,1.0
CMCSA,2000-02-08 00:00:00+00:00,47.81,48.38,47.13,48.38,108067,11.9592505741,12.1018310557,11.7891545609,12.1018310557,324200,0.0,1.0
CMCSA,2000-02-09 00:00:00+00:00,45.38,48.06,45.38,48.0,100200,11.3514074682,12.0217858731,11.3514074682,12.0067774013,300599,0.0,1.0
