symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CME,2002-12-06 00:00:00+00:00,42.9,43.2,38.9,39.0,5510200,4.712771917,4.7457283639,4.273352624,4.2843381063,27551000,0.0,1.0
CME,2002-12-09 00:00:00+00:00,42.02,42.8,41.14,42.7,629900,4.6160996725,4.7017864346,4.5194274281,4.6908009523,3149500,0.0,1.0
CME,2002-12-10 00:00:00+00:00,42.75,43.3,41.65,42.05,344600,4.6962936935,4.7567138463,4.5754533879,4.6193953172,1723000,0.0,1.0
CME,2002-12-11 00:00:00+00:00,45.06,45.5,42.3,42.7,509800,4.9500583352,4.9983944574,4.646859023,4.6908009523,2549000,0.0,1.0
CME,2002-12-12 00:00:00+00:00,43.91,45.06,43.6,45.06,271100,4.8237252884,4.9500583352,4.7896702932,4.9500583352,1355500,0.0,1.0
CME,2002-12-13 00:00:00+00:00,43.65,43.97,43.25,43.91,197500,4.7951630344,4.8303165778,4.7512211051,4.8237252884,987500,0.0,1.0
CME,2002-12-16 00:00:00+00:00,43.1,43.75,42.95,43.5,159600,4.7347428816,4.8061485167,4.7182646581,4.7786848109,798000,0.0,1.0
CME,2002-12-17 00:00:00+00:00,43.27,44.0,42.8,43.0,329200,4.7534182016,4.8336122225,4.7017864346,4.7237573993,1646000,0.0,1.0
CME,2002-12-18 00:00:00+00:00,42.67,43.2,42.55,43.2,148400,4.6875053076,4.7457283639,4.6743227288,4.7457283639,742000,0.0,1.0
CME,2002-12-19 00:00:00+00:00,42.3,42.7,42.17,42.55,136800,4.646859023,4.6908009523,4.632577896,4.6743227288,684000,0.0,1.0
CME,2002-12-20 00:00:00+00:00,44.45,44.6,42.0,42.4,180900,4.883046893,4.8995251165,4.6139025761,4.6578445053,904500,0.0,1.0
CME,2002-12-23 00:00:00+00:00,43.4,44.55,43.35,44.35,127700,4.7676993286,4.8940323753,4.7622065874,4.8720614107,638500,0.0,1.0
CME,2002-12-24 00:00:00+00:00,43.05,43.6,42.96,43.6,43600,4.7292501405,4.7896702932,4.7193632064,4.7896702932,218000,0.0,1.0
CME,2002-12-26 00:00:00+00:00,42.6,43.15,42.55,43.1,65000,4.67981547,4.7402356228,4.6743227288,4.7347428816,325000,0.0,1.0
CME,2002-12-27 00:00:00+00:00,42.0,42.5,41.75,42.5,166100,4.6139025761,4.6688299877,4.5864388702,4.6688299877,830500,0.0,1.0
CME,2002-12-30 00:00:00+00:00,42.32,42.85,42.1,42.3,215300,4.6490561195,4.7072791758,4.6248880584,4.646859023,1076500,0.0,1.0
CME,2002-12-31 00:00:00+00:00,43.66,43.8,42.27,42.27,355600,4.7962615826,4.8116412579,4.6435633783,4.6435633783,1778000,0.0,1.0
CME,2003-01-02 00:00:00+00:00,43.72,43.95,43.45,43.66,63000,4.802852872,4.8281194814,4.7731920697,4.7962615826,315000,0.0,1.0
CME,2003-01-03 00:00:00+00:00,45.8,45.8,43.52,43.72,172300,5.0313509044,5.0313509044,4.7808819074,4.802852872,861500,0.0,1.0
CME,2003-01-06 00:00:00+00:00,48.1,48.35,45.03,45.03,374900,5.2840169978,5.3114807036,4.9467626905,4.9467626905,1874500,0.0,1.0
CME,2003-01-07 00:00:00+00:00,48.02,48.6,47.25,48.0,276600,5.275228612,5.3389444094,5.1906403981,5.2730315155,1383000,0.0,1.0
CME,2003-01-08 00:00:00+00:00,48.01,48.27,47.67,48.03,82200,5.2741300637,5.3026923178,5.2367794238,5.2763271602,411000,0.0,1.0
CME,2003-01-09 00:00:00+00:00,49.05,49.2,47.66,48.1,129800,5.3883790799,5.4048573034,5.2356808756,5.2840169978,649000,0.0,1.0
CME,2003-01-10 00:00:00+00:00,48.99,49.35,48.71,48.85,168800,5.3817877905,5.4213355269,5.35102844,5.3664081152,844000,0.0,1.0
CME,2003-01-13 00:00:00+00:00,49.62,49.68,48.87,49.0,162000,5.4509963291,5.4575876185,5.3686052117,5.3828863387,810000,0.0,1.0
CME,2003-01-14 00:00:00+00:00,49.1,50.0,49.07,49.62,110800,5.3938718211,5.492741162,5.3905761764,5.4509963291,554000,0.0,1.0
CME,2003-01-15 00:00:00+00:00,47.05,48.4,46.76,48.4,291800,5.1686694334,5.3169734448,5.1368115347,5.3169734448,1459000,0.0,1.0
