symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CMG,2006-01-26 00:00:00+00:00,44.0,48.28,39.51,45.0,13218600,44.0,48.28,39.51,45.0,13218600,0.0,1.0
CMG,2006-01-27 00:00:00+00:00,42.2,44.9,41.75,44.88,1150800,42.2,44.9,41.75,44.88,1150800,0.0,1.0
CMG,2006-01-30 00:00:00+00:00,44.8,45.51,41.25,42.2,735800,44.8,45.51,41.25,42.2,735800,0.0,1.0
CMG,2006-01-31 00:00:00+00:00,47.52,49.3,45.38,45.5,1111200,47.52,49.3,45.38,45.5,1111200,0.0,1.0
CMG,2006-02-01 00:00:00+00:00,46.56,49.24,45.25,48.9,606700,46.56,49.24,45.25,48.9,606700,0.0,1.0
CMG,2006-02-02 00:00:00+00:00,44.75,47.91,44.26,47.9,401500,44.75,47.91,44.26,47.9,401500,0.0,1.0
CMG,2006-02-03 00:00:00+00:00,46.55,46.56,44.25,44.85,245300,46.55,46.56,44.25,44.85,245300,0.0,1.0
CMG,2006-02-06 00:00:00+00:00,47.71,48.0,46.0,47.48,349800,47.71,48.0,46.0,47.48,349800,0.0,1.0
CMG,2006-02-07 00:00:00+00:00,46.28,47.75,45.25,47.71,267200,46.28,47.75,45.25,47.71,267200,0.0,1.0
CMG,2006-02-08 00:00:00+00:00,45.74,46.6,45.04,45.85,174400,45.74,46.6,45.04,45.85,174400,0.0,1.0
CMG,2006-02-09 00:00:00+00:00,44.05,46.0,43.08,45.78,220300,44.05,46.0,43.08,45.78,220300,0.0,1.0
CMG,2006-02-10 00:00:00+00:00,42.31,43.26,41.5,43.25,375500,42.31,43.26,41.5,43.25,375500,0.0,1.0
CMG,2006-02-13 00:00:00+00:00,41.48,42.55,41.0,41.75,199100,41.48,42.55,41.0,41.75,199100,0.0,1.0
CMG,2006-02-14 00:00:00+00:00,43.0,43.26,41.19,41.45,197900,43.0,43.26,41.19,41.45,197900,0.0,1.0
CMG,2006-02-15 00:00:00+00:00,42.7,43.299,42.22,43.1,98100,42.7,43.299,42.22,43.1,98100,0.0,1.0
CMG,2006-02-16 00:00:00+00:00,44.45,44.7,42.5301,43.75,293000,44.45,44.7,42.5301,43.75,293000,0.0,1.0
CMG,2006-02-17 00:00:00+00:00,43.85,45.0,43.85,44.25,138000,43.85,45.0,43.85,44.25,138000,0.0,1.0
CMG,2006-02-21 00:00:00+00:00,43.1,44.06,42.81,44.0,68100,43.1,44.06,42.81,44.0,68100,0.0,1.0
CMG,2006-02-22 00:00:00+00:00,43.87,44.15,42.85,43.0,95900,43.87,44.15,42.85,43.0,95900,0.0,1.0
CMG,2006-02-23 00:00:00+00:00,45.8,45.99,44.75,45.1,249300,45.8,45.99,44.75,45.1,249300,0.0,1.0
CMG,2006-02-24 00:00:00+00:00,46.67,46.75,45.8,45.9,138300,46.67,46.75,45.8,45.9,138300,0.0,1.0
CMG,2006-02-27 00:00:00+00:00,46.53,46.95,46.18,46.95,100800,46.53,46.95,46.18,46.95,100800,0.0,1.0
CMG,2006-02-28 00:00:00+00:00,45.6,46.53,45.6,46.53,87500,45.6,46.53,45.6,46.53,87500,0.0,1.0
CMG,2006-03-01 00:00:00+00:00,45.5,46.2,44.6,45.64,190100,45.5,46.2,44.6,45.64,190100,0.0,1.0
CMG,2006-03-02 00:00:00+00:00,45.75,46.31,45.07,45.5,229000,45.75,46.31,45.07,45.5,229000,0.0,1.0
CMG,2006-03-03 00:00:00+00:00,45.48,46.29,45.13,45.75,89100,45.48,46.29,45.13,45.75,89100,0.0,1.0
CMG,2006-03-06 00:00:00+00:00,45.79,46.1,45.03,45.6,168900,45.79,46.1,45.03,45.6,168900,0.0,1.0
CMG,2006-03-07 00:00:00+00:00,45.0,45.25,44.25,44.5,328300,45.0,45.25,44.25,44.5,328300,0.0,1.0
CMG,2006-03-08 00:00:00+00:00,42.5,44.85,42.2,44.85,306600,42.5,44.85,42.2,44.85,306600,0.0,1.0
CMG,2006-03-09 00:00:00+00:00,41.46,42.9,41.25,42.75,161500,41.46,42.9,41.25,42.75,161500,0.0,1.0
CMG,2006-03-10 00:00:00+00:00,42.11,42.88,40.89,41.4,313900,42.11,42.88,40.89,41.4,313900,0.0,1.0
CMG,2006-03-13 00:00:00+00:00,43.41,43.7499,42.36,42.5,190400,43.41,43.7499,42.36,42.5,190400,0.0,1.0
CMG,2006-03-14 00:00:00+00:00,48.7,49.15,45.95,46.5,1255800,48.7,49.15,45.95,46.5,1255800,0.0,1.0
