symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CMS,2000-01-03 00:00:00+00:00,29.5,31.0,29.5,30.94,1615200,14.402496082,15.1348263913,14.402496082,15.1055331789,1615200,0.0,1.0
CMS,2000-01-04 00:00:00+00:00,29.88,30.0,29.56,29.56,456400,14.5880197604,14.6466061851,14.4317892944,14.4317892944,456400,0.0,1.0
CMS,2000-01-05 00:00:00+00:00,30.75,31.0,29.69,29.81,1842300,15.0127713397,15.1348263913,14.4952579212,14.5538443459,1842300,0.0,1.0
CMS,2000-01-06 00:00:00+00:00,30.44,31.13,30.13,30.69,366500,14.8614230758,15.1982950181,14.7100748119,14.9834781274,366500,0.0,1.0
CMS,2000-01-07 00:00:00+00:00,31.13,31.25,30.63,30.88,531300,15.1982950181,15.2568814428,14.954184915,15.0762399665,531300,0.0,1.0
CMS,2000-01-10 00:00:00+00:00,30.69,31.31,30.44,30.94,257800,14.9834781274,15.2861746552,14.8614230758,15.1055331789,257800,0.0,1.0
CMS,2000-01-11 00:00:00+00:00,31.5,31.56,30.56,30.56,1471100,15.3789364944,15.4082297067,14.9200095006,14.9200095006,1471100,0.0,1.0
CMS,2000-01-12 00:00:00+00:00,31.31,31.5,31.06,31.31,1518200,15.2861746552,15.3789364944,15.1641196036,15.2861746552,1518200,0.0,1.0
CMS,2000-01-13 00:00:00+00:00,31.63,32.0,31.31,31.56,492700,15.4424051212,15.6230465974,15.2861746552,15.4082297067,492700,0.0,1.0
CMS,2000-01-14 00:00:00+00:00,31.19,31.63,30.88,31.63,276700,15.2275882304,15.4424051212,15.0762399665,15.4424051212,276700,0.0,1.0
CMS,2000-01-18 00:00:00+00:00,30.56,31.0,30.44,31.0,418900,14.9200095006,15.1348263913,14.8614230758,15.1348263913,418900,0.0,1.0
CMS,2000-01-19 00:00:00+00:00,30.88,31.13,30.5,30.63,512300,15.0762399665,15.1982950181,14.8907162882,14.954184915,512300,0.0,1.0
CMS,2000-01-20 00:00:00+00:00,30.94,31.13,30.31,30.94,391500,15.1055331789,15.1982950181,14.797954449,15.1055331789,391500,0.0,1.0
CMS,2000-01-21 00:00:00+00:00,31.38,31.63,30.63,31.0,567300,15.3203500696,15.4424051212,14.954184915,15.1348263913,567300,0.0,1.0
CMS,2000-01-24 00:00:00+00:00,31.25,32.06,31.25,31.5,657300,15.2568814428,15.6523398098,15.2568814428,15.3789364944,657300,0.0,1.0
CMS,2000-01-25 00:00:00+00:00,30.69,31.31,30.5,31.31,714500,14.9834781274,15.2861746552,14.8907162882,15.2861746552,714500,0.0,1.0
CMS,2000-01-26 00:00:00+00:00,30.44,30.88,30.0,30.88,1105700,14.8614230758,15.0762399665,14.6466061851,15.0762399665,1105700,0.0,1.0
CMS,2000-01-27 00:00:00+00:00,30.0,30.69,29.94,30.69,572300,14.6466061851,14.9834781274,14.6173129727,14.9834781274,572300,0.0,1.0
CMS,2000-01-28 00:00:00+00:00,29.5,30.25,29.44,29.75,514300,14.402496082,14.7686612366,14.3732028696,14.5245511336,514300,0.0,1.0
CMS,2000-01-31 00:00:00+00:00,30.0,30.38,29.31,29.75,982200,14.6466061851,14.8321298634,14.3097342428,14.5245511336,982200,0.0,1.0
CMS,2000-02-01 00:00:00+00:00,23.5,26.63,22.75,26.13,4026100,11.473174845,13.0013040903,11.1070096904,12.7571939872,4026100,0.0,1.0
CMS,2000-02-02 00:00:00+00:00,21.38,23.0,20.31,23.0,6256700,10.4381480079,11.2290647419,9.9157523873,11.2290647419,6256700,0.0,1.0
CMS,2000-02-03 00:00:00+00:00,21.94,22.31,21.06,21.19,5044000,10.7115513234,10.8921927997,10.2819175419,10.3453861687,5044000,0.0,1.0
CMS,2000-02-04 00:00:00+00:00,20.38,22.0,20.13,21.88,3314200,10.128128177,10.9332100046,10.0038871542,10.8735743137,3314200,0.365,1.0
CMS,2000-02-07 00:00:00+00:00,20.31,20.56,20.06,20.38,698100,10.0933406906,10.2175817134,9.9690996678,10.128128177,698100,0.0,1.0
CMS,2000-02-08 00:00:00+00:00,20.31,20.69,20.25,20.38,807100,10.0933406906,10.2821870452,10.0635228452,10.128128177,807100,0.0,1.0
CMS,2000-02-09 00:00:00+00:00,19.94,20.38,19.81,20.31,1282000,9.9094639769,10.128128177,9.8448586451,10.0933406906,1282000,0.0,1.0
CMS,2000-02-10 00:00:00+00:00,18.75,19.94,18.06,19.94,2792300,9.3180767085,9.9094639769,8.9751714856,9.9094639769,2792300,0.0,1.0
CMS,2000-02-11 00:00:00+00:00,18.63,18.81,18.06,18.81,1121200,9.2584410175,9.3478945539,8.9751714856,9.3478945539,1121200,0.0,1.0
CMS,2000-02-14 00:00:00+00:00,19.19,19.38,18.63,18.75,714400,9.5367409086,9.6311640859,9.2584410175,9.3180767085,714400,0.0,1.0
CMS,2000-02-15 00:00:00+00:00,19.38,19.75,19.25,19.5,746200,9.6311640859,9.8150407996,9.566558754,9.6907997768,746200,0.0,1.0
CMS,2000-02-16 00:00:00+00:00,18.69,19.31,18.5,19.13,920000,9.288258863,9.5963765995,9.1938356857,9.5069230631,920000,0.0,1.0
CMS,2000-02-17 00:00:00+00:00,18.38,18.69,18.0,18.69,1281500,9.1341999948,9.288258863,8.9453536401,9.288258863,1281500,0.0,1.0
CMS,2000-02-18 00:00:00+00:00,18.31,18.5,17.94,18.31,907200,9.0994125084,9.1938356857,8.9155357947,9.0994125084,907200,0.0,1.0
CMS,2000-02-22 00:00:00+00:00,18.25,18.38,17.94,18.31,685400,9.0695946629,9.1341999948,8.9155357947,9.0994125084,685400,0.0,1.0
CMS,2000-02-23 00:00:00+00:00,17.56,18.44,17.5,18.44,1077400,8.72668944,9.1640178402,8.6968715946,9.1640178402,1077400,0.0,1.0
CMS,2000-02-24 00:00:00+00:00,17.0,17.69,16.88,17.69,697500,8.448389549,8.7912947719,8.3887538581,8.7912947719,697500,0.0,1.0
CMS,2000-02-25 00:00:00+00:00,16.44,17.0,16.19,17.0,757300,8.170089658,8.448389549,8.0458486352,8.448389549,757300,0.0,1.0
CMS,2000-02-28 00:00:00+00:00,16.5,16.69,16.06,16.69,816200,8.1999075035,8.2943306808,7.9812433034,8.2943306808,816200,0.0,1.0
CMS,2000-02-29 00:00:00+00:00,16.75,16.94,16.56,16.63,914200,8.3241485262,8.4185717035,8.2297253489,8.2645128353,914200,0.0,1.0
CMS,2000-03-01 00:00:00+00:00,16.94,17.0,16.69,16.75,487000,8.4185717035,8.448389549,8.2943306808,8.3241485262,487000,0.0,1.0
CMS,2000-03-02 00:00:00+00:00,16.88,17.25,16.88,16.94,1122500,8.3887538581,8.5726305718,8.3887538581,8.4185717035,1122500,0.0,1.0
CMS,2000-03-03 00:00:00+00:00,17.06,17.13,16.81,17.0,899300,8.4782073945,8.5129948809,8.3539663717,8.448389549,899300,0.0,1.0
