symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CNP,2000-01-03 00:00:00+00:00,22.25,22.81,22.12,22.75,682300,8.1699526658,8.3755784408,8.1222181109,8.3535471078,682300,0.0,1.0
CNP,2000-01-04 00:00:00+00:00,22.5,22.56,22.12,22.12,1258000,8.2617498868,8.2837812198,8.1222181109,8.1222181109,1258000,0.0,1.0
CNP,2000-01-05 00:00:00+00:00,23.44,23.88,22.44,22.44,780700,8.6069074376,8.7684705465,8.2397185538,8.2397185538,780700,0.0,1.0
CNP,2000-01-06 00:00:00+00:00,23.56,24.0,23.56,23.75,1140500,8.6509701037,8.8125332126,8.6509701037,8.7207359916,1140500,0.0,1.0
CNP,2000-01-07 00:00:00+00:00,23.94,24.12,23.69,23.81,674600,8.7905018796,8.8565958787,8.6987046586,8.7427673247,674600,0.0,1.0
CNP,2000-01-10 00:00:00+00:00,23.62,23.94,23.56,23.81,307900,8.6730014367,8.7905018796,8.6509701037,8.7427673247,307900,0.0,1.0
CNP,2000-01-11 00:00:00+00:00,23.44,23.75,23.19,23.5,631000,8.6069074376,8.7207359916,8.5151102167,8.6289387707,631000,0.0,1.0
CNP,2000-01-12 00:00:00+00:00,23.81,23.94,23.19,23.19,412400,8.7427673247,8.7905018796,8.5151102167,8.5151102167,412400,0.0,1.0
CNP,2000-01-13 00:00:00+00:00,23.75,23.94,23.44,23.81,633700,8.7207359916,8.7905018796,8.6069074376,8.7427673247,633700,0.0,1.0
CNP,2000-01-14 00:00:00+00:00,23.12,23.44,23.12,23.25,506800,8.4894069948,8.6069074376,8.4894069948,8.5371415497,506800,0.0,1.0
CNP,2000-01-18 00:00:00+00:00,22.94,23.25,22.75,23.0,518100,8.4233129957,8.5371415497,8.3535471078,8.4453443287,518100,0.0,1.0
CNP,2000-01-19 00:00:00+00:00,23.12,23.31,22.81,22.81,431700,8.4894069948,8.5591728827,8.3755784408,8.3755784408,431700,0.0,1.0
CNP,2000-01-20 00:00:00+00:00,22.88,23.06,22.75,23.0,367600,8.4012816627,8.4673756618,8.3535471078,8.4453443287,367600,0.0,1.0
CNP,2000-01-21 00:00:00+00:00,23.06,23.19,22.75,23.0,875100,8.4673756618,8.5151102167,8.3535471078,8.4453443287,875100,0.0,1.0
CNP,2000-01-24 00:00:00+00:00,22.44,23.12,22.38,23.06,663200,8.2397185538,8.4894069948,8.2176872208,8.4673756618,663200,0.0,1.0
CNP,2000-01-25 00:00:00+00:00,21.44,22.88,21.19,22.69,799400,7.8725296699,8.4012816627,7.780732449,8.3315157747,799400,0.0,1.0
CNP,2000-01-26 00:00:00+00:00,22.31,22.44,21.38,21.56,897800,8.1919839989,8.2397185538,7.8504983369,7.916592336,897800,0.0,1.0
CNP,2000-01-27 00:00:00+00:00,22.44,22.69,22.19,22.19,481100,8.2397185538,8.3315157747,8.1479213328,8.1479213328,481100,0.0,1.0
CNP,2000-01-28 00:00:00+00:00,22.19,22.62,21.94,22.25,793000,8.1479213328,8.3058125529,8.0561241119,8.1699526658,793000,0.0,1.0
CNP,2000-01-31 00:00:00+00:00,22.81,22.81,22.19,22.25,435300,8.3755784408,8.3755784408,8.1479213328,8.1699526658,435300,0.0,1.0
CNP,2000-02-01 00:00:00+00:00,22.31,22.81,22.12,22.75,365600,8.1919839989,8.3755784408,8.1222181109,8.3535471078,365600,0.0,1.0
CNP,2000-02-02 00:00:00+00:00,22.5,22.69,22.31,22.62,613200,8.2617498868,8.3315157747,8.1919839989,8.3058125529,613200,0.0,1.0
CNP,2000-02-03 00:00:00+00:00,24.06,24.12,22.88,23.0,1693300,8.8345645456,8.8565958787,8.4012816627,8.4453443287,1693300,0.0,1.0
CNP,2000-02-04 00:00:00+00:00,23.31,24.06,23.0,24.06,1217700,8.5591728827,8.8345645456,8.4453443287,8.8345645456,1217700,0.0,1.0
CNP,2000-02-07 00:00:00+00:00,23.0,23.25,22.81,23.19,537800,8.4453443287,8.5371415497,8.3755784408,8.5151102167,537800,0.0,1.0
