symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
COF,2000-01-03 00:00:00+00:00,46.19,48.19,45.12,48.12,886900,35.1174143592,36.6379778734,34.3039128791,36.5847581504,886900,0.0,1.0
COF,2000-01-04 00:00:00+00:00,43.31,45.31,42.88,45.25,1221700,32.9278028988,34.448366413,32.6008817433,34.4027495076,1221700,0.0,1.0
COF,2000-01-05 00:00:00+00:00,42.38,43.38,41.75,43.31,1361900,32.2207408648,32.9810226218,31.7417633578,32.9278028988,1361900,0.0,1.0
COF,2000-01-06 00:00:00+00:00,44.25,44.44,42.06,42.31,2482300,33.6424677505,33.7869212843,31.9774507025,32.1675211418,2482300,0.0,1.0
COF,2000-01-07 00:00:00+00:00,45.5,46.19,43.13,44.25,1206500,34.5928199468,35.1174143592,32.7909521826,33.6424677505,1206500,0.0,1.0
COF,2000-01-10 00:00:00+00:00,44.94,46.06,44.88,45.5,855800,34.1670621629,35.0185777308,34.1214452574,34.5928199468,855800,0.0,1.0
COF,2000-01-11 00:00:00+00:00,43.5,45.5,43.25,44.75,1511400,33.0722564327,34.5928199468,32.8821859934,34.022608629,1511400,0.0,1.0
COF,2000-01-12 00:00:00+00:00,44.06,44.5,43.38,43.5,1151400,33.4980142166,33.8325381898,32.9810226218,33.0722564327,1151400,0.0,1.0
COF,2000-01-13 00:00:00+00:00,45.19,45.44,43.94,44.38,417700,34.3571326021,34.5472030414,33.4067804058,33.7413043789,417700,0.0,1.0
COF,2000-01-14 00:00:00+00:00,46.81,48.0,45.88,46.19,1260600,35.5887890486,36.4935243395,34.8817270145,35.1174143592,1260600,0.0,1.0
COF,2000-01-18 00:00:00+00:00,42.5,45.31,42.0,44.0,2612600,32.3119746756,34.448366413,31.9318337971,33.4523973112,2612600,0.0,1.0
COF,2000-01-19 00:00:00+00:00,43.38,43.81,42.75,43.75,1942600,32.9810226218,33.3079437774,32.5020451149,33.262326872,1942600,0.0,1.0
COF,2000-01-20 00:00:00+00:00,42.38,43.5,42.0,43.19,1163600,32.2207408648,33.0722564327,31.9318337971,32.836569088,1163600,0.0,1.0
COF,2000-01-21 00:00:00+00:00,41.38,43.25,40.81,43.19,1324500,31.4604591077,32.8821859934,31.0270985062,32.836569088,1324500,0.0,1.0
COF,2000-01-24 00:00:00+00:00,41.13,41.5,40.88,41.31,1058900,31.2703886684,31.5516929185,31.0803182292,31.4072393847,1058900,0.0,1.0
COF,2000-01-25 00:00:00+00:00,40.06,41.06,40.0,41.0,986100,30.4568871884,31.2171689454,30.4112702829,31.17155204,986100,0.0,1.0
COF,2000-01-26 00:00:00+00:00,41.94,42.63,40.13,40.13,1009300,31.8862168917,32.410811304,30.5101069114,30.5101069114,1009300,0.0,1.0
COF,2000-01-27 00:00:00+00:00,41.5,43.13,40.69,42.0,1583200,31.5516929185,32.7909521826,30.9358646953,31.9318337971,1583200,0.0,1.0
COF,2000-01-28 00:00:00+00:00,40.06,41.25,39.81,41.25,539500,30.4568871884,31.3616224793,30.2668167491,31.3616224793,539500,0.0,1.0
COF,2000-01-31 00:00:00+00:00,41.0,41.19,39.19,39.25,500800,31.17155204,31.3160055738,29.7954420597,29.8410589651,500800,0.0,1.0
COF,2000-02-01 00:00:00+00:00,40.19,41.56,40.0,41.5,628200,30.5557238168,31.597309824,30.4112702829,31.5516929185,628200,0.0,1.0
COF,2000-02-02 00:00:00+00:00,39.81,40.81,39.25,40.75,534400,30.2668167491,31.0270985062,29.8410589651,30.9814816007,534400,0.0,1.0
COF,2000-02-03 00:00:00+00:00,39.13,40.81,38.63,40.5,865700,29.7498251543,31.0270985062,29.3696842757,30.7914111615,865700,0.0,1.0
COF,2000-02-04 00:00:00+00:00,38.56,40.13,38.5,40.13,611000,29.3164645527,30.5101069114,29.2708476473,30.5101069114,611000,0.0,1.0
COF,2000-02-07 00:00:00+00:00,37.94,39.31,37.38,38.44,910600,28.865358975,29.9076768927,28.439302016,29.2457669741,910600,0.02666,1.0
COF,2000-02-08 00:00:00+00:00,37.38,38.75,36.94,38.38,1017700,28.439302016,29.4816199336,28.1045429767,29.2001180143,1017700,0.0,1.0
COF,2000-02-09 00:00:00+00:00,35.0,37.06,34.81,37.0,1668300,26.62855994,28.1958408965,26.4840049004,28.1501919366,1668300,0.0,1.0
COF,2000-02-10 00:00:00+00:00,33.5,35.44,33.0,35.0,2143700,25.4873359426,26.9633189793,25.1069279435,26.62855994,2143700,0.0,1.0
COF,2000-02-11 00:00:00+00:00,33.63,34.06,32.5,33.5,1962100,25.5862420224,25.9133929017,24.7265199443,25.4873359426,1962100,0.0,1.0
COF,2000-02-14 00:00:00+00:00,34.19,34.25,33.0,33.38,1369200,26.0122989814,26.0579479413,25.1069279435,25.3960380228,1369200,0.0,1.0
COF,2000-02-15 00:00:00+00:00,37.06,37.31,34.06,34.44,1852600,28.1958408965,28.3860448961,25.9133929017,26.202502981,1852600,0.0,1.0
