symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
COO,2000-01-03 00:00:00+00:00,29.5,30.38,28.88,30.38,71200,14.4197243507,14.8498720601,14.1166657372,14.8498720601,142400,0.0,1.0
COO,2000-01-04 00:00:00+00:00,29.75,30.0,29.0,29.38,78800,14.5419254045,14.6641264583,14.1753222431,14.3610678449,157600,0.0,1.0
COO,2000-01-05 00:00:00+00:00,29.94,30.69,29.75,29.75,216700,14.6347982054,15.0014013669,14.5419254045,14.5419254045,433400,0.0,1.0
COO,2000-01-06 00:00:00+00:00,29.94,29.94,29.5,29.94,31700,14.6347982054,14.6347982054,14.4197243507,14.6347982054,63400,0.0,1.0
COO,2000-01-07 00:00:00+00:00,30.19,30.19,29.81,29.94,213400,14.7569992592,14.7569992592,14.5712536574,14.6347982054,426800,0.0,1.0
COO,2000-01-10 00:00:00+00:00,30.25,30.25,30.0,30.19,112100,14.7863275122,14.7863275122,14.6641264583,14.7569992592,224200,0.0,1.0
COO,2000-01-11 00:00:00+00:00,30.06,30.25,29.88,30.12,58400,14.6934547113,14.7863275122,14.6054699525,14.7227829642,116800,0.0,1.0
COO,2000-01-12 00:00:00+00:00,30.38,30.56,29.94,29.94,65500,14.8498720601,14.9378568189,14.6347982054,14.6347982054,131000,0.0,1.0
COO,2000-01-13 00:00:00+00:00,30.94,30.94,30.31,30.44,89900,15.1236024207,15.1236024207,14.8156557651,14.8792003131,179800,0.0,1.0
COO,2000-01-14 00:00:00+00:00,31.0,31.25,30.56,30.94,138300,15.1529306736,15.2751317274,14.9378568189,15.1236024207,276600,0.0,1.0
COO,2000-01-18 00:00:00+00:00,31.06,31.12,30.75,30.75,48300,15.1822589265,15.2115871794,15.0307296198,15.0307296198,96600,0.0,1.0
COO,2000-01-19 00:00:00+00:00,32.5,32.69,31.0,31.06,120100,15.8861369965,15.9790097974,15.1529306736,15.1822589265,240200,0.0,1.0
COO,2000-01-20 00:00:00+00:00,32.56,33.62,32.5,32.5,146100,15.9154652494,16.4335977176,15.8861369965,15.8861369965,292200,0.0,1.0
COO,2000-01-21 00:00:00+00:00,32.19,32.38,31.56,32.31,94700,15.7346076898,15.8274804907,15.4266610342,15.7932641956,189400,0.0,1.0
COO,2000-01-24 00:00:00+00:00,31.25,32.44,31.19,32.19,65500,15.2751317274,15.8568087436,15.2458034745,15.7346076898,131000,0.0,1.0
COO,2000-01-25 00:00:00+00:00,31.56,31.62,31.12,31.12,33500,15.4266610342,15.4559892871,15.2115871794,15.2115871794,67000,0.0,1.0
COO,2000-01-26 00:00:00+00:00,31.19,31.94,31.0,31.75,268300,15.2458034745,15.612406636,15.1529306736,15.5195338351,536600,0.0,1.0
COO,2000-01-27 00:00:00+00:00,31.38,31.38,30.75,31.0,164000,15.3386762754,15.3386762754,15.0307296198,15.1529306736,328000,0.0,1.0
COO,2000-01-28 00:00:00+00:00,31.0,31.38,30.88,31.25,48600,15.1529306736,15.3386762754,15.0942741678,15.2751317274,97200,0.0,1.0
COO,2000-01-31 00:00:00+00:00,30.25,30.94,29.62,30.75,66200,14.7863275122,15.1236024207,14.4783808565,15.0307296198,132400,0.0,1.0
COO,2000-02-01 00:00:00+00:00,30.88,30.94,30.19,30.31,42200,15.0942741678,15.1236024207,14.7569992592,14.8156557651,84400,0.0,1.0
COO,2000-02-02 00:00:00+00:00,30.5,30.75,30.12,30.75,31100,14.908528566,15.0307296198,14.7227829642,15.0307296198,62200,0.0,1.0
COO,2000-02-03 00:00:00+00:00,31.25,31.25,30.06,30.38,39900,15.2751317274,15.2751317274,14.6934547113,14.8498720601,79800,0.0,1.0
COO,2000-02-04 00:00:00+00:00,31.31,31.75,31.06,31.12,82600,15.3044599804,15.5195338351,15.1822589265,15.2115871794,165200,0.0,1.0
COO,2000-02-07 00:00:00+00:00,31.38,31.62,31.0,31.12,39800,15.3386762754,15.4559892871,15.1529306736,15.2115871794,79600,0.0,1.0
COO,2000-02-08 00:00:00+00:00,30.5,31.56,30.44,31.25,52900,14.908528566,15.4266610342,14.8792003131,15.2751317274,105800,0.0,1.0
COO,2000-02-09 00:00:00+00:00,30.69,31.06,30.25,30.31,39100,15.0014013669,15.1822589265,14.7863275122,14.8156557651,78200,0.0,1.0
COO,2000-02-10 00:00:00+00:00,30.62,30.88,30.25,30.56,44600,14.9671850718,15.0942741678,14.7863275122,14.9378568189,89200,0.0,1.0
COO,2000-02-11 00:00:00+00:00,30.25,30.94,30.25,30.75,26000,14.7863275122,15.1236024207,14.7863275122,15.0307296198,52000,0.0,1.0
COO,2000-02-14 00:00:00+00:00,29.81,30.19,29.75,30.19,90200,14.5712536574,14.7569992592,14.5419254045,14.7569992592,180400,0.0,1.0
COO,2000-02-15 00:00:00+00:00,29.81,30.0,29.75,29.81,17000,14.5712536574,14.6641264583,14.5419254045,14.5712536574,34000,0.0,1.0
COO,2000-02-16 00:00:00+00:00,29.56,30.0,29.5,29.62,52900,14.4490526036,14.6641264583,14.4197243507,14.4783808565,105800,0.0,1.0
COO,2000-02-17 00:00:00+00:00,29.94,30.12,29.56,29.75,101800,14.6347982054,14.7227829642,14.4490526036,14.5419254045,203600,0.0,1.0
COO,2000-02-18 00:00:00+00:00,29.94,30.19,29.88,30.19,70100,14.6347982054,14.7569992592,14.6054699525,14.7569992592,140200,0.0,1.0
COO,2000-02-22 00:00:00+00:00,29.94,30.06,29.44,30.06,100200,14.6347982054,14.6934547113,14.3903960978,14.6934547113,200400,0.0,1.0
COO,2000-02-23 00:00:00+00:00,30.38,30.5,30.06,30.06,55500,14.8498720601,14.908528566,14.6934547113,14.6934547113,111000,0.0,1.0
COO,2000-02-24 00:00:00+00:00,30.56,31.25,30.5,30.62,119500,14.9378568189,15.2751317274,14.908528566,14.9671850718,239000,0.0,1.0
COO,2000-02-25 00:00:00+00:00,29.12,30.62,29.12,30.56,46100,14.2339787489,14.9671850718,14.2339787489,14.9378568189,92200,0.0,1.0
COO,2000-02-28 00:00:00+00:00,28.25,29.19,28.06,29.12,76700,13.8087190816,14.268195044,13.7158462807,14.2339787489,153400,0.0,1.0
COO,2000-02-29 00:00:00+00:00,27.12,28.44,27.12,28.25,124000,13.2563703183,13.9015918825,13.2563703183,13.8087190816,248000,0.0,1.0
COO,2000-03-01 00:00:00+00:00,27.0,27.69,26.81,27.44,75800,13.1977138125,13.534988721,13.1048410116,13.4127876672,151600,0.0,1.0
COO,2000-03-02 00:00:00+00:00,27.75,27.75,26.62,27.0,119600,13.564316974,13.564316974,13.0119682107,13.1977138125,239200,0.0,1.0
COO,2000-03-03 00:00:00+00:00,28.75,29.0,27.88,27.88,99400,14.0531211892,14.1753222431,13.6278615219,13.6278615219,198800,0.0,1.0
COO,2000-03-06 00:00:00+00:00,28.75,28.94,28.0,28.62,52600,14.0531211892,14.1459939901,13.6865180278,13.9895766413,105200,0.0,1.0
COO,2000-03-07 00:00:00+00:00,27.5,28.0,27.25,28.0,56900,13.4421159201,13.6865180278,13.3199148663,13.6865180278,113800,0.0,1.0
COO,2000-03-08 00:00:00+00:00,27.12,27.38,26.88,27.38,38000,13.2563703183,13.3834594143,13.1390573067,13.3834594143,76000,0.0,1.0
COO,2000-03-09 00:00:00+00:00,26.88,27.25,26.62,27.0,26400,13.1390573067,13.3199148663,13.0119682107,13.1977138125,52800,0.0,1.0
COO,2000-03-10 00:00:00+00:00,25.69,26.75,25.69,26.75,76700,12.5573802905,13.0755127587,12.5573802905,13.0755127587,153400,0.0,1.0
COO,2000-03-13 00:00:00+00:00,25.38,25.62,25.0,25.62,78700,12.4156270681,12.533032525,12.2297350946,12.533032525,157400,0.02,1.0
COO,2000-03-14 00:00:00+00:00,25.56,25.94,25.25,25.25,103800,12.5036811607,12.6895731342,12.3520324456,12.3520324456,207600,0.0,1.0
COO,2000-03-15 00:00:00+00:00,25.94,26.0,25.0,25.31,58000,12.6895731342,12.7189244984,12.2297350946,12.3813838098,116000,0.0,1.0
COO,2000-03-16 00:00:00+00:00,28.62,28.62,25.69,25.88,163600,14.0006007363,14.0006007363,12.5672757832,12.66022177,327200,0.0,1.0
COO,2000-03-17 00:00:00+00:00,28.44,28.62,28.12,28.62,55300,13.9125466436,14.0006007363,13.7560060344,14.0006007363,110600,0.0,1.0
COO,2000-03-20 00:00:00+00:00,29.81,29.81,28.44,28.44,147800,14.5827361268,14.5827361268,13.9125466436,13.9125466436,295600,0.0,1.0
COO,2000-03-21 00:00:00+00:00,30.0,30.06,29.44,29.81,95300,14.6756821135,14.7050334778,14.4017360474,14.5827361268,190600,0.0,1.0
COO,2000-03-22 00:00:00+00:00,31.25,31.5,30.38,30.38,111900,15.2871688683,15.4094662192,14.861574087,14.861574087,223800,0.0,1.0
COO,2000-03-23 00:00:00+00:00,33.94,36.0,33.25,36.0,919700,16.6030883645,17.6108185363,16.2655476758,17.6108185363,1839400,0.0,1.0
COO,2000-03-24 00:00:00+00:00,31.62,34.25,30.56,34.19,199200,15.4681689477,16.7547370796,14.9496281797,16.7253857154,398400,0.0,1.0
COO,2000-03-27 00:00:00+00:00,30.81,31.56,30.81,31.56,79100,15.0719255306,15.4388175834,15.0719255306,15.4388175834,158200,0.0,1.0
COO,2000-03-28 00:00:00+00:00,31.31,31.31,30.62,30.81,134500,15.3165202325,15.3165202325,14.9789795439,15.0719255306,269000,0.0,1.0
COO,2000-03-29 00:00:00+00:00,31.94,32.38,31.25,31.31,127300,15.6247095569,15.8399528946,15.2871688683,15.3165202325,254600,0.0,1.0
COO,2000-03-30 00:00:00+00:00,30.38,32.56,30.31,32.19,44900,14.861574087,15.9280069872,14.8273308287,15.7470069078,89800,0.0,1.0
COO,2000-03-31 00:00:00+00:00,32.19,32.19,30.38,30.38,93600,15.7470069078,15.7470069078,14.861574087,14.861574087,187200,0.0,1.0
COO,2000-04-03 00:00:00+00:00,33.38,33.94,31.56,32.19,150500,16.3291422983,16.6030883645,15.4388175834,15.7470069078,301000,0.0,1.0
COO,2000-04-04 00:00:00+00:00,33.06,33.31,32.19,33.31,111900,16.1726016891,16.2948990401,15.7470069078,16.2948990401,223800,0.0,1.0
COO,2000-04-05 00:00:00+00:00,34.5,35.5,32.5,33.06,258200,16.8770344306,17.3662238344,15.898655623,16.1726016891,516400,0.0,1.0
COO,2000-04-06 00:00:00+00:00,34.25,35.25,34.06,35.0,122000,16.7547370796,17.2439264834,16.6617910929,17.1216291325,244000,0.0,1.0
COO,2000-04-07 00:00:00+00:00,35.0,35.12,34.38,34.88,113600,17.1216291325,17.1803318609,16.8183317021,17.062926404,227200,0.0,1.0
COO,2000-04-10 00:00:00+00:00,34.88,35.62,34.62,35.5,70900,17.062926404,17.4249265628,16.935737159,17.3662238344,141800,0.0,1.0
COO,2000-04-11 00:00:00+00:00,34.0,34.38,34.0,34.0,83100,16.6324397287,16.8183317021,16.6324397287,16.6324397287,166200,0.0,1.0
COO,2000-04-12 00:00:00+00:00,35.31,35.81,34.0,34.0,439600,17.2732778476,17.5178725495,16.6324397287,16.6324397287,879200,0.0,1.0
COO,2000-04-13 00:00:00+00:00,34.69,35.25,34.62,35.19,84000,16.9699804173,17.2439264834,16.935737159,17.2145751192,168000,0.0,1.0
COO,2000-04-14 00:00:00+00:00,32.88,34.62,32.75,34.5,46900,16.0845475964,16.935737159,16.020952974,16.8770344306,93800,0.0,1.0
COO,2000-04-17 00:00:00+00:00,31.81,33.0,31.69,32.88,60700,15.5611149344,16.1432503249,15.5024122059,16.0845475964,121400,0.0,1.0
COO,2000-04-18 00:00:00+00:00,31.88,32.56,31.75,32.06,109300,15.5953581927,15.9280069872,15.5317635702,15.6834122853,218600,0.0,1.0
COO,2000-04-19 00:00:00+00:00,31.0,32.12,30.88,31.88,126900,15.1648715173,15.7127636496,15.1061687889,15.5953581927,253800,0.0,1.0
COO,2000-04-20 00:00:00+00:00,31.38,31.75,31.12,31.25,102800,15.3507634908,15.5317635702,15.2235742458,15.2871688683,205600,0.0,1.0
COO,2000-04-24 00:00:00+00:00,31.25,31.38,31.0,31.12,38500,15.2871688683,15.3507634908,15.1648715173,15.2235742458,77000,0.0,1.0
COO,2000-04-25 00:00:00+00:00,31.19,31.5,30.62,31.5,86100,15.257817504,15.4094662192,14.9789795439,15.4094662192,172200,0.0,1.0
COO,2000-04-26 00:00:00+00:00,31.0,31.69,31.0,31.31,47800,15.1648715173,15.5024122059,15.1648715173,15.3165202325,95600,0.0,1.0
COO,2000-04-27 00:00:00+00:00,31.62,31.75,30.88,31.19,85600,15.4681689477,15.5317635702,15.1061687889,15.257817504,171200,0.0,1.0
COO,2000-04-28 00:00:00+00:00,33.62,34.06,31.88,31.88,124100,16.4465477552,16.6617910929,15.5953581927,15.5953581927,248200,0.0,1.0
COO,2000-05-01 00:00:00+00:00,34.0,34.44,33.44,33.62,55600,16.6324397287,16.8476830664,16.3584936626,16.4465477552,111200,0.0,1.0
COO,2000-05-02 00:00:00+00:00,34.06,34.5,33.75,33.75,42200,16.6617910929,16.8770344306,16.5101423777,16.5101423777,84400,0.0,1.0
COO,2000-05-03 00:00:00+00:00,32.88,33.81,32.38,33.81,105600,16.0845475964,16.539493742,15.8399528946,16.539493742,211200,0.0,1.0
COO,2000-05-04 00:00:00+00:00,33.12,33.75,32.88,33.12,68000,16.2019530534,16.5101423777,16.0845475964,16.2019530534,136000,0.0,1.0
COO,2000-05-05 00:00:00+00:00,33.56,33.62,33.0,33.12,16200,16.417196391,16.4465477552,16.1432503249,16.2019530534,32400,0.0,1.0
COO,2000-05-08 00:00:00+00:00,33.5,33.69,33.19,33.44,50900,16.3878450268,16.4807910135,16.2361963116,16.3584936626,101800,0.0,1.0
COO,2000-05-09 00:00:00+00:00,34.19,34.25,33.31,33.56,76100,16.7253857154,16.7547370796,16.2948990401,16.417196391,152200,0.0,1.0
COO,2000-05-10 00:00:00+00:00,34.12,34.25,33.62,34.06,45700,16.6911424571,16.7547370796,16.4465477552,16.6617910929,91400,0.0,1.0
COO,2000-05-11 00:00:00+00:00,34.5,34.5,33.88,34.0,36600,16.8770344306,16.8770344306,16.5737370002,16.6324397287,73200,0.0,1.0
COO,2000-05-12 00:00:00+00:00,34.81,35.12,34.56,34.56,85200,17.0286831458,17.1803318609,16.9063857948,16.9063857948,170400,0.0,1.0
COO,2000-05-15 00:00:00+00:00,34.81,35.19,34.75,34.81,69600,17.0286831458,17.2145751192,16.9993317815,17.0286831458,139200,0.0,1.0
COO,2000-05-16 00:00:00+00:00,35.19,35.38,34.88,34.94,97800,17.2145751192,17.3075211059,17.062926404,17.0922777682,195600,0.0,1.0
COO,2000-05-17 00:00:00+00:00,34.62,35.06,34.62,35.06,18600,16.935737159,17.1509804967,16.935737159,17.1509804967,37200,0.0,1.0
COO,2000-05-18 00:00:00+00:00,34.06,34.94,34.0,34.75,27900,16.6617910929,17.0922777682,16.6324397287,16.9993317815,55800,0.0,1.0
COO,2000-05-19 00:00:00+00:00,33.38,33.94,33.12,33.94,37700,16.3291422983,16.6030883645,16.2019530534,16.6030883645,75400,0.0,1.0
COO,2000-05-22 00:00:00+00:00,33.06,33.69,33.0,33.38,42200,16.1726016891,16.4807910135,16.1432503249,16.3291422983,84400,0.0,1.0
COO,2000-05-23 00:00:00+00:00,33.25,33.69,33.19,33.31,31100,16.2655476758,16.4807910135,16.2361963116,16.2948990401,62200,0.0,1.0
COO,2000-05-24 00:00:00+00:00,33.0,33.5,32.75,33.31,47400,16.1432503249,16.3878450268,16.020952974,16.2948990401,94800,0.0,1.0
COO,2000-05-25 00:00:00+00:00,33.25,33.31,32.88,33.0,38300,16.2655476758,16.2948990401,16.0845475964,16.1432503249,76600,0.0,1.0
COO,2000-05-26 00:00:00+00:00,33.38,33.62,33.12,33.25,60600,16.3291422983,16.4465477552,16.2019530534,16.2655476758,121200,0.0,1.0
COO,2000-05-30 00:00:00+00:00,34.94,34.94,33.62,33.75,112300,17.0922777682,17.0922777682,16.4465477552,16.5101423777,224600,0.0,1.0
COO,2000-05-31 00:00:00+00:00,34.5,35.25,34.5,35.0,58300,16.8770344306,17.2439264834,16.8770344306,17.1216291325,116600,0.0,1.0
COO,2000-06-01 00:00:00+00:00,34.5,34.75,34.25,34.62,21600,16.8770344306,16.9993317815,16.7547370796,16.935737159,43200,0.0,1.0
COO,2000-06-02 00:00:00+00:00,34.94,35.0,34.56,34.62,30600,17.0922777682,17.1216291325,16.9063857948,16.935737159,61200,0.0,1.0
COO,2000-06-05 00:00:00+00:00,35.31,35.5,34.5,35.0,93900,17.2732778476,17.3662238344,16.8770344306,17.1216291325,187800,0.0,1.0
COO,2000-06-06 00:00:00+00:00,35.44,36.25,35.31,35.31,135500,17.3368724701,17.7331158872,17.2732778476,17.2732778476,271000,0.0,1.0
COO,2000-06-07 00:00:00+00:00,35.81,35.81,35.38,35.62,77800,17.5178725495,17.5178725495,17.3075211059,17.4249265628,155600,0.0,1.0
COO,2000-06-08 00:00:00+00:00,36.31,36.38,35.69,35.81,106200,17.7624672514,17.7967105097,17.4591698211,17.5178725495,212400,0.0,1.0
COO,2000-06-09 00:00:00+00:00,37.62,37.88,36.56,36.56,153800,18.4033053704,18.5304946154,17.8847646024,17.8847646024,307600,0.0,1.0
COO,2000-06-12 00:00:00+00:00,37.25,38.31,37.0,38.0,107700,18.222305291,18.740846059,18.10000794,18.5891973438,215400,0.0,1.0
COO,2000-06-13 00:00:00+00:00,36.94,37.19,36.62,37.19,89900,18.0804403639,18.2028039289,17.9238150007,18.2028039289,179800,0.02,1.0
COO,2000-06-14 00:00:00+00:00,37.0,37.25,36.62,37.06,57300,18.1098076195,18.2321711845,17.9238150007,18.1391748751,114600,0.0,1.0
COO,2000-06-15 00:00:00+00:00,37.0,37.5,36.94,37.0,32300,18.1098076195,18.3545347495,18.0804403639,18.1098076195,64600,0.0,1.0
COO,2000-06-16 00:00:00+00:00,36.25,37.38,36.12,37.38,115000,17.7427169245,18.2958002383,17.6790878707,18.2958002383,230000,0.0,1.0
COO,2000-06-19 00:00:00+00:00,37.0,37.25,36.25,36.38,73600,18.1098076195,18.2321711845,17.7427169245,17.8063459783,147200,0.0,1.0
COO,2000-06-20 00:00:00+00:00,37.06,37.38,36.94,37.06,75800,18.1391748751,18.2958002383,18.0804403639,18.1391748751,151600,0.0,1.0
COO,2000-06-21 00:00:00+00:00,37.06,37.12,36.62,37.0,90500,18.1391748751,18.1685421307,17.9238150007,18.1098076195,181000,0.0,1.0
COO,2000-06-22 00:00:00+00:00,36.25,37.38,36.25,37.25,217700,17.7427169245,18.2958002383,17.7427169245,18.2321711845,435400,0.0,1.0
COO,2000-06-23 00:00:00+00:00,36.31,36.31,35.75,36.25,114600,17.7720841801,17.7720841801,17.4979897945,17.7427169245,229200,0.0,1.0
COO,2000-06-26 00:00:00+00:00,36.25,36.38,36.06,36.38,17500,17.7427169245,17.8063459783,17.6497206151,17.8063459783,35000,0.0,1.0
COO,2000-06-27 00:00:00+00:00,36.06,36.38,36.06,36.31,36300,17.6497206151,17.8063459783,17.6497206151,17.7720841801,72600,0.0,1.0
COO,2000-06-28 00:00:00+00:00,36.88,36.88,36.06,36.06,52300,18.0510731083,18.0510731083,17.6497206151,17.6497206151,104600,0.0,1.0
COO,2000-06-29 00:00:00+00:00,36.62,37.06,36.5,36.81,23000,17.9238150007,18.1391748751,17.8650804895,18.0168113101,46000,0.0,1.0
COO,2000-06-30 00:00:00+00:00,36.38,36.81,36.06,36.75,66300,17.8063459783,18.0168113101,17.6497206151,17.9874440545,132600,0.0,1.0
COO,2000-07-03 00:00:00+00:00,37.19,37.31,36.44,36.62,34600,18.2028039289,18.2615384401,17.8357132339,17.9238150007,69200,0.0,1.0
