symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
COP,2000-01-03 00:00:00+00:00,45.31,46.63,45.25,46.5,931100,8.3065959023,8.5485889853,8.2955962167,8.5247563332,1862200,0.0,1.0
COP,2000-01-04 00:00:00+00:00,44.44,45.25,44.19,44.88,736400,8.1471004613,8.2955962167,8.101268438,8.2277648223,1472800,0.0,1.0
COP,2000-01-05 00:00:00+00:00,43.63,44.94,43.19,44.69,2037950,7.9986047058,8.2387645079,7.9179403448,8.1929324846,4075900,0.0,1.0
COP,2000-01-06 00:00:00+00:00,45.13,45.63,43.25,43.75,1359900,8.2735968456,8.3652608922,7.9289400304,8.020604077,2719800,0.0,1.0
COP,2000-01-07 00:00:00+00:00,45.13,45.81,45.0,45.5,881350,8.2735968456,8.3982599489,8.2497641934,8.34142824,1762700,0.0,1.0
COP,2000-01-10 00:00:00+00:00,45.0,45.31,44.56,45.31,752300,8.2497641934,8.3065959023,8.1690998324,8.3065959023,1504600,0.0,1.0
COP,2000-01-11 00:00:00+00:00,44.94,45.25,44.5,45.0,556950,8.2387645079,8.2955962167,8.1581001469,8.2497641934,1113900,0.0,1.0
COP,2000-01-12 00:00:00+00:00,44.06,44.88,43.88,44.69,1126550,8.0774357858,8.2277648223,8.0444367291,8.1929324846,2253100,0.0,1.0
COP,2000-01-13 00:00:00+00:00,44.13,44.69,44.0,44.63,968850,8.0902687524,8.1929324846,8.0664361003,8.181932799,1937700,0.0,1.0
COP,2000-01-14 00:00:00+00:00,43.75,44.13,43.0,44.13,554850,8.020604077,8.0902687524,7.8831080071,8.0902687524,1109700,0.0,1.0
COP,2000-01-18 00:00:00+00:00,44.44,44.5,43.56,43.56,768700,8.1471004613,8.1581001469,7.9857717393,7.9857717393,1537400,0.0,1.0
COP,2000-01-19 00:00:00+00:00,44.06,44.81,43.63,44.81,738100,8.0774357858,8.2149318557,7.9986047058,8.2149318557,1476200,0.0,1.0
COP,2000-01-20 00:00:00+00:00,42.81,43.88,42.38,43.88,610350,7.8482756694,8.0444367291,7.7694445893,8.0444367291,1220700,0.0,1.0
COP,2000-01-21 00:00:00+00:00,42.69,43.69,42.25,43.19,1663600,7.8262762982,8.0096043914,7.7456119372,7.9179403448,3327200,0.0,1.0
COP,2000-01-24 00:00:00+00:00,41.75,43.19,41.5,43.06,1152500,7.6539478906,7.9179403448,7.6081158673,7.8941076927,2305000,0.0,1.0
COP,2000-01-25 00:00:00+00:00,42.25,42.56,41.19,42.06,750050,7.7456119372,7.8024436461,7.5512841584,7.7107795995,1500100,0.0,1.0
COP,2000-01-26 00:00:00+00:00,41.19,42.5,40.75,42.5,1185300,7.5512841584,7.7914439605,7.4706197974,7.7914439605,2370600,0.0,1.0
COP,2000-01-27 00:00:00+00:00,40.5,41.19,39.94,41.19,710850,7.4247877741,7.5512841584,7.3221240419,7.5512841584,1421700,0.0,1.0
COP,2000-01-28 00:00:00+00:00,39.88,40.69,39.25,40.44,686950,7.3111243563,7.4596201118,7.1956276576,7.4137880885,1373900,0.0,1.0
COP,2000-01-31 00:00:00+00:00,40.88,41.0,39.25,39.75,1030250,7.4944524495,7.5164518207,7.1956276576,7.2872917042,2060500,0.0,1.0
COP,2000-02-01 00:00:00+00:00,40.69,41.13,39.94,40.88,843600,7.4596201118,7.5402844728,7.3221240419,7.4944524495,1687200,0.0,1.0
COP,2000-02-02 00:00:00+00:00,40.13,41.38,39.81,40.5,632900,7.3569563796,7.5861164961,7.2982913898,7.4247877741,1265800,0.0,1.0
COP,2000-02-03 00:00:00+00:00,39.38,40.38,39.31,40.13,1637200,7.2194603097,7.4027884029,7.2066273432,7.3569563796,3274400,0.0,1.0
COP,2000-02-04 00:00:00+00:00,39.0,39.31,38.44,39.13,952200,7.1497956343,7.2066273432,7.0471319021,7.1736282864,1904400,0.0,1.0
COP,2000-02-07 00:00:00+00:00,40.0,40.13,39.56,40.0,1630000,7.3331237275,7.3569563796,7.2524593665,7.3331237275,3260000,0.0,1.0
COP,2000-02-08 00:00:00+00:00,39.0,40.56,38.63,40.56,1091650,7.1497956343,7.4357874597,7.0819642398,7.4357874597,2183300,0.0,1.0
COP,2000-02-09 00:00:00+00:00,38.13,39.75,37.88,39.75,1006750,6.9903001932,7.2872917042,6.9444681699,7.2872917042,2013500,0.0,1.0
COP,2000-02-10 00:00:00+00:00,38.0,39.38,37.81,38.19,1462600,6.9664675411,7.2194603097,6.9316352034,7.0012998788,2925200,0.0,1.0
COP,2000-02-11 00:00:00+00:00,37.44,38.31,37.06,38.25,750600,6.8638038089,7.02329925,6.7941391335,7.0122995644,1501200,0.0,1.0
COP,2000-02-14 00:00:00+00:00,37.63,38.13,36.94,37.5,1309250,6.8986361467,6.9903001932,6.7721397624,6.8748034945,2618500,0.0,1.0
COP,2000-02-15 00:00:00+00:00,38.25,38.44,37.75,37.88,1276350,7.0122995644,7.0471319021,6.9206355178,6.9444681699,2552700,0.0,1.0
COP,2000-02-16 00:00:00+00:00,39.5,39.63,37.69,37.88,1147250,7.3037912326,7.3278290265,6.9691111786,7.004243339,2294500,0.34,1.0
COP,2000-02-17 00:00:00+00:00,39.5,39.75,39.13,39.31,996650,7.3037912326,7.3500177594,7.235375973,7.2686590722,1993300,0.0,1.0
COP,2000-02-18 00:00:00+00:00,38.75,40.5,38.06,40.5,1304300,7.1651116522,7.4886973398,7.0375264383,7.4886973398,2608600,0.0,1.0
COP,2000-02-22 00:00:00+00:00,39.06,39.31,38.38,38.63,1376300,7.2224325454,7.2686590722,7.0966963926,7.1429229194,2752600,0.0,1.0
COP,2000-02-23 00:00:00+00:00,37.56,38.94,37.25,38.94,725900,6.9450733847,7.2002438126,6.8877524915,7.2002438126,1451800,0.0,1.0
COP,2000-02-24 00:00:00+00:00,36.25,37.5,36.06,37.31,714000,6.7028463843,6.9339790183,6.667714224,6.8988468579,1428000,0.0,1.0
COP,2000-02-25 00:00:00+00:00,36.88,37.31,35.94,36.75,683000,6.8193372319,6.8988468579,6.6455254911,6.7952994379,1366000,0.0,1.0
COP,2000-02-28 00:00:00+00:00,37.13,37.88,36.31,37.25,889500,6.8655637586,7.004243339,6.7139407508,6.8877524915,1779000,0.0,1.0
COP,2000-02-29 00:00:00+00:00,38.13,38.44,36.25,36.25,1129950,7.0504698658,7.107790759,6.7028463843,6.7028463843,2259900,0.0,1.0
COP,2000-03-01 00:00:00+00:00,38.69,38.69,37.0,38.25,974350,7.1540172858,7.1540172858,6.8415259647,7.0726585987,1948700,0.0,1.0
COP,2000-03-02 00:00:00+00:00,38.06,38.94,37.38,38.44,1173900,7.0375264383,7.2002438126,6.9117902854,7.107790759,2347800,0.0,1.0
COP,2000-03-03 00:00:00+00:00,38.13,38.25,37.44,38.25,1435050,7.0504698658,7.0726585987,6.9228846519,7.0726585987,2870100,0.0,1.0
COP,2000-03-06 00:00:00+00:00,38.5,38.5,37.44,38.06,698500,7.1188851254,7.1188851254,6.9228846519,7.0375264383,1397000,0.0,1.0
COP,2000-03-07 00:00:00+00:00,40.5,40.56,38.25,38.75,1645900,7.4886973398,7.4997917062,7.0726585987,7.1651116522,3291800,0.0,1.0
COP,2000-03-08 00:00:00+00:00,40.44,41.19,39.19,40.25,1290250,7.4776029733,7.6162825537,7.2464703394,7.442470813,2580500,0.0,1.0
COP,2000-03-09 00:00:00+00:00,40.25,40.75,39.25,40.63,718550,7.442470813,7.5349238665,7.2575647058,7.5127351337,1437100,0.0,1.0
COP,2000-03-10 00:00:00+00:00,39.75,41.25,39.63,40.5,1058850,7.3500177594,7.6273769201,7.3278290265,7.4886973398,2117700,0.0,1.0
