symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
COST,2000-01-03 00:00:00+00:00,89.0,91.06,87.94,91.06,3028700,30.9194765577,31.6351408466,30.5512221178,31.6351408466,6057400,0.0,1.0
COST,2000-01-04 00:00:00+00:00,84.13,89.13,83.94,88.94,2861400,29.2275905932,30.9646398381,29.1615827219,30.8986319668,5722800,0.0,1.0
COST,2000-01-05 00:00:00+00:00,85.56,85.69,83.69,84.44,3863200,29.7243866773,29.7695499576,29.0747302597,29.3352876464,7726400,0.0,1.0
COST,2000-01-06 00:00:00+00:00,87.28,89.13,86.5,86.63,3610700,30.3219316175,30.9646398381,30.0509519353,30.0961152157,7221400,0.0,1.0
COST,2000-01-07 00:00:00+00:00,93.06,93.25,86.81,86.88,2582400,32.3299605445,32.3959684158,30.1586489885,30.1829676779,5164800,0.0,1.0
COST,2000-01-10 00:00:00+00:00,95.0,95.06,91.81,93.06,2227000,33.0039356515,33.0247802424,31.8956982333,32.3299605445,4454000,0.0,1.0
COST,2000-01-11 00:00:00+00:00,91.63,95.13,91.5,94.25,1477500,31.8331644605,33.0490989318,31.7880011801,32.7433782647,2955000,0.0,1.0
COST,2000-01-12 00:00:00+00:00,91.5,94.5,89.88,93.13,2343700,31.7880011801,32.830230727,31.2251972248,32.3542792339,4687400,0.0,1.0
COST,2000-01-13 00:00:00+00:00,94.94,96.13,90.88,92.56,2875400,32.9830910605,33.3965087808,31.5726070737,32.15625562,5750800,0.0,1.0
COST,2000-01-14 00:00:00+00:00,49.06,50.25,48.0,48.13,2285500,34.0878543802,34.9146898208,33.3513455004,33.4416720612,2285500,0.0,2.0
COST,2000-01-18 00:00:00+00:00,51.25,51.75,48.25,48.75,5932000,35.6095095187,35.9569193677,33.5250504249,33.8724602739,5932000,0.0,1.0
COST,2000-01-19 00:00:00+00:00,51.88,53.13,50.13,51.94,4130500,36.0472459284,36.9157705508,34.831311457,36.0889351103,4130500,0.0,1.0
COST,2000-01-20 00:00:00+00:00,50.0,53.13,50.0,52.38,5551900,34.7409848963,36.9157705508,34.7409848963,36.3946557773,5551900,0.0,1.0
COST,2000-01-21 00:00:00+00:00,48.5,51.5,48.0,51.44,3520200,33.6987553494,35.7832144432,33.3513455004,35.7415252613,3520200,0.0,1.0
COST,2000-01-24 00:00:00+00:00,47.0,51.25,46.5,48.19,5005500,32.6565258025,35.6095095187,32.3091159535,33.483361243,5005500,0.0,1.0
COST,2000-01-25 00:00:00+00:00,49.69,49.75,45.75,47.56,3730800,34.5255907899,34.5672799718,31.7880011801,33.0456248333,3730800,0.0,1.0
COST,2000-01-26 00:00:00+00:00,50.44,52.0,48.69,49.13,3782800,35.0467055634,36.1306242921,33.830771092,34.1364917591,3782800,0.0,1.0
