symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CPB,2000-01-03 00:00:00+00:00,37.25,39.63,37.0,39.63,982600,19.2566431475,20.4870004815,19.1274039318,20.4870004815,982600,0.0,1.0
CPB,2000-01-04 00:00:00+00:00,35.88,37.31,35.69,37.0,1007000,18.5484122452,19.2876605593,18.4501904412,19.1274039318,1007000,0.0,1.0
CPB,2000-01-05 00:00:00+00:00,35.44,37.0,35.13,35.81,1016800,18.4372665196,19.2488391994,18.2759924615,18.6297549116,1016800,0.225,1.0
CPB,2000-01-06 00:00:00+00:00,36.31,36.5,35.06,35.13,743500,18.8898743603,18.9887197508,18.2395757387,18.2759924615,743500,0.0,1.0
CPB,2000-01-07 00:00:00+00:00,37.0,37.19,36.38,36.63,526700,19.2488391994,19.3476845899,18.9262910831,19.0563508074,526700,0.0,1.0
CPB,2000-01-10 00:00:00+00:00,35.81,37.5,35.56,36.75,562600,18.6297549116,19.508958648,18.4996951873,19.1187794751,562600,0.0,1.0
CPB,2000-01-11 00:00:00+00:00,36.19,37.0,35.63,35.63,902500,18.8274456926,19.2488391994,18.5361119101,18.5361119101,902500,0.0,1.0
CPB,2000-01-12 00:00:00+00:00,35.75,36.63,35.31,36.19,693800,18.5985405778,19.0563508074,18.369635463,18.8274456926,693800,0.0,1.0
CPB,2000-01-13 00:00:00+00:00,36.38,36.94,35.88,35.94,709300,18.9262910831,19.2176248656,18.6661716345,18.6973859683,709300,0.0,1.0
CPB,2000-01-14 00:00:00+00:00,35.31,36.0,34.38,34.38,801000,18.369635463,18.7286003021,17.8858132885,17.8858132885,801000,0.0,1.0
CPB,2000-01-18 00:00:00+00:00,35.13,35.38,33.44,33.56,861400,18.2759924615,18.4060521858,17.3967887251,17.4592173928,861400,0.0,1.0
CPB,2000-01-19 00:00:00+00:00,33.5,34.44,33.13,33.63,772600,17.4280030589,17.9170276224,17.2355146669,17.4956341156,772600,0.0,1.0
CPB,2000-01-20 00:00:00+00:00,32.19,33.75,32.06,33.38,1178000,16.7464901035,17.5580627832,16.6788590468,17.3655743912,1178000,0.0,1.0
CPB,2000-01-21 00:00:00+00:00,33.06,33.44,32.0,32.31,1127800,17.1990979441,17.3967887251,16.647644713,16.8089187712,1127800,0.0,1.0
CPB,2000-01-24 00:00:00+00:00,31.25,33.19,30.38,32.88,800400,16.25746554,17.2667290008,15.8048576994,17.1054549426,800400,0.0,1.0
CPB,2000-01-25 00:00:00+00:00,30.44,31.63,30.06,31.19,771600,15.8360720332,16.455156321,15.6383812523,16.2262512062,771600,0.0,1.0
CPB,2000-01-26 00:00:00+00:00,31.0,31.75,30.5,30.75,718800,16.1274058157,16.5175849887,15.8672863671,15.9973460914,718800,0.0,1.0
CPB,2000-01-27 00:00:00+00:00,30.63,31.5,29.94,31.5,602200,15.9349174237,16.3875252644,15.5759525846,16.3875252644,602200,0.0,1.0
CPB,2000-01-28 00:00:00+00:00,29.56,30.56,29.25,30.5,648600,15.3782618036,15.8985007009,15.2169877455,15.8672863671,648600,0.0,1.0
CPB,2000-01-31 00:00:00+00:00,31.44,32.25,29.56,29.88,912400,16.3563109305,16.7777044373,15.3782618036,15.5447382508,912400,0.0,1.0
CPB,2000-02-01 00:00:00+00:00,29.44,31.06,29.13,30.88,1091100,15.315833136,16.1586201496,15.1545590778,16.064977148,1091100,0.0,1.0
CPB,2000-02-02 00:00:00+00:00,28.81,29.13,28.25,28.75,1250800,14.9880826307,15.1545590778,14.6967488482,14.9568682968,1250800,0.0,1.0
CPB,2000-02-03 00:00:00+00:00,29.31,29.69,28.69,28.81,927900,15.2482020793,15.4458928603,14.925653963,14.9880826307,927900,0.0,1.0
CPB,2000-02-04 00:00:00+00:00,28.19,29.06,27.75,29.06,705600,14.6655345144,15.118142355,14.4366293996,15.118142355,705600,0.0,1.0
CPB,2000-02-07 00:00:00+00:00,27.81,28.25,27.5,28.19,710200,14.4678437334,14.6967488482,14.3065696752,14.6655345144,710200,0.0,1.0
CPB,2000-02-08 00:00:00+00:00,28.38,28.63,27.69,27.75,582800,14.7643799048,14.8944396292,14.4054150657,14.4366293996,582800,0.0,1.0
CPB,2000-02-09 00:00:00+00:00,27.69,28.31,27.63,28.31,669400,14.4054150657,14.727963182,14.3742007319,14.727963182,669400,0.0,1.0
CPB,2000-02-10 00:00:00+00:00,26.31,27.63,26.25,27.0,1171500,13.6874853875,14.3742007319,13.6562710536,14.0464502266,1171500,0.0,1.0
CPB,2000-02-11 00:00:00+00:00,25.81,26.44,25.44,26.31,1239800,13.4273659388,13.7551164441,13.2348775468,13.6874853875,1239800,0.0,1.0
CPB,2000-02-14 00:00:00+00:00,25.94,26.5,25.81,25.81,576000,13.4949969955,13.786330778,13.4273659388,13.4273659388,576000,0.0,1.0
CPB,2000-02-15 00:00:00+00:00,27.44,27.56,25.88,25.94,887900,14.2753553414,14.3377840091,13.4637826616,13.4949969955,887900,0.0,1.0
CPB,2000-02-16 00:00:00+00:00,27.44,29.56,27.0,29.56,1484900,14.2753553414,15.3782618036,14.0464502266,15.3782618036,1484900,0.0,1.0
CPB,2000-02-17 00:00:00+00:00,29.38,29.56,27.25,27.25,1227200,15.2846188021,15.3782618036,14.1765099509,14.1765099509,1227200,0.0,1.0
CPB,2000-02-18 00:00:00+00:00,29.25,29.81,28.88,29.31,1040500,15.2169877455,15.508321528,15.0244993535,15.2482020793,1040500,0.0,1.0
CPB,2000-02-22 00:00:00+00:00,29.56,29.94,28.81,29.19,895300,15.3782618036,15.5759525846,14.9880826307,15.1857734116,895300,0.0,1.0
CPB,2000-02-23 00:00:00+00:00,28.88,29.56,28.5,29.56,1198100,15.0244993535,15.3782618036,14.8268085725,15.3782618036,1198100,0.0,1.0
CPB,2000-02-24 00:00:00+00:00,27.75,28.0,27.31,28.0,1303600,14.4366293996,14.5666891239,14.2077242848,14.5666891239,1303600,0.0,1.0
CPB,2000-02-25 00:00:00+00:00,27.75,28.63,27.5,27.81,928500,14.4366293996,14.8944396292,14.3065696752,14.4678437334,928500,0.0,1.0
CPB,2000-02-28 00:00:00+00:00,28.25,28.44,27.63,27.75,544800,14.6967488482,14.7955942387,14.3742007319,14.4366293996,544800,0.0,1.0
CPB,2000-02-29 00:00:00+00:00,28.38,28.44,27.81,28.06,677300,14.7643799048,14.7955942387,14.4678437334,14.5979034577,677300,0.0,1.0
CPB,2000-03-01 00:00:00+00:00,28.94,29.19,28.38,28.38,930400,15.0557136873,15.1857734116,14.7643799048,14.7643799048,930400,0.0,1.0
CPB,2000-03-02 00:00:00+00:00,28.56,29.13,28.44,28.94,903000,14.8580229064,15.1545590778,14.7955942387,15.0557136873,903000,0.0,1.0
CPB,2000-03-03 00:00:00+00:00,29.0,29.19,28.31,28.44,472100,15.0869280212,15.1857734116,14.727963182,14.7955942387,472100,0.0,1.0
CPB,2000-03-06 00:00:00+00:00,29.0,29.13,28.56,29.0,673300,15.0869280212,15.1545590778,14.8580229064,15.0869280212,673300,0.0,1.0
CPB,2000-03-07 00:00:00+00:00,27.56,28.63,27.19,28.63,1116100,14.3377840091,14.8944396292,14.1452956171,14.8944396292,1116100,0.0,1.0
CPB,2000-03-08 00:00:00+00:00,30.31,30.44,27.06,27.31,1090600,15.7684409766,15.8360720332,14.0776645604,14.2077242848,1090600,0.0,1.0
CPB,2000-03-09 00:00:00+00:00,30.19,30.31,29.06,29.5,692100,15.7060123089,15.7684409766,15.118142355,15.3470474698,692100,0.0,1.0
CPB,2000-03-10 00:00:00+00:00,28.94,29.38,27.88,29.31,815300,15.0557136873,15.2846188021,14.5042604562,15.2482020793,815300,0.0,1.0
