symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CPRT,2000-01-03 00:00:00+00:00,39.0,43.94,34.62,43.12,117100,1.625,1.8308333333,1.4425,1.7966666667,2810400,0.0,1.0
CPRT,2000-01-04 00:00:00+00:00,34.13,37.25,33.38,37.13,168900,1.4220833333,1.5520833333,1.3908333333,1.5470833333,4053600,0.0,1.0
CPRT,2000-01-05 00:00:00+00:00,34.0,35.13,33.63,34.25,184200,1.4166666667,1.46375,1.40125,1.4270833333,4420800,0.0,1.0
CPRT,2000-01-06 00:00:00+00:00,31.5,34.88,30.88,33.88,165500,1.3125,1.4533333333,1.2866666667,1.4116666667,3972000,0.0,1.0
CPRT,2000-01-07 00:00:00+00:00,35.13,35.63,31.44,31.56,54000,1.46375,1.4845833333,1.31,1.315,1296000,0.0,1.0
CPRT,2000-01-10 00:00:00+00:00,35.63,36.25,34.94,35.75,101800,1.4845833333,1.5104166667,1.4558333333,1.4895833333,2443200,0.0,1.0
CPRT,2000-01-11 00:00:00+00:00,34.19,35.63,34.19,35.38,49700,1.4245833333,1.4845833333,1.4245833333,1.4741666667,1192800,0.0,1.0
CPRT,2000-01-12 00:00:00+00:00,34.25,35.13,34.0,35.13,296000,1.4270833333,1.46375,1.4166666667,1.46375,7104000,0.0,1.0
CPRT,2000-01-13 00:00:00+00:00,34.63,34.88,34.0,34.88,82200,1.4429166667,1.4533333333,1.4166666667,1.4533333333,1972800,0.0,1.0
CPRT,2000-01-14 00:00:00+00:00,35.06,35.13,34.5,34.63,191100,1.4608333333,1.46375,1.4375,1.4429166667,4586400,0.0,1.0
CPRT,2000-01-18 00:00:00+00:00,35.31,35.38,35.0,35.13,173000,1.47125,1.4741666667,1.4583333333,1.46375,4152000,0.0,1.0
CPRT,2000-01-19 00:00:00+00:00,36.13,37.13,35.13,35.28,201100,1.5054166667,1.5470833333,1.46375,1.47,4826400,0.0,1.0
CPRT,2000-01-20 00:00:00+00:00,39.31,39.38,37.0,37.25,168500,1.6379166667,1.6408333333,1.5416666667,1.5520833333,4044000,0.0,1.0
CPRT,2000-01-21 00:00:00+00:00,39.0,39.81,37.94,39.5,167900,1.625,1.65875,1.5808333333,1.6458333333,4029600,0.0,1.0
CPRT,2000-01-24 00:00:00+00:00,38.94,39.5,38.13,38.19,131800,1.6225,1.6458333333,1.58875,1.59125,3163200,0.0,1.0
CPRT,2000-01-25 00:00:00+00:00,19.53,20.0,15.5,20.0,107633,1.6275,1.6666666667,1.2916666667,1.6666666667,1291596,0.0,2.0
CPRT,2000-01-26 00:00:00+00:00,18.0,19.0,17.0,18.25,241667,1.5,1.5833333333,1.4166666667,1.5208333333,2900004,0.0,1.0
CPRT,2000-01-27 00:00:00+00:00,17.75,19.0,16.38,18.97,120067,1.4791666667,1.5833333333,1.365,1.5808333333,1440804,0.0,1.0
CPRT,2000-01-28 00:00:00+00:00,18.09,18.38,17.63,17.75,69000,1.5075,1.5316666667,1.4691666667,1.4791666667,828000,0.0,1.0
CPRT,2000-01-31 00:00:00+00:00,17.0,18.19,16.25,18.16,221800,1.4166666667,1.5158333333,1.3541666667,1.5133333333,2661600,0.0,1.0
CPRT,2000-02-01 00:00:00+00:00,17.5,18.38,17.25,17.75,92467,1.4583333333,1.5316666667,1.4375,1.4791666667,1109604,0.0,1.0
CPRT,2000-02-02 00:00:00+00:00,18.19,18.5,17.75,18.0,56400,1.5158333333,1.5416666667,1.4791666667,1.5,676800,0.0,1.0
CPRT,2000-02-03 00:00:00+00:00,18.88,19.0,18.0,18.44,155467,1.5733333333,1.5833333333,1.5,1.5366666667,1865604,0.0,1.0
CPRT,2000-02-04 00:00:00+00:00,18.88,18.88,18.5,18.88,242000,1.5733333333,1.5733333333,1.5416666667,1.5733333333,2904000,0.0,1.0
CPRT,2000-02-07 00:00:00+00:00,19.38,19.38,18.94,19.25,149467,1.615,1.615,1.5783333333,1.6041666667,1793604,0.0,1.0
CPRT,2000-02-08 00:00:00+00:00,19.31,19.81,19.25,19.5,178267,1.6091666667,1.6508333333,1.6041666667,1.625,2139204,0.0,1.0
CPRT,2000-02-09 00:00:00+00:00,20.0,20.25,19.31,19.34,140000,1.6666666667,1.6875,1.6091666667,1.6116666667,1680000,0.0,1.0
CPRT,2000-02-10 00:00:00+00:00,22.06,22.06,19.88,19.94,435067,1.8383333333,1.8383333333,1.6566666667,1.6616666667,5220804,0.0,1.0
CPRT,2000-02-11 00:00:00+00:00,20.81,22.13,20.5,22.09,471067,1.7341666667,1.8441666667,1.7083333333,1.8408333333,5652804,0.0,1.0
CPRT,2000-02-14 00:00:00+00:00,21.38,21.5,20.5,20.78,442400,1.7816666667,1.7916666667,1.7083333333,1.7316666667,5308800,0.0,1.0
CPRT,2000-02-15 00:00:00+00:00,21.38,21.63,21.19,21.63,153200,1.7816666667,1.8025,1.7658333333,1.8025,1838400,0.0,1.0
CPRT,2000-02-16 00:00:00+00:00,21.59,21.75,21.25,21.28,85400,1.7991666667,1.8125,1.7708333333,1.7733333333,1024800,0.0,1.0
CPRT,2000-02-17 00:00:00+00:00,21.25,21.88,20.94,21.72,210267,1.7708333333,1.8233333333,1.745,1.81,2523204,0.0,1.0
CPRT,2000-02-18 00:00:00+00:00,21.0,21.25,20.88,21.22,188000,1.75,1.7708333333,1.74,1.7683333333,2256000,0.0,1.0
CPRT,2000-02-22 00:00:00+00:00,21.38,21.38,20.38,20.88,416000,1.7816666667,1.7816666667,1.6983333333,1.74,4992000,0.0,1.0
CPRT,2000-02-23 00:00:00+00:00,20.84,21.44,20.5,21.38,182867,1.7366666667,1.7866666667,1.7083333333,1.7816666667,2194404,0.0,1.0
CPRT,2000-02-24 00:00:00+00:00,20.0,21.0,19.0,20.75,282400,1.6666666667,1.75,1.5833333333,1.7291666667,3388800,0.0,1.0
CPRT,2000-02-25 00:00:00+00:00,19.69,20.38,19.38,20.38,154400,1.6408333333,1.6983333333,1.615,1.6983333333,1852800,0.0,1.0
CPRT,2000-02-28 00:00:00+00:00,21.75,23.75,20.06,23.0,576400,1.8125,1.9791666667,1.6716666667,1.9166666667,6916800,0.0,1.0
CPRT,2000-02-29 00:00:00+00:00,21.03,22.75,19.0,22.25,312867,1.7525,1.8958333333,1.5833333333,1.8541666667,3754404,0.0,1.0
CPRT,2000-03-01 00:00:00+00:00,20.97,21.31,20.5,20.91,280800,1.7475,1.7758333333,1.7083333333,1.7425,3369600,0.0,1.0
CPRT,2000-03-02 00:00:00+00:00,18.75,21.0,17.5,20.13,400067,1.5625,1.75,1.4583333333,1.6775,4800804,0.0,1.0
CPRT,2000-03-03 00:00:00+00:00,17.28,19.0,17.0,18.91,399067,1.44,1.5833333333,1.4166666667,1.5758333333,4788804,0.0,1.0
CPRT,2000-03-06 00:00:00+00:00,16.88,17.75,15.0,17.25,1276267,1.4066666667,1.4791666667,1.25,1.4375,15315204,0.0,1.0
CPRT,2000-03-07 00:00:00+00:00,16.5,17.25,16.06,17.25,311200,1.375,1.4375,1.3383333333,1.4375,3734400,0.0,1.0
CPRT,2000-03-08 00:00:00+00:00,17.63,18.38,16.56,16.56,186667,1.4691666667,1.5316666667,1.38,1.38,2240004,0.0,1.0
