symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CPT,2000-01-03 00:00:00+00:00,26.81,27.0,26.25,27.0,51000,8.3671277236,8.426424787,8.1923574318,8.426424787,51000,0.0,1.0
CPT,2000-01-04 00:00:00+00:00,26.12,26.62,25.5,26.62,60200,8.1517857569,8.3078306603,7.9582900766,8.3078306603,60200,0.0,1.0
CPT,2000-01-05 00:00:00+00:00,26.19,26.25,25.81,26.19,66400,8.1736320433,8.1923574318,8.0550379167,8.1736320433,66400,0.0,1.0
CPT,2000-01-06 00:00:00+00:00,26.69,26.81,25.81,26.06,36600,8.3296769468,8.3671277236,8.0550379167,8.1330603684,36600,0.0,1.0
CPT,2000-01-07 00:00:00+00:00,27.19,27.19,26.44,26.56,29300,8.4857218503,8.4857218503,8.2516544951,8.2891052719,29300,0.0,1.0
CPT,2000-01-10 00:00:00+00:00,26.88,27.25,26.81,27.0,74300,8.3889740101,8.5044472387,8.3671277236,8.426424787,74300,0.0,1.0
CPT,2000-01-11 00:00:00+00:00,26.75,26.94,26.62,26.94,180400,8.3484023352,8.4076993985,8.3078306603,8.4076993985,180400,0.0,1.0
CPT,2000-01-12 00:00:00+00:00,26.62,26.88,26.31,26.75,191500,8.3078306603,8.3889740101,8.2110828202,8.3484023352,191500,0.0,1.0
CPT,2000-01-13 00:00:00+00:00,26.88,26.88,26.5,26.5,131800,8.3889740101,8.3889740101,8.2703798835,8.2703798835,131800,0.0,1.0
CPT,2000-01-14 00:00:00+00:00,26.88,27.0,26.62,26.75,49800,8.3889740101,8.426424787,8.3078306603,8.3484023352,49800,0.0,1.0
CPT,2000-01-18 00:00:00+00:00,26.88,27.12,26.5,27.12,56400,8.3889740101,8.4638755638,8.2703798835,8.4638755638,56400,0.0,1.0
CPT,2000-01-19 00:00:00+00:00,27.25,27.25,26.75,26.94,80800,8.5044472387,8.5044472387,8.3484023352,8.4076993985,80800,0.0,1.0
CPT,2000-01-20 00:00:00+00:00,27.25,27.38,26.75,27.12,39300,8.5044472387,8.5450189136,8.3484023352,8.4638755638,39300,0.0,1.0
CPT,2000-01-21 00:00:00+00:00,26.88,27.12,26.81,27.12,49500,8.3889740101,8.4638755638,8.3671277236,8.4638755638,49500,0.0,1.0
CPT,2000-01-24 00:00:00+00:00,26.69,27.12,26.62,27.12,32500,8.3296769468,8.4638755638,8.3078306603,8.4638755638,32500,0.0,1.0
CPT,2000-01-25 00:00:00+00:00,26.56,26.75,26.5,26.75,23700,8.2891052719,8.3484023352,8.2703798835,8.3484023352,23700,0.0,1.0
CPT,2000-01-26 00:00:00+00:00,26.88,26.88,26.38,26.5,30400,8.3889740101,8.3889740101,8.2329291067,8.2703798835,30400,0.0,1.0
CPT,2000-01-27 00:00:00+00:00,26.62,26.75,26.5,26.75,43700,8.3078306603,8.3484023352,8.2703798835,8.3484023352,43700,0.0,1.0
CPT,2000-01-28 00:00:00+00:00,26.38,26.62,26.38,26.5,88800,8.2329291067,8.3078306603,8.2329291067,8.2703798835,88800,0.0,1.0
CPT,2000-01-31 00:00:00+00:00,25.88,26.44,25.88,26.38,66200,8.0768842032,8.2516544951,8.0768842032,8.2329291067,66200,0.0,1.0
CPT,2000-02-01 00:00:00+00:00,26.5,26.5,25.75,25.88,105500,8.2703798835,8.2703798835,8.0363125283,8.0768842032,105500,0.0,1.0
CPT,2000-02-02 00:00:00+00:00,26.06,26.44,26.0,26.25,91100,8.1330603684,8.2516544951,8.11433498,8.1923574318,91100,0.0,1.0
CPT,2000-02-03 00:00:00+00:00,26.19,26.19,25.94,26.0,57900,8.1736320433,8.1736320433,8.0956095916,8.11433498,57900,0.0,1.0
CPT,2000-02-04 00:00:00+00:00,26.31,26.38,26.06,26.06,85400,8.2110828202,8.2329291067,8.1330603684,8.1330603684,85400,0.0,1.0
CPT,2000-02-07 00:00:00+00:00,26.0,26.38,26.0,26.12,146400,8.11433498,8.2329291067,8.11433498,8.1517857569,146400,0.0,1.0
CPT,2000-02-08 00:00:00+00:00,26.5,26.94,26.0,26.0,102600,8.2703798835,8.4076993985,8.11433498,8.11433498,102600,0.0,1.0
CPT,2000-02-09 00:00:00+00:00,26.25,26.38,26.12,26.38,146400,8.1923574318,8.2329291067,8.1517857569,8.2329291067,146400,0.0,1.0
CPT,2000-02-10 00:00:00+00:00,26.31,26.31,26.25,26.25,67400,8.2110828202,8.2110828202,8.1923574318,8.1923574318,67400,0.0,1.0
CPT,2000-02-11 00:00:00+00:00,26.25,26.75,26.19,26.44,127700,8.1923574318,8.3484023352,8.1736320433,8.2516544951,127700,0.0,1.0
CPT,2000-02-14 00:00:00+00:00,26.25,26.5,26.19,26.19,190700,8.1923574318,8.2703798835,8.1736320433,8.1736320433,190700,0.0,1.0
CPT,2000-02-15 00:00:00+00:00,26.38,26.5,26.25,26.25,164000,8.2329291067,8.2703798835,8.1923574318,8.1923574318,164000,0.0,1.0
CPT,2000-02-16 00:00:00+00:00,26.5,26.62,26.31,26.38,423000,8.2703798835,8.3078306603,8.2110828202,8.2329291067,423000,0.0,1.0
CPT,2000-02-17 00:00:00+00:00,26.62,26.62,26.38,26.44,115400,8.3078306603,8.3078306603,8.2329291067,8.2516544951,115400,0.0,1.0
CPT,2000-02-18 00:00:00+00:00,26.5,26.62,26.5,26.56,46800,8.2703798835,8.3078306603,8.2703798835,8.2891052719,46800,0.0,1.0
CPT,2000-02-22 00:00:00+00:00,26.56,26.62,26.38,26.5,198100,8.2891052719,8.3078306603,8.2329291067,8.2703798835,198100,0.0,1.0
CPT,2000-02-23 00:00:00+00:00,26.56,26.62,26.38,26.5,56100,8.2891052719,8.3078306603,8.2329291067,8.2703798835,56100,0.0,1.0
CPT,2000-02-24 00:00:00+00:00,26.44,26.56,26.44,26.56,34600,8.2516544951,8.2891052719,8.2516544951,8.2891052719,34600,0.0,1.0
