symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CRL,2000-06-23 00:00:00+00:00,22.0,23.63,18.5,19.5,7986500,22.0,23.63,18.5,19.5,7986500,0.0,1.0
CRL,2000-06-26 00:00:00+00:00,21.88,21.88,20.88,21.75,1005000,21.88,21.88,20.88,21.75,1005000,0.0,1.0
CRL,2000-06-27 00:00:00+00:00,21.56,21.94,21.13,21.94,421000,21.56,21.94,21.13,21.94,421000,0.0,1.0
CRL,2000-06-28 00:00:00+00:00,21.56,21.69,20.63,21.63,567500,21.56,21.69,20.63,21.63,567500,0.0,1.0
CRL,2000-06-29 00:00:00+00:00,21.19,21.5,21.19,21.5,140300,21.19,21.5,21.19,21.5,140300,0.0,1.0
CRL,2000-06-30 00:00:00+00:00,22.19,22.75,20.88,21.19,528300,22.19,22.75,20.88,21.19,528300,0.0,1.0
CRL,2000-07-03 00:00:00+00:00,22.19,22.25,21.75,22.19,81800,22.19,22.25,21.75,22.19,81800,0.0,1.0
CRL,2000-07-05 00:00:00+00:00,22.44,24.25,21.5,22.0,198800,22.44,24.25,21.5,22.0,198800,0.0,1.0
CRL,2000-07-06 00:00:00+00:00,23.75,23.75,22.0,22.5,155000,23.75,23.75,22.0,22.5,155000,0.0,1.0
CRL,2000-07-07 00:00:00+00:00,23.63,24.5,23.0,23.75,302900,23.63,24.5,23.0,23.75,302900,0.0,1.0
CRL,2000-07-10 00:00:00+00:00,24.75,24.81,23.25,23.38,65200,24.75,24.81,23.25,23.38,65200,0.0,1.0
CRL,2000-07-11 00:00:00+00:00,25.25,26.88,24.69,25.0,325000,25.25,26.88,24.69,25.0,325000,0.0,1.0
CRL,2000-07-12 00:00:00+00:00,24.88,26.5,24.75,25.5,244500,24.88,26.5,24.75,25.5,244500,0.0,1.0
CRL,2000-07-13 00:00:00+00:00,26.25,26.38,24.44,25.0,199100,26.25,26.38,24.44,25.0,199100,0.0,1.0
CRL,2000-07-14 00:00:00+00:00,24.25,26.0,24.19,26.0,93900,24.25,26.0,24.19,26.0,93900,0.0,1.0
CRL,2000-07-17 00:00:00+00:00,23.69,24.63,23.31,24.5,499600,23.69,24.63,23.31,24.5,499600,0.0,1.0
CRL,2000-07-18 00:00:00+00:00,24.75,25.0,23.69,23.69,299500,24.75,25.0,23.69,23.69,299500,0.0,1.0
CRL,2000-07-19 00:00:00+00:00,24.88,25.69,24.75,24.88,202700,24.88,25.69,24.75,24.88,202700,0.0,1.0
CRL,2000-07-20 00:00:00+00:00,24.56,24.88,24.5,24.88,25900,24.56,24.88,24.5,24.88,25900,0.0,1.0
CRL,2000-07-21 00:00:00+00:00,24.19,24.5,24.0,24.5,69400,24.19,24.5,24.0,24.5,69400,0.0,1.0
CRL,2000-07-24 00:00:00+00:00,25.5,26.38,24.19,24.19,366400,25.5,26.38,24.19,24.19,366400,0.0,1.0
CRL,2000-07-25 00:00:00+00:00,24.81,25.5,24.81,25.5,82200,24.81,25.5,24.81,25.5,82200,0.0,1.0
CRL,2000-07-26 00:00:00+00:00,27.25,27.38,24.63,24.75,196700,27.25,27.38,24.63,24.75,196700,0.0,1.0
CRL,2000-07-27 00:00:00+00:00,28.25,28.63,27.31,27.31,212200,28.25,28.63,27.31,27.31,212200,0.0,1.0
CRL,2000-07-28 00:00:00+00:00,27.56,28.19,27.5,28.19,109000,27.56,28.19,27.5,28.19,109000,0.0,1.0
CRL,2000-07-31 00:00:00+00:00,30.19,30.19,27.31,27.44,437600,30.19,30.19,27.31,27.44,437600,0.0,1.0
CRL,2000-08-01 00:00:00+00:00,28.5,30.0,27.88,30.0,170000,28.5,30.0,27.88,30.0,170000,0.0,1.0
CRL,2000-08-02 00:00:00+00:00,28.19,28.5,28.13,28.44,54500,28.19,28.5,28.13,28.44,54500,0.0,1.0
CRL,2000-08-03 00:00:00+00:00,30.38,30.5,28.5,28.5,351900,30.38,30.5,28.5,28.5,351900,0.0,1.0
CRL,2000-08-04 00:00:00+00:00,29.88,31.0,29.25,30.63,91700,29.88,31.0,29.25,30.63,91700,0.0,1.0
CRL,2000-08-07 00:00:00+00:00,33.0,33.5,29.75,29.75,422500,33.0,33.5,29.75,29.75,422500,0.0,1.0
CRL,2000-08-08 00:00:00+00:00,33.06,33.5,32.81,33.0,138100,33.06,33.5,32.81,33.0,138100,0.0,1.0
CRL,2000-08-09 00:00:00+00:00,31.69,33.19,31.38,33.19,126100,31.69,33.19,31.38,33.19,126100,0.0,1.0
CRL,2000-08-10 00:00:00+00:00,30.63,31.88,30.63,31.81,117500,30.63,31.88,30.63,31.81,117500,0.0,1.0
CRL,2000-08-11 00:00:00+00:00,29.38,30.63,29.38,30.56,54500,29.38,30.63,29.38,30.56,54500,0.0,1.0
CRL,2000-08-14 00:00:00+00:00,27.94,29.13,27.94,29.13,72300,27.94,29.13,27.94,29.13,72300,0.0,1.0
CRL,2000-08-15 00:00:00+00:00,26.38,27.94,24.5,27.94,396200,26.38,27.94,24.5,27.94,396200,0.0,1.0
CRL,2000-08-16 00:00:00+00:00,25.5,26.44,25.5,26.38,160700,25.5,26.44,25.5,26.38,160700,0.0,1.0
CRL,2000-08-17 00:00:00+00:00,25.81,25.88,25.56,25.81,92200,25.81,25.88,25.56,25.81,92200,0.0,1.0
CRL,2000-08-18 00:00:00+00:00,26.25,26.75,24.75,25.69,214500,26.25,26.75,24.75,25.69,214500,0.0,1.0
CRL,2000-08-21 00:00:00+00:00,25.5,26.31,24.63,26.31,183200,25.5,26.31,24.63,26.31,183200,0.0,1.0
CRL,2000-08-22 00:00:00+00:00,26.38,26.44,25.0,25.63,56000,26.38,26.44,25.0,25.63,56000,0.0,1.0
CRL,2000-08-23 00:00:00+00:00,27.94,28.13,26.38,26.38,149200,27.94,28.13,26.38,26.38,149200,0.0,1.0
