symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CSX,2000-01-03 00:00:00+00:00,30.94,31.94,30.25,31.38,506600,1.1334432091,1.170076797,1.1081660335,1.1495619878,9118809,0.0,1.0
CSX,2000-01-04 00:00:00+00:00,30.0,30.75,29.56,30.06,422700,1.0990076365,1.1264828274,1.0828888578,1.1012056518,7608607,0.0,1.0
CSX,2000-01-05 00:00:00+00:00,30.63,30.87,29.75,30.19,566500,1.1220867969,1.130878858,1.0898492395,1.1059680182,10197010,0.0,1.0
CSX,2000-01-06 00:00:00+00:00,32.0,33.44,30.19,30.63,884100,1.1722748123,1.2250271788,1.1059680182,1.1220867969,15913815,0.0,1.0
CSX,2000-01-07 00:00:00+00:00,32.0,32.06,31.62,32.0,567200,1.1722748123,1.1744728275,1.1583540489,1.1722748123,10209610,0.0,1.0
CSX,2000-01-10 00:00:00+00:00,32.0,32.06,31.75,31.88,475300,1.1722748123,1.1744728275,1.1631164153,1.1678787817,8555408,0.0,1.0
CSX,2000-01-11 00:00:00+00:00,32.0,32.69,32.0,32.0,557600,1.1722748123,1.1975519879,1.1722748123,1.1722748123,10036810,0.0,1.0
CSX,2000-01-12 00:00:00+00:00,32.13,32.44,31.94,32.0,532700,1.1770371787,1.1883935909,1.170076797,1.1722748123,9588609,0.0,1.0
CSX,2000-01-13 00:00:00+00:00,32.56,33.06,31.88,32.0,519200,1.1927896215,1.2111064154,1.1678787817,1.1722748123,9345609,0.0,1.0
CSX,2000-01-14 00:00:00+00:00,32.25,32.62,32.0,32.13,469200,1.1814332092,1.1949876368,1.1722748123,1.1770371787,8445608,0.0,1.0
CSX,2000-01-18 00:00:00+00:00,31.75,32.31,31.75,32.0,414600,1.1631164153,1.1836312245,1.1631164153,1.1722748123,7462807,0.0,1.0
CSX,2000-01-19 00:00:00+00:00,31.75,32.0,31.38,31.75,1836000,1.1631164153,1.1722748123,1.1495619878,1.1631164153,33048033,0.0,1.0
CSX,2000-01-20 00:00:00+00:00,30.31,31.62,30.0,31.44,862200,1.1103640488,1.1583540489,1.0990076365,1.1517600031,15519615,0.0,1.0
CSX,2000-01-21 00:00:00+00:00,30.69,31.62,30.56,31.62,505700,1.1242848121,1.1583540489,1.1195224457,1.1583540489,9102609,0.0,1.0
CSX,2000-01-24 00:00:00+00:00,30.56,31.31,30.12,31.31,471000,1.1195224457,1.1469976366,1.1034036671,1.1469976366,8478008,0.0,1.0
CSX,2000-01-25 00:00:00+00:00,30.06,31.31,29.94,30.56,918000,1.1012056518,1.1469976366,1.0968096212,1.1195224457,16524016,0.0,1.0
CSX,2000-01-26 00:00:00+00:00,29.94,30.75,29.62,30.63,2365400,1.0968096212,1.1264828274,1.0850868731,1.1220867969,42577242,0.0,1.0
CSX,2000-01-27 00:00:00+00:00,30.38,30.63,29.81,29.94,801400,1.1129283999,1.1220867969,1.0920472548,1.0968096212,14425214,0.0,1.0
CSX,2000-01-28 00:00:00+00:00,29.13,30.0,28.56,30.0,850700,1.067136415,1.0990076365,1.04625527,1.0990076365,15312615,0.0,1.0
CSX,2000-01-31 00:00:00+00:00,29.25,29.69,29.06,29.37,550600,1.0715324456,1.0876512243,1.0645720639,1.0759284761,9910809,0.0,1.0
CSX,2000-02-01 00:00:00+00:00,28.94,29.31,28.81,29.25,263400,1.0601760334,1.0737304609,1.0554136669,1.0715324456,4741204,0.0,1.0
CSX,2000-02-02 00:00:00+00:00,28.25,28.94,28.0,28.94,434700,1.0348988577,1.0601760334,1.0257404607,1.0601760334,7824607,0.0,1.0
CSX,2000-02-03 00:00:00+00:00,27.87,28.56,27.75,28.38,391400,1.0209780943,1.04625527,1.0165820638,1.0396612241,7045207,0.0,1.0
CSX,2000-02-04 00:00:00+00:00,27.69,28.38,27.56,28.12,1334800,1.0143840485,1.0396612241,1.0096216821,1.0301364913,24026424,0.0,1.0
CSX,2000-02-07 00:00:00+00:00,26.13,27.87,26.13,27.69,663500,0.9572356514,1.0209780943,0.9572356514,1.0143840485,11943011,0.0,1.0
